,project_name,balancing_area,capacity_mw
1095,energia_renovable_de_la_peninsula,07-peninsular,27.7
1096,pe_el_cortijo,06-noreste,42.0
1130,parque_eolico_chabacal,07-peninsular,9.0
1131,parque_eolico_tizimin,07-peninsular,22.8
1146,parque_eolico_chabacal_ii,07-peninsular,9.0
1377,aguascalientes_potencia_1,03-occidental,63.0
1378,parque_solar_don_jose,03-occidental,207.0
1379,parque_solar_villanueva_3,05-norte,250.0
1380,parque_solar_villanueva,05-norte,330.0
1381,concunul,07-peninsular,70.0
1382,las_viborilas,03-occidental,100.0
1383,san_ignacio,07-peninsular,18.0
1384,kambul,07-peninsular,30.0
1385,guajiro_2,03-occidental,100.0
1386,ticul_1,07-peninsular,500.0
1605,sol_de_insurgentes,09-baja_california_sur-la_paz,23.0
