State,County,lat,lon
Aguascalientes,Aguascalientes,21.8475186,-102.3054818
Aguascalientes,Asientos,22.1321072,-102.0952558
Aguascalientes,Calvillo,21.8465121,-102.718573
Aguascalientes,Cosio,22.3705155,-102.3120084
Aguascalientes,Jesus Maria,21.9620807,-102.3441656
Aguascalientes,Pabellon de Arteaga,22.1475334,-102.2785768
Aguascalientes,Rincon de Romos,22.2295809,-102.3226734
Aguascalientes,San Jose de Gracia,22.1473882,-102.413414
Aguascalientes,Tepezala,22.2435163,-102.1927211
Aguascalientes,El Llano,21.92866955,-102.0007276
Aguascalientes,San Francisco de los Romo,22.0746282,-102.2707132
Baja California,Ensenada,30.1927661,-115.2314625
Baja California,Mexicali,32.6200699,-115.4440697
Baja California,Tecate,32.43593355,-116.2736571
Baja California,Tijuana,32.5008626,-116.9641656
Baja California,Playas de Rosarito,32.25812915,-116.8733071
Baja California Sur,Comondu,25.44713025,-111.7087131
Baja California Sur,Mulege,27.20305225,-113.3207273
Baja California Sur,La Paz,24.10843275,-110.5185427
Baja California Sur,Los Cabos,23.27184805,-109.6897683
Baja California Sur,Loreto,25.88442735,-111.5020496
Campeche,Calkini,20.4806239,-90.35496183
Campeche,Campeche,19.59188245,-90.25414919
Campeche,Carmen,18.4525195,-91.41297378
Campeche,Champoton,19.12975965,-90.45225435
Campeche,Hecelchakan,20.09066865,-90.07274785
Campeche,Hopelchen,19.5392663,-89.62071745
Campeche,Palizada,18.2622565,-92.00264407
Campeche,Tenabo,19.9636865,-90.18671625
Campeche,Escarcega,18.57969185,-90.76087193
Campeche,Calakmul,18.10752925,-89.80813291
Campeche,Candelaria,18.1614523,-90.74521933
Coahuila de Zaragoza,Abasolo,27.14309625,-101.3273817
Coahuila de Zaragoza,Acuna,21.511359,-103.370537
Coahuila de Zaragoza,Allende,28.3401014,-100.8514784
Coahuila de Zaragoza,Arteaga,25.4504203,-100.8523762
Coahuila de Zaragoza,Candela,26.8284772,-100.7498369
Coahuila de Zaragoza,Castanos,21.511359,-103.370537
Coahuila de Zaragoza,Cuatro Cienegas,26.66650175,-102.3791853
Coahuila de Zaragoza,Escobedo,27.3054948,-101.3006206
Coahuila de Zaragoza,Francisco I. Madero,25.7759608,-103.2722492
Coahuila de Zaragoza,Frontera,26.925554,-101.4522925
Coahuila de Zaragoza,General Cepeda,25.3790941,-101.4761114
Coahuila de Zaragoza,Guerrero,28.3088655,-100.3787997
Coahuila de Zaragoza,Hidalgo,27.7901112,-99.8752626
Coahuila de Zaragoza,Jimenez,29.00642,-100.8829135
Coahuila de Zaragoza,Juarez,27.65778955,-100.6880687
Coahuila de Zaragoza,Lamadrid,27.0514177,-101.7949358
Coahuila de Zaragoza,Matamoros,25.5292865,-103.2319967
Coahuila de Zaragoza,Monclova,26.9007929,-101.4165915
