load_area,fuel,year,fuel_price
01-hermosillo,diesel,2016,76.4343884
01-hermosillo,diesel,2017,91.90855173
01-hermosillo,diesel,2018,95.68405825
01-hermosillo,diesel,2019,98.97802259
01-hermosillo,diesel,2020,101.0870882
01-hermosillo,diesel,2021,102.9651704
01-hermosillo,diesel,2022,104.9465476
01-hermosillo,diesel,2023,107.2919827
01-hermosillo,diesel,2024,111.3072213
01-hermosillo,diesel,2025,113.822259
01-hermosillo,diesel,2026,115.3272388
01-hermosillo,diesel,2027,116.7015336
01-hermosillo,diesel,2028,117.8689506
01-hermosillo,diesel,2029,118.816289
01-hermosillo,diesel,2030,119.7626777
01-hermosillo,national fuel oil,2016,36.41709609
01-hermosillo,national fuel oil,2017,50.35878055
01-hermosillo,national fuel oil,2018,53.55781924
01-hermosillo,national fuel oil,2019,56.42903562
01-hermosillo,national fuel oil,2020,58.14545483
01-hermosillo,national fuel oil,2021,59.43841392
01-hermosillo,national fuel oil,2022,60.65401628
01-hermosillo,national fuel oil,2023,61.88033615
01-hermosillo,national fuel oil,2024,62.96001388
01-hermosillo,national fuel oil,2025,63.86331541
01-hermosillo,national fuel oil,2026,65.18586442
01-hermosillo,national fuel oil,2027,66.4110505
01-hermosillo,national fuel oil,2028,67.72410293
01-hermosillo,national fuel oil,2029,69.05899255
01-hermosillo,national fuel oil,2030,70.35835622
01-hermosillo,domestic natural gas,2016,1.97
01-hermosillo,domestic natural gas,2017,1.97
01-hermosillo,domestic natural gas,2018,1.98
01-hermosillo,domestic natural gas,2019,1.98
01-hermosillo,domestic natural gas,2020,1.99
01-hermosillo,domestic natural gas,2021,2.01
01-hermosillo,domestic natural gas,2022,2.01
01-hermosillo,domestic natural gas,2023,2.02
01-hermosillo,domestic natural gas,2024,2.02
01-hermosillo,domestic natural gas,2025,2.03
01-hermosillo,domestic natural gas,2026,2.04
01-hermosillo,domestic natural gas,2027,2.04
01-hermosillo,domestic natural gas,2028,2.06
01-hermosillo,domestic natural gas,2029,2.06
01-hermosillo,domestic natural gas,2030,2.07
