Name,Year,Cost,Name2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#¡REF!,#¡REF!,#¡REF!,#¡REF!,#¡REF!,#¡REF!,#¡REF!,#¡REF!
C_I_MANZA,2016,45.32976302,"Imported fuel oil; Manzanillo, Colima",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2017,61.97651007,"National fuel oil; Altamira, Tamaulipas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2018,65.81702538,"National fuel oil; Chihuahua, Chihuahua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2019,69.25523639,"National fuel oil; Saltillo, Coahuila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2020,71.32353718,"National fuel oil; Gomez Palacio, Durango",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2021,72.90830395,"National fuel oil; Guaymas, Sonora",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2022,74.41818496,"National fuel oil; Lerma, Campeche",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2023,75.97340717,"National fuel oil; Mazatlan, Sinaloa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2024,77.52288659,"National fuel oil; Merida, Yucatan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2025,78.74122178,"National fuel oil; Petacalco, Guerrero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2026,80.32380533,"National fuel oil; Puerto Libertad, Sonora",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2027,81.78804456,"National fuel oil; Poza Rica, Veracruz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2028,83.32906798,"National fuel oil; Ro Bravo, Tamaulipas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2029,84.87358771,"National fuel oil; Salamanca, Guanajuato",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_I_MANZA,2030,86.37924469,"National fuel oil; Samalayuca, Chihuahua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2016,34.37305835,"National fuel oil; Topolobampo, Sinaloa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2017,48.31474281,"National fuel oil; Tula, Hidalgo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2018,51.5137815,"National fuel oil; Tuxpan, Veracruz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2019,54.38499788,"National fuel oil; Valladolid, Yucatan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2020,56.10141709,"National fuel oil; Vizacainos, Baja California Sur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2021,57.39437618,"National fuel oil; Villa de Reyes, San Luis Potos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2022,58.60997854,Carbon II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2023,59.83629841,Carbon Petacalco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2024,60.91597614,Carbon Ro Escondido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2025,61.81927767,Diesel Baja California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2026,63.14182669,Diesel Nacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2027,64.36701277,Diesel Pennsula de Yucatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2028,65.6800652,"Domestic natural gas; Dos Bocas, Veracruz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2029,67.01495481,"Domestic natural gas; Monterrey, Nuevo Leon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_ALTA,2030,68.31431849,"Domestic natural gas; Centro I I Cuautla, Morelos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_CHIH,2016,37.21760555,Imported natural gas; Baja California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_CHIH,2017,51.2372069,"Domestic natural gas; Lerma, Campeche",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_CHIH,2018,54.45422153,"Domestic natural gas; Nizuc, Quintana Roo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_CHIH,2019,57.34153082,"Domestic natural gas; Valladolid, Yucatan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_CHIH,2020,59.06763094,"Domestic natural gas; Petacalco, Guerrero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_CHIH,2021,60.3680077,"Domestic natural gas; El Sauz, Queretaro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_CHIH,2022,61.59067722,"Domestic natural gas; Tula, Hidalgo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_CHIH,2023,62.82427648,"Domestic natural gas; Tuxpan-Poza Rica, Veracruz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_CHIH,2024,63.91120671,"Domestic natural gas; Altamira, Tamaulipas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_CHIH,2025,64.82021079,Liquified natural gas; Manzanillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_N_CHIH,2026,66.15016726,"Domestic natural gas; Tamazunchale, San Luis Potos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
