central/proyect,type,technology,fuel,fuel_code,load_area,balancing_area,intalation_year
cerro_prieto_i_u5,operational,geotermic,,,08-baja_california,48-mexicali,
cerro_prieto_ii_central,operational,geotermic,,,08-baja_california,48-mexicali,
cerro_prieto_iii_central,operational,geotermic,,,08-baja_california,48-mexicali,
cerro_prieto_iv_central,operational,geotermic,,,08-baja_california,48-mexicali,
cerro_prieto_fotovoltaica,operational,solar,,,08-baja_california,48-mexicali,
cipres_tg,operational,turbogas,diesel,d_bcn,08-baja_california,47-ensenada,
mexicali,operational,combined_cycle,natural_gas,g_i_noro,08-baja_california,48-mexicali,
mexicali_tg_1,operational,turbogas,diesel,d_bcn,08-baja_california,48-mexicali,
mexicali_tg_2,operational,turbogas,diesel,d_bcn,08-baja_california,48-mexicali,
mexicali_tg_3,operational,turbogas,diesel,d_bcn,08-baja_california,48-mexicali,
presidente_juarez_rosarito,operational,combined_cycle,natural_gas,g_i_noro,08-baja_california,46-tijuana,
presidente_juarez_rosarito5_tc,operational,termoelectric,fuel_oil,c_n_vizc,08-baja_california,46-tijuana,
presidente_juarez_rosarito6_tc,operational,termoelectric,fuel_oil,c_n_vizc,08-baja_california,46-tijuana,
tijuana_1_tg,operational,turbogas,natural_gas,g_i_jovibn,08-baja_california,46-tijuana,
tijuana_2_tg,operational,turbogas,natural_gas,g_i_jovibn,08-baja_california,46-tijuana,
tijuana_3_tg_150mw,operational,turbogas,natural_gas,g_i_jovibn,08-baja_california,46-tijuana,
tijuana_tg_central,operational,turbogas,natural_gas,g_i_jovibn,08-baja_california,46-tijuana,
baja_california_sur_i,operational,internal_combustion,fuel_oil,c_n_chih,09-baja_california_sur-la_paz,51-la_paz,
ciudad_constitucion,operational,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,50-villa_constitucion,
guerrero_negro,operational,turbogas,diesel,d_bcn,10-baja_california_sur-mulege,53-mulege,
guerrero_negro_ii,operational,internal_combustion,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
la_paz_tg1,operational,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,51-la_paz,
la_paz_tg2,operational,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,51-la_paz,
los_cabos_cfe_25000,operational,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,52-los_cabos,
los_cabos_cfe_30000,operational,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,52-los_cabos,
los_cabos_1_tg,operational,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,52-los_cabos,
los_cabos_2_tg,operational,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,52-los_cabos,
los_cabos_3_tg,operational,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,52-los_cabos,
punta_prieta_ii_u1,operational,termoelectric,diesel,d_bcn,09-baja_california_sur-la_paz,51-la_paz,
punta_prieta_ii_u2,operational,termoelectric,diesel,d_bcn,09-baja_california_sur-la_paz,51-la_paz,
punta_prieta_ii_u3,operational,termoelectric,diesel,d_bcn,09-baja_california_sur-la_paz,51-la_paz,
san_carlos_u1,operational,internal_combustion,fuel_oil,c_n_chih,09-baja_california_sur-la_paz,50-villa_constitucion,
san_carlos_u2,operational,internal_combustion,fuel_oil,c_n_chih,09-baja_california_sur-la_paz,50-villa_constitucion,
san_carlos_u3,operational,internal_combustion,fuel_oil,c_n_chih,09-baja_california_sur-la_paz,50-villa_constitucion,
santa_rosalia_u1_u2,operational,internal_combustion,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
santa_rosalia_u3_ci,operational,internal_combustion,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
santa_rosalia_u4_ci,operational,internal_combustion,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
santa_rosalia_u5_ci,operational,internal_combustion,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
tres_virgcos_central,operational,geotermic,,,10-baja_california_sur-mulege,53-mulege,
u_movil,operational,internal_combustion,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
chicoasen,operational,hydroelectric,,,02-oriental,39-grijalva,
aragon,operational,turbogas,natural_gas,g_central,01-central,31-central,
atenco_lyfc,operational,turbogas,natural_gas,g_central,01-central,31-central,
coapa,operational,turbogas,natural_gas,g_central,01-central,31-central,
coyotepec,operational,turbogas,natural_gas,g_central,01-central,31-central,
cuautitlan_lyfc,operational,turbogas,natural_gas,g_central,01-central,31-central,
ecatepec_lyfc,operational,turbogas,natural_gas,g_central,01-central,31-central,
infiernillo,operational,hydroelectric,,,03-occidental,29-lazaro_cardenas,
iztapalapa_lyfc,operational,turbogas,natural_gas,g_central,01-central,31-central,
malpaso,operational,hydroelectric,,,02-oriental,39-grijalva,
magdalena,operational,turbogas,natural_gas,g_central,01-central,31-central,
aguamilpa_solidaridad,operational,hydroelectric,,,03-occidental,22-tepic,
nonoalco_lyfc_u1,operational,turbogas,natural_gas,g_central,01-central,31-central,
nonoalco_lyfc_u2,operational,turbogas,natural_gas,g_central,01-central,31-central,
nonoalco_lyfc_u3,operational,turbogas,natural_gas,g_central,01-central,31-central,
angostura,operational,hydroelectric,,,02-oriental,39-grijalva,
remedios_lyfc,operational,turbogas,natural_gas,g_central,01-central,31-central,
santa_cruz,operational,turbogas,natural_gas,g_central,01-central,31-central,
el_cajon,operational,hydroelectric,,,03-occidental,23-guadalajara,
tula,operational,combined_cycle,natural_gas,g,01-central,31-central,
tula_tc_u1,operational,termoelectric,fuel_oil,c_n_tula,01-central,31-central,
tula_tc_u2,operational,termoelectric,fuel_oil,c_n_tula,01-central,31-central,
tula_tc_u3,operational,termoelectric,fuel_oil,c_n_tula,01-central,31-central,
tula_tc_u4,operational,termoelectric,fuel_oil,c_n_tula,01-central,31-central,
tula_tc_u5,operational,termoelectric,fuel_oil,c_n_tula,01-central,31-central,
valle_de_mexico,operational,combined_cycle,natural_gas,g,01-central,31-central,
valle_de_mexico_tc_u1,operational,termoelectric,fuel_oil,c_n_tula,01-central,31-central,
valle_de_mexico_tc_u2,operational,termoelectric,fuel_oil,c_n_tula,01-central,31-central,
valle_de_mexico_tc_u3,operational,termoelectric,fuel_oil,c_n_tula,01-central,31-central,
vallejo_lyfc,operational,turbogas,natural_gas,g_central,01-central,31-central,
victoria_lyfc,operational,turbogas,natural_gas,g_central,01-central,31-central,
villa_de_las_flores_lyfc,operational,turbogas,natural_gas,g_central,01-central,31-central,
la_yesca,operational,hydroelectric,,,03-occidental,23-guadalajara,
guerrero_negro_ii_tgmovil,operational,turbogas,diesel,d_bcn,10-baja_california_sur-mulege,53-mulege,
guerrero_negro_eolica,operational,eolic,,,10-baja_california_sur-mulege,53-mulege,
sta_rosalia,operational,solar,,,10-baja_california_sur-mulege,53-mulege,
u_movil_cfe-ume,operational,turbogas,diesel,d_bcn,10-baja_california_sur-mulege,53-mulege,
u_movil_de_emergencia_ume-18,operational,internal_combustion,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
u_movil_de_emergencia_ume-19,operational,internal_combustion,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
u_movil_de_emergencia_ume-20,operational,internal_combustion,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
vizcaino,operational,turbogas,diesel,d_bcn,10-baja_california_sur-mulege,53-mulege,
caracol,operational,hydroelectric,,,02-oriental,35-acapulco,
chavez_u1,operational,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
chavez_u2,operational,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
chihuahua_ii,operational,combined_cycle,natural_gas,zzon_nort,05-norte,09-chihuahua,
huites,operational,hydroelectric,,,04-noroeste,03-obregon,
francisco_villa_u4,operational,termoelectric,fuel_oil,c_n_chih,05-norte,09-chihuahua,
francisco_villa_u5,operational,termoelectric,fuel_oil,c_n_chih,05-norte,09-chihuahua,
gomez_palacio,operational,combined_cycle,natural_gas,zzon_nort,05-norte,11-laguna,
industrial_juarez,operational,turbogas,natural_gas,zzon_nort,05-norte,07-juarez,
la_laguna_ii,operational,combined_cycle,natural_gas,zzon_nort,05-norte,11-laguna,
la_laguna_u1_tg,operational,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
la_laguna_u2_tg,operational,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
la_laguna_u3_tg,operational,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
la_laguna_u4_tg,operational,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
lerdo_u1,operational,termoelectric,fuel_oil,c_n_gpal,05-norte,11-laguna,
lerdo_u2,operational,termoelectric,fuel_oil,c_n_gpal,05-norte,11-laguna,
norte_ii,operational,combined_cycle,natural_gas,zzon_nort,05-norte,09-chihuahua,
norte,operational,combined_cycle,natural_gas,zzon_nort,05-norte,10-durango,
parque_u2,operational,turbogas,diesel,d_naciona,05-norte,07-juarez,
parque_u3,operational,turbogas,diesel,d_naciona,05-norte,07-juarez,
parque_u4,operational,turbogas,diesel,d_naciona,05-norte,07-juarez,
samalayuca_ii,operational,combined_cycle,natural_gas,zzon_nort,05-norte,07-juarez,
samalayuca_u1,operational,termoelectric,fuel_oil,c_n_sama,05-norte,07-juarez,
samalayuca_u2,operational,termoelectric,fuel_oil,c_n_sama,05-norte,07-juarez,
transalta_chihuahua_iii,operational,combined_cycle,natural_gas,zzon_nort,05-norte,07-juarez,
penitas,operational,hydroelectric,,,02-oriental,38-tabasco,
temascal,operational,hydroelectric,,,02-oriental,36-temascal,
culiacan,operational,turbogas,diesel,d_naciona,04-noroeste,05-culiacan,
villita,operational,hydroelectric,,,03-occidental,29-lazaro_cardenas,
zimapan,operational,hydroelectric,,,03-occidental,30-queretaro,
fuerza_y_energia_de_hermosillo,operational,combined_cycle,natural_gas,zzon_noro,04-noroeste,01-hermosillo,
guaymas_ii_u1,operational,termoelectric,fuel_oil,c_n_guay,04-noroeste,03-obregon,
guaymas_ii_u2,operational,termoelectric,fuel_oil,c_n_guay,04-noroeste,03-obregon,
guaymas_ii_u3,operational,termoelectric,fuel_oil,c_n_guay,04-noroeste,03-obregon,
guaymas_ii_u4,operational,termoelectric,fuel_oil,c_n_guay,04-noroeste,03-obregon,
hermosillo,operational,combined_cycle,natural_gas,zzon_noro,04-noroeste,01-hermosillo,
agua_prieta,operational,hydroelectric,,,03-occidental,23-guadalajara,
mazatepec,operational,hydroelectric,,,02-oriental,32-poza_rica,
industrial_caborca_u1,operational,turbogas,diesel,d_naciona,04-noroeste,01-hermosillo,
industrial_caborca_u2,operational,turbogas,diesel,d_naciona,04-noroeste,01-hermosillo,
