central/proyect,type,technology,fuel,fuel_code,load_area,balancing_area,intalation_year
cipres_tg,en_operacion,turbogas,diesel,d_bcn,08-baja_california,47-ensenada,
mexicali,en_operacion,ciclo_combinado,natural_gas,g_i_noro,08-baja_california,48-mexicali,
mexicali_tg_1,en_operacion,turbogas,diesel,d_bcn,08-baja_california,48-mexicali,
mexicali_tg_2,en_operacion,turbogas,diesel,d_bcn,08-baja_california,48-mexicali,
mexicali_tg_3,en_operacion,turbogas,diesel,d_bcn,08-baja_california,48-mexicali,
presidente_juarez_rosarito,en_operacion,ciclo_combinado,natural_gas,g_i_noro,08-baja_california,46-tijuana,
presidente_juarez_rosarito5_tc,en_operacion,termoelectrica_convencional,fuel_oil,c_n_vizc,08-baja_california,46-tijuana,
presidente_juarez_rosarito6_tc,en_operacion,termoelectrica_convencional,fuel_oil,c_n_vizc,08-baja_california,46-tijuana,
tijuana_1_tg,en_operacion,turbogas,natural_gas,g_i_jovibn,08-baja_california,46-tijuana,
tijuana_2_tg,en_operacion,turbogas,natural_gas,g_i_jovibn,08-baja_california,46-tijuana,
tijuana_3_tg_150mw,en_operacion,turbogas,natural_gas,g_i_jovibn,08-baja_california,46-tijuana,
tijuana_tg_central,en_operacion,turbogas,natural_gas,g_i_jovibn,08-baja_california,46-tijuana,
baja_california_sur_i,en_operacion,combustion_interna,fuel_oil,c_n_chih,09-baja_california_sur-la_paz,51-la_paz,
ciudad_constitucion,en_operacion,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,50-villa_constitucion,
guerrero_negro,en_operacion,turbogas,diesel,d_bcn,10-baja_california_sur-mulege,53-mulege,
guerrero_negro_ii,en_operacion,combustion_interna,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
la_paz_tg1,en_operacion,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,51-la_paz,
la_paz_tg2,en_operacion,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,51-la_paz,
los_cabos_cfe_25000,en_operacion,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,52-los_cabos,
los_cabos_cfe_30000,en_operacion,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,52-los_cabos,
los_cabos_1_tg,en_operacion,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,52-los_cabos,
los_cabos_2_tg,en_operacion,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,52-los_cabos,
los_cabos_3_tg,en_operacion,turbogas,diesel,d_bcn,09-baja_california_sur-la_paz,52-los_cabos,
punta_prieta_ii_u1,en_operacion,termoelectrica_convencional,diesel,d_bcn,09-baja_california_sur-la_paz,51-la_paz,
punta_prieta_ii_u2,en_operacion,termoelectrica_convencional,diesel,d_bcn,09-baja_california_sur-la_paz,51-la_paz,
punta_prieta_ii_u3,en_operacion,termoelectrica_convencional,diesel,d_bcn,09-baja_california_sur-la_paz,51-la_paz,
san_carlos_u1,en_operacion,combustion_interna,fuel_oil,c_n_chih,09-baja_california_sur-la_paz,50-villa_constitucion,
san_carlos_u2,en_operacion,combustion_interna,fuel_oil,c_n_chih,09-baja_california_sur-la_paz,50-villa_constitucion,
san_carlos_u3,en_operacion,combustion_interna,fuel_oil,c_n_chih,09-baja_california_sur-la_paz,50-villa_constitucion,
santa_rosalia_u1_u2,en_operacion,combustion_interna,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
santa_rosalia_u3_ci,en_operacion,combustion_interna,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
santa_rosalia_u4_ci,en_operacion,combustion_interna,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
santa_rosalia_u5_ci,en_operacion,combustion_interna,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
u_movil,en_operacion,combustion_interna,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
aragon,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
atenco_lyfc,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
coapa,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
coyotepec,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
cuautitlan_lyfc,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
ecatepec_lyfc,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
iztapalapa_lyfc,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
magdalena,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
nonoalco_lyfc_u1,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
nonoalco_lyfc_u2,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
nonoalco_lyfc_u3,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
remedios_lyfc,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
santa_cruz,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
tula,en_operacion,ciclo_combinado,natural_gas,g,01-central,31-central,
tula_tc_u1,en_operacion,termoelectrica_convencional,fuel_oil,c_n_tula,01-central,31-central,
tula_tc_u2,en_operacion,termoelectrica_convencional,fuel_oil,c_n_tula,01-central,31-central,
tula_tc_u3,en_operacion,termoelectrica_convencional,fuel_oil,c_n_tula,01-central,31-central,
tula_tc_u4,en_operacion,termoelectrica_convencional,fuel_oil,c_n_tula,01-central,31-central,
tula_tc_u5,en_operacion,termoelectrica_convencional,fuel_oil,c_n_tula,01-central,31-central,
valle_de_mexico,en_operacion,ciclo_combinado,natural_gas,g,01-central,31-central,
valle_de_mexico_tc_u1,en_operacion,termoelectrica_convencional,fuel_oil,c_n_tula,01-central,31-central,
valle_de_mexico_tc_u2,en_operacion,termoelectrica_convencional,fuel_oil,c_n_tula,01-central,31-central,
valle_de_mexico_tc_u3,en_operacion,termoelectrica_convencional,fuel_oil,c_n_tula,01-central,31-central,
vallejo_lyfc,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
victoria_lyfc,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
villa_de_las_flores_lyfc,en_operacion,turbogas,natural_gas,g_central,01-central,31-central,
guerrero_negro_ii_tgmovil,en_operacion,turbogas,diesel,d_bcn,10-baja_california_sur-mulege,53-mulege,
u_movil_cfe-ume,en_operacion,turbogas,diesel,d_bcn,10-baja_california_sur-mulege,53-mulege,
u_movil_de_emergencia_ume-18,en_operacion,combustion_interna,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
u_movil_de_emergencia_ume-19,en_operacion,combustion_interna,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
u_movil_de_emergencia_ume-20,en_operacion,combustion_interna,fuel_oil,c_n_vizc,10-baja_california_sur-mulege,53-mulege,
vizcaino,en_operacion,turbogas,diesel,d_bcn,10-baja_california_sur-mulege,53-mulege,
chavez_u1,en_operacion,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
chavez_u2,en_operacion,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
chihuahua_ii,en_operacion,ciclo_combinado,natural_gas,zzon_nort,05-norte,09-chihuahua,
francisco_villa_u4,en_operacion,termoelectrica_convencional,fuel_oil,c_n_chih,05-norte,09-chihuahua,
francisco_villa_u5,en_operacion,termoelectrica_convencional,fuel_oil,c_n_chih,05-norte,09-chihuahua,
gomez_palacio,en_operacion,ciclo_combinado,natural_gas,zzon_nort,05-norte,11-laguna,
industrial_juarez,en_operacion,turbogas,natural_gas,zzon_nort,05-norte,07-juarez,
la_laguna_ii,en_operacion,ciclo_combinado,natural_gas,zzon_nort,05-norte,11-laguna,
la_laguna_u1_tg,en_operacion,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
la_laguna_u2_tg,en_operacion,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
la_laguna_u3_tg,en_operacion,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
la_laguna_u4_tg,en_operacion,turbogas,natural_gas,zzon_nort,05-norte,11-laguna,
lerdo_u1,en_operacion,termoelectrica_convencional,fuel_oil,c_n_gpal,05-norte,11-laguna,
lerdo_u2,en_operacion,termoelectrica_convencional,fuel_oil,c_n_gpal,05-norte,11-laguna,
