load_area,fuel,year,fuel_cost
00-autoabasto_local,natural_gas,2016,4.0533134481428572
00-autoabasto_local,natural_gas,2017,4.5555544674285713
00-autoabasto_local,natural_gas,2018,4.3945755192857145
00-autoabasto_local,natural_gas,2019,4.6221426246428567
00-autoabasto_local,natural_gas,2020,4.7418157204285709
00-autoabasto_local,natural_gas,2021,4.8473941887142846
00-autoabasto_local,natural_gas,2022,4.9529721682857133
00-autoabasto_local,natural_gas,2023,5.0057611581428576
00-autoabasto_local,natural_gas,2024,5.0585506365714279
00-autoabasto_local,natural_gas,2025,5.1113396263571422
00-autoabasto_local,natural_gas,2026,5.1641291048571434
00-autoabasto_local,natural_gas,2027,5.2169185832857154
00-autoabasto_local,natural_gas,2028,5.2697070844285721
00-autoabasto_local,natural_gas,2029,5.3224965629285714
00-autoabasto_local,natural_gas,2030,5.3752855527142867
00-autoabasto_local,diesel,2016,76.434388400000003
00-autoabasto_local,diesel,2017,91.908551726666659
00-autoabasto_local,diesel,2018,95.684058253333319
00-autoabasto_local,diesel,2019,98.978022593333321
00-autoabasto_local,diesel,2020,101.08708816000001
00-autoabasto_local,diesel,2021,102.96517043333334
00-autoabasto_local,diesel,2022,104.94654759999999
00-autoabasto_local,diesel,2023,107.29198273333333
00-autoabasto_local,diesel,2024,111.30722126666666
00-autoabasto_local,diesel,2025,113.82225896666667
00-autoabasto_local,diesel,2026,115.32723883333334
00-autoabasto_local,diesel,2027,116.70153363333334
00-autoabasto_local,diesel,2028,117.86895063333333
00-autoabasto_local,diesel,2029,118.816289
00-autoabasto_local,diesel,2030,119.76267773333332
00-autoabasto_local,fuel_oil,2016,35.035902450000002
00-autoabasto_local,fuel_oil,2017,49.069670500000008
00-autoabasto_local,fuel_oil,2018,52.289953490909085
00-autoabasto_local,fuel_oil,2019,55.180188767272739
00-autoabasto_local,fuel_oil,2020,56.908049050000002
00-autoabasto_local,fuel_oil,2021,58.209774478181821
00-autoabasto_local,fuel_oil,2022,59.433728936363643
00-autoabasto_local,fuel_oil,2023,60.668651713636365
00-autoabasto_local,fuel_oil,2024,61.756900582727276
00-autoabasto_local,fuel_oil,2025,62.666941496363641
00-autoabasto_local,fuel_oil,2026,63.998244772727276
00-autoabasto_local,fuel_oil,2027,65.231530472727272
00-autoabasto_local,fuel_oil,2028,66.55310727454544
00-autoabasto_local,fuel_oil,2029,67.896540590909083
00-autoabasto_local,fuel_oil,2030,69.204233001818167
01-hermosillo,natural_gas,2016,4.7755802139999997
01-hermosillo,natural_gas,2017,5.2720286649999997
01-hermosillo,natural_gas,2018,5.1642419010000005
01-hermosillo,natural_gas,2019,5.3891843740000001
01-hermosillo,natural_gas,2020,5.5074772270000008
01-hermosillo,natural_gas,2021,5.6118380120000007
01-hermosillo,natural_gas,2022,5.7161983139999997
01-hermosillo,natural_gas,2023,5.7683784649999996
01-hermosillo,natural_gas,2024,5.8205590989999996
01-hermosillo,natural_gas,2025,5.8727392500000004
01-hermosillo,natural_gas,2026,5.9249198839999995
01-hermosillo,natural_gas,2027,5.9771005179999994
01-hermosillo,natural_gas,2028,6.0292801860000003
01-hermosillo,natural_gas,2029,6.0814608200000002
01-hermosillo,natural_gas,2030,6.1336409710000002
01-hermosillo,diesel,2016,75.145765940000004
01-hermosillo,diesel,2017,90.359047290000007
01-hermosillo,diesel,2018,94.070901809999995
01-hermosillo,diesel,2019,97.309332549999993
01-hermosillo,diesel,2020,99.382840979999997
01-hermosillo,diesel,2021,101.22926030000001
01-hermosillo,diesel,2022,103.177233
01-hermosillo,diesel,2023,105.483126
01-hermosillo,diesel,2024,109.43067079999999
01-hermosillo,diesel,2025,111.90330700000001
01-hermosillo,diesel,2026,113.38291409999998
01-hermosillo,diesel,2027,114.73403940000001
01-hermosillo,diesel,2028,115.88177469999999
01-hermosillo,diesel,2029,116.81314170000002
01-hermosillo,diesel,2030,117.74357509999999
01-hermosillo,fuel_oil,2016,36.775171929999999
01-hermosillo,fuel_oil,2017,50.716856389999997
01-hermosillo,fuel_oil,2018,53.915895079999999
01-hermosillo,fuel_oil,2019,56.787111459999998
01-hermosillo,fuel_oil,2020,58.503530670000004
01-hermosillo,fuel_oil,2021,59.79648976
01-hermosillo,fuel_oil,2022,61.012092119999998
01-hermosillo,fuel_oil,2023,62.238411990000003
01-hermosillo,fuel_oil,2024,63.318089720000003
01-hermosillo,fuel_oil,2025,64.221391249999996
01-hermosillo,fuel_oil,2026,65.543940269999993
01-hermosillo,fuel_oil,2027,66.769126349999993
01-hermosillo,fuel_oil,2028,68.082178780000007
01-hermosillo,fuel_oil,2029,69.417068389999997
01-hermosillo,fuel_oil,2030,70.716432069999996
02-cananea,natural_gas,2016,4.7755802139999997
02-cananea,natural_gas,2017,5.2720286649999997
02-cananea,natural_gas,2018,5.1642419010000005
02-cananea,natural_gas,2019,5.3891843740000001
02-cananea,natural_gas,2020,5.5074772270000008
02-cananea,natural_gas,2021,5.6118380120000007
02-cananea,natural_gas,2022,5.7161983139999997
02-cananea,natural_gas,2023,5.7683784649999996
02-cananea,natural_gas,2024,5.8205590989999996
02-cananea,natural_gas,2025,5.8727392500000004
02-cananea,natural_gas,2026,5.9249198839999995
02-cananea,natural_gas,2027,5.9771005179999994
02-cananea,natural_gas,2028,6.0292801860000003
02-cananea,natural_gas,2029,6.0814608200000002
02-cananea,natural_gas,2030,6.1336409710000002
02-cananea,fuel_oil,2016,37.217605550000002
02-cananea,fuel_oil,2017,51.237206899999997
02-cananea,fuel_oil,2018,54.454221529999998
02-cananea,fuel_oil,2019,57.341530820000003
02-cananea,fuel_oil,2020,59.067630940000001
02-cananea,fuel_oil,2021,60.368007700000007
02-cananea,fuel_oil,2022,61.590677220000003
02-cananea,fuel_oil,2023,62.824276480000002
02-cananea,fuel_oil,2024,63.911206710000002
02-cananea,fuel_oil,2025,64.820210790000004
02-cananea,fuel_oil,2026,66.150167260000003
02-cananea,fuel_oil,2027,67.382206870000005
02-cananea,fuel_oil,2028,68.702472229999998
02-cananea,fuel_oil,2029,70.044591130000001
02-cananea,fuel_oil,2030,71.351002190000003
03-obregon,natural_gas,2016,4.7755802139999997
03-obregon,natural_gas,2017,5.2720286649999997
03-obregon,natural_gas,2018,5.1642419010000005
03-obregon,natural_gas,2019,5.3891843740000001
03-obregon,natural_gas,2020,5.5074772270000008
03-obregon,natural_gas,2021,5.6118380120000007
03-obregon,natural_gas,2022,5.7161983139999997
03-obregon,natural_gas,2023,5.7683784649999996
03-obregon,natural_gas,2024,5.8205590989999996
03-obregon,natural_gas,2025,5.8727392500000004
03-obregon,natural_gas,2026,5.9249198839999995
03-obregon,natural_gas,2027,5.9771005179999994
03-obregon,natural_gas,2028,6.0292801860000003
03-obregon,natural_gas,2029,6.0814608200000002
03-obregon,natural_gas,2030,6.1336409710000002
03-obregon,diesel,2016,75.145765940000004
03-obregon,diesel,2017,90.359047290000007
03-obregon,diesel,2018,94.070901809999995
03-obregon,diesel,2019,97.309332549999993
03-obregon,diesel,2020,99.382840979999997
03-obregon,diesel,2021,101.22926030000001
03-obregon,diesel,2022,103.177233
03-obregon,diesel,2023,105.483126
03-obregon,diesel,2024,109.43067079999999
03-obregon,diesel,2025,111.90330700000001
03-obregon,diesel,2026,113.38291409999998
03-obregon,diesel,2027,114.73403940000001
03-obregon,diesel,2028,115.88177469999999
03-obregon,diesel,2029,116.81314170000002
03-obregon,diesel,2030,117.74357509999999
03-obregon,fuel_oil,2016,36.378860189999997
03-obregon,fuel_oil,2017,50.320544640000001
03-obregon,fuel_oil,2018,53.519583330000003
03-obregon,fuel_oil,2019,56.390799710000003
03-obregon,fuel_oil,2020,58.107218930000002
03-obregon,fuel_oil,2021,59.400178009999998
03-obregon,fuel_oil,2022,60.615780370000003
