project_name,gen_tech,balancing_area,full_load_heat_rate,connect_cost_per_mw,variable_o_m,forced_outage_rate,scheduled_outage_rate,capacity_limit_mw,start_year,capacity_mw,overnight_cost,fixed_o_m,project_id,being_built,fuel_code,fuel_oil,load_zone
cerro_prieto_i_u5,geothermal,08-baja_california,0.0,0,0.06,,14.1,30.0,,28.2,2261.0,111.839,1,operational,,,48-mexicali
cerro_prieto_ii_central,geothermal,08-baja_california,0.0,0,0.06,,14.1,220.0,,206.6,2261.0,111.839,2,operational,,,48-mexicali
cerro_prieto_iii_central,geothermal,08-baja_california,0.0,0,0.06,,14.1,220.0,,206.6,2261.0,111.839,3,operational,,,48-mexicali
cerro_prieto_iv_central,geothermal,08-baja_california,0.0,0,0.06,,14.1,100.0,,93.9,2261.0,111.839,4,operational,,,48-mexicali
cerro_prieto_fotovoltaica,solar,08-baja_california,0.0,0,0.0,,0.0,5.0,,5.0,2128.0,19.0,5,operational,,,48-mexicali
cipres_tg,gas_turbine_diesel,08-baja_california,18.2,0,3.08,,5.5,27.43,,26.7,1035.0,20.058,6,operational,d_bcn,diesel,47-ensenada
mexicali,combined_cycle_natural_gas,08-baja_california,7.9,0,2.73,,7.7,489.0,,474.8,765.0,15.471,7,operational,g_i_noro,natural_gas,48-mexicali
mexicali_tg_1,gas_turbine_diesel,08-baja_california,22.3,0,3.08,,5.5,26.0,,25.4,1035.0,20.058,8,operational,d_bcn,diesel,48-mexicali
mexicali_tg_2,gas_turbine_diesel,08-baja_california,22.3,0,3.08,,5.5,18.0,,17.6,1035.0,20.058,9,operational,d_bcn,diesel,48-mexicali
mexicali_tg_3,gas_turbine_diesel,08-baja_california,22.3,0,3.08,,5.5,18.0,,17.6,1035.0,20.058,10,operational,d_bcn,diesel,48-mexicali
presidente_juarez_rosarito,combined_cycle_natural_gas,08-baja_california,11.0,0,2.77,,7.7,773.0,,749.0,785.0,15.741,11,operational,g_i_noro,natural_gas,46-tijuana
presidente_juarez_rosarito5_tc,thermal_fuel_oil,08-baja_california,11.0,0,3.13,,7.1,160.0,,149.8,1607.0,35.183,12,operational,c_n_vizc,fuel_oil,46-tijuana
presidente_juarez_rosarito6_tc,thermal_fuel_oil,08-baja_california,11.0,0,3.13,,7.1,160.0,,149.8,1607.0,35.183,13,operational,c_n_vizc,fuel_oil,46-tijuana
tijuana_1_tg,gas_turbine_natural_gas,08-baja_california,10.8,0,3.19,,5.5,30.0,,29.3,1059.0,28.477,14,operational,g_i_jovibn,natural_gas,46-tijuana
tijuana_2_tg,gas_turbine_natural_gas,08-baja_california,10.8,0,3.19,,5.5,30.0,,29.3,1059.0,28.477,15,operational,g_i_jovibn,natural_gas,46-tijuana
tijuana_3_tg_150mw,gas_turbine_natural_gas,08-baja_california,10.8,0,3.2,,5.5,150.0,,148.4,573.0,7.102,16,operational,g_i_jovibn,natural_gas,46-tijuana
tijuana_tg_central,gas_turbine_natural_gas,08-baja_california,10.8,0,4.12,,5.5,135.0,,133.5,1063.0,35.183,17,operational,g_i_jovibn,natural_gas,46-tijuana
baja_california_sur_i,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,10.3,0,8.01,,7.4,162.7,,156.8,2706.0,61.852,18,operational,c_n_chih,fuel_oil,51-la_paz
ciudad_constitucion,gas_turbine_diesel,09-baja_california_sur-la_paz,19.2,0,3.08,,5.5,33.22,,32.4,1035.0,20.058,19,operational,d_bcn,diesel,50-villa_constitucion
guerrero_negro,gas_turbine_diesel,10-baja_california_sur-mulege,27.8,0,3.08,,5.5,12.5,,12.2,1035.0,20.058,20,operational,d_bcn,diesel,53-mulege
guerrero_negro_ii,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,0,3.16,,7.4,10.8,,9.9,2960.0,28.044,21,operational,c_n_vizc,fuel_oil,53-mulege
la_paz_tg1,gas_turbine_diesel,09-baja_california_sur-la_paz,18.2,0,3.08,,5.5,18.0,,17.6,1035.0,20.058,22,operational,d_bcn,diesel,51-la_paz
la_paz_tg2,gas_turbine_diesel,09-baja_california_sur-la_paz,18.2,0,3.08,,5.5,25.0,,24.4,1035.0,20.058,23,operational,d_bcn,diesel,51-la_paz
los_cabos_cfe_25000,gas_turbine_diesel,09-baja_california_sur-la_paz,9.6,0,3.08,,5.5,75.0,,74.1,1035.0,20.058,24,operational,d_bcn,diesel,52-los_cabos
los_cabos_cfe_30000,gas_turbine_diesel,09-baja_california_sur-la_paz,11.4,0,3.08,,5.5,104.0,,102.8,1035.0,20.058,25,operational,d_bcn,diesel,52-los_cabos
los_cabos_1_tg,gas_turbine_diesel,09-baja_california_sur-la_paz,18.1,0,3.08,,5.5,30.0,,29.3,1035.0,20.058,26,operational,d_bcn,diesel,52-los_cabos
