project_name,gen_tech,balancing_area,full_load_heat_rate_gj/mw,full_load_heat_rate,connect_cost_per_mw,scheduled_outage_rate,forced_outage_rate,capacity_limit_mw,start_year,capacity_mw,dbid,being_built,fuel_code,fuel_oil,load_zone,variables,capacity_factor
cerro_prieto_i_u5,geothermal,08-baja_california,0,0,0,5.12,14.1,30,,28.17,1,operational,,,48-mexicali,0.06,0.939
cerro_prieto_ii_central,geothermal,08-baja_california,0,0,0,5.12,14.1,220,,206.58,2,operational,,,48-mexicali,0.06,0.939
cerro_prieto_iii_central,geothermal,08-baja_california,0,0,0,5.12,14.1,220,,206.58,3,operational,,,48-mexicali,0.06,0.939
cerro_prieto_iv_central,geothermal,08-baja_california,0,0,0,5.12,14.1,100,,93.9,4,operational,,,48-mexicali,0.06,0.939
cerro_prieto_fotovoltaica,solar,08-baja_california,0,0,0,0,0,5,,5,5,operational,,,48-mexicali,0,1
cipres_tg,gas_turbine_diesel,08-baja_california,18.2,17.25118483,0,9.22,5.5,27.43,,26.74,6,operational,d_bcn,diesel,47-ensenada,3.19,0.97484506
mexicali,combined_cycle_natural_gas,08-baja_california,7.9,7.488151659,0,6.96,7.7,489,,474.82,7,operational,g_i_noro,natural_gas,48-mexicali,2.72,0.971002045
mexicali_tg_1,gas_turbine_diesel,08-baja_california,22.3,21.13744076,0,9.22,5.5,26,,25.35,8,operational,d_bcn,diesel,48-mexicali,3.19,0.975
mexicali_tg_2,gas_turbine_diesel,08-baja_california,22.3,21.13744076,0,9.22,5.5,18,,17.55,9,operational,d_bcn,diesel,48-mexicali,3.19,0.975
mexicali_tg_3,gas_turbine_diesel,08-baja_california,22.3,21.13744076,0,9.22,5.5,18,,17.55,10,operational,d_bcn,diesel,48-mexicali,3.19,0.975
presidente_juarez_rosarito,combined_cycle_natural_gas,08-baja_california,11,10.42654028,0,6.96,7.7,773,,749.04,11,operational,g_i_noro,natural_gas,46-tijuana,2.77,0.969003881
presidente_juarez_rosarito5_tc,thermal_fuel_oil,08-baja_california,11,10.42654028,0,11.44,7.1,160,,149.76,12,operational,c_n_vizc,fuel_oil,46-tijuana,3.13,0.936
presidente_juarez_rosarito6_tc,thermal_fuel_oil,08-baja_california,11,10.42654028,0,11.44,7.1,160,,149.76,13,operational,c_n_vizc,fuel_oil,46-tijuana,3.13,0.936
tijuana_1_tg,gas_turbine_natural_gas,08-baja_california,10.8,10.23696682,0,9.22,5.5,30,,29.25,14,operational,g_i_jovibn,natural_gas,46-tijuana,3.19,0.975
tijuana_2_tg,gas_turbine_natural_gas,08-baja_california,10.8,10.23696682,0,9.22,5.5,30,,29.25,15,operational,g_i_jovibn,natural_gas,46-tijuana,3.19,0.975
tijuana_3_tg_150mw,gas_turbine_natural_gas,08-baja_california,10.8,10.23696682,0,9.22,5.5,150,,148.35,16,operational,g_i_jovibn,natural_gas,46-tijuana,3.2,0.989
tijuana_tg_central,gas_turbine_natural_gas,08-baja_california,10.8,10.23696682,0,9.22,5.5,135,,133.52,17,operational,g_i_jovibn,natural_gas,46-tijuana,3.2,0.989037037
baja_california_sur_i,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,10.3,9.763033175,0,11.23,7.4,162.7,,156.84,18,operational,c_n_chih,fuel_oil,51-la_paz,8.01,0.96398279
ciudad_constitucion,gas_turbine_diesel,09-baja_california_sur-la_paz,19.2,18.19905213,0,9.22,5.5,33.22,,32.39,19,operational,d_bcn,diesel,50-villa_constitucion,3.19,0.975015051
guerrero_negro,gas_turbine_diesel,10-baja_california_sur-mulege,27.8,26.3507109,0,9.22,5.5,12.5,,12.19,20,operational,d_bcn,diesel,53-mulege,3.19,0.9752
guerrero_negro_ii,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,9.763033175,0,11.23,7.4,10.8,,9.88,21,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.914814815
la_paz_tg1,gas_turbine_diesel,09-baja_california_sur-la_paz,18.2,17.25118483,0,9.22,5.5,18,,17.55,22,operational,d_bcn,diesel,51-la_paz,3.19,0.975
la_paz_tg2,gas_turbine_diesel,09-baja_california_sur-la_paz,18.2,17.25118483,0,9.22,5.5,25,,24.38,23,operational,d_bcn,diesel,51-la_paz,3.19,0.9752
los_cabos_cfe_25000,gas_turbine_diesel,09-baja_california_sur-la_paz,9.6,9.099526066,0,9.22,5.5,75,,74.1,24,operational,d_bcn,diesel,52-los_cabos,4.19,0.988
los_cabos_cfe_30000,gas_turbine_diesel,09-baja_california_sur-la_paz,11.4,10.8056872,0,9.22,5.5,104,,102.75,25,operational,d_bcn,diesel,52-los_cabos,4.19,0.987980769
los_cabos_1_tg,gas_turbine_diesel,09-baja_california_sur-la_paz,18.1,17.1563981,0,9.22,5.5,30,,29.25,26,operational,d_bcn,diesel,52-los_cabos,3.19,0.975
los_cabos_2_tg,gas_turbine_diesel,09-baja_california_sur-la_paz,18.1,17.1563981,0,9.22,5.5,27.43,,26.74,27,operational,d_bcn,diesel,52-los_cabos,3.19,0.97484506
los_cabos_3_tg,gas_turbine_diesel,09-baja_california_sur-la_paz,18.1,17.1563981,0,9.22,5.5,27.23,,26.55,28,operational,d_bcn,diesel,52-los_cabos,3.19,0.975027543
punta_prieta_ii_u1,thermal_diesel,09-baja_california_sur-la_paz,12,11.37440758,0,11.44,7.1,37.5,,35.14,29,operational,d_bcn,diesel,51-la_paz,3.94,0.937066667
punta_prieta_ii_u2,thermal_diesel,09-baja_california_sur-la_paz,12,11.37440758,0,11.44,7.1,37.5,,35.14,30,operational,d_bcn,diesel,51-la_paz,3.94,0.937066667
punta_prieta_ii_u3,thermal_diesel,09-baja_california_sur-la_paz,12,11.37440758,0,11.44,7.1,37.5,,35.14,31,operational,d_bcn,diesel,51-la_paz,3.94,0.937066667
san_carlos_u1,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,8.4,7.962085308,0,11.23,7.4,31.5,,30.37,32,operational,c_n_chih,fuel_oil,50-villa_constitucion,8.01,0.964126984
san_carlos_u2,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,8.4,7.962085308,0,11.23,7.4,31.5,,30.37,33,operational,c_n_chih,fuel_oil,50-villa_constitucion,8.01,0.964126984
san_carlos_u3,internal_combustion_fuel_oil,09-baja_california_sur-la_paz,8.4,7.962085308,0,11.23,7.4,41.13,,39.64,34,operational,c_n_chih,fuel_oil,50-villa_constitucion,8.01,0.963773401
santa_rosalia_u1_u2,internal_combustion_fuel_oil,10-baja_california_sur-mulege,10.3,9.763033175,0,11.23,7.4,2.6,,2.38,35,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.915384615
santa_rosalia_u3_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.4,14.5971564,0,11.23,7.4,1.2,,1.1,36,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.916666667
santa_rosalia_u4_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.4,14.5971564,0,11.23,7.4,1.2,,1.1,37,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.916666667
santa_rosalia_u5_ci,internal_combustion_fuel_oil,10-baja_california_sur-mulege,15.4,14.5971564,0,11.23,7.4,2.8,,2.56,38,operational,c_n_vizc,fuel_oil,53-mulege,3.16,0.914285714
