project_name,gen_tech,balancing_area,full_load_heat_rate,connect_cost_per_mw,scheduled_outage_rate,forced_outage_rate,capacity_limit_mw,capacity_mw,dbid,being_built,fuel_code,fuel_oil,load_zone,variables,capacity_factor,start_year,fixed_o_m,variable_o_m,overnight_cost,real_name
cerro_prieto_i_u5,geothermal,08-baja_california,0,99048.565,0.0512,0.141,30,28.17,1,operational,,,48-mexicali,0.06,0.939,2015,87118,0.06,2038100,cerro_prieto_i
cerro_prieto_ii_central,geothermal,08-baja_california,0,99048.565,0.0512,0.141,220,206.58,2,operational,,,48-mexicali,0.06,0.939,2015,87118,0.06,2038100,cerro_prieto_ii_central
cerro_prieto_iii_central,geothermal,08-baja_california,0,99048.565,0.0512,0.141,220,206.58,3,operational,,,48-mexicali,0.06,0.939,2015,87118,0.06,2038100,cerro_prieto_iii_central
cerro_prieto_iv_central,geothermal,08-baja_california,0,99048.565,0.0512,0.141,100,93.9,4,operational,,,48-mexicali,0.06,0.939,2015,87118,0.06,2038100,cerro_prieto_iv_central
cerro_prieto_fotovoltaica,solar,08-baja_california,0,99048.565,0,0,5,5,5,operational,,,48-mexicali,0,1,2015,19000,0,2353000,cerro_prieto_fotovoltaica
cipres_tg,gas_turbine_diesel,08-baja_california,16.35096625,99048.565,0.0922,0.055,27.43,26.74,6,operational,d_bcn,diesel,47-ensenada,3.19,0.97484506,2015,20058,3.432,1085000,cipres_tg
mexicali,combined_cycle_natural_gas,08-baja_california,7.097397441,99048.565,0.0696,0.077,489,474.82,7,operational,g_i_noro,natural_gas,48-mexicali,2.72,0.971002045,2015,16024.8,3.05,910280,mexicali
mexicali_tg_1,gas_turbine_diesel,08-baja_california,20.03442569,99048.565,0.0922,0.055,26,25.35,8,operational,d_bcn,diesel,48-mexicali,3.19,0.975,2015,20058,3.432,1085000,mexicali_tg_1
mexicali_tg_2,gas_turbine_diesel,08-baja_california,20.03442569,99048.565,0.0922,0.055,18,17.55,9,operational,d_bcn,diesel,48-mexicali,3.19,0.975,2015,20058,3.432,1085000,mexicali_tg_2
mexicali_tg_3,gas_turbine_diesel,08-baja_california,20.03442569,99048.565,0.0922,0.055,18,17.55,10,operational,d_bcn,diesel,48-mexicali,3.19,0.975,2015,20058,3.432,1085000,mexicali_tg_3
presidente_juarez_rosarito,combined_cycle_natural_gas,08-baja_california,9.882452129,99048.565,0.0696,0.077,773,749.04,11,operational,g_i_noro,natural_gas,46-tijuana,2.77,0.969003881,2015,16024.8,3.05,910280,presidente_juarez_rosarito
presidente_juarez_rosarito5_tc,thermal_fuel_oil,08-baja_california,9.882452129,99048.565,0.1144,0.071,160,149.76,12,operational,c_n_vizc,fuel_oil,46-tijuana,3.13,0.936,2015,32104.6,2.688,1728420,presidente_juarez_rosarito5_tc
