,capacity_mw,variable_o_m,fixed_o_m,overnight_cost
gas_turbine_diesel,44,3.08,20.058,1035
nuclear_uranium,1200,2.25,98.09,4746
nuclear_uranium,1400,2.25,98,3983
internal_combustion_fuel_oil,44,8.01,61.852,2706
internal_combustion_fuel_oil,3.6,3.16,28.044,2960
internal_combustion_natural_gas,44,8.01,61.852,2706
internal_combustion_natural_gas,3.6,3.16,28.044,2960
internal_combustion_diesel,44,8.01,61.852,2706
internal_combustion_diesel,3.6,3.16,28.044,2960
combined_cycle_natural_gas,114.4,4.43,24.585,1404
combined_cycle_natural_gas,285.7,3.02,17.314,834
combined_cycle_natural_gas,575.1,2.96,16.98,807
combined_cycle_natural_gas,864.6,2.88,16.367,805
combined_cycle_natural_gas,408.5,2.73,15.553,777
combined_cycle_natural_gas,823.8,2.77,15.741,785
combined_cycle_natural_gas,413.4,2.73,15.471,765
combined_cycle_natural_gas,833.6,2.73,15.512,772
combined_cycle_natural_gas,4609,2.72,15.38,767
combined_cycle_natural_gas,929.7,2.69,15.029,764
geothermal,27,0.06,111.839,2261
geothermal,26.6,0.06,87.118,1821
thermal_natural_gas,350,2.2,28.477,1309
thermal_natural_gas,160,3.13,35.183,1607
thermal_natural_gas,80,3.94,44.254,2018
thermal_diesel,350,2.2,28.477,1309
thermal_diesel,160,3.13,35.183,1607
thermal_diesel,80,3.94,44.254,2018
thermal_fuel_oil,350,2.2,28.477,1309
thermal_fuel_oil,160,3.13,35.183,1607
thermal_fuel_oil,80,3.94,44.254,2018
gas_turbine_natural_gas,44.7,3.19,28.477,1059
gas_turbine_natural_gas,103.5,4.12,35.183,1063
gas_turbine_natural_gas,88.8,4.19,8.517,755
gas_turbine_natural_gas,186.5,3.2,7.102,573
gas_turbine_natural_gas,275.6,3.04,6.749,495
gas_turbine_natural_gas,280.4,3.01,6.639,490
gas_turbine_natural_gas,319,3.13,6.44,510
eolic,2,0,24.963,1836
solar,60,0,19,2128
carboelectric_coal,350,2.38,32.883,1392
carboelectric_coal,700,2.46,33.863,1425
hydroelectric,375,0,25.244,1173
hydroelectric,8102,0,17.846,1586
hydroelectric,35.5,0,30.576,2891
fluidized_bed_coal,350,2.53,35.219,1757
cogen_diesel,710,7.58,65.46,2912
cogen_diesel,711.3,8.62,76.58,3084
cogen_diesel,694,7.58,65.46,3011
cogen_diesel,653,8.62,76.58,3290
cogen_diesel,299.1,3.05,17.017,866
cogen_fuel_oil,710,7.58,65.46,2912
cogen_fuel_oil,711.3,8.62,76.58,3084
cogen_fuel_oil,694,7.58,65.46,3011
cogen_fuel_oil,653,8.62,76.58,3290
cogen_fuel_oil,299.1,3.05,17.017,866
cogen_natural_gas,710,7.58,65.46,2912
cogen_natural_gas,711.3,8.62,76.58,3084
cogen_natural_gas,694,7.58,65.46,3011
cogen_natural_gas,653,8.62,76.58,3290
cogen_natural_gas,299.1,3.05,17.017,866
bioenergy_diesel,20,15,60,1980
bioenergy_fuel_oil,20,15,60,1980
bioenergy_natural_gas,20,15,60,1980
termosolar,,,,
regen_brakes,,,,
import_natural_gas,,,,
