generation_technology,g_is_variable,g_is_baseload,g_is_flexible_baseload,g_is_cogen,g_competes_for_space
bioenergy_diesel,0,1,0,0,0
bioenergy_fuel_oil,0,1,0,0,0
bioenergy_natural_gas,0,1,0,0,0
carboelectric_coal,0,0,0,0,0
cogen_diesel,0,0,0,1,0
cogen_fuel_oil,0,0,0,1,0
cogen_natural_gas,0,0,0,1,0
combined_cycle_natural_gas,0,0,0,0,0
fluidized_bed_coal,0,0,0,0,0
gas_turbine_diesel,0,0,0,0,0
gas_turbine_natural_gas,0,0,0,0,0
geothermal,1,1,0,0,0
hydroelectric,0,0,0,0,0
import_natural_gas,0,0,0,0,0
internal_combustion_diesel,0,0,0,0,0
internal_combustion_fuel_oil,0,0,0,0,0
internal_combustion_natural_gas,0,0,0,0,0
nuclear_uranium,0,0,0,0,0
regen_brakes,0,0,0,0,0
solar,1,1,0,0,0
thermal_diesel,0,0,0,0,0
thermal_fuel_oil,0,0,0,0,0
thermosolar,0,0,0,0,0
thermal_natural_gas,0,0,0,0,0
wind,1,0,0,0,0
