timepoint,capacity_factor
201401010000,0.91979991
201401010100,0.92357777
201401010200,0.92006756
201401010300,0.90606383
201401010400,0.87306682
201401010500,0.83884904
201401010600,0.8115021
201401010700,0.7612435
201401010800,0.80766447
201401010900,0.82041719
201401011000,0.81355551
201401011100,0.80769606
201401011200,0.8050633
201401011300,0.80025842
201401011400,0.79131862
201401011500,0.77728936
201401011600,0.75150909
201401011700,0.67169771
201401011800,0.61786341
201401011900,0.56845254
201401012000,0.54703437
201401012100,0.53486386
201401012200,0.52353565
201401012300,0.50824953
201401020000,0.49170684
201401020100,0.46979577
201401020200,0.44812643
201401020300,0.42762063
201401020400,0.39509863
201401020500,0.40728296
201401020600,0.42502551
201401020700,0.40277666
201401020800,0.60271722
201401020900,0.7152351
201401021000,0.79938032
201401021100,0.85762399
201401021200,0.8933351
201401021300,0.91575731
201401021400,0.93354629
201401021500,0.94513385
201401021600,0.94860044
201401021700,0.94481082
201401021800,0.95421619
201401021900,0.96970744
201401022000,0.97989338
201401022100,0.98379671
201401022200,0.98652119
201401022300,0.98205648
201401030000,0.97122641
201401030100,0.9677137
201401030200,0.96991495
201401030300,0.97167731
201401030400,0.97392141
201401030500,0.97862435
201401030600,0.97053064
201401030700,0.97475327
201401030800,0.97087932
201401030900,0.95766527
201401031000,0.94860836
201401031100,0.95517458
201401031200,0.96493989
201401031300,0.97230626
201401031400,0.97746269
201401031500,0.9812717
201401031600,0.98508849
201401031700,0.98645505
201401031800,0.98507196
201401031900,0.9838587
201401032000,0.981684
201401032100,0.97921674
201401032200,0.97475801
201401032300,0.96856997
201401040000,0.9540797
201401040100,0.9381577
201401040200,0.93308995
201401040300,0.92592334
201401040400,0.91584585
201401040500,0.88784673
201401040600,0.85705759
201401040700,0.81806309
201401040800,0.85010346
201401040900,0.86661077
201401041000,0.84987942
201401041100,0.81898109
201401041200,0.76835869
201401041300,0.72427206
201401041400,0.70113348
201401041500,0.69937047
201401041600,0.70572893
201401041700,0.64806345
201401041800,0.61203295
201401041900,0.62076161
201401042000,0.59700826
201401042100,0.60123785
201401042200,0.6153357
201401042300,0.60931523
201401050000,0.54972677
201401050100,0.49152673
201401050200,0.44799279
201401050300,0.42504156
201401050400,0.40699822
201401050500,0.38834692
201401050600,0.36692598
201401050700,0.27952695
201401050800,0.245944
201401050900,0.21521931
201401051000,0.14830389
201401051100,0.09594824
201401051200,0.06598776
201401051300,0.05073058
201401051400,0.04503791
201401051500,0.04242514
201401051600,0.04050986
201401051700,0.03893347
201401051800,0.04407871
201401051900,0.0577626
201401052000,0.09325219
201401052100,0.15313625
201401052200,0.2180572
201401052300,0.28291461
201401060000,0.3520284
201401060100,0.43189453
201401060200,0.51579193
201401060300,0.61520563
201401060400,0.75842833
201401060500,0.88612899
201401060600,0.94337687
201401060700,0.97385042
201401060800,0.9862201
201401060900,0.98572889
201401061000,0.98374763
201401061100,0.98238772
201401061200,0.97892009
201401061300,0.97140485
201401061400,0.95976453
201401061500,0.94963049
201401061600,0.95322351
201401061700,0.96571637
201401061800,0.9635152
201401061900,0.9566541
201401062000,0.92574208
201401062100,0.93613242
201401062200,0.93768939
201401062300,0.95199086
201401070000,0.96698881
201401070100,0.97408288
201401070200,0.97719223
201401070300,0.97884444
201401070400,0.98007225
201401070500,0.98167659
201401070600,0.98360519
201401070700,0.98484017
201401070800,0.98433854
201401070900,0.9837242
201401071000,0.98348083
201401071100,0.98250151
201401071200,0.983045
201401071300,0.98461004
201401071400,0.9859759
201401071500,0.98647319
201401071600,0.98284477
201401071700,0.97324221
201401071800,0.96814596
201401071900,0.96692189
201401072000,0.96529498
201401072100,0.96333731
201401072200,0.96691896
201401072300,0.94929776
201401080000,0.94478194
201401080100,0.94071229
201401080200,0.93737373
201401080300,0.93432837
201401080400,0.92715444
201401080500,0.92024475
201401080600,0.90923404
201401080700,0.90240332
201401080800,0.93498576
201401080900,0.96064637
201401081000,0.96857987
201401081100,0.97005957
201401081200,0.96962889
201401081300,0.96822318
201401081400,0.96642453
201401081500,0.9634757
201401081600,0.95617906
201401081700,0.92260109
201401081800,0.89123073
201401081900,0.87279833
201401082000,0.85583064
201401082100,0.83745132
201401082200,0.83562392
201401082300,0.82393143
201401090000,0.81675541
201401090100,0.80152082
201401090200,0.79326602
201401090300,0.80575458
201401090400,0.81167953
201401090500,0.82135431
201401090600,0.82727591
201401090700,0.81467659
201401090800,0.87791083
201401090900,0.91272493
201401091000,0.91109949
201401091100,0.89821756
201401091200,0.88068445
201401091300,0.864633
201401091400,0.85425149
201401091500,0.85540331
201401091600,0.85851493
201401091700,0.80599655
201401091800,0.76843694
201401091900,0.74784359
201401092000,0.72696417
201401092100,0.70164865
201401092200,0.65492121
201401092300,0.58561732
201401100000,0.54972696
201401100100,0.51579357
201401100200,0.48991464
201401100300,0.46630597
201401100400,0.47006197
201401100500,0.46907232
201401100600,0.45769219
201401100700,0.37891432
201401100800,0.49192632
201401100900,0.47870765
201401101000,0.38424577
201401101100,0.30092538
201401101200,0.23874
201401101300,0.19392816
201401101400,0.16964401
201401101500,0.14856914
201401101600,0.132932
201401101700,0.12155908
201401101800,0.11440542
201401101900,0.08874386
201401102000,0.06338729
201401102100,0.04883494
201401102200,0.04347343
201401102300,0.04461612
201401110000,0.04774147
201401110100,0.05248525
201401110200,0.05389056
201401110300,0.05472241
201401110400,0.05959758
201401110500,0.06777445
201401110600,0.07453493
201401110700,0.0631757
201401110800,0.06342939
201401110900,0.08687599
201401111000,0.11643749
201401111100,0.17601841
201401111200,0.2737878
201401111300,0.40047844
201401111400,0.53871122
201401111500,0.67350773
201401111600,0.74585038
201401111700,0.73881361
201401111800,0.75182351
201401111900,0.76455797
201401112000,0.75245941
201401112100,0.76815587
201401112200,0.78640756
201401112300,0.79849175
201401120000,0.80119282
201401120100,0.79157909
201401120200,0.78065146
201401120300,0.7539165
201401120400,0.71842056
201401120500,0.69067444
201401120600,0.67525112
201401120700,0.63681261
201401120800,0.76766447
201401120900,0.76157388
201401121000,0.71472683
201401121100,0.6531813
201401121200,0.58618703
201401121300,0.54407805
201401121400,0.53671933
201401121500,0.54972571
201401121600,0.5737586
201401121700,0.53486286
201401121800,0.49796637
201401121900,0.49286272
201401122000,0.41631412
201401122100,0.39778863
201401122200,0.37825722
201401122300,0.36429009
201401130000,0.36164239
201401130100,0.36723816
201401130200,0.36981048
201401130300,0.35819166
201401130400,0.35448094
