timepoint,capacity_factor
201401010000,0.24296542
201401010100,0.27241843
201401010200,0.28481049
201401010300,0.31761012
201401010400,0.3039244
201401010500,0.29609019
201401010600,0.27200316
201401010700,0.26715895
201401010800,0.21886845
201401010900,0.17666688
201401011000,0.20723688
201401011100,0.23071847
201401011200,0.26694803
201401011300,0.28405277
201401011400,0.24103468
201401011500,0.16868109
201401011600,0.09090791
201401011700,0.05048734
201401011800,0.0367779
201401011900,0.02046796
201401012000,0.01180369
201401012100,0.00862972
201401012200,0.01431179
201401012300,0.02254527
201401020000,0.02850894
201401020100,0.02870146
201401020200,0.02382119
201401020300,0.01544153
201401020400,0.01090681
201401020500,0.02591944
201401020600,0.1809265
201401020700,0.35238341
201401020800,0.25476806
201401020900,0.178036
201401021000,0.11716474
201401021100,0.09278137
201401021200,0.08427547
201401021300,0.10310117
201401021400,0.14105895
201401021500,0.19731696
201401021600,0.28639014
201401021700,0.36894388
201401021800,0.40332895
201401021900,0.35043839
201401022000,0.32008246
201401022100,0.30812379
201401022200,0.29377527
201401022300,0.27770389
201401030000,0.26965407
201401030100,0.27653225
201401030200,0.27887482
201401030300,0.27225431
201401030400,0.26830382
201401030500,0.28305817
201401030600,0.31098103
201401030700,0.33250503
201401030800,0.22741049
201401030900,0.14356936
201401031000,0.11774381
201401031100,0.03518703
201401031200,0.00540279
201401031300,0.00112893
201401031400,0.00014053
201401031500,0.00027582
201401031600,0.00326433
201401031700,0.05153469
201401031800,0.06441007
201401031900,0.02860261
201401032000,0.00818147
201401032100,0.01424751
201401032200,0.05517818
201401032300,0.12603486
201401040000,0.22055551
201401040100,0.3375121
201401040200,0.45930753
201401040300,0.52837536
201401040400,0.54279285
201401040500,0.53486347
201401040600,0.5008649
201401040700,0.48154105
201401040800,0.38395679
201401040900,0.26197888
201401041000,0.46654921
201401041100,0.46795348
201401041200,0.41524221
201401041300,0.38097002
201401041400,0.31336866
201401041500,0.24769675
201401041600,0.15347546
201401041700,0.02911296
201401041800,0.00436016
201401041900,0.01208899
201401042000,0.03192762
201401042100,0.06948812
201401042200,0.12625061
201401042300,0.18640495
201401050000,0.25538478
201401050100,0.32770496
201401050200,0.37624931
201401050300,0.39756844
201401050400,0.38760156
201401050500,0.37468679
201401050600,0.33416223
201401050700,0.29378706
201401050800,0.20086936
201401050900,0.08076745
201401051000,0.05390857
201401051100,0.04333631
201401051200,0.02920414
201401051300,0.0155888
201401051400,0.0037083
201401051500,0.00996237
201401051600,0.03344917
201401051700,0.08285702
201401051800,0.11590143
201401051900,0.11769093
201401052000,0.11189864
201401052100,0.12255193
201401052200,0.1318088
201401052300,0.12355282
201401060000,0.11907113
201401060100,0.12581677
201401060200,0.12957252
201401060300,0.12679447
201401060400,0.10568813
201401060500,0.09819249
201401060600,0.11231229
201401060700,0.13224903
201401060800,0.15475342
201401060900,0.16903212
201401061000,0.15869803
201401061100,0.13078263
201401061200,0.10140344
201401061300,0.08772685
201401061400,0.09357196
201401061500,0.10444425
201401061600,0.10832012
201401061700,0.10305899
201401061800,0.08308077
201401061900,0.07129331
201401062000,0.07836928
201401062100,0.09336927
201401062200,0.10967296
201401062300,0.11978108
201401070000,0.11402043
201401070100,0.10262995
201401070200,0.11132262
201401070300,0.11963998
201401070400,0.12781135
201401070500,0.10489042
201401070600,0.09120717
201401070700,0.10429133
201401070800,0.11989769
201401070900,0.12172045
201401071000,0.09277639
201401071100,0.04957966
201401071200,0.02306426
201401071300,0.01138825
201401071400,0.00552982
201401071500,0.00253143
201401071600,0.00068168
201401071700,0.01764004
201401071800,0.04070086
201401071900,0.02837286
201401072000,0.04003117
201401072100,0.09376378
201401072200,0.15458688
201401072300,0.23427691
201401080000,0.33863857
201401080100,0.4151936
201401080200,0.43511549
201401080300,0.45259373
201401080400,0.46699657
201401080500,0.47074238
201401080600,0.45549354
201401080700,0.42504591
201401080800,0.32985116
201401080900,0.22356504
201401081000,0.3278627
201401081100,0.31125458
201401081200,0.23359562
201401081300,0.1603248
201401081400,0.10144084
201401081500,0.05695599
201401081600,0.02705821
201401081700,0.02002515
201401081800,0.01884685
201401081900,0.00939486
201401082000,0.00547619
201401082100,0.00323147
201401082200,0.00386575
201401082300,0.01266835
201401090000,0.03498891
201401090100,0.07690388
201401090200,0.14352064
201401090300,0.23068926
201401090400,0.30759112
201401090500,0.34692055
201401090600,0.35839068
201401090700,0.34723771
201401090800,0.25163394
201401090900,0.07645497
201401091000,0.06956839
201401091100,0.06620475
201401091200,0.05345745
201401091300,0.03363334
201401091400,0.02172954
201401091500,0.02072241
201401091600,0.01753317
201401091700,0.00500805
201401091800,0.02385338
201401091900,0.04309552
201401092000,0.0867617
201401092100,0.20683448
201401092200,0.40385263
201401092300,0.62160983
201401100000,0.72842651
201401100100,0.74785359
201401100200,0.76158118
201401100300,0.74101772
201401100400,0.70753837
201401100500,0.6757189
201401100600,0.64486482
201401100700,0.61534189
201401100800,0.46354417
201401100900,0.34407685
201401101000,0.63544701
201401101100,0.62310354
201401101200,0.56342377
201401101300,0.47106072
201401101400,0.36159418
201401101500,0.25410171
201401101600,0.16392843
201401101700,0.09613467
201401101800,0.05060412
201401101900,0.01279763
201401102000,0.00482952
201401102100,0.01381533
201401102200,0.0617213
201401102300,0.13889658
201401110000,0.20853844
201401110100,0.2641925
201401110200,0.29437508
201401110300,0.28570227
201401110400,0.25093642
201401110500,0.17599648
201401110600,0.10070027
201401110700,0.05012998
201401110800,0.01954876
201401110900,0.03386931
201401111000,0.15847055
201401111100,0.1179372
201401111200,0.06482094
201401111300,0.03096065
201401111400,0.02383703
201401111500,0.02183892
201401111600,0.03516656
201401111700,0.10993877
201401111800,0.17753755
201401111900,0.20052422
201401112000,0.23926864
201401112100,0.27422624
201401112200,0.2776977
201401112300,0.26968853
201401120000,0.27717927
201401120100,0.31394242
201401120200,0.34325856
201401120300,0.3487988
201401120400,0.34891406
201401120500,0.34063409
201401120600,0.31121549
201401120700,0.34747106
201401120800,0.23503
201401120900,0.19540984
201401121000,0.37358748
201401121100,0.48551124
201401121200,0.54972841
201401121300,0.66580296
201401121400,0.71439325
201401121500,0.56421431
201401121600,0.47320261
201401121700,0.33672248
201401121800,0.324981
201401121900,0.50208748
201401122000,0.72566657
201401122100,0.7797105
201401122200,0.78435309
201401122300,0.75138066
201401130000,0.74389525
201401130100,0.73169289
201401130200,0.67948207
201401130300,0.59287046
201401130400,0.51428114
201401130500,0.48729352
201401130600,0.50372096
201401130700,0.477717
201401130800,0.25513658
201401130900,0.17875612
201401131000,0.2673744
201401131100,0.2559257
201401131200,0.25102666
201401131300,0.27357648
201401131400,0.32615513
201401131500,0.40600869
201401131600,0.44157328
201401131700,0.34845441
201401131800,0.21983811
201401131900,0.09410654
201401132000,0.02730938
201401132100,0.00284679
201401132200,0.00113488
201401132300,0.00434236
201401140000,0.01103537
201401140100,0.0203422
201401140200,0.03160089
201401140300,0.04296932
201401140400,0.065862
201401140500,0.10669061
201401140600,0.15952464
201401140700,0.2178078
201401140800,0.24125255
201401140900,0.12140262
201401141000,0.08727926
201401141100,0.06369142
201401141200,0.07928575
201401141300,0.1044189
201401141400,0.12699783
201401141500,0.14706423
201401141600,0.15377125
201401141700,0.1411424
201401141800,0.11207823
201401141900,0.06327317
201401142000,0.04050781
201401142100,0.02994677
201401142200,0.05372355
201401142300,0.23487256
201401150000,0.35766864
201401150100,0.37355949
201401150200,0.37624507
201401150300,0.38098521
201401150400,0.30787825
201401150500,0.22270495
201401150600,0.18874902
201401150700,0.17448768
201401150800,0.12624422
201401150900,0.15891292
201401151000,0.08572022
201401151100,0.01404162
201401151200,0.0
201401151300,0.0
201401151400,0.0
201401151500,1.742e-05
201401151600,0.00592874
201401151700,0.05723043
201401151800,0.06967978
201401151900,0.03077018
201401152000,0.01335997
201401152100,0.00999535
201401152200,0.02527136
201401152300,0.09356499
201401160000,0.20788488
201401160100,0.32219313
201401160200,0.39584785
201401160300,0.4488096
201401160400,0.45984828
201401160500,0.46354468
201401160600,0.46795795
201401160700,0.46630603
201401160800,0.35796085
201401160900,0.15200903
201401161000,0.1561846
201401161100,0.11601459
201401161200,0.09097069
201401161300,0.07440097
201401161400,0.05936839
201401161500,0.04439165
201401161600,0.04724809
201401161700,0.09172937
201401161800,0.10280003
201401161900,0.06376586
201401162000,0.02655756
201401162100,0.00545369
201401162200,0.000836
201401162300,0.00027068
201401170000,0.00012069
201401170100,0.00021139
201401170200,0.00146665
201401170300,0.01167388
201401170400,0.04106694
201401170500,0.06617356
201401170600,0.06107333
201401170700,0.03951421
201401170800,0.02781317
201401170900,0.08793594
201401171000,0.09512951
201401171100,0.08608226
201401171200,0.08295401
201401171300,0.03938611
201401171400,0.01697451
201401171500,0.03832658
201401171600,0.07507131
201401171700,0.17107003
201401171800,0.27201753
201401171900,0.25567514
201401172000,0.2455919
201401172100,0.26342593
201401172200,0.2938234
201401172300,0.35137142
201401180000,0.40049958
201401180100,0.39910815
201401180200,0.3744756
201401180300,0.37494949
201401180400,0.41854109
201401180500,0.43660337
201401180600,0.41124914
201401180700,0.36799443
201401180800,0.21131218
201401180900,0.05032238
201401181000,0.01353474
201401181100,0.05741524
201401181200,0.12081227
201401181300,0.17250121
201401181400,0.18642098
201401181500,0.14374092
201401181600,0.09867989
201401181700,0.09050961
201401181800,0.09041276
201401181900,0.06423088
201401182000,0.03641828
201401182100,0.01635115
201401182200,0.01007192
201401182300,0.00857276
201401190000,0.00480954
201401190100,0.00245696
201401190200,0.00119239
201401190300,0.00117514
201401190400,0.0027723
201401190500,0.01174022
201401190600,0.02319801
201401190700,0.03053943
201401190800,0.03020723
201401190900,0.04639366
201401191000,0.0268611
201401191100,0.00209987
201401191200,0.0
201401191300,0.0
201401191400,0.0
201401191500,0.00105416
201401191600,0.03436452
201401191700,0.07679034
201401191800,0.06809018
201401191900,0.04164534
201401192000,0.03516221
201401192100,0.03675675
201401192200,0.06213041
201401192300,0.14305161
201401200000,0.29589797
201401200100,0.42504919
201401200200,0.52357546
201401200300,0.57771921
201401200400,0.57613556
201401200500,0.52534647
201401200600,0.45316335
201401200700,0.38832431
201401200800,0.25299117
201401200900,0.10125096
201401201000,0.18339885
201401201100,0.30495299
201401201200,0.39104427
201401201300,0.41381972
201401201400,0.37891716
201401201500,0.32513757
201401201600,0.25692027
201401201700,0.17713099
201401201800,0.12608833
201401201900,0.07129889
201401202000,0.04487391
201401202100,0.02830516
201401202200,0.02106338
201401202300,0.01241419
201401210000,0.00588397
201401210100,0.02413338
201401210200,0.15843612
201401210300,0.51640318
201401210400,0.56532983
201401210500,0.36692141
201401210600,0.25096875
201401210700,0.20765233
201401210800,0.18861783
201401210900,0.25765506
201401211000,0.26065
201401211100,0.2274014
201401211200,0.18152346
201401211300,0.1422153
201401211400,0.12670798
201401211500,0.12512352
201401211600,0.1404201
201401211700,0.17886523
201401211800,0.20505722
201401211900,0.14551558
201401212000,0.10363936
201401212100,0.08869628
201401212200,0.10318702
201401212300,0.14852587
201401220000,0.21328374
201401220100,0.27750221
201401220200,0.31945201
201401220300,0.33465128
201401220400,0.35023635
201401220500,0.38604364
201401220600,0.41654241
201401220700,0.40510848
201401220800,0.25905971
201401220900,0.09279863
201401221000,0.05441747
201401221100,0.01436011
201401221200,0.00501016
201401221300,0.00177058
201401221400,0.00170121
201401221500,0.00192608
201401221600,0.01055381
201401221700,0.03851303
201401221800,0.05490717
201401221900,0.0258294
201401222000,0.00829804
201401222100,0.00478274
201401222200,0.03730088
201401222300,0.14646231
201401230000,0.31806248
201401230100,0.46785265
201401230200,0.5657947
201401230300,0.58561291
201401230400,0.52664105
201401230500,0.47393518
201401230600,0.41388655
201401230700,0.34065355
201401230800,0.20975259
201401230900,0.06382521
201401231000,0.08725796
201401231100,0.12062036
201401231200,0.13257895
201401231300,0.12221969
201401231400,0.12188334
201401231500,0.14792312
201401231600,0.24962662
201401231700,0.38089143
201401231800,0.37203685
201401231900,0.33339052
201401232000,0.33996039
201401232100,0.36634716
201401232200,0.33881247
201401232300,0.26375806
201401240000,0.1625808
201401240100,0.1012199
201401240200,0.05509452
201401240300,0.03870827
201401240400,0.02937168
201401240500,0.02326398
