month,day,hour,capacity_factor
1,1,0.0,0.1930501
1,1,1.0,0.19651894
1,1,2.0,0.18062737
1,1,3.0,0.15862415
1,1,4.0,0.17184228
1,1,5.0,0.17092345
1,1,6.0,0.15826508
1,1,7.0,0.09472219
1,1,8.0,0.09523729
1,1,9.0,0.11841265
1,1,10.0,0.10522883
1,1,11.0,0.08781168
1,1,12.0,0.08818041
1,1,13.0,0.11114219
1,1,14.0,0.15457182
1,1,15.0,0.21077468
1,1,16.0,0.25115132
1,1,17.0,0.21199752
1,1,18.0,0.21760637
1,1,19.0,0.179015
1,1,20.0,0.14884607
1,1,21.0,0.1170597
1,1,22.0,0.10122641
1,1,23.0,0.09929824
1,2,0.0,0.11781141
1,2,1.0,0.11924646
1,2,2.0,0.13208165
1,2,3.0,0.1376049
1,2,4.0,0.14428719
1,2,5.0,0.14841466
1,2,6.0,0.1507294
1,2,7.0,0.10725375
1,2,8.0,0.11230801
1,2,9.0,0.10806234
1,2,10.0,0.08060982
1,2,11.0,0.08174133
1,2,12.0,0.11769233
1,2,13.0,0.17888434
1,2,14.0,0.26966885
1,2,15.0,0.37893125
1,2,16.0,0.49384868
1,2,17.0,0.47871354
1,2,18.0,0.44702488
1,2,19.0,0.47081763
1,2,20.0,0.49109156
1,2,21.0,0.51032095
1,2,22.0,0.51305837
1,2,23.0,0.46929857
1,3,0.0,0.52066755
1,3,1.0,0.44485413
1,3,2.0,0.47162741
1,3,3.0,0.54907152
1,3,4.0,0.62104261
1,3,5.0,0.63045863
1,3,6.0,0.63557685
1,3,7.0,0.65618964
1,3,8.0,0.83741084
1,3,9.0,0.91435229
1,3,10.0,0.93207362
1,3,11.0,0.93495115
1,3,12.0,0.92950884
1,3,13.0,0.92776023
1,3,14.0,0.92245407
1,3,15.0,0.91228877
1,3,16.0,0.87749554
1,3,17.0,0.81133085
1,3,18.0,0.74487488
1,3,19.0,0.71174983
1,3,20.0,0.69473631
1,3,21.0,0.67951349
1,3,22.0,0.61767723
1,3,23.0,0.53448685
1,4,0.0,0.51579478
1,4,1.0,0.47594226
1,4,2.0,0.4662913
1,4,3.0,0.4566436
1,4,4.0,0.47299159
1,4,5.0,0.47158899
1,4,6.0,0.45581482
1,4,7.0,0.40250017
1,4,8.0,0.51452571
1,4,9.0,0.54433631
1,4,10.0,0.41956402
1,4,11.0,0.28593502
1,4,12.0,0.169128
1,4,13.0,0.09082668
1,4,14.0,0.04999733
1,4,15.0,0.03736464
1,4,16.0,0.06530747
1,4,17.0,0.1034832
1,4,18.0,0.13239487
1,4,19.0,0.15514393
1,4,20.0,0.17446675
1,4,21.0,0.15458541
1,4,22.0,0.11512111
1,4,23.0,0.09975928
1,5,0.0,0.11180165
1,5,1.0,0.13722752
1,5,2.0,0.14429678
1,5,3.0,0.12222203
1,5,4.0,0.09877325
1,5,5.0,0.09897048
1,5,6.0,0.10124586
1,5,7.0,0.06463802
1,5,8.0,0.04531245
1,5,9.0,0.04956886
1,5,10.0,0.00643899
1,5,11.0,0.00089412
1,5,12.0,0.00158025
1,5,13.0,0.00323235
1,5,14.0,0.00363735
1,5,15.0,0.00279436
1,5,16.0,0.00339989
1,5,17.0,0.00679126
1,5,18.0,0.00932683
1,5,19.0,0.00792057
1,5,20.0,0.00777878
1,5,21.0,0.0085887
1,5,22.0,0.00925448
1,5,23.0,0.01084055
1,6,0.0,0.01613225
1,6,1.0,0.0299012
1,6,2.0,0.06269116
1,6,3.0,0.1346583
1,6,4.0,0.22305415
1,6,5.0,0.32679939
1,6,6.0,0.38563144
1,6,7.0,0.30914721
1,6,8.0,0.54831309
1,6,9.0,0.75374867
1,6,10.0,0.80428787
1,6,11.0,0.82868528
1,6,12.0,0.85709973
1,6,13.0,0.87430212
1,6,14.0,0.90072921
1,6,15.0,0.90514476
1,6,16.0,0.86042006
1,6,17.0,0.72037448
1,6,18.0,0.72215245
1,6,19.0,0.81169273
1,6,20.0,0.81323347
1,6,21.0,0.83252564
1,6,22.0,0.82523791
1,6,23.0,0.81403454
1,7,0.0,0.81880863
1,7,1.0,0.82266828
1,7,2.0,0.81416015
1,7,3.0,0.8203681
1,7,4.0,0.83148748
1,7,5.0,0.83748359
1,7,6.0,0.83731807
1,7,7.0,0.86258935
1,7,8.0,0.92332476
1,7,9.0,0.93706121
1,7,10.0,0.92977563
1,7,11.0,0.91653203
1,7,12.0,0.90792853
1,7,13.0,0.90275839
1,7,14.0,0.90061574
1,7,15.0,0.88514323
1,7,16.0,0.84031336
1,7,17.0,0.73244491
1,7,18.0,0.73127993
1,7,19.0,0.74553638
1,7,20.0,0.72018994
1,7,21.0,0.72023341
1,7,22.0,0.67637891
1,7,23.0,0.6527142
1,8,0.0,0.62640602
1,8,1.0,0.59297414
1,8,2.0,0.58365913
1,8,3.0,0.57771625
1,8,4.0,0.55420506
1,8,5.0,0.55241463
1,8,6.0,0.52021462
1,8,7.0,0.44701138
1,8,8.0,0.44562815
1,8,9.0,0.42791691
1,8,10.0,0.38563484
1,8,11.0,0.34455935
1,8,12.0,0.31217375
1,8,13.0,0.29382218
1,8,14.0,0.29379674
1,8,15.0,0.31075093
1,8,16.0,0.32665343
1,8,17.0,0.29382805
1,8,18.0,0.31012198
1,8,19.0,0.26848623
1,8,20.0,0.28175844
1,8,21.0,0.17799923
1,8,22.0,0.15685677
1,8,23.0,0.14575821
1,9,0.0,0.14504101
1,9,1.0,0.14209116
1,9,2.0,0.14294772
1,9,3.0,0.14626841
1,9,4.0,0.14913364
1,9,5.0,0.15561912
1,9,6.0,0.17966433
1,9,7.0,0.13728083
1,9,8.0,0.17604653
1,9,9.0,0.21978824
1,9,10.0,0.15552613
1,9,11.0,0.08404069
1,9,12.0,0.04060463
1,9,13.0,0.02178649
1,9,14.0,0.02418272
1,9,15.0,0.04936888
1,9,16.0,0.09539646
1,9,17.0,0.13067071
1,9,18.0,0.15650103
1,9,19.0,0.14887311
1,9,20.0,0.13413277
1,9,21.0,0.12135257
1,9,22.0,0.09966807
1,9,23.0,0.08171853
1,10,0.0,0.07038907
1,10,1.0,0.06065791
1,10,2.0,0.05404431
1,10,3.0,0.05103409
1,10,4.0,0.04482502
1,10,5.0,0.04236975
1,10,6.0,0.03835483
1,10,7.0,0.02258083
1,10,8.0,0.0069743
1,10,9.0,0.00082764
1,10,10.0,0.00011037
1,10,11.0,2.22e-06
1,10,12.0,7.33e-06
1,10,13.0,2.785e-05
1,10,14.0,0.00147248
1,10,15.0,0.01237229
1,10,16.0,0.03742833
1,10,17.0,0.05049078
1,10,18.0,0.04944974
1,10,19.0,0.02995828
1,10,20.0,0.01048577
1,10,21.0,0.001162
1,10,22.0,4.542e-05
1,10,23.0,7.994e-05
1,11,0.0,0.00010053
1,11,1.0,4.65e-05
1,11,2.0,7.24e-05
1,11,3.0,0.00019641
1,11,4.0,0.00042922
1,11,5.0,0.00052674
1,11,6.0,0.00292353
1,11,7.0,0.00286674
1,11,8.0,2.504e-05
1,11,9.0,7.502e-05
1,11,10.0,0.00038661
1,11,11.0,0.00242229
1,11,12.0,0.01375961
1,11,13.0,0.04136739
1,11,14.0,0.08250628
1,11,15.0,0.12756597
1,11,16.0,0.1917083
1,11,17.0,0.22193593
1,11,18.0,0.26961491
1,11,19.0,0.26963887
1,11,20.0,0.23672904
1,11,21.0,0.20975781
1,11,22.0,0.16029664
1,11,23.0,0.13466813
1,12,0.0,0.120027
1,12,1.0,0.12182154
1,12,2.0,0.12172614
1,12,3.0,0.12258088
1,12,4.0,0.12810875
1,12,5.0,0.1371304
1,12,6.0,0.13236904
1,12,7.0,0.0717393
1,12,8.0,0.0865922
1,12,9.0,0.09541715
1,12,10.0,0.07182457
1,12,11.0,0.04543712
1,12,12.0,0.02948927
1,12,13.0,0.01898712
1,12,14.0,0.01328801
1,12,15.0,0.01315048
1,12,16.0,0.02236082
1,12,17.0,0.04123605
1,12,18.0,0.0509221
1,12,19.0,0.04131277
1,12,20.0,0.05400689
1,12,21.0,0.05677001
1,12,22.0,0.05763369
1,12,23.0,0.05008361
1,13,0.0,0.04958645
1,13,1.0,0.04941823
1,13,2.0,0.05346923
1,13,3.0,0.05564415
1,13,4.0,0.05335791
1,13,5.0,0.04715016
1,13,6.0,0.04302862
1,13,7.0,0.01734644
1,13,8.0,0.00104835
1,13,9.0,2.28e-06
1,13,10.0,3.69e-06
1,13,11.0,2.223e-05
1,13,12.0,0.00032027
1,13,13.0,0.00326434
1,13,14.0,0.00963436
1,13,15.0,0.03313217
1,13,16.0,0.0845764
1,13,17.0,0.12043192
1,13,18.0,0.17106061
1,13,19.0,0.18359167
1,13,20.0,0.19297006
1,13,21.0,0.2101135
1,13,22.0,0.22842632
1,13,23.0,0.25099056
1,14,0.0,0.27958173
1,14,1.0,0.25407947
1,14,2.0,0.25719502
1,14,3.0,0.30766293
1,14,4.0,0.29996657
1,14,5.0,0.32516793
1,14,6.0,0.36838159
1,14,7.0,0.29732872
1,14,8.0,0.49512783
1,14,9.0,0.61277757
1,14,10.0,0.5974671
1,14,11.0,0.56845729
1,14,12.0,0.53769617
1,14,13.0,0.53034849
1,14,14.0,0.53215052
1,14,15.0,0.54686798
1,14,16.0,0.4883372
1,14,17.0,0.37622446
1,14,18.0,0.44701915
1,14,19.0,0.52133537
1,14,20.0,0.4938567
1,14,21.0,0.40194537
1,14,22.0,0.34594205
1,14,23.0,0.33263247
1,15,0.0,0.31725692
1,15,1.0,0.35039911
1,15,2.0,0.34322607
1,15,3.0,0.35764888
1,15,4.0,0.41390214
1,15,5.0,0.41480191
1,15,6.0,0.42229424
1,15,7.0,0.4100127
1,15,8.0,0.68567751
1,15,9.0,0.8686437
1,15,10.0,0.92563152
1,15,11.0,0.94569102
1,15,12.0,0.95743725
1,15,13.0,0.9684803
1,15,14.0,0.97604089
1,15,15.0,0.97716623
1,15,16.0,0.97388626
1,15,17.0,0.95097296
1,15,18.0,0.9292742
1,15,19.0,0.92522149
1,15,20.0,0.91915637
1,15,21.0,0.88554979
1,15,22.0,0.84584378
1,15,23.0,0.80356836
1,16,0.0,0.75651802
1,16,1.0,0.72481936
1,16,2.0,0.72315256
1,16,3.0,0.73948136
1,16,4.0,0.74624
1,16,5.0,0.74986044
1,16,6.0,0.74132957
1,16,7.0,0.73277045
1,16,8.0,0.81720048
1,16,9.0,0.82233324
1,16,10.0,0.77805583
1,16,11.0,0.70623286
1,16,12.0,0.61278525
1,16,13.0,0.50890459
1,16,14.0,0.42593035
1,16,15.0,0.37626828
1,16,16.0,0.3432453
1,16,17.0,0.33623932
1,16,18.0,0.39779641
1,16,19.0,0.42258391
1,16,20.0,0.41413914
1,16,21.0,0.36283032
1,16,22.0,0.31366962
1,16,23.0,0.2928354
1,17,0.0,0.23044664
1,17,1.0,0.18627304
1,17,2.0,0.16786437
1,17,3.0,0.1680123
1,17,4.0,0.17447596
1,17,5.0,0.17855214
1,17,6.0,0.18725388
1,17,7.0,0.14934909
1,17,8.0,0.13471432
1,17,9.0,0.11353817
1,17,10.0,0.07631251
1,17,11.0,0.09123983
1,17,12.0,0.13603264
1,17,13.0,0.19805617
1,17,14.0,0.28614406
1,17,15.0,0.41101796
1,17,16.0,0.5443362
1,17,17.0,0.53800053
1,17,18.0,0.48689607
1,17,19.0,0.44426607
1,17,20.0,0.43942034
1,17,21.0,0.37892011
1,17,22.0,0.38408811
1,17,23.0,0.44868853
1,18,0.0,0.41376738
1,18,1.0,0.41124966
1,18,2.0,0.44427124
1,18,3.0,0.47608739
1,18,4.0,0.50072533
1,18,5.0,0.49796876
1,18,6.0,0.49797836
1,18,7.0,0.4842094
1,18,8.0,0.52262395
1,18,9.0,0.49385203
1,18,10.0,0.43069115
1,18,11.0,0.35184504
1,18,12.0,0.26575385
1,18,13.0,0.20758483
1,18,14.0,0.18362335
1,18,15.0,0.1953257
1,18,16.0,0.24766154
1,18,17.0,0.30175585
