timepoint,capacity_factor
201401010000,0.49109069
201401010100,0.4638773
201401010200,0.40396434
201401010300,0.28015119
201401010400,0.15689794
201401010500,0.09280173
201401010600,0.06872954
201401010700,0.05355305
201401010800,0.05670462
201401010900,0.08172172
201401011000,0.13598079
201401011100,0.16800404
201401011200,0.14887088
201401011300,0.1374147
201401011400,0.1189413
201401011500,0.09032831
201401011600,0.07198967
201401011700,0.07015816
201401011800,0.04609427
201401011900,0.00736138
201401012000,0.00015958
201401012100,1.683e-05
201401012200,4.884e-05
201401012300,5.011e-05
201401020000,0.0001345
201401020100,0.00304437
201401020200,0.01695177
201401020300,0.03603393
201401020400,0.04955071
201401020500,0.06194566
201401020600,0.08107799
201401020700,0.10043572
201401020800,0.08869803
201401020900,0.11232925
201401021000,0.20641434
201401021100,0.37355536
201401021200,0.56659442
201401021300,0.69475689
201401021400,0.74785104
201401021500,0.75794219
201401021600,0.72512305
201401021700,0.69152641
201401021800,0.65687691
201401021900,0.62465046
201401022000,0.60718717
201401022100,0.58299168
201401022200,0.58594202
201401022300,0.59944694
201401030000,0.58212114
201401030100,0.5375756
201401030200,0.59200781
201401030300,0.53214995
201401030400,0.46750864
201401030500,0.40506035
201401030600,0.34322153
201401030700,0.28886881
201401030800,0.24301205
201401030900,0.38114553
201401031000,0.36425257
201401031100,0.30967603
201401031200,0.2481755
201401031300,0.19193741
201401031400,0.14812377
201401031500,0.11772156
201401031600,0.09278503
201401031700,0.06943266
201401031800,0.02858744
201401031900,0.00622956
201401032000,0.00314368
201401032100,0.00534066
201401032200,0.00411534
201401032300,0.00075475
201401040000,5.065e-05
201401040100,5.27e-06
201401040200,1e-08
201401040300,0.0
201401040400,0.0
201401040500,0.0
201401040600,0.0
201401040700,3.289e-05
201401040800,0.00083583
201401040900,0.01865401
201401041000,0.05563904
201401041100,0.07275837
201401041200,0.0638069
201401041300,0.05834249
201401041400,0.04881447
201401041500,0.04417438
201401041600,0.05274774
201401041700,0.06912423
201401041800,0.11031442
201401041900,0.15751506
201401042000,0.20201125
201401042100,0.20239053
201401042200,0.1963496
201401042300,0.17449562
201401050000,0.16921187
201401050100,0.12992578
201401050200,0.06375606
201401050300,0.03870599
201401050400,0.03899659
201401050500,0.04236984
201401050600,0.05067584
201401050700,0.06155067
201401050800,0.03513626
201401050900,0.00015254
201401051000,0.00029478
201401051100,0.00434269
201401051200,0.00938028
201401051300,0.00929364
201401051400,0.00829847
201401051500,0.00969613
201401051600,0.00798848
201401051700,0.01871572
201401051800,0.04764874
201401051900,0.13322568
201401052000,0.35236646
201401052100,0.55902016
201401052200,0.69294687
201401052300,0.82875707
201401060000,0.88396666
201401060100,0.85433235
201401060200,0.76540617
201401060300,0.73881074
201401060400,0.74634745
201401060500,0.74388777
201401060600,0.72904375
201401060700,0.70943668
201401060800,0.75382836
201401060900,0.79762802
201401061000,0.79869614
201401061100,0.78643333
201401061200,0.75719215
201401061300,0.67543342
201401061400,0.57687557
201401061500,0.49765678
201401061600,0.40999554
201401061700,0.40104602
201401061800,0.50814099
201401061900,0.60214277
201401062000,0.66582756
201401062100,0.70034496
201401062200,0.67405976
201401062300,0.56579651
201401070000,0.51306046
201401070100,0.45293252
201401070200,0.37627301
201401070300,0.30497549
201401070400,0.25218838
201401070500,0.23819129
201401070600,0.22076886
201401070700,0.19193935
201401070800,0.15868879
201401070900,0.15150757
201401071000,0.16670567
201401071100,0.17477814
201401071200,0.18314265
201401071300,0.18864244
201401071400,0.18009375
201401071500,0.14397834
201401071600,0.09750278
201401071700,0.07374518
201401071800,0.07079394
201401071900,0.06189646
