timepoint,capacity_factor
201401010000,0.02282625
201401010100,0.03274331
201401010200,0.0441329
201401010300,0.04135791
201401010400,0.03849332
201401010500,0.0411018
201401010600,0.0451633
201401010700,0.05232911
201401010800,0.03428185
201401010900,0.03811986
201401011000,0.04566141
201401011100,0.03155105
201401011200,0.01654771
201401011300,0.00863114
201401011400,0.00408066
201401011500,0.00125235
201401011600,0.00494396
201401011700,0.06252223
201401011800,0.14193188
201401011900,0.11773906
201401012000,0.06354218
201401012100,0.01493642
201401012200,0.00272749
201401012300,0.01395765
201401020000,0.04799452
201401020100,0.06107308
201401020200,0.04941432
201401020300,0.03618395
201401020400,0.02684509
201401020500,0.02788853
201401020600,0.04064363
201401020700,0.05219899
201401020800,0.03504465
201401020900,0.03227339
201401021000,0.10564507
201401021100,0.41190397
201401021200,0.68624223
201401021300,0.69567995
201401021400,0.60122306
201401021500,0.49387067
201401021600,0.36805953
201401021700,0.25614763
201401021800,0.2337217
201401021900,0.21980261
201401022000,0.15790976
201401022100,0.0718569
201401022200,0.0202493
201401022300,0.00789038
201401030000,0.02302732
201401030100,0.04150116
201401030200,0.04767038
201401030300,0.04840081
201401030400,0.04279353
201401030500,0.0368057
201401030600,0.03418319
201401030700,0.03352756
201401030800,0.00931327
201401030900,0.00349277
201401031000,0.00128867
201401031100,0.00014776
201401031200,1.273e-05
201401031300,3.461e-05
201401031400,0.00025819
201401031500,0.00114196
201401031600,0.00489083
201401031700,0.02577679
201401031800,0.04735596
201401031900,0.03879018
201401032000,0.04264565
201401032100,0.08609064
201401032200,0.14459742
201401032300,0.18819138
201401040000,0.20820257
201401040100,0.20957661
201401040200,0.20298166
201401040300,0.17121116
201401040400,0.13910521
201401040500,0.11681708
201401040600,0.10619974
201401040700,0.10125672
201401040800,0.03557012
201401040900,0.0085498
201401041000,0.00889061
201401041100,0.00458881
201401041200,0.00182523
201401041300,0.00116442
201401041400,0.00173369
201401041500,0.01752158
201401041600,0.09242209
201401041700,0.19444291
201401041800,0.22640364
201401041900,0.14716127
201401042000,0.057932
201401042100,0.00925073
201401042200,0.0005608
201401042300,0.00159157
201401050000,0.00634778
201401050100,0.00794172
201401050200,0.01880358
201401050300,0.04159988
201401050400,0.05822499
201401050500,0.06499899
201401050600,0.07876034
201401050700,0.10476589
201401050800,0.08872469
201401050900,0.02619148
201401051000,0.00906937
201401051100,0.00221189
201401051200,2.033e-05
201401051300,0.0
201401051400,0.00160106
201401051500,0.04616521
201401051600,0.22021173
201401051700,0.42984739
201401051800,0.61023077
201401051900,0.53860106
201401052000,0.45731047
201401052100,0.28252419
201401052200,0.17078079
201401052300,0.13703656
201401060000,0.13591787
201401060100,0.15213919
201401060200,0.14777346
201401060300,0.15150747
201401060400,0.15188915
201401060500,0.15693693
201401060600,0.19118686
201401060700,0.18295875
201401060800,0.14489976
201401060900,0.17212685
201401061000,0.19168903
201401061100,0.18824891
201401061200,0.17049678
201401061300,0.14979019
201401061400,0.14878877
201401061500,0.17577187
201401061600,0.19613226
201401061700,0.18363987
201401061800,0.15721239
201401061900,0.16833519
201401062000,0.13175739
201401062100,0.06916697
201401062200,0.01889353
201401062300,0.01213336
201401070000,0.01473333
201401070100,0.01595656
201401070200,0.01520296
201401070300,0.01813206
201401070400,0.01909695
201401070500,0.01574845
201401070600,0.01443653
201401070700,0.01429596
201401070800,0.0123735
201401070900,0.00926597
201401071000,0.00587673
201401071100,0.00593349
201401071200,0.00374553
201401071300,0.00072709
201401071400,2.296e-05
201401071500,5.28e-06
201401071600,1.08e-05
201401071700,6.16e-06
201401071800,0.00178317
201401071900,0.00857524
201401072000,0.02023951
201401072100,0.03360552
201401072200,0.04506554
201401072300,0.04939291
201401080000,0.05103236
201401080100,0.05805278
201401080200,0.0765175
201401080300,0.08760153
201401080400,0.08406359
201401080500,0.08246935
201401080600,0.08935516
201401080700,0.09609637
201401080800,0.03651414
201401080900,0.00395111
201401081000,0.00866403
201401081100,0.02612472
201401081200,0.04596853
201401081300,0.0731956
201401081400,0.10092005
201401081500,0.12203558
201401081600,0.13731439
201401081700,0.12551624
201401081800,0.11332431
201401081900,0.08252842
201401082000,0.04677314
201401082100,0.01162099
201401082200,0.00035805
201401082300,0.00012092
201401090000,0.00535962
201401090100,0.03803057
201401090200,0.07833026
201401090300,0.09066156
201401090400,0.07730784
201401090500,0.0591129
201401090600,0.04427108
201401090700,0.03716738
201401090800,0.01397226
201401090900,0.00044022
201401091000,0.00026717
201401091100,0.00014662
201401091200,0.00056307
201401091300,0.02183702
201401091400,0.05256015
201401091500,0.0827835
201401091600,0.10893687
201401091700,0.12070309
201401091800,0.11852401
201401091900,0.10688235
201401092000,0.08441062
201401092100,0.06107523
201401092200,0.03426545
201401092300,0.01612889
201401100000,0.00589689
201401100100,0.00136457
201401100200,0.0002379
