month,day,hour,capacity_factor
1,1,0.0,0.02719352
1,1,1.0,0.01108098
1,1,2.0,0.00243406
1,1,3.0,0.00027114
1,1,4.0,3.023e-05
1,1,5.0,2.012e-05
1,1,6.0,2.853e-05
1,1,7.0,3.415e-05
1,1,8.0,9.52e-06
1,1,9.0,2.836e-05
1,1,10.0,0.00831481
1,1,11.0,0.06155561
1,1,12.0,0.14656228
1,1,13.0,0.20598025
1,1,14.0,0.21978078
1,1,15.0,0.18647679
1,1,16.0,0.10832216
1,1,17.0,0.05280175
1,1,18.0,0.03724991
1,1,19.0,0.02659184
1,1,20.0,0.02116439
1,1,21.0,0.02192296
1,1,22.0,0.03358579
1,1,23.0,0.05779245
1,2,0.0,0.08609311
1,2,1.0,0.10341888
1,2,2.0,0.11769847
1,2,3.0,0.13674253
1,2,4.0,0.14768721
1,2,5.0,0.13964747
1,2,6.0,0.13320689
1,2,7.0,0.13708295
1,2,8.0,0.07891259
1,2,9.0,0.16648131
1,2,10.0,0.28892901
1,2,11.0,0.36545724
1,2,12.0,0.39508411
1,2,13.0,0.39732923
1,2,14.0,0.40033066
1,2,15.0,0.41193403
1,2,16.0,0.45336993
1,2,17.0,0.49629518
1,2,18.0,0.46743532
1,2,19.0,0.49109066
1,2,20.0,0.60371459
1,2,21.0,0.67616833
1,2,22.0,0.7030938
1,2,23.0,0.61023201
1,3,0.0,0.47349606
1,3,1.0,0.30941266
1,3,2.0,0.18394487
1,3,3.0,0.09277779
1,3,4.0,0.06042727
1,3,5.0,0.04679275
1,3,6.0,0.03796342
1,3,7.0,0.03539861
1,3,8.0,0.02394511
1,3,9.0,0.02610302
1,3,10.0,0.02451583
1,3,11.0,0.01672261
1,3,12.0,0.00890857
1,3,13.0,0.00266024
1,3,14.0,0.00018157
1,3,15.0,0.00012507
1,3,16.0,0.00396511
1,3,17.0,0.02012577
1,3,18.0,0.12047402
1,3,19.0,0.1204031
1,3,20.0,0.06713618
1,3,21.0,0.03946169
1,3,22.0,0.03414066
1,3,23.0,0.051376
1,4,0.0,0.09489049
1,4,1.0,0.16435104
1,4,2.0,0.25906186
1,4,3.0,0.34097522
1,4,4.0,0.37894664
1,4,5.0,0.40697824
1,4,6.0,0.39508657
1,4,7.0,0.34353945
1,4,8.0,0.21978066
1,4,9.0,0.14481894
1,4,10.0,0.38655884
1,4,11.0,0.4341494
1,4,12.0,0.40048954
1,4,13.0,0.34322422
1,4,14.0,0.30263547
1,4,15.0,0.26374721
1,4,16.0,0.16110903
1,4,17.0,0.08095527
1,4,18.0,0.06310128
1,4,19.0,0.07203663
1,4,20.0,0.10956646
1,4,21.0,0.18462369
1,4,22.0,0.28314182
1,4,23.0,0.38366681
1,5,0.0,0.49433123
1,5,1.0,0.58953159
1,5,2.0,0.64030847
1,5,3.0,0.6434216
1,5,4.0,0.62072604
1,5,5.0,0.57788128
1,5,6.0,0.53239102
1,5,7.0,0.51398287
1,5,8.0,0.35032325
1,5,9.0,0.26497442
1,5,10.0,0.47590644
1,5,11.0,0.40634165
1,5,12.0,0.29027204
1,5,13.0,0.20252245
1,5,14.0,0.14398201
1,5,15.0,0.08656384
1,5,16.0,0.03778531
1,5,17.0,0.01496128
1,5,18.0,0.04601056
1,5,19.0,0.1110173
1,5,20.0,0.17030483
1,5,21.0,0.21822244
1,5,22.0,0.27911619
1,5,23.0,0.32770289
1,6,0.0,0.33056328
1,6,1.0,0.28960515
1,6,2.0,0.2407298
1,6,3.0,0.23788834
1,6,4.0,0.26393991
1,6,5.0,0.29572248
1,6,6.0,0.3091823
1,6,7.0,0.33008127
1,6,8.0,0.34758458
1,6,9.0,0.36424508
1,6,10.0,0.39471878
1,6,11.0,0.4310368
1,6,12.0,0.45665126
1,6,13.0,0.47149296
1,6,14.0,0.46583553
1,6,15.0,0.38832162
1,6,16.0,0.31750682
1,6,17.0,0.31314913
1,6,18.0,0.36058329
1,6,19.0,0.39505958
1,6,20.0,0.39458609
1,6,21.0,0.35942376
1,6,22.0,0.29640753
1,6,23.0,0.23402
1,7,0.0,0.1698698
1,7,1.0,0.1153428
1,7,2.0,0.08098646
1,7,3.0,0.04991235
1,7,4.0,0.03511657
1,7,5.0,0.03603113
1,7,6.0,0.04766143
1,7,7.0,0.05868518
1,7,8.0,0.0784782
1,7,9.0,0.12957452
1,7,10.0,0.14541099
1,7,11.0,0.11699129
1,7,12.0,0.04285752
1,7,13.0,0.01619892
1,7,14.0,0.00272594
1,7,15.0,0.00111029
1,7,16.0,0.00186429
1,7,17.0,0.01698279
1,7,18.0,0.1012902
1,7,19.0,0.11289204
1,7,20.0,0.09135462
1,7,21.0,0.0734809
1,7,22.0,0.06806744
1,7,23.0,0.06474988
1,8,0.0,0.05486872
1,8,1.0,0.0489665
1,8,2.0,0.06882245
1,8,3.0,0.12071804
1,8,4.0,0.18260829
1,8,5.0,0.23147298
1,8,6.0,0.25313347
1,8,7.0,0.25319335
1,8,8.0,0.14490653
1,8,9.0,0.06135858
1,8,10.0,0.07331639
1,8,11.0,0.06745674
1,8,12.0,0.06265238
1,8,13.0,0.05588521
1,8,14.0,0.04223929
1,8,15.0,0.02959799
1,8,16.0,0.01912307
1,8,17.0,0.02844523
1,8,18.0,0.04475333
1,8,19.0,0.04272985
1,8,20.0,0.04130496
1,8,21.0,0.04004864
1,8,22.0,0.03721605
1,8,23.0,0.03680451
1,9,0.0,0.04523744
1,9,1.0,0.06480684
1,9,2.0,0.09280059
1,9,3.0,0.11235586
1,9,4.0,0.1146802
1,9,5.0,0.1067726
1,9,6.0,0.09282363
1,9,7.0,0.07917497
1,9,8.0,0.04615361
1,9,9.0,0.01012827
1,9,10.0,0.02293314
1,9,11.0,0.04935445
1,9,12.0,0.07132563
1,9,13.0,0.08857495
1,9,14.0,0.10061406
1,9,15.0,0.1084313
1,9,16.0,0.11027931
1,9,17.0,0.10938818
1,9,18.0,0.12907309
1,9,19.0,0.13100064
1,9,20.0,0.13216167
1,9,21.0,0.14799072
1,9,22.0,0.20888403
1,9,23.0,0.32771599
1,10,0.0,0.465872
1,10,1.0,0.55740129
1,10,2.0,0.56866992
1,10,3.0,0.5564439
1,10,4.0,0.5378524
1,10,5.0,0.52534673
1,10,6.0,0.52261827
1,10,7.0,0.5196476
1,10,8.0,0.3200729
1,10,9.0,0.28581928
1,10,10.0,0.59243735
1,10,11.0,0.6852131
1,10,12.0,0.73673054
1,10,13.0,0.75492947
1,10,14.0,0.74787282
1,10,15.0,0.72848912
1,10,16.0,0.65809892
1,10,17.0,0.47704287
1,10,18.0,0.41131904
1,10,19.0,0.40240462
1,10,20.0,0.43509866
1,10,21.0,0.47925389
1,10,22.0,0.51100798
1,10,23.0,0.53214708
1,11,0.0,0.52767931
1,11,1.0,0.50760241
1,11,2.0,0.4883417
1,11,3.0,0.44718591
1,11,4.0,0.38462628
1,11,5.0,0.30632363
1,11,6.0,0.23319019
1,11,7.0,0.18542886
1,11,8.0,0.09282303
1,11,9.0,0.02812349
1,11,10.0,0.04045516
1,11,11.0,0.04118301
1,11,12.0,0.04312559
1,11,13.0,0.05022731
1,11,14.0,0.0702364
1,11,15.0,0.12195993
1,11,16.0,0.20767006
1,11,17.0,0.34333568
1,11,18.0,0.53481308
1,11,19.0,0.60122139
1,11,20.0,0.62985142
1,11,21.0,0.56256775
1,11,22.0,0.44859724
1,11,23.0,0.36721653
1,12,0.0,0.23979305
1,12,1.0,0.15918633
1,12,2.0,0.14378719
1,12,3.0,0.08509481
1,12,4.0,0.04368442
1,12,5.0,0.04503383
1,12,6.0,0.05126662
1,12,7.0,0.04092269
1,12,8.0,0.03539476
1,12,9.0,0.05270473
1,12,10.0,0.13007951
1,12,11.0,0.18766091
1,12,12.0,0.26184235
1,12,13.0,0.35977746
1,12,14.0,0.43970746
1,12,15.0,0.46629163
