month,day,hour,capacity_factor
1,1,0.0,0.10603041
1,1,1.0,0.1012475
1,1,2.0,0.08924875
1,1,3.0,0.07061762
1,1,4.0,0.04997975
1,1,5.0,0.03154595
1,1,6.0,0.0169768
1,1,7.0,0.00530009
1,1,8.0,0.00050969
1,1,9.0,0.00163623
1,1,10.0,0.01463272
1,1,11.0,0.01441647
1,1,12.0,0.0104827
1,1,13.0,0.0049661
1,1,14.0,0.00242882
1,1,15.0,0.00218387
1,1,16.0,0.00145697
1,1,17.0,0.00119137
1,1,18.0,0.00067748
1,1,19.0,0.00013246
1,1,20.0,1.04e-05
1,1,21.0,0.0
1,1,22.0,0.0
1,1,23.0,0.0
1,2,0.0,2.96e-06
1,2,1.0,1.529e-05
1,2,2.0,4.133e-05
1,2,3.0,2.86e-05
1,2,4.0,3.168e-05
1,2,5.0,6.528e-05
1,2,6.0,0.00020854
1,2,7.0,0.00097046
1,2,8.0,0.00717806
1,2,9.0,0.03009126
1,2,10.0,0.05404856
1,2,11.0,0.08187903
1,2,12.0,0.10273338
1,2,13.0,0.12523733
1,2,14.0,0.15312843
1,2,15.0,0.2008445
1,2,16.0,0.29000953
1,2,17.0,0.33675228
1,2,18.0,0.32771021
1,2,19.0,0.5005155
1,2,20.0,0.61598466
1,2,21.0,0.64408922
1,2,22.0,0.70032082
1,2,23.0,0.74956816
1,3,0.0,0.72705532
1,3,1.0,0.69245977
1,3,2.0,0.65826522
1,3,3.0,0.65012595
1,3,4.0,0.65214249
1,3,5.0,0.6575107
1,3,6.0,0.66309543
1,3,7.0,0.67666879
1,3,8.0,0.73391787
1,3,9.0,0.70334345
1,3,10.0,0.66665867
1,3,11.0,0.59591875
1,3,12.0,0.53104285
1,3,13.0,0.47535174
1,3,14.0,0.41955667
1,3,15.0,0.39105152
1,3,16.0,0.37893873
1,3,17.0,0.35238461
1,3,18.0,0.27943447
1,3,19.0,0.32005622
1,3,20.0,0.3200437
1,3,21.0,0.27644493
1,3,22.0,0.20861251
1,3,23.0,0.16821471
1,4,0.0,0.13440371
1,4,1.0,0.11703213
1,4,2.0,0.1113035
1,4,3.0,0.08907868
1,4,4.0,0.07344841
1,4,5.0,0.06026405
1,4,6.0,0.04393491
1,4,7.0,0.02355644
1,4,8.0,0.00772528
1,4,9.0,0.0010609
1,4,10.0,0.00067423
1,4,11.0,0.00107475
1,4,12.0,0.00042782
1,4,13.0,4.62e-05
1,4,14.0,0.0001581
1,4,15.0,0.00252131
1,4,16.0,0.00602055
1,4,17.0,0.01221156
1,4,18.0,0.0110918
1,4,19.0,0.00526122
1,4,20.0,0.00438671
1,4,21.0,0.00672636
1,4,22.0,0.01000014
1,4,23.0,0.01074034
1,5,0.0,0.00619545
1,5,1.0,0.00301761
1,5,2.0,0.00147368
1,5,3.0,0.0005689
1,5,4.0,0.00014726
1,5,5.0,5.278e-05
1,5,6.0,7.474e-05
1,5,7.0,0.00016361
1,5,8.0,0.0002491
1,5,9.0,0.00110168
1,5,10.0,0.00121127
1,5,11.0,0.00098857
1,5,12.0,0.00064438
1,5,13.0,0.00074172
1,5,14.0,0.00091587
1,5,15.0,0.00304298
1,5,16.0,0.00441013
1,5,17.0,0.00594322
1,5,18.0,0.00242863
1,5,19.0,0.00023523
1,5,20.0,4.96e-06
1,5,21.0,6.35e-06
1,5,22.0,0.00040359
1,5,23.0,0.00499273
1,6,0.0,0.02254334
1,6,1.0,0.06692215
1,6,2.0,0.13697347
1,6,3.0,0.20124842
1,6,4.0,0.30200639
1,6,5.0,0.30835513
1,6,6.0,0.30893054
1,6,7.0,0.3078678
1,6,8.0,0.46649011
1,6,9.0,0.52262124
1,6,10.0,0.52262312
1,6,11.0,0.55063214
1,6,12.0,0.5636747
1,6,13.0,0.56382715
1,6,14.0,0.58265758
1,6,15.0,0.61277647
1,6,16.0,0.64648631
1,6,17.0,0.64600059
1,6,18.0,0.62380059
1,6,19.0,0.71186047
1,6,20.0,0.71302925
1,6,21.0,0.74678531
1,6,22.0,0.74386021
1,6,23.0,0.7263031
1,7,0.0,0.69775064
1,7,1.0,0.64324401
1,7,2.0,0.57772173
1,7,3.0,0.57577651
1,7,4.0,0.51578931
1,7,5.0,0.49124174
1,7,6.0,0.48263207
1,7,7.0,0.51032021
1,7,8.0,0.59219766
1,7,9.0,0.57694806
1,7,10.0,0.55808258
1,7,11.0,0.522624
1,7,12.0,0.44781149
1,7,13.0,0.37155031
1,7,14.0,0.32773647
1,7,15.0,0.31479552
1,7,16.0,0.32577344
1,7,17.0,0.332352
1,7,18.0,0.29379157
1,7,19.0,0.33235857
1,7,20.0,0.36702853
1,7,21.0,0.36293193
1,7,22.0,0.30349873
1,7,23.0,0.27159497
1,8,0.0,0.24313105
1,8,1.0,0.19742262
1,8,2.0,0.17857105
1,8,3.0,0.16700282
1,8,4.0,0.15095709
1,8,5.0,0.13545555
1,8,6.0,0.11931511
1,8,7.0,0.10122459
1,8,8.0,0.08680208
1,8,9.0,0.09196382
1,8,10.0,0.08656801
1,8,11.0,0.04758041
1,8,12.0,0.01487239
1,8,13.0,0.00024099
1,8,14.0,0.00014376
1,8,15.0,0.00013811
1,8,16.0,0.00074189
1,8,17.0,0.01451648
1,8,18.0,0.02245281
1,8,19.0,0.0151299
1,8,20.0,0.01378431
1,8,21.0,0.02313161
1,8,22.0,0.03458593
1,8,23.0,0.0373648
1,9,0.0,0.03356393
1,9,1.0,0.03108957
1,9,2.0,0.03043179
1,9,3.0,0.0351567
1,9,4.0,0.04322873
1,9,5.0,0.04890463
1,9,6.0,0.05406626
1,9,7.0,0.05715748
1,9,8.0,0.03681151
1,9,9.0,0.05900017
1,9,10.0,0.04221477
1,9,11.0,0.02186084
1,9,12.0,0.01224747
1,9,13.0,0.00247566
1,9,14.0,0.00086466
1,9,15.0,0.00747747
1,9,16.0,0.02016598
1,9,17.0,0.03617798
1,9,18.0,0.04204909
1,9,19.0,0.03878662
1,9,20.0,0.03851505
1,9,21.0,0.03516233
1,9,22.0,0.02592248
1,9,23.0,0.01672852
1,10,0.0,0.01078779
1,10,1.0,0.00779356
1,10,2.0,0.00719782
1,10,3.0,0.00779871
1,10,4.0,0.00675226
1,10,5.0,0.00520855
1,10,6.0,0.0032659
1,10,7.0,0.00150431
1,10,8.0,0.00013385
1,10,9.0,0.00143906
1,10,10.0,0.0039266
1,10,11.0,0.00467476
1,10,12.0,0.00489843
1,10,13.0,0.00432449
1,10,14.0,0.00642369
1,10,15.0,0.01088277
1,10,16.0,0.01650052
1,10,17.0,0.01304585
1,10,18.0,0.00446431
1,10,19.0,0.00096708
1,10,20.0,0.00013046
1,10,21.0,9.89e-05
1,10,22.0,0.00027172
1,10,23.0,0.00050204
1,11,0.0,0.00058178
1,11,1.0,0.00077968
1,11,2.0,0.00138924
1,11,3.0,0.00254126
1,11,4.0,0.00388239
1,11,5.0,0.00485596
1,11,6.0,0.00590965
1,11,7.0,0.00666673
1,11,8.0,0.00521808
1,11,9.0,0.04045819
1,11,10.0,0.06083172
1,11,11.0,0.07642526
1,11,12.0,0.09346056
1,11,13.0,0.11040629
1,11,14.0,0.13025028
1,11,15.0,0.17093768
1,11,16.0,0.22078216
1,11,17.0,0.20935825
1,11,18.0,0.1775498
1,11,19.0,0.1919497
1,11,20.0,0.21010622
1,11,21.0,0.22740366
1,11,22.0,0.21910391
1,11,23.0,0.2248639
1,12,0.0,0.24075319
1,12,1.0,0.20744307
1,12,2.0,0.17515576
1,12,3.0,0.17697153
1,12,4.0,0.1573564
1,12,5.0,0.1414198
1,12,6.0,0.11882394
1,12,7.0,0.09325794
1,12,8.0,0.10475542
1,12,9.0,0.0894744
1,12,10.0,0.05473889
1,12,11.0,0.03478164
1,12,12.0,0.02467903
1,12,13.0,0.01943089
1,12,14.0,0.0174384
1,12,15.0,0.01839058
1,12,16.0,0.0204864
1,12,17.0,0.02011077
1,12,18.0,0.01506096
1,12,19.0,0.0073453
1,12,20.0,0.00256709
1,12,21.0,0.00085718
1,12,22.0,0.00031333
1,12,23.0,0.00021132
1,13,0.0,0.00035008
1,13,1.0,0.00054322
1,13,2.0,0.00069033
1,13,3.0,0.00062973
1,13,4.0,0.00081034
1,13,5.0,0.00136563
1,13,6.0,0.0015938
1,13,7.0,0.00109383
1,13,8.0,7.476e-05
1,13,9.0,6.431e-05
1,13,10.0,0.00051226
1,13,11.0,0.00149347
1,13,12.0,0.00218006
1,13,13.0,0.00230156
1,13,14.0,0.00282087
1,13,15.0,0.00657601
1,13,16.0,0.01933815
1,13,17.0,0.02875249
1,13,18.0,0.04654187
1,13,19.0,0.07558256
1,13,20.0,0.12613141
1,13,21.0,0.16738673
1,13,22.0,0.1973932
1,13,23.0,0.20741448
1,14,0.0,0.22308186
1,14,1.0,0.32259903
1,14,2.0,0.41666719
1,14,3.0,0.46996888
1,14,4.0,0.46629255
1,14,5.0,0.43877057
1,14,6.0,0.41955453
1,14,7.0,0.36927893
1,14,8.0,0.54972733
1,14,9.0,0.55253625
1,14,10.0,0.44427074
1,14,11.0,0.31071937
1,14,12.0,0.19673662
1,14,13.0,0.12362871
1,14,14.0,0.07956394
1,14,15.0,0.07330176
1,14,16.0,0.10616845
1,14,17.0,0.15718438
1,14,18.0,0.17131323
1,14,19.0,0.12358203
1,14,20.0,0.0974016
1,14,21.0,0.10333516
1,14,22.0,0.1177228
1,14,23.0,0.1052861
1,15,0.0,0.10123162
1,15,1.0,0.10835768
1,15,2.0,0.11279527
1,15,3.0,0.12916347
1,15,4.0,0.17149998
1,15,5.0,0.22305909
1,15,6.0,0.30808191
1,15,7.0,0.33286218
1,15,8.0,0.5504532
1,15,9.0,0.8469438
1,15,10.0,0.90516228
1,15,11.0,0.93089116
1,15,12.0,0.94004445
1,15,13.0,0.94194636
1,15,14.0,0.94498932
1,15,15.0,0.94751295
1,15,16.0,0.94791189
1,15,17.0,0.92837335
1,15,18.0,0.88966075
1,15,19.0,0.89992065
1,15,20.0,0.86449851
1,15,21.0,0.79078977
1,15,22.0,0.7221211
1,15,23.0,0.61434401
1,16,0.0,0.58035875
1,16,1.0,0.46636907
1,16,2.0,0.44667201
1,16,3.0,0.37067841
1,16,4.0,0.30752744
1,16,5.0,0.29104961
1,16,6.0,0.26802005
1,16,7.0,0.29379274
1,16,8.0,0.29407658
1,16,9.0,0.26649503
1,16,10.0,0.2239561
1,16,11.0,0.1746243
1,16,12.0,0.10787459
1,16,13.0,0.05341353
1,16,14.0,0.01505887
1,16,15.0,0.00661315
1,16,16.0,0.01785159
1,16,17.0,0.04423009
1,16,18.0,0.0570909
1,16,19.0,0.04273958
1,16,20.0,0.02782268
1,16,21.0,0.02431221
1,16,22.0,0.03083925
1,16,23.0,0.03710926
1,17,0.0,0.03353025
1,17,1.0,0.02833858
1,17,2.0,0.02515217
1,17,3.0,0.02257783
1,17,4.0,0.01821359
1,17,5.0,0.01494669
1,17,6.0,0.01477357
1,17,7.0,0.01915019
1,17,8.0,0.01556341
1,17,9.0,0.0238511
1,17,10.0,0.01135884
1,17,11.0,0.0013718
1,17,12.0,0.00022368
1,17,13.0,0.00042717
1,17,14.0,0.00081955
1,17,15.0,0.00165222
1,17,16.0,0.0416877
1,17,17.0,0.11061456
1,17,18.0,0.1619685
1,17,19.0,0.20150426
1,17,20.0,0.20617631
1,17,21.0,0.21649542
1,17,22.0,0.25357553
1,17,23.0,0.27442206
1,18,0.0,0.28443878
1,18,1.0,0.24827852
1,18,2.0,0.25138013
1,18,3.0,0.28410351
1,18,4.0,0.27735179
1,18,5.0,0.2673262
1,18,6.0,0.22039066
1,18,7.0,0.20969671
1,18,8.0,0.19874091
1,18,9.0,0.1546128
1,18,10.0,0.09673484
1,18,11.0,0.02523549
1,18,12.0,0.00010554
1,18,13.0,6.663e-05
1,18,14.0,0.002508
1,18,15.0,0.00528686
1,18,16.0,0.00946705
1,18,17.0,0.02822061
1,18,18.0,0.03991591
1,18,19.0,0.03356134
1,18,20.0,0.03184075
1,18,21.0,0.03757352
1,18,22.0,0.04130047
1,18,23.0,0.03546755
1,19,0.0,0.0365249
1,19,1.0,0.03453491
1,19,2.0,0.03022022
1,19,3.0,0.02862514
1,19,4.0,0.03235764
1,19,5.0,0.0431403
1,19,6.0,0.05779764
1,19,7.0,0.05953282
