timepoint,capacity_factor
201401010000,0.10603041
201401010100,0.1012475
201401010200,0.08924875
201401010300,0.07061762
201401010400,0.04997975
201401010500,0.03154595
201401010600,0.0169768
201401010700,0.00530009
201401010800,0.00050969
201401010900,0.00163623
201401011000,0.01463272
201401011100,0.01441647
201401011200,0.0104827
201401011300,0.0049661
201401011400,0.00242882
201401011500,0.00218387
201401011600,0.00145697
201401011700,0.00119137
201401011800,0.00067748
201401011900,0.00013246
201401012000,1.04e-05
201401012100,0.0
201401012200,0.0
201401012300,0.0
201401020000,2.96e-06
201401020100,1.529e-05
201401020200,4.133e-05
201401020300,2.86e-05
201401020400,3.168e-05
201401020500,6.528e-05
201401020600,0.00020854
201401020700,0.00097046
201401020800,0.00717806
201401020900,0.03009126
201401021000,0.05404856
201401021100,0.08187903
201401021200,0.10273338
201401021300,0.12523733
201401021400,0.15312843
201401021500,0.2008445
201401021600,0.29000953
201401021700,0.33675228
201401021800,0.32771021
201401021900,0.5005155
201401022000,0.61598466
201401022100,0.64408922
201401022200,0.70032082
201401022300,0.74956816
201401030000,0.72705532
201401030100,0.69245977
201401030200,0.65826522
201401030300,0.65012595
201401030400,0.65214249
201401030500,0.6575107
201401030600,0.66309543
201401030700,0.67666879
201401030800,0.73391787
201401030900,0.70334345
201401031000,0.66665867
201401031100,0.59591875
201401031200,0.53104285
201401031300,0.47535174
201401031400,0.41955667
201401031500,0.39105152
201401031600,0.37893873
201401031700,0.35238461
201401031800,0.27943447
201401031900,0.32005622
201401032000,0.3200437
201401032100,0.27644493
201401032200,0.20861251
201401032300,0.16821471
201401040000,0.13440371
201401040100,0.11703213
201401040200,0.1113035
201401040300,0.08907868
201401040400,0.07344841
201401040500,0.06026405
201401040600,0.04393491
201401040700,0.02355644
201401040800,0.00772528
201401040900,0.0010609
201401041000,0.00067423
201401041100,0.00107475
201401041200,0.00042782
201401041300,4.62e-05
201401041400,0.0001581
201401041500,0.00252131
201401041600,0.00602055
201401041700,0.01221156
201401041800,0.0110918
201401041900,0.00526122
201401042000,0.00438671
201401042100,0.00672636
201401042200,0.01000014
201401042300,0.01074034
201401050000,0.00619545
201401050100,0.00301761
201401050200,0.00147368
201401050300,0.0005689
201401050400,0.00014726
201401050500,5.278e-05
201401050600,7.474e-05
201401050700,0.00016361
201401050800,0.0002491
201401050900,0.00110168
201401051000,0.00121127
201401051100,0.00098857
201401051200,0.00064438
201401051300,0.00074172
201401051400,0.00091587
201401051500,0.00304298
201401051600,0.00441013
201401051700,0.00594322
201401051800,0.00242863
201401051900,0.00023523
201401052000,4.96e-06
201401052100,6.35e-06
201401052200,0.00040359
201401052300,0.00499273
201401060000,0.02254334
201401060100,0.06692215
201401060200,0.13697347
201401060300,0.20124842
201401060400,0.30200639
201401060500,0.30835513
201401060600,0.30893054
201401060700,0.3078678
201401060800,0.46649011
201401060900,0.52262124
201401061000,0.52262312
201401061100,0.55063214
201401061200,0.5636747
201401061300,0.56382715
201401061400,0.58265758
201401061500,0.61277647
201401061600,0.64648631
201401061700,0.64600059
201401061800,0.62380059
201401061900,0.71186047
201401062000,0.71302925
201401062100,0.74678531
201401062200,0.74386021
201401062300,0.7263031
201401070000,0.69775064
201401070100,0.64324401
201401070200,0.57772173
201401070300,0.57577651
201401070400,0.51578931
201401070500,0.49124174
201401070600,0.48263207
201401070700,0.51032021
201401070800,0.59219766
201401070900,0.57694806
201401071000,0.55808258
201401071100,0.522624
201401071200,0.44781149
201401071300,0.37155031
201401071400,0.32773647
201401071500,0.31479552
201401071600,0.32577344
201401071700,0.332352
201401071800,0.29379157
201401071900,0.33235857
201401072000,0.36702853
201401072100,0.36293193
201401072200,0.30349873
201401072300,0.27159497
201401080000,0.24313105
201401080100,0.19742262
201401080200,0.17857105
201401080300,0.16700282
201401080400,0.15095709
201401080500,0.13545555
201401080600,0.11931511
201401080700,0.10122459
201401080800,0.08680208
201401080900,0.09196382
201401081000,0.08656801
201401081100,0.04758041
201401081200,0.01487239
201401081300,0.00024099
201401081400,0.00014376
201401081500,0.00013811
201401081600,0.00074189
201401081700,0.01451648
201401081800,0.02245281
201401081900,0.0151299
201401082000,0.01378431
201401082100,0.02313161
201401082200,0.03458593
201401082300,0.0373648
201401090000,0.03356393
201401090100,0.03108957
201401090200,0.03043179
201401090300,0.0351567
201401090400,0.04322873
201401090500,0.04890463
201401090600,0.05406626
201401090700,0.05715748
201401090800,0.03681151
201401090900,0.05900017
201401091000,0.04221477
201401091100,0.02186084
201401091200,0.01224747
201401091300,0.00247566
201401091400,0.00086466
201401091500,0.00747747
201401091600,0.02016598
201401091700,0.03617798
201401091800,0.04204909
201401091900,0.03878662
201401092000,0.03851505
201401092100,0.03516233
201401092200,0.02592248
201401092300,0.01672852
201401100000,0.01078779
201401100100,0.00779356
201401100200,0.00719782
201401100300,0.00779871
201401100400,0.00675226
201401100500,0.00520855
201401100600,0.0032659
201401100700,0.00150431
201401100800,0.00013385
201401100900,0.00143906
201401101000,0.0039266
201401101100,0.00467476
201401101200,0.00489843
201401101300,0.00432449
201401101400,0.00642369
201401101500,0.01088277
201401101600,0.01650052
201401101700,0.01304585
201401101800,0.00446431
201401101900,0.00096708
201401102000,0.00013046
201401102100,9.89e-05
201401102200,0.00027172
201401102300,0.00050204
201401110000,0.00058178
201401110100,0.00077968
201401110200,0.00138924
201401110300,0.00254126
201401110400,0.00388239
201401110500,0.00485596
201401110600,0.00590965
201401110700,0.00666673
201401110800,0.00521808
201401110900,0.04045819
201401111000,0.06083172
201401111100,0.07642526
201401111200,0.09346056
201401111300,0.11040629
201401111400,0.13025028
201401111500,0.17093768
201401111600,0.22078216
201401111700,0.20935825
201401111800,0.1775498
201401111900,0.1919497
201401112000,0.21010622
201401112100,0.22740366
201401112200,0.21910391
201401112300,0.2248639
201401120000,0.24075319
201401120100,0.20744307
201401120200,0.17515576
201401120300,0.17697153
201401120400,0.1573564
201401120500,0.1414198
201401120600,0.11882394
201401120700,0.09325794
201401120800,0.10475542
201401120900,0.0894744
201401121000,0.05473889
201401121100,0.03478164
201401121200,0.02467903
201401121300,0.01943089
201401121400,0.0174384
201401121500,0.01839058
201401121600,0.0204864
201401121700,0.02011077
201401121800,0.01506096
201401121900,0.0073453
201401122000,0.00256709
201401122100,0.00085718
201401122200,0.00031333
201401122300,0.00021132
201401130000,0.00035008
201401130100,0.00054322
201401130200,0.00069033
201401130300,0.00062973
201401130400,0.00081034
201401130500,0.00136563
201401130600,0.0015938
201401130700,0.00109383
