timepoint,capacity_factor
201401010000,0.10249045
201401010100,0.10171276
201401010200,0.10207394
201401010300,0.1021558
201401010400,0.10122099
201401010500,0.0999195
201401010600,0.10339283
201401010700,0.05066783
201401010800,0.01392426
201401010900,0.06312687
201401011000,0.06981018
201401011100,0.04436401
201401011200,0.02115861
201401011300,0.0104683
201401011400,0.00545475
201401011500,0.00158762
201401011600,0.00017633
201401011700,0.00019472
201401011800,0.00827828
201401011900,0.03069528
201401012000,0.03764248
201401012100,0.03467739
201401012200,0.03676635
201401012300,0.04917507
201401020000,0.06045278
201401020100,0.06746688
201401020200,0.07054512
201401020300,0.07614008
201401020400,0.08046045
201401020500,0.0750614
201401020600,0.06411758
201401020700,0.02494361
201401020800,0.00115596
201401020900,0.00286689
201401021000,0.00263766
201401021100,0.00306633
201401021200,0.00373788
201401021300,0.00617207
201401021400,0.00955659
201401021500,0.01885071
201401021600,0.04171966
201401021700,0.10293564
201401021800,0.12227619
201401021900,0.08696079
201401022000,0.08291173
201401022100,0.11827816
201401022200,0.14405576
201401022300,0.17575431
201401030000,0.31202296
201401030100,0.35239548
201401030200,0.4036789
201401030300,0.4524645
201401030400,0.53215054
201401030500,0.51579204
201401030600,0.52652644
201401030700,0.5103163
201401030800,0.47869667
201401030900,0.5219522
201401031000,0.59864437
201401031100,0.58153856
201401031200,0.53757432
201401031300,0.51833289
201401031400,0.47594939
201401031500,0.41699603
201401031600,0.36163362
201401031700,0.32718072
201401031800,0.29447672
201401031900,0.28420177
201401032000,0.21981814
201401032100,0.20041314
201401032200,0.21879461
201401032300,0.21395488
201401040000,0.18251309
201401040100,0.15527645
201401040200,0.11772489
201401040300,0.08249282
201401040400,0.10124782
201401040500,0.13108961
201401040600,0.1452983
201401040700,0.09551438
201401040800,0.04718923
201401040900,0.1396899
201401041000,0.21484174
201401041100,0.21978878
201401041200,0.23730131
201401041300,0.28928883
201401041400,0.33157247
201401041500,0.29136469
201401041600,0.20085847
201401041700,0.15666767
201401041800,0.11761393
201401041900,0.11959956
201401042000,0.11486557
201401042100,0.10266392
201401042200,0.08914026
201401042300,0.0909127
201401050000,0.09051075
201401050100,0.08042412
201401050200,0.06782487
201401050300,0.06320756
201401050400,0.06029223
201401050500,0.05499138
201401050600,0.04118048
201401050700,0.02873293
201401050800,0.01596399
201401050900,0.04624851
201401051000,0.04389732
201401051100,0.02669837
201401051200,0.00854271
201401051300,0.00180645
201401051400,0.00151411
201401051500,0.00574578
201401051600,0.03189269
201401051700,0.0995403
201401051800,0.16257758
201401051900,0.16766389
201401052000,0.15179266
201401052100,0.1550493
201401052200,0.15412432
201401052300,0.17178615
201401060000,0.17092355
201401060100,0.14769997
201401060200,0.15972952
201401060300,0.16094422
201401060400,0.16621904
201401060500,0.20857177
201401060600,0.24528533
201401060700,0.13672934
201401060800,0.13063922
201401060900,0.30013786
201401061000,0.42111741
201401061100,0.50101962
201401061200,0.60761399
201401061300,0.72214397
201401061400,0.79660783
201401061500,0.83233463
201401061600,0.83390929
201401061700,0.84518772
201401061800,0.83717582
201401061900,0.83743996
201401062000,0.83696569
201401062100,0.84398238
