timepoint,capacity_factor
201401010000,0.00134334
201401010100,0.00329621
201401010200,0.00666455
201401010300,0.00655826
201401010400,0.00468716
201401010500,0.00390274
201401010600,0.00391949
201401010700,0.00516556
201401010800,0.00760625
201401010900,0.00634486
201401011000,0.00434469
201401011100,0.00333075
201401011200,0.00134498
201401011300,0.0006361
201401011400,0.00051554
201401011500,0.00054045
201401011600,0.00084064
201401011700,0.00467898
201401011800,0.01207047
201401011900,0.00917872
201401012000,0.00261882
201401012100,0.00060897
201401012200,0.00068851
201401012300,0.00286842
201401020000,0.00942848
201401020100,0.02124153
201401020200,0.06323986
201401020300,0.21404605
201401020400,0.51032392
201401020500,0.63045966
201401020600,0.68845287
201401020700,0.77191204
201401020800,0.85174053
201401020900,0.92101446
201401021000,0.88531743
201401021100,0.82868804
201401021200,0.76539495
201401021300,0.70445366
201401021400,0.65892401
201401021500,0.62426287
201401021600,0.51031384
201401021700,0.33416488
201401021800,0.33157415
201401021900,0.35719723
201401022000,0.38564191
201401022100,0.39507673
201401022200,0.37194737
201401022300,0.33005234
201401030000,0.28891022
201401030100,0.26374594
201401030200,0.25715852
201401030300,0.27442167
201401030400,0.30243755
201401030500,0.30534444
201401030600,0.27775141
201401030700,0.21571595
201401030800,0.07591862
201401030900,0.01994699
201401031000,0.0066416
201401031100,0.00422743
201401031200,0.00786044
201401031300,0.01680443
201401031400,0.02892383
201401031500,0.04483984
201401031600,0.06192409
201401031700,0.0946669
201401031800,0.19262695
201401031900,0.33020515
201401032000,0.419571
201401032100,0.43305723
201401032200,0.39412528
201401032300,0.35503191
201401040000,0.33208132
201401040100,0.34438809
201401040200,0.37973763
201401040300,0.43187555
201401040400,0.45454433
201401040500,0.44707533
201401040600,0.42926113
201401040700,0.37667911
201401040800,0.35497517
201401040900,0.45193986
201401041000,0.65263876
201401041100,0.57772177
201401041200,0.38832708
201401041300,0.23488225
201401041400,0.15436769
201401041500,0.1615717
201401041600,0.21443262
201401041700,0.33793798
201401041800,0.53214958
201401041900,0.63294869
201401042000,0.63351297
201401042100,0.57400863
201401042200,0.55320292
201401042300,0.55836351
201401050000,0.53352805
201401050100,0.49449882
201401050200,0.41275025
201401050300,0.3616011
201401050400,0.30716777
201401050500,0.23177078
201401050600,0.15666176
201401050700,0.09277442
201401050800,0.04506824
201401050900,0.07057836
201401051000,0.19143884
201401051100,0.64895457
201401051200,0.90169518
201401051300,0.9559368
201401051400,0.9623157
201401051500,0.95194512
201401051600,0.90826376
201401051700,0.76550656
201401051800,0.59083184
201401051900,0.5321472
201401052000,0.53460414
201401052100,0.55652823
201401052200,0.62671808
201401052300,0.72554319
201401060000,0.71531695
201401060100,0.69688107
201401060200,0.66580525
201401060300,0.5946355
201401060400,0.50094073
201401060500,0.42795227
201401060600,0.37578903
201401060700,0.37676352
201401060800,0.54433611
201401060900,0.59188394
201401061000,0.5959231
201401061100,0.56557129
201401061200,0.50548713
201401061300,0.46928373
201401061400,0.46074088
201401061500,0.39489441
201401061600,0.30496761
201401061700,0.19120313
201401061800,0.10124629
201401061900,0.0708903
201401062000,0.07341822
201401062100,0.08800345
201401062200,0.1025876
201401062300,0.11174156
201401070000,0.10844758
201401070100,0.10151999
201401070200,0.10724835
201401070300,0.11522606
201401070400,0.11226972
201401070500,0.1021804
201401070600,0.09775103
201401070700,0.09870821
201401070800,0.11068105
201401070900,0.09859294
201401071000,0.06757799
201401071100,0.0336015
201401071200,0.02981828
201401071300,0.04957539
201401071400,0.0701394
201401071500,0.09497974
201401071600,0.13298365
201401071700,0.1451651
201401071800,0.19227334
201401071900,0.2486739
201401072000,0.28595506
201401072100,0.24071521
201401072200,0.15459631
201401072300,0.10676805
201401080000,0.10084716
201401080100,0.13318581
201401080200,0.09667684
201401080300,0.05589585
201401080400,0.04327892
201401080500,0.0377017
201401080600,0.01699675
201401080700,0.00692749
201401080800,0.004519
201401080900,0.03280615
201401081000,0.10567413
201401081100,0.35241444
201401081200,0.61786133
201401081300,0.69488343
201401081400,0.6844026
201401081500,0.66103969
201401081600,0.60267033
201401081700,0.54015257
201401081800,0.59498614
201401081900,0.55516431
201401082000,0.53371207
201401082100,0.51305731
201401082200,0.4883419
201401082300,0.44222172
201401090000,0.41275011
201401090100,0.41273699
201401090200,0.41801807
201401090300,0.41956827
201401090400,0.3669076
201401090500,0.2545069
201401090600,0.1472121
201401090700,0.09864407
201401090800,0.046391
201401090900,0.16765382
201401091000,0.53074437
201401091100,0.63544613
201401091200,0.63709117
201401091300,0.62760742
201401091400,0.62073285
201401091500,0.62286316
201401091600,0.58906159
201401091700,0.55259906
201401091800,0.6102372
201401091900,0.58116583
201401092000,0.56240269
201401092100,0.5830444
201401092200,0.60293908
201401092300,0.62125217
201401100000,0.64241831
201401100100,0.66976746
201401100200,0.69353875
201401100300,0.70707565
201401100400,0.74591352
201401100500,0.77004176
201401100600,0.75949136
201401100700,0.70607093
201401100800,0.54022086
201401100900,0.82975981
201401101000,0.83443661
201401101100,0.70036283
201401101200,0.47303761
201401101300,0.298408
201401101400,0.18413298
201401101500,0.11938845
201401101600,0.08154077
201401101700,0.05916823
201401101800,0.02325396
201401101900,0.00021285
201401102000,0.00051043
201401102100,0.05778229
201401102200,0.1682713
201401102300,0.26140511
201401110000,0.3325978
201401110100,0.34419377
201401110200,0.28419122
201401110300,0.21804205
201401110400,0.17703374
201401110500,0.17621315
201401110600,0.24373228
201401110700,0.38226043
201401110800,0.34588183
201401110900,0.19386962
201401111000,0.27895811
201401111100,0.33417843
201401111200,0.29439194
201401111300,0.22302229
201401111400,0.18010973
201401111500,0.15871408
201401111600,0.14446636
201401111700,0.18501571
201401111800,0.27324634
201401111900,0.3616144
201401112000,0.39103523
201401112100,0.36734725
201401112200,0.31536079
201401112300,0.25905678
201401120000,0.19581221
201401120100,0.12575951
201401120200,0.06464771
201401120300,0.02668338
