timepoint,capacity_factor
201401010000,0.0
201401010100,0.0
201401010200,0.0
201401010300,0.0
201401010400,0.0
201401010500,0.0
201401010600,0.0
201401010700,0.0
201401010800,0.0
201401010900,0.0
201401011000,0.0
201401011100,0.0
201401011200,0.0
201401011300,0.253430450439
201401011400,0.453709503174
201401011500,0.406325042725
201401011600,0.251456100464
201401011700,0.0
201401011800,0.0
201401011900,0.0
201401012000,0.0
201401012100,0.0
201401012200,0.0
201401012300,0.0
201401020000,0.0
201401020100,0.0
201401020200,0.0
201401020300,0.0
201401020400,0.0
201401020500,0.0
201401020600,0.0
201401020700,0.0
201401020800,0.0
201401020900,0.0
201401021000,0.0
201401021100,0.0
201401021200,0.0
201401021300,0.246039001465
201401021400,0.454236999512
201401021500,0.410083007813
201401021600,0.256900787354
201401021700,0.0
201401021800,0.0
201401021900,0.0
201401022000,0.0
201401022100,0.0
201401022200,0.0
201401022300,0.0
201401030000,0.0
201401030100,0.0
201401030200,0.0
201401030300,0.0
201401030400,0.0
201401030500,0.0
201401030600,0.0
201401030700,0.0
201401030800,0.0
201401030900,0.0
201401031000,0.0
201401031100,0.0
201401031200,0.0
201401031300,0.0220291366577
201401031400,0.451692382813
201401031500,0.409270446777
201401031600,0.26012298584
201401031700,0.0
201401031800,0.0
201401031900,0.0
201401032000,0.0
201401032100,0.0
201401032200,0.0
201401032300,0.0
201401040000,0.0
201401040100,0.0
201401040200,0.0
201401040300,0.0
201401040400,0.0
201401040500,0.0
201401040600,0.0
201401040700,0.0
201401040800,0.0
201401040900,0.0
201401041000,0.0
201401041100,0.0
201401041200,0.0
201401041300,0.00823628616333
201401041400,0.0622910957336
201401041500,0.170546569824
201401041600,0.446042633057
201401041700,0.0
201401041800,0.0
201401041900,0.0
201401042000,0.0
201401042100,0.0
201401042200,0.0
201401042300,0.0
201401050000,0.0
201401050100,0.0
201401050200,0.0
201401050300,0.0
201401050400,0.0
201401050500,0.0
201401050600,0.0
201401050700,0.0
201401050800,0.0
201401050900,0.0
201401051000,0.0
201401051100,0.0
201401051200,0.0
201401051300,0.0057705783844
201401051400,0.0571970939636
201401051500,0.197017501831
201401051600,0.386852600098
201401051700,0.0
201401051800,0.0
201401051900,0.0
201401052000,0.0
201401052100,0.0
201401052200,0.0
201401052300,0.0
201401060000,0.0
201401060100,0.0
201401060200,0.0
201401060300,0.0
201401060400,0.0
201401060500,0.0
201401060600,0.0
201401060700,0.0
201401060800,0.0
201401060900,0.0
201401061000,0.0
201401061100,0.0
201401061200,0.0
201401061300,0.0
201401061400,0.0911947250366
201401061500,0.35217868042
201401061600,0.260173675537
201401061700,0.0
201401061800,0.0
201401061900,0.0
201401062000,0.0
201401062100,0.0
201401062200,0.0
201401062300,0.0
201401070000,0.0
201401070100,0.0
201401070200,0.0
201401070300,0.0
201401070400,0.0
201401070500,0.0
201401070600,0.0
201401070700,0.0
201401070800,0.0
201401070900,0.0
201401071000,0.0
201401071100,0.0
201401071200,0.0
201401071300,0.0220278720856
201401071400,0.463059448242
201401071500,0.409337127686
201401071600,0.263149169922
201401071700,0.0
201401071800,0.0
201401071900,0.0
201401072000,0.0
201401072100,0.0
201401072200,0.0
201401072300,0.0
201401080000,0.0
201401080100,0.0
201401080200,0.0
201401080300,0.0
201401080400,0.0
201401080500,0.0
201401080600,0.0
201401080700,0.0
201401080800,0.0
201401080900,0.0
201401081000,0.0
201401081100,0.0
201401081200,0.0
201401081300,0.251748931885
201401081400,0.459117401123
201401081500,0.416070556641
201401081600,0.273469299316
201401081700,0.0
201401081800,0.0
201401081900,0.0
201401082000,0.0
201401082100,0.0
201401082200,0.0
201401082300,0.0
201401090000,0.0
201401090100,0.0
201401090200,0.0
201401090300,0.0
201401090400,0.0
201401090500,0.0
201401090600,0.0
201401090700,0.0
201401090800,0.0
201401090900,0.0
201401091000,0.0
201401091100,0.0
201401091200,0.0
201401091300,0.23838269043
201401091400,0.4547940979
201401091500,0.238573486328
201401091600,0.391065856934
201401091700,0.0
201401091800,0.0
201401091900,0.0
201401092000,0.0
201401092100,0.0
201401092200,0.0
201401092300,0.0
201401100000,0.0
201401100100,0.0
201401100200,0.0
201401100300,0.0
201401100400,0.0
201401100500,0.0
201401100600,0.0
201401100700,0.0
201401100800,0.0
201401100900,0.0
201401101000,0.0
201401101100,0.0
201401101200,0.0
201401101300,0.0204834136963
201401101400,0.457949035645
201401101500,0.420018585205
201401101600,0.277564147949
201401101700,0.0
201401101800,0.0
201401101900,0.0
201401102000,0.0
201401102100,0.0
201401102200,0.0
201401102300,0.0
201401110000,0.0
201401110100,0.0
201401110200,0.0
201401110300,0.0
201401110400,0.0
201401110500,0.0
201401110600,0.0
201401110700,0.0
201401110800,0.0
201401110900,0.0
201401111000,0.0
201401111100,0.0
201401111200,0.0
201401111300,0.256435119629
201401111400,0.473002746582
201401111500,0.426260437012
201401111600,0.278569610596
201401111700,0.0
201401111800,0.0
201401111900,0.0
201401112000,0.0
201401112100,0.0
201401112200,0.0
201401112300,0.0
201401120000,0.0
201401120100,0.0
201401120200,0.0
201401120300,0.0
201401120400,0.0
201401120500,0.0
201401120600,0.0
201401120700,0.0
201401120800,0.0
201401120900,0.0
201401121000,0.0
201401121100,0.0
201401121200,0.0
201401121300,0.0213282165527
201401121400,0.46070703125
201401121500,0.420263793945
201401121600,0.28103704834
201401121700,0.0
201401121800,0.0
201401121900,0.0
201401122000,0.0
201401122100,0.0
201401122200,0.0
201401122300,0.0
201401130000,0.0
201401130100,0.0
201401130200,0.0
201401130300,0.0
201401130400,0.0
201401130500,0.0
201401130600,0.0
201401130700,0.0
201401130800,0.0
201401130900,0.0
201401131000,0.0
201401131100,0.0
201401131200,0.0
201401131300,0.261915496826
201401131400,0.476637023926
201401131500,0.432669158936
201401131600,0.278612792969
201401131700,0.0
201401131800,0.0
201401131900,0.0
201401132000,0.0
201401132100,0.0
201401132200,0.0
201401132300,0.0
201401140000,0.0
201401140100,0.0
201401140200,0.0
201401140300,0.0
201401140400,0.0
201401140500,0.0
201401140600,0.0
201401140700,0.0
201401140800,0.0
201401140900,0.0
201401141000,0.0
201401141100,0.0
201401141200,0.0
201401141300,0.288294769287
201401141400,0.501583892822
201401141500,0.450143188477
201401141600,0.288972229004
201401141700,0.0
201401141800,0.0
201401141900,0.0
201401142000,0.0
201401142100,0.0
201401142200,0.0
201401142300,0.0
201401150000,0.0
201401150100,0.0
201401150200,0.0
201401150300,0.0
201401150400,0.0
201401150500,0.0
201401150600,0.0
201401150700,0.0
201401150800,0.0
201401150900,0.0
201401151000,0.0
201401151100,0.0
201401151200,0.0
201401151300,0.290722045898
201401151400,0.508332519531
201401151500,0.450920166016
201401151600,0.289589813232
201401151700,0.0
201401151800,0.0
201401151900,0.0
201401152000,0.0
201401152100,0.0
201401152200,0.0
201401152300,0.0
201401160000,0.0
201401160100,0.0
201401160200,0.0
201401160300,0.0
201401160400,0.0
201401160500,0.0
201401160600,0.0
201401160700,0.0
201401160800,0.0
201401160900,0.0
201401161000,0.0
201401161100,0.0
201401161200,0.0
201401161300,0.284790100098
201401161400,0.484929199219
201401161500,0.430227081299
201401161600,0.282866485596
201401161700,0.0
201401161800,0.0
201401161900,0.0
201401162000,0.0
201401162100,0.0
201401162200,0.0
201401162300,0.0
201401170000,0.0
201401170100,0.0
201401170200,0.0
201401170300,0.0
201401170400,0.0
201401170500,0.0
201401170600,0.0
201401170700,0.0
201401170800,0.0
201401170900,0.0
201401171000,0.0
201401171100,0.0
201401171200,0.0
201401171300,0.273130737305
201401171400,0.485173156738
201401171500,0.441784118652
201401171600,0.28902166748
201401171700,0.0
201401171800,0.0
201401171900,0.0
201401172000,0.0
201401172100,0.0
201401172200,0.0
201401172300,0.0
201401180000,0.0
201401180100,0.0
201401180200,0.0
201401180300,0.0
201401180400,0.0
201401180500,0.0
201401180600,0.0
201401180700,0.0
201401180800,0.0
201401180900,0.0
201401181000,0.0
201401181100,0.0
201401181200,0.0
201401181300,0.0243371944427
201401181400,0.484379943848
201401181500,0.34831350708
201401181600,0.312347717285
201401181700,0.0
201401181800,0.0
201401181900,0.0
201401182000,0.0
201401182100,0.0
201401182200,0.0
201401182300,0.0
201401190000,0.0
201401190100,0.0
201401190200,0.0
201401190300,0.0
201401190400,0.0
201401190500,0.0
201401190600,0.0
201401190700,0.0
201401190800,0.0
201401190900,0.0
201401191000,0.0
201401191100,0.0
201401191200,0.0
201401191300,0.0131560153961
201401191400,0.18084588623
201401191500,0.249457199097
201401191600,0.314672454834
201401191700,0.0
201401191800,0.0
201401191900,0.0
201401192000,0.0
201401192100,0.0
201401192200,0.0
201401192300,0.0
201401200000,0.0
201401200100,0.0
201401200200,0.0
201401200300,0.0
201401200400,0.0
201401200500,0.0
201401200600,0.0
201401200700,0.0
201401200800,0.0
201401200900,0.0
201401201000,0.0
201401201100,0.0
201401201200,0.0
201401201300,0.252353927612
201401201400,0.454846954346
201401201500,0.416890777588
201401201600,0.277865814209
201401201700,0.0
201401201800,0.0
201401201900,0.0
201401202000,0.0
201401202100,0.0
201401202200,0.0
201401202300,0.0
201401210000,0.0
201401210100,0.0
201401210200,0.0
201401210300,0.0
201401210400,0.0
201401210500,0.0
201401210600,0.0
201401210700,0.0
201401210800,0.0
201401210900,0.0
201401211000,0.0
201401211100,0.0
201401211200,0.0
201401211300,0.00977000331879
201401211400,0.205395446777
201401211500,0.28647668457
201401211600,0.301143371582
201401211700,0.0
201401211800,0.0
201401211900,0.0
201401212000,0.0
201401212100,0.0
201401212200,0.0
201401212300,0.0
201401220000,0.0
201401220100,0.0
201401220200,0.0
201401220300,0.0
201401220400,0.0
201401220500,0.0
201401220600,0.0
201401220700,0.0
201401220800,0.0
201401220900,0.0
201401221000,0.0
201401221100,0.0
201401221200,0.0
201401221300,0.246793029785
201401221400,0.444497741699
201401221500,0.412492858887
201401221600,0.281308959961
201401221700,0.0
201401221800,0.0
201401221900,0.0
201401222000,0.0
201401222100,0.0
201401222200,0.0
201401222300,0.0
201401230000,0.0
201401230100,0.0
201401230200,0.0
201401230300,0.0
201401230400,0.0
201401230500,0.0
201401230600,0.0
201401230700,0.0
201401230800,0.0
201401230900,0.0
201401231000,0.0
201401231100,0.0
201401231200,0.0
201401231300,0.258245483398
201401231400,0.464054931641
201401231500,0.428994903564
201401231600,0.290241088867
201401231700,0.0
201401231800,0.0
201401231900,0.0
201401232000,0.0
201401232100,0.0
201401232200,0.0
201401232300,0.0
201401240000,0.0
201401240100,0.0
201401240200,0.0
201401240300,0.0
201401240400,0.0
201401240500,0.0
201401240600,0.0
201401240700,0.0
201401240800,0.0
201401240900,0.0
201401241000,0.0
201401241100,0.0
201401241200,0.0
201401241300,0.0
201401241400,0.0891061935425
201401241500,0.100412986755
201401241600,0.0467889480591
201401241700,0.0
201401241800,0.0
201401241900,0.0
201401242000,0.0
201401242100,0.0
201401242200,0.0
201401242300,0.0
201401250000,0.0
201401250100,0.0
201401250200,0.0
201401250300,0.0
201401250400,0.0
201401250500,0.0
201401250600,0.0
201401250700,0.0
201401250800,0.0
201401250900,0.0
201401251000,0.0
201401251100,0.0
201401251200,0.0
201401251300,0.248937408447
201401251400,0.45354598999
201401251500,0.421645355225
201401251600,0.286431274414
201401251700,0.0
201401251800,0.0
201401251900,0.0
201401252000,0.0
201401252100,0.0
201401252200,0.0
201401252300,0.0
201401260000,0.0
201401260100,0.0
201401260200,0.0
201401260300,0.0
201401260400,0.0
201401260500,0.0
201401260600,0.0
201401260700,0.0
201401260800,0.0
201401260900,0.0
201401261000,0.0
201401261100,0.0
201401261200,0.0
201401261300,0.265585357666
201401261400,0.461606384277
201401261500,0.424409576416
201401261600,0.29133480835
201401261700,0.0
201401261800,0.0
201401261900,0.0
201401262000,0.0
201401262100,0.0
201401262200,0.0
201401262300,0.0
201401270000,0.0
201401270100,0.0
201401270200,0.0
201401270300,0.0
201401270400,0.0
201401270500,0.0
201401270600,0.0
201401270700,0.0
201401270800,0.0
201401270900,0.0
201401271000,0.0
201401271100,0.0
201401271200,0.0
201401271300,0.0
201401271400,0.0198770008087
201401271500,0.123087173462
201401271600,0.330888977051
201401271700,0.0
201401271800,0.0
201401271900,0.0
201401272000,0.0
201401272100,0.0
201401272200,0.0
201401272300,0.0
201401280000,0.0
201401280100,0.0
201401280200,0.0
201401280300,0.0
201401280400,0.0
201401280500,0.0
201401280600,0.0
201401280700,0.0
201401280800,0.0
201401280900,0.0
201401281000,0.0
201401281100,0.0
201401281200,0.0
201401281300,0.280729553223
201401281400,0.466546905518
201401281500,0.424755645752
201401281600,0.294096893311
201401281700,0.0
201401281800,0.0
201401281900,0.0
201401282000,0.0
201401282100,0.0
201401282200,0.0
201401282300,0.0
201401290000,0.0
201401290100,0.0
201401290200,0.0
201401290300,0.0
201401290400,0.0
201401290500,0.0
201401290600,0.0
201401290700,0.0
201401290800,0.0
201401290900,0.0
201401291000,0.0
201401291100,0.0
201401291200,0.0
201401291300,0.297418579102
201401291400,0.483442871094
201401291500,0.435257507324
201401291600,0.297591522217
201401291700,0.0
201401291800,0.0
201401291900,0.0
201401292000,0.0
201401292100,0.0
201401292200,0.0
201401292300,0.0
201401300000,0.0
201401300100,0.0
201401300200,0.0
201401300300,0.0
201401300400,0.0
201401300500,0.0
201401300600,0.0
201401300700,0.0
201401300800,0.0
201401300900,0.0
201401301000,0.0
201401301100,0.0
201401301200,0.0
201401301300,0.300541809082
201401301400,0.485816314697
201401301500,0.442143096924
201401301600,0.304669830322
201401301700,0.0
201401301800,0.0
201401301900,0.0
201401302000,0.0
201401302100,0.0
201401302200,0.0
201401302300,0.0
201401310000,0.0
201401310100,0.0
201401310200,0.0
201401310300,0.0
201401310400,0.0
201401310500,0.0
201401310600,0.0
201401310700,0.0
201401310800,0.0
201401310900,0.0
201401311000,0.0
201401311100,0.0
201401311200,0.0
201401311300,0.0106966228485
201401311400,0.25722543335
201401311500,0.396746124268
201401311600,0.331374481201
201401311700,0.0
201401311800,0.0
201401311900,0.0
201401312000,0.0
201401312100,0.0
201401312200,0.0
201401312300,0.0
201402010000,0.0
201402010100,0.0
201402010200,0.0
201402010300,0.0
201402010400,0.0
201402010500,0.0
201402010600,0.0
201402010700,0.0
201402010800,0.0
201402010900,0.0
201402011000,0.0
201402011100,0.0
201402011200,0.0
201402011300,0.296847381592
201402011400,0.0641637878418
201402011500,0.240186355591
201402011600,0.307570098877
201402011700,0.0
201402011800,0.0
201402011900,0.0
201402012000,0.0
201402012100,0.0
201402012200,0.0
201402012300,0.0
201402020000,0.0
201402020100,0.0
201402020200,0.0
201402020300,0.0
201402020400,0.0
201402020500,0.0
201402020600,0.0
201402020700,0.0
201402020800,0.0
201402020900,0.0
201402021000,0.0
201402021100,0.0
201402021200,0.0
201402021300,0.326918823242
201402021400,0.493328765869
201402021500,0.442574584961
201402021600,0.307834960938
201402021700,0.0
201402021800,0.0
201402021900,0.0
201402022000,0.0
201402022100,0.0
201402022200,0.0
201402022300,0.0
201402030000,0.0
201402030100,0.0
201402030200,0.0
201402030300,0.0
201402030400,0.0
201402030500,0.0
201402030600,0.0
201402030700,0.0
201402030800,0.0
201402030900,0.0
201402031000,0.0
201402031100,0.0
201402031200,0.0
201402031300,0.0164622898102
201402031400,0.152764648438
201402031500,0.391689544678
201402031600,0.329329467773
201402031700,0.0
201402031800,0.0
201402031900,0.0
201402032000,0.0
201402032100,0.0
201402032200,0.0
201402032300,0.0
201402040000,0.0
201402040100,0.0
201402040200,0.0
201402040300,0.0
201402040400,0.0
201402040500,0.0
201402040600,0.0
201402040700,0.0
201402040800,0.0
201402040900,0.0
201402041000,0.0
201402041100,0.0
201402041200,0.0
201402041300,0.334475494385
201402041400,0.496806732178
201402041500,0.445088195801
201402041600,0.312728424072
201402041700,0.0
