timepoint,capacity_factor
201401010000,0.09923547
201401010100,0.08017524
201401010200,0.05406253
201401010300,0.0408944
201401010400,0.04093271
201401010500,0.05053087
201401010600,0.06690395
201401010700,0.07181504
201401010800,0.04781549
201401010900,0.04460223
201401011000,0.12923826
201401011100,0.2288168
201401011200,0.28665088
201401011300,0.32007205
201401011400,0.30612384
201401011500,0.24194345
201401011600,0.16742536
201401011700,0.1012701
201401011800,0.06644292
201401011900,0.03307085
201401012000,0.01007877
201401012100,0.00326782
201401012200,0.00246758
201401012300,0.00563468
201401020000,0.02063544
201401020100,0.05725214
201401020200,0.11322956
201401020300,0.17596946
201401020400,0.24218946
201401020500,0.29135965
201401020600,0.31264246
201401020700,0.29997516
201401020800,0.16068722
201401020900,0.3470916
201401021000,0.26964389
201401021100,0.15015454
201401021200,0.09314394
201401021300,0.08315066
201401021400,0.11117266
201401021500,0.16435398
201401021600,0.26963938
201401021700,0.45939651
201401021800,0.65984531
201401021900,0.67488273
201401022000,0.59502426
201401022100,0.47253979
201401022200,0.36545592
201401022300,0.3308902
201401030000,0.32056026
201401030100,0.35456391
201401030200,0.3191655
201401030300,0.32649207
201401030400,0.30865522
201401030500,0.25903778
201401030600,0.2329191
201401030700,0.21417253
201401030800,0.16244559
201401030900,0.16261476
201401031000,0.17237383
201401031100,0.13651943
201401031200,0.07841063
201401031300,0.05406408
201401031400,0.05956178
201401031500,0.06107654
201401031600,0.06320398
201401031700,0.04280925
201401031800,0.02813363
201401031900,0.04309914
201401032000,0.10074587
201401032100,0.22086864
201401032200,0.34710392
201401032300,0.40303998
201401040000,0.41570554
201401040100,0.4587513
201401040200,0.55183871
201401040300,0.6440798
201401040400,0.66862968
201401040500,0.66102948
201401040600,0.62597534
201401040700,0.55745939
201401040800,0.3484404
201401040900,0.20834613
201401041000,0.52262202
201401041100,0.46833879
201401041200,0.34889563
201401041300,0.32519332
201401041400,0.29999688
201401041500,0.29340692
201401041600,0.22741233
201401041700,0.11098814
201401041800,0.10516317
201401041900,0.17885832
201401042000,0.28483924
201401042100,0.40010386
201401042200,0.5218434
201401042300,0.57930767
201401050000,0.59902906
201401050100,0.61533155
201401050200,0.57982874
201401050300,0.53966331
201401050400,0.49796482
201401050500,0.43597734
201401050600,0.36190426
201401050700,0.29732241
201401050800,0.18710159
201401050900,0.07747569
201401051000,0.2889064
201401051100,0.24359021
201401051200,0.12002084
201401051300,0.04826999
