timepoint,capacity_factor
201401010000,0.94259556
201401010100,0.94373839
201401010200,0.94091451
201401010300,0.92989654
201401010400,0.90792391
201401010500,0.88412319
201401010600,0.86172721
201401010700,0.83094177
201401010800,0.87219475
201401010900,0.88646575
201401011000,0.88624071
201401011100,0.87914255
201401011200,0.873961
201401011300,0.86784948
201401011400,0.86163439
201401011500,0.85393457
201401011600,0.83750837
201401011700,0.77445205
201401011800,0.74585879
201401011900,0.71028986
201401012000,0.69667453
201401012100,0.68218705
201401012200,0.66341681
201401012300,0.63511597
201401020000,0.6153266
201401020100,0.59045677
201401020200,0.57264228
201401020300,0.54972786
201401020400,0.51305439
201401020500,0.52096279
201401020600,0.53038738
201401020700,0.50034525
201401020800,0.6875642
201401020900,0.77650464
201401021000,0.8369108
201401021100,0.88044359
201401021200,0.90911355
201401021300,0.92726768
201401021400,0.94332285
201401021500,0.95423866
201401021600,0.95769557
201401021700,0.95441486
201401021800,0.96658077
201401021900,0.97651952
201401022000,0.98310124
201401022100,0.98561847
201401022200,0.98652061
201401022300,0.98307641
201401030000,0.97319467
201401030100,0.96608145
201401030200,0.96367782
201401030300,0.96328365
201401030400,0.96465161
201401030500,0.96939752
201401030600,0.95915753
201401030700,0.96170625
201401030800,0.95314742
201401030900,0.92951612
201401031000,0.91054947
201401031100,0.91683581
201401031200,0.9301171
201401031300,0.94211059
201401031400,0.95488025
201401031500,0.96534301
201401031600,0.97697254
201401031700,0.9843961
201401031800,0.98604611
201401031900,0.98650127
201401032000,0.9863187
201401032100,0.98502063
201401032200,0.98139049
201401032300,0.97800823
201401040000,0.96740815
201401040100,0.95487966
201401040200,0.95085069
201401040300,0.94721974
201401040400,0.93943296
201401040500,0.92344598
201401040600,0.90602861
201401040700,0.88224784
201401040800,0.9042646
201401040900,0.91649643
201401041000,0.90427988
201401041100,0.87608148
201401041200,0.82927095
201401041300,0.78063031
201401041400,0.75459302
201401041500,0.75698758
201401041600,0.77340877
201401041700,0.73390388
201401041800,0.72253564
201401041900,0.72994621
201401042000,0.71027695
201401042100,0.70401035
201401042200,0.71151719
201401042300,0.70891455
201401050000,0.65132531
201401050100,0.59475835
201401050200,0.54703421
201401050300,0.51573203
201401050400,0.49109745
201401050500,0.46630406
201401050600,0.43964467
201401050700,0.33160185
201401050800,0.30351073
201401050900,0.24530412
201401051000,0.14787881
201401051100,0.08297031
201401051200,0.04979989
201401051300,0.03365639
201401051400,0.02366393
201401051500,0.01698391
201401051600,0.01177193
201401051700,0.01182115
201401051800,0.02731508
201401051900,0.05894012
201401052000,0.10803101
201401052100,0.17353645
201401052200,0.24213526
201401052300,0.31611202
201401060000,0.40006898
201401060100,0.48720694
201401060200,0.56158829
201401060300,0.65529957
201401060400,0.79092284
201401060500,0.89517468
201401060600,0.94568921
201401060700,0.97459065
201401060800,0.98652929
201401060900,0.98328486
201401061000,0.97794942
201401061100,0.97513559
201401061200,0.96870933
201401061300,0.95830448
201401061400,0.94408689
201401061500,0.93086781
201401061600,0.93481682
201401061700,0.94843846
201401061800,0.94229049
201401061900,0.93277887
201401062000,0.88174186
201401062100,0.90010443
201401062200,0.91189634
201401062300,0.93232343
201401070000,0.9515819
201401070100,0.96138346
201401070200,0.96588474
201401070300,0.96674593
201401070400,0.96823171
201401070500,0.97119205
201401070600,0.97481743
201401070700,0.97751217
201401070800,0.9778405
201401070900,0.97755218
201401071000,0.97691312
201401071100,0.97369651
201401071200,0.97387604
201401071300,0.97611606
201401071400,0.97998423
201401071500,0.98474289
201401071600,0.98620107
201401071700,0.98000856
201401071800,0.97838867
201401071900,0.97714059
201401072000,0.97652902
201401072100,0.97606583
201401072200,0.97622602
201401072300,0.96775595
201401080000,0.96543636
201401080100,0.96447495
201401080200,0.9628298
201401080300,0.96191972
201401080400,0.95827263
201401080500,0.95503216
201401080600,0.94751447
201401080700,0.9398118
201401080800,0.95894617
201401080900,0.97457481
201401081000,0.97877514
201401081100,0.97884398
201401081200,0.97839193
201401081300,0.97756856
201401081400,0.9762427
201401081500,0.97397708
201401081600,0.96902965
201401081700,0.94731974
201401081800,0.92942791
201401081900,0.91858103
201401082000,0.90548551
201401082100,0.88800525
201401082200,0.88053019
201401082300,0.86817312
201401090000,0.86199714
201401090100,0.84883005
201401090200,0.84562522
201401090300,0.85578259
201401090400,0.86152071
201401090500,0.87002055
201401090600,0.8740049
201401090700,0.86907092
201401090800,0.91654704
201401090900,0.93920973
201401091000,0.93494902
201401091100,0.92046141
201401091200,0.90304624
201401091300,0.88724157
201401091400,0.8776747
201401091500,0.87916502
201401091600,0.88406939
201401091700,0.84268932
201401091800,0.82035456
201401091900,0.8060026
201401092000,0.79433966
201401092100,0.77659277
201401092200,0.73882625
201401092300,0.66104933
201401100000,0.61537808
201401100100,0.58001321
201401100200,0.54433619
201401100300,0.52556971
201401100400,0.53307615
201401100500,0.53486396
201401100600,0.52752753
201401100700,0.44700466
201401100800,0.57777922
201401100900,0.55241584
201401101000,0.4356012
