timepoint,capacity_factor
201401010000,0.07649982
201401010100,0.05013551
201401010200,0.02137602
201401010300,0.00644257
201401010400,0.00145491
201401010500,0.00028861
201401010600,9.481e-05
201401010700,5.15e-05
201401010800,2.566e-05
201401010900,0.00016188
201401011000,0.01774104
201401011100,0.1069808
201401011200,0.18707552
201401011300,0.22524541
201401011400,0.21312317
201401011500,0.16387522
201401011600,0.09970427
201401011700,0.05521081
201401011800,0.037072
201401011900,0.02515475
201401012000,0.01929217
201401012100,0.02071958
201401012200,0.0353305
201401012300,0.06602734
201401020000,0.10526218
201401020100,0.1454994
201401020200,0.18660317
201401020300,0.22642541
201401020400,0.26962839
201401020500,0.32516823
201401020600,0.36245203
201401020700,0.33901329
201401020800,0.16762335
201401020900,0.29634385
201401021000,0.2933967
201401021100,0.21176057
201401021200,0.16569407
201401021300,0.15526819
201401021400,0.17926369
201401021500,0.20582621
201401021600,0.25346315
201401021700,0.33328153
201401021800,0.36691707
201401021900,0.41954818
201401022000,0.48834004
201401022100,0.56579553
201401022200,0.58035631
201401022300,0.49449491
201401030000,0.43864653
201401030100,0.33815061
201401030200,0.25907329
201401030300,0.16744307
201401030400,0.13246121
201401030500,0.09572993
201401030600,0.07960654
201401030700,0.06420413
201401030800,0.06283033
201401030900,0.09282214
201401031000,0.0818328
201401031100,0.0598792
201401031200,0.03665424
201401031300,0.02153542
201401031400,0.01930343
201401031500,0.01830629
201401031600,0.01984431
201401031700,0.03315554
201401031800,0.14659817
201401031900,0.22062
201401032000,0.21750375
201401032100,0.223024
201401032200,0.20647025
201401032300,0.16193659
201401040000,0.1398264
201401040100,0.18828698
201401040200,0.31699692
201401040300,0.45032786
201401040400,0.51852604
201401040500,0.5443361
201401040600,0.52262417
201401040700,0.46191539
201401040800,0.28245888
201401040900,0.14688299
201401041000,0.50579904
201401041100,0.51715491
201401041200,0.42821956
201401041300,0.36635107
201401041400,0.31658972
201401041500,0.29570127
201401041600,0.20192964
201401041700,0.1016488
201401041800,0.11816029
201401041900,0.17279772
201401042000,0.22744032
201401042100,0.32502331
201401042200,0.41274955
201401042300,0.48422218
201401050000,0.56865346
201401050100,0.62671759
201401050200,0.63358575
201401050300,0.61393867
201401050400,0.59608965
201401050500,0.55241692
201401050600,0.49408215
201401050700,0.45865558
201401050800,0.30495043
201401050900,0.16408366
201401051000,0.43189774
201401051100,0.39460712
201401051200,0.22792542
201401051300,0.10379193
201401051400,0.04742221
201401051500,0.01991228
201401051600,0.01343399
201401051700,0.01377871
201401051800,0.02661617
201401051900,0.05779536
201401052000,0.08560083
201401052100,0.11496065
201401052200,0.1546372
201401052300,0.2224757
201401060000,0.28903538
201401060100,0.30498128
201401060200,0.28665224
201401060300,0.29133504
201401060400,0.30886439
201401060500,0.33158082
201401060600,0.3367267
201401060700,0.33726266
201401060800,0.36083728
201401060900,0.36916426
201401061000,0.40203356
201401061100,0.43322689
201401061200,0.46357667
201401061300,0.50071982
201401061400,0.50156297
201401061500,0.43251847
201401061600,0.3704949
201401061700,0.39102428
201401061800,0.43856743
201401061900,0.45096366
201401062000,0.41308243
201401062100,0.40219499
201401062200,0.41002752
201401062300,0.39717988
201401070000,0.36147552
201401070100,0.31076544
201401070200,0.24663864
201401070300,0.16705432
201401070400,0.11852935
201401070500,0.10354176
201401070600,0.10250076
201401070700,0.11095097
201401070800,0.17020713
201401070900,0.27439369
201401071000,0.33155915
201401071100,0.31099745
201401071200,0.24071659
201401071300,0.16000446
201401071400,0.09255987
201401071500,0.04132606
201401071600,0.0182165
201401071700,0.04535843
201401071800,0.20214573
201401071900,0.2519521
201401072000,0.24072576
201401072100,0.21186177
201401072200,0.17562005
201401072300,0.11343501
201401080000,0.05862501
201401080100,0.03431944
201401080200,0.03480018
201401080300,0.06282106
201401080400,0.12020123
201401080500,0.18187951
201401080600,0.22751358
201401080700,0.2547137
201401080800,0.16387857
201401080900,0.09509924
201401081000,0.22175127
201401081100,0.22093296
201401081200,0.19366125
201401081300,0.1631863
201401081400,0.1329738
201401081500,0.11245465
201401081600,0.0932609
201401081700,0.06448299
201401081800,0.05395559
201401081900,0.06082207
201401082000,0.0827965
201401082100,0.10459838
201401082200,0.11322845
201401082300,0.1120689
201401090000,0.13367888
201401090100,0.18793468
201401090200,0.26142757
201401090300,0.3200478
201401090400,0.3406117
201401090500,0.32514985
201401090600,0.27954372
201401090700,0.21687066
201401090800,0.11189444
201401090900,0.02498509
201401091000,0.04910446
201401091100,0.08668887
201401091200,0.11359412
201401091300,0.13609667
201401091400,0.14890038
201401091500,0.15624755
201401091600,0.15549929
201401091700,0.15184325
201401091800,0.20054333
201401091900,0.26596328
201401092000,0.31703871
201401092100,0.3432217
201401092200,0.34960082
201401092300,0.36359708
201401100000,0.40413172
201401100100,0.43530725
201401100200,0.43548559
201401100300,0.42503568
201401100400,0.41011566
201401100500,0.41582196
201401100600,0.43614181
201401100700,0.45768181
201401100800,0.29036145
201401100900,0.18222155
201401101000,0.70976648
201401101100,0.80256891
201401101200,0.82568742
201401101300,0.81453497
201401101400,0.79081142
201401101500,0.77005492
201401101600,0.73015137
201401101700,0.60074992
201401101800,0.57196
201401101900,0.58270936
201401102000,0.60649702
201401102100,0.6354413
201401102200,0.64161589
201401102300,0.62231114
201401110000,0.59174697
201401110100,0.56845279
201401110200,0.55098183
201401110300,0.51954744
201401110400,0.47143902
201401110500,0.40961358
201401110600,0.34511357
201401110700,0.29133713
201401110800,0.16903384
201401110900,0.07262174
201401111000,0.11004319
201401111100,0.06087848
201401111200,0.0251025
201401111300,0.00462212
201401111400,0.00099408
201401111500,0.01066594
201401111600,0.09332895
201401111700,0.30648065
201401111800,0.56460244
201401111900,0.65988204
201401112000,0.64919365
201401112100,0.56581439
201401112200,0.46826161
