timepoint,capacity_factor
201401010000,0.00028867
201401010100,0.00020517
201401010200,0.00025556
201401010300,0.00014714
201401010400,6.755e-05
201401010500,1.741e-05
201401010600,5.44e-06
201401010700,6.82e-06
201401010800,0.0
201401010900,3.858e-05
201401011000,0.00140735
201401011100,0.00633155
201401011200,0.01427338
201401011300,0.02383548
201401011400,0.03467107
201401011500,0.04657272
201401011600,0.05722792
201401011700,0.05527493
201401011800,0.04230614
201401011900,0.01963711
201401012000,0.00407649
201401012100,0.00027838
201401012200,2.858e-05
201401012300,1.584e-05
201401020000,4.188e-05
201401020100,0.00015785
201401020200,0.00034975
201401020300,0.0002783
201401020400,0.00013577
201401020500,0.00012659
201401020600,0.00025342
201401020700,0.0003585
201401020800,0.00036383
201401020900,0.00804302
201401021000,0.03187798
201401021100,0.06341579
201401021200,0.09923254
201401021300,0.14656742
201401021400,0.22304893
201401021500,0.30931056
201401021600,0.32772195
201401021700,0.2744025
201401021800,0.25701711
201401021900,0.27796962
201401022000,0.32069265
201401022100,0.41385562
201401022200,0.44152479
201401022300,0.40314571
201401030000,0.32261069
201401030100,0.26372324
201401030200,0.21576917
201401030300,0.17885765
201401030400,0.15634652
201401030500,0.14475601
201401030600,0.10745269
201401030700,0.07804344
201401030800,0.08876892
201401030900,0.1257608
201401031000,0.1706309
201401031100,0.18619333
201401031200,0.19385903
201401031300,0.19268551
201401031400,0.17870074
201401031500,0.15463812
201401031600,0.11359971
201401031700,0.06792912
201401031800,0.0388171
201401031900,0.03144744
201401032000,0.03101105
201401032100,0.02994436
201401032200,0.04069077
201401032300,0.05408705
201401040000,0.06792155
201401040100,0.07690428
201401040200,0.07111717
201401040300,0.05856863
201401040400,0.049731
201401040500,0.0482571
201401040600,0.04420316
201401040700,0.03579733
201401040800,0.00632422
201401040900,2.332e-05
201401041000,5.1e-06
201401041100,0.00023811
201401041200,0.0011852
201401041300,0.00312299
201401041400,0.00911518
201401041500,0.01612039
201401041600,0.01302323
201401041700,0.00571543
201401041800,0.00042937
201401041900,1.036e-05
201401042000,2.439e-05
201401042100,0.00038629
201401042200,0.00317892
201401042300,0.00768729
201401050000,0.01307328
201401050100,0.02017924
201401050200,0.03528294
201401050300,0.04818859
201401050400,0.05191834
201401050500,0.04629387
201401050600,0.03544739
201401050700,0.02711723
201401050800,0.00636074
201401050900,0.00502928
201401051000,0.00600047
201401051100,0.00446742
201401051200,0.0052709
201401051300,0.00795513
201401051400,0.01885816
201401051500,0.0378074
201401051600,0.04842939
201401051700,0.03556812
201401051800,0.0075906
201401051900,8.5e-05
201401052000,0.00012137
201401052100,0.00436879
201401052200,0.02699298
201401052300,0.0608285
201401060000,0.08848478
201401060100,0.13133476
201401060200,0.1813157
201401060300,0.21355339
201401060400,0.23763353
201401060500,0.17043954
201401060600,0.08782369
201401060700,0.04827873
201401060800,0.0596939
201401060900,0.11985042
201401061000,0.22982489
201401061100,0.36163021
201401061200,0.50072218
201401061300,0.60003971
201401061400,0.63901154
201401061500,0.62444852
201401061600,0.54422436
201401061700,0.40148012
201401061800,0.30593547
201401061900,0.2452804
201401062000,0.19396585
201401062100,0.17729406
201401062200,0.18090181
201401062300,0.17425066
201401070000,0.15831173
201401070100,0.14837933
201401070200,0.14127533
201401070300,0.12618085
201401070400,0.10102722
201401070500,0.08406639
201401070600,0.07528922
201401070700,0.0798912
201401070800,0.09006403
201401070900,0.10502796
201401071000,0.11296887
201401071100,0.11622491
201401071200,0.11769805
201401071300,0.10880644
201401071400,0.09281004
201401071500,0.07815996
201401071600,0.06641401
201401071700,0.05571247
201401071800,0.0490551
201401071900,0.04311415
201401072000,0.04139988
201401072100,0.04147884
201401072200,0.05084923
201401072300,0.05610619
201401080000,0.06106137
201401080100,0.07997589
201401080200,0.08967086
201401080300,0.08588662
201401080400,0.07996551
201401080500,0.08072338
201401080600,0.08531441
201401080700,0.07399446
201401080800,0.02173399
201401080900,0.00086173
201401081000,0.00020748
201401081100,0.00028342
201401081200,0.00074469
201401081300,0.00202381
201401081400,0.00436114
201401081500,0.00827126
201401081600,0.0133492
201401081700,0.01646618
201401081800,0.0078602
201401081900,0.00110435
201401082000,2.637e-05
201401082100,4.51e-06
201401082200,0.00029778
201401082300,0.00598174
201401090000,0.02103226
201401090100,0.03518138
201401090200,0.04063961
201401090300,0.04129183
201401090400,0.03903242
201401090500,0.03944802
201401090600,0.04227683
201401090700,0.0413285
201401090800,0.00451957
201401090900,8.53e-06
201401091000,6.27e-06
201401091100,3.467e-05
201401091200,8.544e-05
201401091300,0.00014449
201401091400,0.00071737
201401091500,0.00534294
201401091600,0.01024259
201401091700,0.01315014
201401091800,0.00899544
201401091900,0.00235864
201401092000,9.83e-05
201401092100,2.9e-07
201401092200,1.928e-05
201401092300,0.00151699
201401100000,0.00741084
201401100100,0.01280854
201401100200,0.01695828
201401100300,0.02114193
201401100400,0.02323263
201401100500,0.02526551
201401100600,0.0289139
201401100700,0.03174622
201401100800,0.00466986
201401100900,0.00012236
201401101000,5.846e-05
