month,day,hour,capacity_factor
1,1,0.0,0.81676008
1,1,1.0,0.82721203
1,1,2.0,0.82248861
1,1,3.0,0.79706343
1,1,4.0,0.74224516
1,1,5.0,0.69022731
1,1,6.0,0.65418365
1,1,7.0,0.57375436
1,1,8.0,0.60638843
1,1,9.0,0.61434766
1,1,10.0,0.5934049
1,1,11.0,0.5895298
1,1,12.0,0.59471935
1,1,13.0,0.59323274
1,1,14.0,0.58561238
1,1,15.0,0.56532775
1,1,16.0,0.52746939
1,1,17.0,0.42505533
1,1,18.0,0.35751621
1,1,19.0,0.31381634
1,1,20.0,0.29136186
1,1,21.0,0.29379383
1,1,22.0,0.29590801
1,1,23.0,0.29111032
1,2,0.0,0.2812483
1,2,1.0,0.26618818
1,2,2.0,0.24867852
1,2,3.0,0.23293152
1,2,4.0,0.21980024
1,2,5.0,0.23038078
1,2,6.0,0.25092206
1,2,7.0,0.24296287
1,2,8.0,0.38836979
1,2,9.0,0.52370675
1,2,10.0,0.64408271
1,2,11.0,0.73881738
1,2,12.0,0.80018988
1,2,13.0,0.8413316
1,2,14.0,0.87547267
1,2,15.0,0.89777781
1,2,16.0,0.90355334
1,2,17.0,0.8923146
1,2,18.0,0.90196296
1,2,19.0,0.9357674
1,2,20.0,0.96026234
1,2,21.0,0.97109459
1,2,22.0,0.98036098
1,2,23.0,0.98632163
1,3,0.0,0.98584476
1,3,1.0,0.98572891
1,3,2.0,0.98615128
1,3,3.0,0.98641982
1,3,4.0,0.98652917
1,3,5.0,0.98605288
1,3,6.0,0.98652931
1,3,7.0,0.9860876
1,3,8.0,0.98641665
1,3,9.0,0.98632461
1,3,10.0,0.98619001
1,3,11.0,0.98652691
1,3,12.0,0.98583667
1,3,13.0,0.98441938
1,3,14.0,0.98264539
1,3,15.0,0.98076945
1,3,16.0,0.97698089
1,3,17.0,0.96657385
1,3,18.0,0.95828009
1,3,19.0,0.95685615
1,3,20.0,0.95241565
1,3,21.0,0.94183978
1,3,22.0,0.92884014
1,3,23.0,0.91377868
1,4,0.0,0.88751785
1,4,1.0,0.86190844
1,4,2.0,0.85566628
1,4,3.0,0.83353899
1,4,4.0,0.82482907
1,4,5.0,0.76628215
1,4,6.0,0.71029461
1,4,7.0,0.63743247
1,4,8.0,0.67389458
1,4,9.0,0.69903035
1,4,10.0,0.67270623
1,4,11.0,0.62771481
1,4,12.0,0.56997899
1,4,13.0,0.53214389
1,4,14.0,0.51525088
1,4,15.0,0.51173312
1,4,16.0,0.5103173
1,4,17.0,0.43178544
1,4,18.0,0.37891832
1,4,19.0,0.39780818
1,4,20.0,0.39506931
1,4,21.0,0.41831321
1,4,22.0,0.43762606
1,4,23.0,0.431889
1,5,0.0,0.38183733
1,5,1.0,0.3334891
1,5,2.0,0.29615797
1,5,3.0,0.27202482
1,5,4.0,0.24883094
1,5,5.0,0.22839284
1,5,6.0,0.21227409
1,5,7.0,0.16199991
1,5,8.0,0.11210906
1,5,9.0,0.0927775
1,5,10.0,0.0654494
1,5,11.0,0.04067835
1,5,12.0,0.02707705
1,5,13.0,0.02371951
1,5,14.0,0.02642462
1,5,15.0,0.03402324
1,5,16.0,0.04379377
1,5,17.0,0.04493113
1,5,18.0,0.02992844
1,5,19.0,0.0200085
1,5,20.0,0.03236929
1,5,21.0,0.06969696
1,5,22.0,0.11929226
1,5,23.0,0.17401832
1,6,0.0,0.23482302
1,6,1.0,0.31728028
1,6,2.0,0.41112314
1,6,3.0,0.52262198
1,6,4.0,0.67870771
1,6,5.0,0.82092352
1,6,6.0,0.90103367
1,6,7.0,0.95070796
1,6,8.0,0.9754185
1,6,9.0,0.97979793
1,6,10.0,0.98192836
1,6,11.0,0.98397068
1,6,12.0,0.98576049
1,6,13.0,0.98651207
1,6,14.0,0.98525735
1,6,15.0,0.98394278
1,6,16.0,0.98534153
1,6,17.0,0.98652483
1,6,18.0,0.98641298
1,6,19.0,0.98565279
1,6,20.0,0.98262537
1,6,21.0,0.98371628
1,6,22.0,0.98378672
1,6,23.0,0.98586128
1,7,0.0,0.98645462
1,7,1.0,0.98550411
1,7,2.0,0.98426397
1,7,3.0,0.98318534
1,7,4.0,0.98187329
1,7,5.0,0.9806772
1,7,6.0,0.97913157
1,7,7.0,0.97755016
1,7,8.0,0.97925609
1,7,9.0,0.98030202
1,7,10.0,0.98090084
1,7,11.0,0.98128199
1,7,12.0,0.98086065
1,7,13.0,0.97926692
1,7,14.0,0.9771519
1,7,15.0,0.97293991
1,7,16.0,0.96214642
1,7,17.0,0.93770906
1,7,18.0,0.92388499
1,7,19.0,0.92260287
1,7,20.0,0.91656467
1,7,21.0,0.90721927
1,7,22.0,0.92604732
1,7,23.0,0.89079404
1,8,0.0,0.8841566
1,8,1.0,0.86022758
1,8,2.0,0.85214335
1,8,3.0,0.84511781
1,8,4.0,0.8309292
1,8,5.0,0.81845748
1,8,6.0,0.79082806
1,8,7.0,0.78639873
1,8,8.0,0.8469714
1,8,9.0,0.8947414
1,8,10.0,0.91049431
1,8,11.0,0.91653147
1,8,12.0,0.91568211
1,8,13.0,0.91200649
1,8,14.0,0.90819297
1,8,15.0,0.90155503
1,8,16.0,0.88337138
1,8,17.0,0.80606333
1,8,18.0,0.74419624
1,8,19.0,0.7178803
1,8,20.0,0.68639714
1,8,21.0,0.65480773
1,8,22.0,0.6487305
1,8,23.0,0.63295113
1,9,0.0,0.62253774
1,9,1.0,0.6074201
1,9,2.0,0.596797
1,9,3.0,0.61531447
1,9,4.0,0.63407117
1,9,5.0,0.6459028
1,9,6.0,0.65158949
1,9,7.0,0.62908164
1,9,8.0,0.71024955
1,9,9.0,0.78465659
1,9,10.0,0.78666079
1,9,11.0,0.77281239
1,9,12.0,0.75055445
1,9,13.0,0.73010002
1,9,14.0,0.71778658
1,9,15.0,0.72303527
1,9,16.0,0.72796855
1,9,17.0,0.64418936
1,9,18.0,0.59280239
1,9,19.0,0.57111092
1,9,20.0,0.5375749
1,9,21.0,0.50555687
1,9,22.0,0.46318865
1,9,23.0,0.41307182
1,10,0.0,0.38566098
1,10,1.0,0.36162787
1,10,2.0,0.34325983
1,10,3.0,0.3251917
1,10,4.0,0.3259388
1,10,5.0,0.32263429
1,10,6.0,0.31152409
1,10,7.0,0.25093841
1,10,8.0,0.28944683
1,10,9.0,0.28049067
1,10,10.0,0.21800332
1,10,11.0,0.16923521
1,10,12.0,0.13929824
1,10,13.0,0.121341
1,10,14.0,0.11528826
1,10,15.0,0.10661465
1,10,16.0,0.10032317
1,10,17.0,0.0947427
1,10,18.0,0.07388751
1,10,19.0,0.03770399
1,10,20.0,0.01441483
1,10,21.0,0.00804066
1,10,22.0,0.00783465
1,10,23.0,0.00959353
1,11,0.0,0.01214293
1,11,1.0,0.01424612
1,11,2.0,0.0163787
1,11,3.0,0.01864675
1,11,4.0,0.0225776
1,11,5.0,0.0270933
1,11,6.0,0.03142837
1,11,7.0,0.02736487
1,11,8.0,0.02300201
1,11,9.0,0.04328062
1,11,10.0,0.07708157
1,11,11.0,0.13893757
1,11,12.0,0.23150075
1,11,13.0,0.34064803
1,11,14.0,0.45942036
1,11,15.0,0.58561426
1,11,16.0,0.65919237
1,11,17.0,0.63362196
1,11,18.0,0.63546083
1,11,19.0,0.65037792
1,11,20.0,0.64594309
1,11,21.0,0.66118743
1,11,22.0,0.69436918
1,11,23.0,0.69476306
1,12,0.0,0.6901911
1,12,1.0,0.6797622
1,12,2.0,0.66580651
1,12,3.0,0.63065261
1,12,4.0,0.58041414
1,12,5.0,0.55524176
1,12,6.0,0.53977454
1,12,7.0,0.48422316
1,12,8.0,0.6245774
1,12,9.0,0.60729827
1,12,10.0,0.54939662
1,12,11.0,0.47976503
1,12,12.0,0.41560426
1,12,13.0,0.37951143
1,12,14.0,0.37505526
1,12,15.0,0.3883298
1,12,16.0,0.40483498
1,12,17.0,0.35767541
1,12,18.0,0.30860642
1,12,19.0,0.29135185
1,12,20.0,0.24074589
1,12,21.0,0.2355748
1,12,22.0,0.22941539
1,12,23.0,0.2242656
1,13,0.0,0.22741145
1,13,1.0,0.23494852
1,13,2.0,0.23902052
1,13,3.0,0.23289275
1,13,4.0,0.23470293
1,13,5.0,0.24076187
1,13,6.0,0.22726862
1,13,7.0,0.16819566
1,13,8.0,0.21177884
1,13,9.0,0.2169211
1,13,10.0,0.18736208
1,13,11.0,0.17642411
1,13,12.0,0.17887917
1,13,13.0,0.19452765
1,13,14.0,0.2252319
1,13,15.0,0.28133104
1,13,16.0,0.33414937
1,13,17.0,0.32079595
1,13,18.0,0.29502376
1,13,19.0,0.31927468
1,13,20.0,0.36004639
1,13,21.0,0.41513649
1,13,22.0,0.46891257
1,13,23.0,0.50763113
1,14,0.0,0.59152576
1,14,1.0,0.75084886
1,14,2.0,0.791621
1,14,3.0,0.84028557
1,14,4.0,0.88131145
1,14,5.0,0.89883613
1,14,6.0,0.90073347
1,14,7.0,0.89770895
1,14,8.0,0.94826686
1,14,9.0,0.96412796
1,14,10.0,0.96375918
1,14,11.0,0.96080822
1,14,12.0,0.95554805
1,14,13.0,0.94719036
1,14,14.0,0.9365886
1,14,15.0,0.93122499
1,14,16.0,0.9231336
1,14,17.0,0.90014998
1,14,18.0,0.87695394
1,14,19.0,0.84969541
1,14,20.0,0.82734347
1,14,21.0,0.80817926
1,14,22.0,0.79698354
1,14,23.0,0.80549891
1,15,0.0,0.80124546
1,15,1.0,0.78881225
1,15,2.0,0.78821308
1,15,3.0,0.78817724
1,15,4.0,0.80089103
1,15,5.0,0.82326696
1,15,6.0,0.84380472
1,15,7.0,0.8500333
1,15,8.0,0.93024767
1,15,9.0,0.9712728
1,15,10.0,0.98269754
1,15,11.0,0.98645702
1,15,12.0,0.98200562
1,15,13.0,0.97901064
1,15,14.0,0.97653731
1,15,15.0,0.97681101
1,15,16.0,0.98269501
1,15,17.0,0.98595122
1,15,18.0,0.977393
1,15,19.0,0.974992
1,15,20.0,0.97497369
1,15,21.0,0.96800063
1,15,22.0,0.95959913
1,15,23.0,0.950049
1,16,0.0,0.94595554
1,16,1.0,0.93809694
1,16,2.0,0.92028779
1,16,3.0,0.90910801
1,16,4.0,0.90420125
1,16,5.0,0.89450832
1,16,6.0,0.88660457
1,16,7.0,0.8840792
1,16,8.0,0.92316776
1,16,9.0,0.95010225
1,16,10.0,0.95600079
1,16,11.0,0.951907
1,16,12.0,0.94739321
1,16,13.0,0.9385056
1,16,14.0,0.92646944
1,16,15.0,0.91112316
1,16,16.0,0.88194265
1,16,17.0,0.80571849
1,16,18.0,0.71529389
1,16,19.0,0.68289949
1,16,20.0,0.6041822
1,16,21.0,0.61333541
1,16,22.0,0.571103
1,16,23.0,0.53486246
1,17,0.0,0.52690755
1,17,1.0,0.50755079
1,17,2.0,0.47871074
1,17,3.0,0.45941546
1,17,4.0,0.44889885
1,17,5.0,0.44426703
1,17,6.0,0.44779791
1,17,7.0,0.42435343
1,17,8.0,0.61070745
1,17,9.0,0.7520555
1,17,10.0,0.80090921
1,17,11.0,0.83628388
1,17,12.0,0.8683683
