timepoint,capacity_factor
201401010000,0.00098924
201401010100,0.00232376
201401010200,0.00486341
201401010300,0.00459562
201401010400,0.00310069
201401010500,0.002308
201401010600,0.00221787
201401010700,0.00329717
201401010800,0.00555098
201401010900,0.00483467
201401011000,0.00313445
201401011100,0.00223642
201401011200,0.00086327
201401011300,0.00051034
201401011400,0.0004297
201401011500,0.00051307
201401011600,0.00096392
201401011700,0.00574032
201401011800,0.01479316
201401011900,0.01220604
201401012000,0.00401784
201401012100,0.00100682
201401012200,0.0007456
201401012300,0.00206643
201401020000,0.00675316
201401020100,0.01697122
201401020200,0.05556468
201401020300,0.19944981
201401020400,0.50046488
201401020500,0.63047419
201401020600,0.68496756
201401020700,0.76623419
201401020800,0.84624522
201401020900,0.92055383
201401021000,0.88411493
201401021100,0.82589449
201401021200,0.76155851
201401021300,0.7003502
201401021400,0.65157362
201401021500,0.61671869
201401021600,0.50262873
201401021700,0.33100265
201401021800,0.32662827
201401021900,0.34644865
201401022000,0.36814514
201401022100,0.36898429
201401022200,0.34142783
201401022300,0.29881584
201401030000,0.25943456
201401030100,0.2361593
201401030200,0.23162327
201401030300,0.2500493
201401030400,0.27799363
201401030500,0.28175047
201401030600,0.25347975
201401030700,0.19370119
201401030800,0.06457615
201401030900,0.01582733
201401031000,0.00615265
201401031100,0.00468068
201401031200,0.00913847
201401031300,0.01861046
201401031400,0.03103091
201401031500,0.04625496
201401031600,0.06381238
201401031700,0.09639357
201401031800,0.19460313
201401031900,0.32943826
201401032000,0.41414316
201401032100,0.42900039
201401032200,0.39166997
201401032300,0.35631584
201401040000,0.33506991
201401040100,0.34869983
201401040200,0.38706548
201401040300,0.44151296
201401040400,0.4666198
201401040500,0.45941677
201401040600,0.43658762
201401040700,0.37932165
201401040800,0.34809762
201401040900,0.43188669
201401041000,0.62365592
201401041100,0.53486305
201401041200,0.33692977
201401041300,0.19280622
201401041400,0.1224505
201401041500,0.13395153
201401041600,0.18804777
201401041700,0.31202131
201401041800,0.51262456
201401041900,0.62463962
201401042000,0.6349701
201401042100,0.58004819
201401042200,0.55594454
201401042300,0.55404133
201401050000,0.52534821
201401050100,0.48420735
201401050200,0.39959623
201401050300,0.34354908
201401050400,0.28791832
201401050500,0.21205667
201401050600,0.13899673
201401050700,0.07986968
201401050800,0.03993741
201401050900,0.07269161
201401051000,0.23072182
201401051100,0.6947256
201401051200,0.91198046
201401051300,0.95742825
201401051400,0.96225077
201401051500,0.95160509
201401051600,0.90846306
201401051700,0.7679414
201401051800,0.59193267
201401051900,0.53214704
201401052000,0.53296906
201401052100,0.55644189
201401052200,0.62903152
201401052300,0.73221211
201401060000,0.71393764
201401060100,0.69019931
201401060200,0.65948068
201401060300,0.5895388
201401060400,0.49385134
201401060500,0.41275199
201401060600,0.35694463
201401060700,0.35687385
201401060800,0.52534602
201401060900,0.57344251
201401061000,0.57772606
201401061100,0.54581057
201401061200,0.4860813
201401061300,0.45040352
201401061400,0.44424404
201401061500,0.37853676
201401061600,0.29180482
201401061700,0.18051574
201401061800,0.09536638
201401061900,0.06492008
201401062000,0.06669826
201401062100,0.07872323
201401062200,0.09279662
201401062300,0.10122378
201401070000,0.09880371
201401070100,0.0921394
201401070200,0.0980094
201401070300,0.10631898
201401070400,0.10318654
201401070500,0.09280758
201401070600,0.08593349
201401070700,0.08526966
201401070800,0.09681749
201401070900,0.08568048
201401071000,0.05931
201401071100,0.03022972
201401071200,0.02825282
201401071300,0.05002212
201401071400,0.071095
201401071500,0.09523045
201401071600,0.13259384
201401071700,0.14261685
201401071800,0.18586404
201401071900,0.24190336
201401072000,0.28028433
201401072100,0.23308665
201401072200,0.14577017
201401072300,0.10037166
201401080000,0.09425737
201401080100,0.12579305
201401080200,0.08809847
201401080300,0.04747239
201401080400,0.03665278
201401080500,0.03229758
201401080600,0.01427312
201401080700,0.00588814
201401080800,0.00431558
201401080900,0.03292731
201401081000,0.10826199
201401081100,0.36458296
201401081200,0.62468096
201401081300,0.69701515
201401081400,0.68005999
201401081500,0.65145171
201401081600,0.59525394
201401081700,0.53486331
201401081800,0.59526989
201401081900,0.55825287
201401082000,0.53757556
201401082100,0.51852569
201401082200,0.49276288
201401082300,0.44700643
201401090000,0.41706281
201401090100,0.41572264
201401090200,0.42228165
201401090300,0.42230642
201401090400,0.36619909
201401090500,0.24868609
201401090600,0.13942149
201401090700,0.09027922
201401090800,0.04191097
201401090900,0.16188194
201401091000,0.50358555
201401091100,0.60296244
201401091200,0.60568974
201401091300,0.59863985
201401091400,0.5930365
201401091500,0.59946997
201401091600,0.57006215
201401091700,0.54022603
201401091800,0.60510252
201401091900,0.58299173
201401092000,0.56444714
201401092100,0.58561019
201401092200,0.60687031
201401092300,0.62782494
201401100000,0.64905081
201401100100,0.67701588
201401100200,0.70043276
201401100300,0.71930379
201401100400,0.75615222
201401100500,0.77650672
201401100600,0.76296528
201401100700,0.70243509
201401100800,0.53214692
201401100900,0.81354898
201401101000,0.80768702
201401101100,0.64850205
201401101200,0.41534499
201401101300,0.26405113
201401101400,0.17286764
201401101500,0.11708285
201401101600,0.07978974
201401101700,0.05852106
201401101800,0.02384569
201401101900,0.00028329
201401102000,0.00056926
201401102100,0.05773559
201401102200,0.16745317
201401102300,0.26141608
201401110000,0.33269081
201401110100,0.34063982
201401110200,0.27855124
201401110300,0.21366172
201401110400,0.1779613
201401110500,0.18286712
201401110600,0.26105217
201401110700,0.40729164
201401110800,0.36923441
201401110900,0.2098317
201401111000,0.30755325
201401111100,0.3609113
201401111200,0.31461413
201401111300,0.23643165
201401111400,0.18999079
