timepoint,capacity_factor
201401010000,0.09526049
201401010100,0.07005291
201401010200,0.06806241
201401010300,0.06793929
201401010400,0.06680574
201401010500,0.06425903
201401010600,0.06190032
201401010700,0.06253793
201401010800,0.07594636
201401010900,0.09453894
201401011000,0.08391111
201401011100,0.06741573
201401011200,0.08444428
201401011300,0.11138872
201401011400,0.14620799
201401011500,0.19994336
201401011600,0.25721476
201401011700,0.33918846
201401011800,0.4805997
201401011900,0.55175767
201401012000,0.56228637
201401012100,0.53726893
201401012200,0.49796916
201401012300,0.49384441
201401020000,0.49109354
201401020100,0.46695074
201401020200,0.43672264
201401020300,0.46648431
201401020400,0.52262134
201401020500,0.57110968
201401020600,0.60577232
201401020700,0.61277413
201401020800,0.58864397
201401020900,0.45388689
201401021000,0.21892993
201401021100,0.11299507
201401021200,0.09355557
201401021300,0.12807834
201401021400,0.17670349
201401021500,0.20350004
201401021600,0.19670407
201401021700,0.27479647
201401021800,0.41389289
201401021900,0.50268317
201401022000,0.50358067
201401022100,0.42229028
201401022200,0.29318993
201401022300,0.16981736
201401030000,0.09325845
201401030100,0.05729003
201401030200,0.04129102
201401030300,0.04115574
201401030400,0.0484156
201401030500,0.0578024
201401030600,0.06331096
201401030700,0.0631962
201401030800,0.05458915
201401030900,0.03834844
201401031000,0.01674054
201401031100,0.00089389
201401031200,7.703e-05
201401031300,0.00073601
201401031400,0.00233809
201401031500,0.00121186
201401031600,0.00042142
201401031700,0.00104022
201401031800,0.00591281
201401031900,0.01078577
201401032000,0.00289724
201401032100,0.00058645
201401032200,0.00028137
201401032300,3.336e-05
201401040000,0.0002295
201401040100,0.00267958
201401040200,0.02199202
201401040300,0.06710101
201401040400,0.10214014
201401040500,0.13919146
201401040600,0.17888719
201401040700,0.2074517
201401040800,0.21818314
201401040900,0.20559722
201401041000,0.19914157
201401041100,0.11859082
201401041200,0.07623067
201401041300,0.06132463
201401041400,0.05607143
201401041500,0.05303097
201401041600,0.05532975
201401041700,0.05778698
201401041800,0.03991486
201401041900,0.02517287
201401042000,0.02236775
201401042100,0.02217148
201401042200,0.02251831
201401042300,0.03025024
201401050000,0.05295765
201401050100,0.09279116
201401050200,0.14835757
201401050300,0.22110472
201401050400,0.30248394
201401050500,0.38932032
201401050600,0.44951227
201401050700,0.48160902
201401050800,0.49287977
201401050900,0.43955173
201401051000,0.27362281
201401051100,0.228518
201401051200,0.37986636
201401051300,0.50282443
201401051400,0.59430565
201401051500,0.66342366
201401051600,0.67669221
201401051700,0.66580286
201401051800,0.67681352
201401051900,0.64469738
201401052000,0.59816964
201401052100,0.537575
201401052200,0.47594257
201401052300,0.4445782
201401060000,0.44411309
201401060100,0.44426267
201401060200,0.44149626
201401060300,0.49109478
201401060400,0.54972608
201401060500,0.59577426
201401060600,0.6214252
201401060700,0.64082624
201401060800,0.67454635
201401060900,0.63642893
201401061000,0.51032233
201401061100,0.46355111
201401061200,0.5587177
201401061300,0.6657996
201401061400,0.72659802
201401061500,0.74388725
201401061600,0.74320344
201401061700,0.78053214
201401061800,0.86667471
201401061900,0.88691847
201401062000,0.85764399
201401062100,0.82558208
201401062200,0.76785355
201401062300,0.64444674
201401070000,0.5404313
201401070100,0.48516419
201401070200,0.48834367
201401070300,0.51029549
201401070400,0.49882567
201401070500,0.4312955
201401070600,0.31981546
201401070700,0.2004525
201401070800,0.12406898
201401070900,0.08212688
201401071000,0.01685145
201401071100,9.444e-05
201401071200,0.00086559
201401071300,0.04345681
201401071400,0.09942243
201401071500,0.08647235
201401071600,0.05219314
201401071700,0.04588224
201401071800,0.03620414
201401071900,0.03867168
201401072000,0.04550777
201401072100,0.0279141
