timepoint,capacity_factor
201401010000,0.88029596
201401010100,0.86788316
201401010200,0.8597343
201401010300,0.84200115
201401010400,0.81514029
201401010500,0.76963835
201401010600,0.73695094
201401010700,0.70648398
201401010800,0.75468917
201401010900,0.76784469
201401011000,0.73884851
201401011100,0.69431453
201401011200,0.6490477
201401011300,0.61903146
201401011400,0.61123365
201401011500,0.6416058
201401011600,0.70619439
201401011700,0.71786718
201401011800,0.7681762
201401011900,0.7575572
201401012000,0.71146002
201401012100,0.67982097
201401012200,0.64091315
201401012300,0.57459316
201401020000,0.56027214
201401020100,0.50647885
201401020200,0.50583444
201401020300,0.47594979
201401020400,0.4662988
201401020500,0.45941795
201401020600,0.45322825
201401020700,0.39102794
201401020800,0.4594182
201401020900,0.48145052
201401021000,0.46741042
201401021100,0.46354749
201401021200,0.47149519
201401021300,0.51886372
201401021400,0.61873355
201401021500,0.73993619
201401021600,0.85150807
201401021700,0.89938487
201401021800,0.94351694
201401021900,0.96064322
201401022000,0.96458285
201401022100,0.96843573
201401022200,0.96864341
201401022300,0.96722302
201401030000,0.96666073
201401030100,0.96897726
201401030200,0.97726508
201401030300,0.98398557
201401030400,0.98634403
201401030500,0.98621098
201401030600,0.98394022
201401030700,0.97642141
201401030800,0.94490021
201401030900,0.92315152
201401031000,0.93662946
201401031100,0.95005461
201401031200,0.95562149
201401031300,0.95829398
201401031400,0.96462183
201401031500,0.97159778
201401031600,0.98047228
201401031700,0.98634842
201401031800,0.98553528
201401031900,0.98439381
201401032000,0.98200959
201401032100,0.9793948
201401032200,0.97537722
201401032300,0.97036727
201401040000,0.96238694
201401040100,0.95408743
201401040200,0.9528345
201401040300,0.94768324
201401040400,0.9440021
201401040500,0.93828708
201401040600,0.92862497
201401040700,0.9132722
201401040800,0.90954428
201401040900,0.89334216
201401041000,0.82981337
201401041100,0.70581473
201401041200,0.53486418
201401041300,0.37910731
201401041400,0.28657704
201401041500,0.28134043
201401041600,0.35900751
201401041700,0.4411486
201401041800,0.5159319
201401041900,0.55965894
201401042000,0.58004031
201401042100,0.5569627
201401042200,0.52971452
201401042300,0.51233373
201401050000,0.484214
201401050100,0.45267089
201401050200,0.41360573
201401050300,0.36797198
201401050400,0.32828246
201401050500,0.28290627
201401050600,0.25094453
201401050700,0.16740747
201401050800,0.09788801
201401050900,0.05362871
201401051000,0.00675056
201401051100,0.00027015
201401051200,0.00029077
201401051300,0.00093394
201401051400,0.00159576
201401051500,0.00150803
201401051600,0.00150937
201401051700,0.00317692
201401051800,0.00431399
201401051900,0.00218314
201401052000,0.00093805
201401052100,0.00088874
201401052200,0.0028656
201401052300,0.01312894
201401060000,0.04825787
201401060100,0.12262596
201401060200,0.2230527
201401060300,0.36691229
201401060400,0.52534933
201401060500,0.67771976
201401060600,0.76820658
201401060700,0.8043426
201401060800,0.93996839
201401060900,0.97242505
201401061000,0.97986092
201401061100,0.98302405
201401061200,0.98627259
201401061300,0.98636618
201401061400,0.98490801
201401061500,0.98229096
201401061600,0.9817603
201401061700,0.98328484
201401061800,0.98272014
201401061900,0.9817662
201401062000,0.98220781
201401062100,0.98367822
201401062200,0.98535827
201401062300,0.98610827
201401070000,0.98621979
201401070100,0.98614072
201401070200,0.9862319
201401070300,0.98652671
201401070400,0.98642415
201401070500,0.98648686
201401070600,0.98652755
201401070700,0.98652408
201401070800,0.98378449
201401070900,0.98161164
201401071000,0.98186242
201401071100,0.98272019
201401071200,0.98393537
201401071300,0.98466729
201401071400,0.98520492
201401071500,0.98637092
201401071600,0.98534047
201401071700,0.97933589
201401071800,0.97562112
201401071900,0.97487096
201401072000,0.97330929
201401072100,0.97243306
201401072200,0.97128961
201401072300,0.9709076
201401080000,0.9682861
201401080100,0.96632941
201401080200,0.96453609
201401080300,0.96684072
201401080400,0.96265162
201401080500,0.95693709
201401080600,0.94566604
201401080700,0.93864086
201401080800,0.9457239
201401080900,0.94251284
201401081000,0.93161758
201401081100,0.91923281
201401081200,0.90981848
201401081300,0.90258139
201401081400,0.89773476
201401081500,0.89357744
201401081600,0.8921498
201401081700,0.86663674
201401081800,0.85277418
201401081900,0.84897669
201401082000,0.83607267
201401082100,0.76470143
201401082200,0.71077824
201401082300,0.6454534
201401090000,0.61899957
201401090100,0.61691703
201401090200,0.63190347
201401090300,0.65596694
201401090400,0.67475251
201401090500,0.68684117
201401090600,0.717883
201401090700,0.70964997
201401090800,0.73104099
201401090900,0.71193113
201401091000,0.60377573
201401091100,0.48421718
201401091200,0.39102375
201401091300,0.33572339
201401091400,0.32770785
201401091500,0.36692962
201401091600,0.45177889
201401091700,0.51579084
201401091800,0.5947119
201401091900,0.58035841
201401092000,0.56361277
201401092100,0.54182992
201401092200,0.5096738
201401092300,0.45389738
201401100000,0.40119479
201401100100,0.3735827
201401100200,0.35351544
201401100300,0.36114156
201401100400,0.36945826
201401100500,0.36998952
