timepoint,capacity_factor
201401010000,0.95381354
201401010100,0.95565406
201401010200,0.95284947
201401010300,0.94253288
201401010400,0.92009202
201401010500,0.89605208
201401010600,0.87381553
201401010700,0.84033201
201401010800,0.87528555
201401010900,0.88289713
201401011000,0.88024006
201401011100,0.87522758
201401011200,0.87234942
201401011300,0.8676892
201401011400,0.86202058
201401011500,0.85435017
201401011600,0.83841185
201401011700,0.78633234
201401011800,0.75080829
201401011900,0.71251105
201401012000,0.6927314
201401012100,0.67580604
201401012200,0.65824508
201401012300,0.64163203
201401020000,0.62322966
201401020100,0.59863009
201401020200,0.57712562
201401020300,0.55478812
201401020400,0.51852654
201401020500,0.52718105
201401020600,0.54110033
201401020700,0.52262455
201401020800,0.70516728
201401020900,0.78945503
201401021000,0.85071314
201401021100,0.89421583
201401021200,0.92065204
201401021300,0.9371951
201401021400,0.95079347
201401021500,0.96062282
201401021600,0.96495318
201401021700,0.96446245
201401021800,0.97159308
201401021900,0.98003183
201401022000,0.98583622
201401022100,0.98649915
201401022200,0.98412738
201401022300,0.97200131
201401030000,0.9512547
201401030100,0.94062204
201401030200,0.94176056
201401030300,0.9423372
201401030400,0.94293861
201401030500,0.95217148
201401030600,0.93477394
201401030700,0.94185759
201401030800,0.93333552
201401030900,0.90710942
201401031000,0.88907945
201401031100,0.90058726
201401031200,0.91992185
201401031300,0.93662625
201401031400,0.94930207
201401031500,0.95891288
201401031600,0.97010773
201401031700,0.98029479
201401031800,0.9843961
201401031900,0.98582069
201401032000,0.98648852
201401032100,0.98625195
201401032200,0.98430265
201401032300,0.98054325
201401040000,0.97279645
201401040100,0.96312117
201401040200,0.95956247
201401040300,0.95610544
201401040400,0.9486009
201401040500,0.93358511
201401040600,0.91569176
201401040700,0.89231582
201401040800,0.91092416
201401040900,0.91869909
201401041000,0.90636065
201401041100,0.88408774
201401041200,0.84519917
201401041300,0.80605898
201401041400,0.78524023
201401041500,0.78444679
201401041600,0.79369905
201401041700,0.76158131
201401041800,0.74106271
201401041900,0.74488759
201401042000,0.7178698
201401042100,0.7127951
201401042200,0.7221377
201401042300,0.71788475
201401050000,0.66369651
201401050100,0.61022779
201401050200,0.56311306
201401050300,0.53757409
201401050400,0.51852302
201401050500,0.49917191
201401050600,0.47278385
201401050700,0.37445051
201401050800,0.34774027
201401050900,0.30497213
201401051000,0.21168462
201401051100,0.1389543
201401051200,0.09387001
201401051300,0.06793484
201401051400,0.05166763
201401051500,0.04091109
201401051600,0.0299408
201401051700,0.0239918
201401051800,0.03272566
201401051900,0.05775463
201401052000,0.10493835
201401052100,0.17797493
201401052200,0.25411566
201401052300,0.33122286
201401060000,0.40729793
201401060100,0.49385121
201401060200,0.57781309
201401060300,0.67658162
201401060400,0.81169025
201401060500,0.91656245
201401060600,0.96123373
201401060700,0.98100459
201401060800,0.98510594
201401060900,0.97842431
201401061000,0.97224845
201401061100,0.9690795
201401061200,0.96239001
201401061300,0.94938904
201401061400,0.92955109
201401061500,0.90902313
201401061600,0.9090374
201401061700,0.92823615
201401061800,0.92254658
201401061900,0.90941989
201401062000,0.85316114
201401062100,0.871834
201401062200,0.87786413
201401062300,0.90317097
201401070000,0.93081655
201401070100,0.94494137
201401070200,0.95119062
201401070300,0.95433576
201401070400,0.95682074
201401070500,0.96030994
201401070600,0.96541528
201401070700,0.96933963
201401070800,0.96876384
201401070900,0.96808421
201401071000,0.968035
201401071100,0.96497791
201401071200,0.9661952
201401071300,0.97046769
201401071400,0.97598527
201401071500,0.98179128
201401071600,0.98632969
201401071700,0.9833767
201401071800,0.98062706
201401071900,0.97977215
201401072000,0.97924154
201401072100,0.97872404
201401072200,0.97916955
201401072300,0.97066417
201401080000,0.96812078
201401080100,0.96709755
201401080200,0.96580412
201401080300,0.96391447
201401080400,0.95966885
201401080500,0.95550384
201401080600,0.94973669
201401080700,0.94496088
201401080800,0.96240033
201401080900,0.97637138
201401081000,0.9803592
201401081100,0.98076932
201401081200,0.9805403
201401081300,0.98010348
201401081400,0.97924995
201401081500,0.97789039
201401081600,0.9746734
201401081700,0.95827096
201401081800,0.9406702
201401081900,0.92869299
201401082000,0.91612696
201401082100,0.90401601
201401082200,0.90223802
201401082300,0.89435072
201401090000,0.88940539
201401090100,0.87921428
201401090200,0.87418957
201401090300,0.88200668
201401090400,0.88623035
201401090500,0.89237753
201401090600,0.89502833
201401090700,0.88881429
201401090800,0.92837756
201401090900,0.94672538
201401091000,0.94374006
201401091100,0.93315699
201401091200,0.91948287
201401091300,0.90745754
201401091400,0.89949373
201401091500,0.90038955
201401091600,0.90504362
201401091700,0.87289306
201401091800,0.84858485
201401091900,0.83094911
201401092000,0.81643791
201401092100,0.79637127
201401092200,0.75539841
201401092300,0.69021595
201401100000,0.6557239
201401100100,0.61917684
201401100200,0.59152761
201401100300,0.57110524
201401100400,0.57375591
201401100500,0.57376023
201401100600,0.56194337
201401100700,0.48505196
201401100800,0.6060338
201401100900,0.58386786
201401101000,0.48146593
201401101100,0.38387025
201401101200,0.30418772
201401101300,0.24070926
201401101400,0.19977733
201401101500,0.16501118
201401101600,0.13850498
201401101700,0.11870154
201401101800,0.11262399
201401101900,0.09559385
201401102000,0.07787007
201401102100,0.0679442
201401102200,0.06535128
201401102300,0.06986976
201401110000,0.07771742
201401110100,0.08490753
201401110200,0.0862845
201401110300,0.08663686
201401110400,0.09265036
201401110500,0.10171585
201401110600,0.11222653
201401110700,0.0975024
201401110800,0.09874351
201401110900,0.11778225
201401111000,0.13676264
201401111100,0.18394975
201401111200,0.27201372
201401111300,0.39576015
201401111400,0.54239444
201401111500,0.68472938
201401111600,0.76536488
201401111700,0.77189254
201401111800,0.7925131
201401111900,0.81196509
201401112000,0.81171578
201401112100,0.82638666
201401112200,0.84030405
201401112300,0.85450628
201401120000,0.8584398
201401120100,0.85131685
201401120200,0.8453631
201401120300,0.82387761
201401120400,0.79826717
201401120500,0.77384636
201401120600,0.75696345
201401120700,0.72618746
201401120800,0.82727052
201401120900,0.82119988
201401121000,0.78467575
201401121100,0.72995544
201401121200,0.66578809
201401121300,0.61972782
201401121400,0.61021398
201401121500,0.62224782
201401121600,0.64850098
201401121700,0.62790917
201401121800,0.61023248
201401121900,0.61547235
201401122000,0.54433633
201401122100,0.51579162
201401122200,0.48421501
201401122300,0.46179069
201401130000,0.45637629
201401130100,0.45845697
201401130200,0.46048886
201401130300,0.44702013
201401130400,0.44150829
201401130500,0.43761888
201401130600,0.42524818
201401130700,0.360664
201401130800,0.50969977
201401130900,0.4862717
201401131000,0.40947298
201401131100,0.3542825
201401131200,0.32263932
201401131300,0.31686246
201401131400,0.33769225
201401131500,0.39509824
201401131600,0.45390564
201401131700,0.45646737
201401131800,0.44834045
201401131900,0.47870534
201401132000,0.49385501
201401132100,0.57433976
201401132200,0.60122875
201401132300,0.63295987
201401140000,0.709409
201401140100,0.86580585
201401140200,0.90414064
201401140300,0.93769412
201401140400,0.95952833
201401140500,0.96897923
201401140600,0.97091434
201401140700,0.97050688
201401140800,0.98131872
201401140900,0.98550025
201401141000,0.98560521
201401141100,0.98487885
201401141200,0.98353962
201401141300,0.981248
201401141400,0.97954294
201401141500,0.97911003
201401141600,0.97781339
201401141700,0.97316893
201401141800,0.96826809
201401141900,0.96192682
201401142000,0.95456907
201401142100,0.94661259
201401142200,0.93661476
201401142300,0.93675786
201401150000,0.93771818
201401150100,0.9330451
201401150200,0.93167775
201401150300,0.93138935
201401150400,0.93534762
201401150500,0.94225985
201401150600,0.94751727
201401150700,0.95342755
201401150800,0.9806408
201401150900,0.98572888
201401151000,0.97694158
201401151100,0.95732824
201401151200,0.92308159
201401151300,0.89304726
201401151400,0.88020329
201401151500,0.87704231
201401151600,0.90500964
201401151700,0.96130017
201401151800,0.98145711
201401151900,0.98420454
201401152000,0.9855981
201401152100,0.9864754
201401152200,0.98403255
201401152300,0.98099235
201401160000,0.98022551
201401160100,0.97803118
201401160200,0.97296564
201401160300,0.9700246
201401160400,0.97006364
201401160500,0.96801454
201401160600,0.96688977
201401160700,0.96542207
201401160800,0.97944426
201401160900,0.9862808
201401161000,0.98637329
201401161100,0.98572061
201401161200,0.98459083
201401161300,0.98210125
201401161400,0.97978553
201401161500,0.97648156
201401161600,0.97101915
201401161700,0.94913172
201401161800,0.91569173
201401161900,0.89386382
201401162000,0.83095769
201401162100,0.83892136
201401162200,0.81297425
201401162300,0.77918519
201401170000,0.78590906
201401170100,0.78083947
201401170200,0.76818934
201401170300,0.76157845
201401170400,0.75570116
201401170500,0.74940889
201401170600,0.7467188
201401170700,0.73819171
201401170800,0.87524352
201401170900,0.93139811
201401171000,0.94569552
201401171100,0.95617373
201401171200,0.96458389
201401171300,0.97088323
201401171400,0.9763973
201401171500,0.97988524
201401171600,0.9794758
201401171700,0.96933381
201401171800,0.95872797
201401171900,0.95883946
201401172000,0.95597484
201401172100,0.94564811
201401172200,0.94015321
201401172300,0.9407084
201401180000,0.94315444
201401180100,0.94534623
201401180200,0.94324329
201401180300,0.94376644
201401180400,0.94577505
201401180500,0.94563659
201401180600,0.94370817
201401180700,0.93794448
201401180800,0.96840686
201401180900,0.97982505
201401181000,0.98008242
201401181100,0.97653652
201401181200,0.97037258
201401181300,0.96407473
201401181400,0.96137081
201401181500,0.95960017
201401181600,0.95286511
201401181700,0.92889048
201401181800,0.910773
201401181900,0.89236742
201401182000,0.86634242
201401182100,0.86459617
201401182200,0.85676739
201401182300,0.84041636
201401190000,0.82977105
201401190100,0.83341066
201401190200,0.87340241
201401190300,0.8724083
201401190400,0.86456346
201401190500,0.87396567
201401190600,0.88932971
201401190700,0.8944531
201401190800,0.94485594
201401190900,0.9680195
201401191000,0.97295476
201401191100,0.97606917
201401191200,0.97736464
201401191300,0.97797781
201401191400,0.97745667
201401191500,0.97840667
201401191600,0.97840057
201401191700,0.97181915
201401191800,0.96291559
201401191900,0.9588417
201401192000,0.9554806
201401192100,0.94832384
201401192200,0.94228955
201401192300,0.9307411
201401200000,0.92190421
201401200100,0.917341
201401200200,0.91062265
201401200300,0.90337418
201401200400,0.88398317
201401200500,0.87001564
201401200600,0.86259589
201401200700,0.85270864
201401200800,0.91575878
201401200900,0.93430262
201401201000,0.92575877
201401201100,0.89820614
201401201200,0.85961855
201401201300,0.8204039
201401201400,0.7910218
201401201500,0.78461372
201401201600,0.79084873
201401201700,0.75402028
201401201800,0.71220203
201401201900,0.63516391
201401202000,0.63927254
201401202100,0.6368989
201401202200,0.61277199
201401202300,0.60949163
201401210000,0.60863971
201401210100,0.59120103
201401210200,0.57887185
