timepoint,capacity_factor
201401010000,0.06834938
201401010100,0.0451723
201401010200,0.02589216
201401010300,0.01586195
201401010400,0.01129448
201401010500,0.00891738
201401010600,0.00720052
201401010700,0.00460322
201401010800,0.0004944
201401010900,2.94e-05
201401011000,0.01261783
201401011100,0.10873157
201401011200,0.21050852
201401011300,0.2744206
201401011400,0.2894334
201401011500,0.2514628
201401011600,0.17420089
201401011700,0.10405544
201401011800,0.07584273
201401011900,0.0422881
201401012000,0.0199254
201401012100,0.00630372
201401012200,0.00113856
201401012300,0.00034777
201401020000,0.00119182
201401020100,0.00769848
201401020200,0.02949397
201401020300,0.0745207
201401020400,0.13107054
201401020500,0.18505097
201401020600,0.24373802
201401020700,0.28888166
201401020800,0.19249357
201401020900,0.2719872
201401021000,0.29132505
201401021100,0.25061503
201401021200,0.22019429
201401021300,0.21676898
201401021400,0.24795969
201401021500,0.31737083
201401021600,0.45557576
201401021700,0.62127223
201401021800,0.72489628
201401021900,0.7424238
201401022000,0.76896191
201401022100,0.80606255
201401022200,0.85911361
201401022300,0.86463095
201401030000,0.82453757
201401030100,0.74082262
201401030200,0.63486712
201401030300,0.50917729
201401030400,0.45824256
201401030500,0.36783455
201401030600,0.29539269
201401030700,0.25139731
201401030800,0.14665263
201401030900,0.1045131
201401031000,0.07129946
201401031100,0.02380836
201401031200,0.00660841
201401031300,0.00822567
201401031400,0.01531608
201401031500,0.02547075
201401031600,0.02879119
201401031700,0.00886401
201401031800,0.00547346
201401031900,0.00526698
201401032000,0.00307961
201401032100,0.0026842
201401032200,0.00617252
201401032300,0.02361279
201401040000,0.05778006
201401040100,0.0967399
201401040200,0.1329843
201401040300,0.14016567
201401040400,0.11548852
201401040500,0.09665792
201401040600,0.06470554
201401040700,0.03828919
201401040800,0.02207792
201401040900,0.05798894
201401041000,0.32505467
201401041100,0.38657451
201401041200,0.3789399
201401041300,0.36425239
201401041400,0.37417796
201401041500,0.30984225
201401041600,0.22738776
201401041700,0.17663452
201401041800,0.14452025
201401041900,0.11901643
201401042000,0.12423893
201401042100,0.13964264
201401042200,0.16753061
201401042300,0.19121877
201401050000,0.2317021
201401050100,0.27855857
201401050200,0.31149464
201401050300,0.31121216
201401050400,0.25907307
201401050500,0.19856546
201401050600,0.16339374
201401050700,0.16306638
201401050800,0.12139628
201401050900,0.1524864
201401051000,0.38834813
201401051100,0.34582377
201401051200,0.28537774
201401051300,0.25250259
201401051400,0.2187974
201401051500,0.18041375
201401051600,0.13732564
201401051700,0.09201977
201401051800,0.05784284
201401051900,0.03059697
201401052000,0.01504006
201401052100,0.02345656
201401052200,0.04646034
201401052300,0.08967454
201401060000,0.17495424
201401060100,0.24300071
201401060200,0.24945648
201401060300,0.25097287
201401060400,0.26690797
201401060500,0.26783882
201401060600,0.26800758
201401060700,0.28930273
201401060800,0.3093
201401060900,0.32843159
201401061000,0.36476963
201401061100,0.37358257
201401061200,0.34792587
201401061300,0.31748369
201401061400,0.27311622
201401061500,0.21445371
201401061600,0.20195292
201401061700,0.29763464
201401061800,0.47224255
201401061900,0.54703419
201401062000,0.54916274
201401062100,0.53741098
201401062200,0.49796839
201401062300,0.43188283
201401070000,0.33676225
201401070100,0.24072614
201401070200,0.16663222
201401070300,0.11809445
201401070400,0.10556141
201401070500,0.15127642
201401070600,0.20235442
201401070700,0.23613313
201401070800,0.19181022
201401070900,0.2008514
201401071000,0.13531915
201401071100,0.04504137
201401071200,0.01715203
201401071300,0.04147214
201401071400,0.07947934
201401071500,0.102719
201401071600,0.09104822
201401071700,0.02774248
201401071800,0.02114683
201401071900,0.02889874
201401072000,0.05100526
201401072100,0.07644098
201401072200,0.10676894
201401072300,0.13768555
201401080000,0.13864009
201401080100,0.11626431
201401080200,0.10745962
201401080300,0.09969531
201401080400,0.08728975
201401080500,0.07456434
201401080600,0.05700144
201401080700,0.04503865
201401080800,0.02516321
201401080900,0.0330951
201401081000,0.08185592
201401081100,0.1000596
201401081200,0.12173128
201401081300,0.13668954
201401081400,0.13679657
201401081500,0.1305094
201401081600,0.11938318
201401081700,0.0983329
201401081800,0.07118679
201401081900,0.0450356
201401082000,0.0281318
201401082100,0.02524825
201401082200,0.03035939
201401082300,0.03737684
201401090000,0.0447377
201401090100,0.05063348
201401090200,0.05544224
201401090300,0.04899215
201401090400,0.03192906
201401090500,0.01511597
201401090600,0.00540741
201401090700,0.00138659
201401090800,0.00017616
201401090900,0.00058579
201401091000,0.05405426
201401091100,0.12044028
201401091200,0.18001579
201401091300,0.23141577
201401091400,0.26427795
201401091500,0.28107949
201401091600,0.27518392
201401091700,0.24299526
201401091800,0.24734982
201401091900,0.26528417
201401092000,0.32719317
201401092100,0.41988265
201401092200,0.52146792
201401092300,0.58169344
201401100000,0.58004796
201401100100,0.52534437
201401100200,0.43189945
201401100300,0.33415253
201401100400,0.24328239
201401100500,0.18777526
201401100600,0.15700332
201401100700,0.14057631
201401100800,0.08456312
201401100900,0.17315036
201401101000,0.59087804
201401101100,0.70490911
201401101200,0.75357004
201401101300,0.76679718
201401101400,0.76878243
201401101500,0.76349807
201401101600,0.71484619
201401101700,0.56229977
201401101800,0.50848716
201401101900,0.4651093
201401102000,0.41956487
201401102100,0.36903383
201401102200,0.3098437
201401102300,0.24301411
201401110000,0.17731317
201401110100,0.12533157
201401110200,0.09266043
201401110300,0.05714925
201401110400,0.03016224
201401110500,0.0275261
201401110600,0.03610866
201401110700,0.05128562
201401110800,0.04589906
201401110900,0.02306131
201401111000,0.03153592
201401111100,0.02405187
201401111200,0.02631528
201401111300,0.04004586
201401111400,0.06538136
201401111500,0.12029827
201401111600,0.20747073
201401111700,0.31251678
201401111800,0.4988961
201401111900,0.63878503
201401112000,0.72916156
201401112100,0.72784686
201401112200,0.68251917
201401112300,0.61656782
201401120000,0.50066236
201401120100,0.39780305
201401120200,0.37622721
201401120300,0.32073418
201401120400,0.26805277
201401120500,0.23507487
201401120600,0.19082983
201401120700,0.13046413
201401120800,0.09193428
201401120900,0.12057648
201401121000,0.27546486
201401121100,0.41956739
201401121200,0.56518703
201401121300,0.68689663
201401121400,0.75862867
201401121500,0.74891425
201401121600,0.67268814
201401121700,0.50937555
201401121800,0.45934128
201401121900,0.44893071
201401122000,0.40051524
201401122100,0.34911885
201401122200,0.31123191
201401122300,0.27800625
201401130000,0.24528079
201401130100,0.21038354
201401130200,0.18380405
201401130300,0.15868005
201401130400,0.13983289
201401130500,0.10895528
201401130600,0.07851798
201401130700,0.05350511
201401130800,0.0251089
201401130900,0.04040128
201401131000,0.18106581
201401131100,0.19921038
201401131200,0.15191444
201401131300,0.09483645
201401131400,0.05781033
201401131500,0.04591403
201401131600,0.05601752
201401131700,0.11790209
201401131800,0.27715558
201401131900,0.44538616
201401132000,0.54108256
201401132100,0.54604075
201401132200,0.51306237
201401132300,0.48640555
201401140000,0.49683732
201401140100,0.50094505
201401140200,0.49109931
201401140300,0.47870289
201401140400,0.45418271
201401140500,0.42500969
201401140600,0.40338617
201401140700,0.3700813
201401140800,0.20132775
201401140900,0.23685898
201401141000,0.16203747
201401141100,0.04118909
201401141200,0.00124872
201401141300,0.00011867
201401141400,0.00060848
201401141500,0.00550786
201401141600,0.01230233
201401141700,0.02577036
201401141800,0.06540098
201401141900,0.11200404
201401142000,0.19182221
201401142100,0.27928653
201401142200,0.35765756
201401142300,0.40592995
201401150000,0.45939951
201401150100,0.50703309
201401150200,0.55614528
201401150300,0.58680154
201401150400,0.6329679
201401150500,0.69701957
201401150600,0.7494928
201401150700,0.75355868
201401150800,0.74585634
201401150900,0.9268763
201401151000,0.89677684
201401151100,0.80603943
201401151200,0.67586396
201401151300,0.52619963
201401151400,0.3818198
201401151500,0.31343177
201401151600,0.32262385
201401151700,0.38832986
201401151800,0.54972817
201401151900,0.57072437
201401152000,0.48552829
201401152100,0.39093795
201401152200,0.28887224
201401152300,0.18557959
201401160000,0.09919251
201401160100,0.03734308
201401160200,0.01408676
201401160300,0.00826185
201401160400,0.00854179
201401160500,0.01662331
201401160600,0.02618766
201401160700,0.0338969
201401160800,0.02457304
201401160900,0.00633268
201401161000,0.01948089
201401161100,0.03152892
201401161200,0.04781489
201401161300,0.0471692
201401161400,0.03174613
201401161500,0.03570734
201401161600,0.04630067
201401161700,0.04178382
201401161800,0.02323901
201401161900,0.01070906
201401162000,0.00481707
201401162100,0.00266135
201401162200,0.00219154
201401162300,0.00312971
201401170000,0.00621728
201401170100,0.0140892
201401170200,0.02876114
201401170300,0.0474027
201401170400,0.05914631
201401170500,0.07071767
201401170600,0.0983935
201401170700,0.13634256
201401170800,0.1203475
201401170900,0.05289888
201401171000,0.10656543
201401171100,0.09837546
201401171200,0.09326677
201401171300,0.08606641
201401171400,0.09319102
201401171500,0.12523574
201401171600,0.20955141
201401171700,0.41272434
201401171800,0.72808144
201401171900,0.81172723
201401172000,0.74132766
201401172100,0.64757243
201401172200,0.56899642
201401172300,0.49527579
201401180000,0.40155759
201401180100,0.31527386
201401180200,0.25222528
201401180300,0.21175232
201401180400,0.18765349
201401180500,0.15325024
201401180600,0.12195401
201401180700,0.09534477
201401180800,0.03923309
201401180900,0.01504549
201401181000,0.00078644
201401181100,1.3e-06
201401181200,1.35e-06
201401181300,0.0
201401181400,0.0
201401181500,3.5e-07
201401181600,4.069e-05
201401181700,0.00042938
201401181800,0.00182649
201401181900,0.00084803
201401182000,0.00014367
201401182100,0.00042812
201401182200,0.00037589
201401182300,0.00012545
201401190000,0.00017988
201401190100,0.00015558
201401190200,0.00012691
201401190300,0.00078873
201401190400,0.00929416
201401190500,0.03584553
201401190600,0.07234266
201401190700,0.11233658
201401190800,0.11708104
201401190900,0.09921717
201401191000,0.11443929
201401191100,0.0777426
201401191200,0.05776065
201401191300,0.04857273
201401191400,0.04424238
201401191500,0.03673133
201401191600,0.03768288
201401191700,0.12500099
201401191800,0.39996539
201401191900,0.54590953
201401192000,0.50232589
201401192100,0.43139658
201401192200,0.37549901
201401192300,0.300142
201401200000,0.22304555
201401200100,0.16366678
201401200200,0.11463513
201401200300,0.07625418
201401200400,0.05245726
201401200500,0.03374282
201401200600,0.01984498
201401200700,0.01891057
201401200800,0.01603012
201401200900,0.01044938
201401201000,0.06314474
201401201100,0.09000608
201401201200,0.10830875
201401201300,0.12158476
201401201400,0.12890688
201401201500,0.13071962
201401201600,0.11875942
201401201700,0.10046166
201401201800,0.09238654
201401201900,0.09775968
201401202000,0.11233882
201401202100,0.12947386
201401202200,0.13346903
201401202300,0.13586959
201401210000,0.16700964
201401210100,0.20324381
201401210200,0.22562103
201401210300,0.24850164
201401210400,0.26592714
201401210500,0.27857087
201401210600,0.32771809
201401210700,0.42554941
201401210800,0.36690184
201401210900,0.59350198
201401211000,0.73141355
201401211100,0.68230613
201401211200,0.62876079
201401211300,0.60644631
201401211400,0.6102268
201401211500,0.60643037
201401211600,0.60121759
201401211700,0.61022562
201401211800,0.67706116
201401211900,0.69476038
201401212000,0.61805953
201401212100,0.54327434
201401212200,0.45228173
201401212300,0.38312706
201401220000,0.3616006
201401220100,0.36783431
201401220200,0.3685889
201401220300,0.34579349
201401220400,0.28892463
201401220500,0.20028799
201401220600,0.15778226
201401220700,0.16966129
201401220800,0.10173595
201401220900,0.02480936
201401221000,4.2e-07
201401221100,5.261e-05
201401221200,0.00115322
201401221300,0.00275244
201401221400,0.00456341
201401221500,0.00456702
201401221600,0.00493137
201401221700,0.0054941
201401221800,0.02004225
201401221900,0.02869258
201401222000,0.029953
201401222100,0.04709164
201401222200,0.10535465
201401222300,0.22521561
201401230000,0.38877275
201401230100,0.5380109
201401230200,0.61466359
201401230300,0.57110502
201401230400,0.50215165
201401230500,0.41857959
201401230600,0.34063322
201401230700,0.29137117
201401230800,0.15401878
201401230900,0.29563091
201401231000,0.38729934
201401231100,0.3126014
201401231200,0.22733088
201401231300,0.16082806
201401231400,0.1058628
201401231500,0.05737149
201401231600,0.02301363
201401231700,0.00801588
201401231800,0.00141138
201401231900,0.0064543
201401232000,0.02525108
201401232100,0.08513863
201401232200,0.34430027
201401232300,0.63516271
201401240000,0.71996751
201401240100,0.67744215
201401240200,0.65056202
201401240300,0.54165003
201401240400,0.49385063
201401240500,0.53660759
201401240600,0.47718601
201401240700,0.44882816
201401240800,0.49109887
201401240900,0.47640689
201401241000,0.44700108
201401241100,0.36746045
201401241200,0.2514023
201401241300,0.13322163
201401241400,0.05382396
201401241500,0.01343683
201401241600,0.00233764
201401241700,0.03507222
201401241800,0.26486184
201401241900,0.42231913
201401242000,0.3697897
201401242100,0.24119013
201401242200,0.13137938
201401242300,0.07004593
201401250000,0.04350135
201401250100,0.03387355
201401250200,0.03023491
201401250300,0.01788421
201401250400,0.01036969
201401250500,0.01195525
201401250600,0.01696812
201401250700,0.02451626
201401250800,0.01465816
201401250900,0.00682157
201401251000,0.01313006
201401251100,0.00895038
201401251200,0.00818459
201401251300,0.00758623
201401251400,0.00970127
201401251500,0.01432186
201401251600,0.01553079
201401251700,0.03153646
201401251800,0.08283389
201401251900,0.12199686
201401252000,0.1404787
201401252100,0.12953837
201401252200,0.09101468
201401252300,0.04994577
201401260000,0.0238168
201401260100,0.00954193
201401260200,0.003477
201401260300,0.00490102
201401260400,0.01487341
201401260500,0.02997427
201401260600,0.04413793
201401260700,0.05702416
201401260800,0.03507301
201401260900,0.06122446
201401261000,0.2025958
201401261100,0.26137507
201401261200,0.31317029
201401261300,0.35503348
201401261400,0.38232272
201401261500,0.40209905
201401261600,0.41636463
201401261700,0.36451475
201401261800,0.37624377
201401261900,0.389526
201401262000,0.4195602
201401262100,0.47121694
201401262200,0.53451965
201401262300,0.5556601
201401270000,0.51579581
201401270100,0.4594103
201401270200,0.39306785
201401270300,0.32508592
201401270400,0.26436121
201401270500,0.21218552
201401270600,0.15945151
201401270700,0.10643653
201401270800,0.03254006
201401270900,0.01571426
201401271000,0.07271074
201401271100,0.06532528
201401271200,0.06763117
201401271300,0.07393463
201401271400,0.08321403
201401271500,0.10509295
201401271600,0.13973369
201401271700,0.16278818
201401271800,0.17329044
201401271900,0.14856953
201401272000,0.11820218
201401272100,0.09444814
201401272200,0.07641473
201401272300,0.05900781
201401280000,0.04556116
201401280100,0.02722153
201401280200,0.01007058
201401280300,0.00375342
201401280400,0.00208706
201401280500,0.00308136
201401280600,0.01236746
201401280700,0.04407497
201401280800,0.05747809
201401280900,0.11507414
201401281000,0.28375137
201401281100,0.37623563
201401281200,0.43189144
201401281300,0.47870596
201401281400,0.50297557
201401281500,0.50148386
201401281600,0.44871383
201401281700,0.33414025
201401281800,0.31029109
201401281900,0.31705616
201401282000,0.34453112
201401282100,0.35887357
201401282200,0.31357871
201401282300,0.20084875
201401290000,0.11669862
201401290100,0.06400919
201401290200,0.02897411
201401290300,0.00508759
201401290400,0.000169
201401290500,0.00038813
201401290600,0.0053973
201401290700,0.02320318
201401290800,0.00793637
201401290900,0.00022296
201401291000,0.03504612
201401291100,0.10718478
201401291200,0.1788474
201401291300,0.22520974
201401291400,0.24100671
201401291500,0.23752133
201401291600,0.19393322
201401291700,0.09953749
201401291800,0.05953461
201401291900,0.10579267
201401292000,0.14145794
201401292100,0.09788675
201401292200,0.06221261
201401292300,0.04946766
201401300000,0.03363531
201401300100,0.02694015
201401300200,0.02994392
201401300300,0.02887301
201401300400,0.02674847
201401300500,0.02455
201401300600,0.01450249
201401300700,0.00693656
201401300800,0.00108682
201401300900,0.00437351
201401301000,0.03808148
201401301100,0.02995841
201401301200,0.01624019
201401301300,0.00627612
201401301400,0.00162441
201401301500,0.00040906
201401301600,0.00010812
201401301700,4.819e-05
201401301800,8.92e-05
201401301900,0.00016222
201401302000,0.00182731
201401302100,0.01122013
201401302200,0.02243082
201401302300,0.02440427
201401310000,0.02658814
201401310100,0.05035921
201401310200,0.12871865
201401310300,0.28420212
201401310400,0.41463564
201401310500,0.38833826
201401310600,0.25908492
201401310700,0.16762838
201401310800,0.05778865
201401310900,0.01440479
201401311000,0.06634104
201401311100,0.10805729
201401311200,0.14618196
201401311300,0.16679536
201401311400,0.1644012
201401311500,0.16190302
201401311600,0.15439701
201401311700,0.14733524
201401311800,0.16810468
201401311900,0.1917288
