timepoint,capacity_factor
201401010000,0.08416707
201401010100,0.0832562
201401010200,0.08140233
201401010300,0.08684081
201401010400,0.09182105
201401010500,0.10254975
201401010600,0.1182269
201401010700,0.13622318
201401010800,0.12157074
201401010900,0.07113105
201401011000,0.04823538
201401011100,0.02980009
201401011200,0.03161897
201401011300,0.03485629
201401011400,0.03595689
201401011500,0.04728476
201401011600,0.03339112
201401011700,0.02407193
201401011800,0.00764869
201401011900,0.00609044
201401012000,0.0292134
201401012100,0.0588275
201401012200,0.08515274
201401012300,0.12007329
201401020000,0.16169912
201401020100,0.19092824
201401020200,0.19510421
201401020300,0.18428744
201401020400,0.14399128
201401020500,0.13455674
201401020600,0.41003094
201401020700,0.53090529
201401020800,0.34006391
201401020900,0.18646914
201401021000,0.0927746
201401021100,0.05433132
201401021200,0.04954849
201401021300,0.0635176
201401021400,0.08011925
201401021500,0.10127162
201401021600,0.12581722
201401021700,0.13507345
201401021800,0.11641567
201401021900,0.07978838
201401022000,0.06680566
201401022100,0.07803395
201401022200,0.08878332
201401022300,0.09230543
201401030000,0.08735567
201401030100,0.0793838
201401030200,0.06725365
201401030300,0.05677968
201401030400,0.05406729
201401030500,0.05620595
201401030600,0.06190949
201401030700,0.07037933
201401030800,0.05809312
201401030900,0.07641363
201401031000,0.09789507
201401031100,0.0694613
201401031200,0.04435725
201401031300,0.03229341
201401031400,0.01372327
201401031500,0.01675636
201401031600,0.0512434
201401031700,0.13702239
201401031800,0.12299644
201401031900,0.10014841
201401032000,0.08648983
201401032100,0.08406795
201401032200,0.08409802
201401032300,0.09144089
201401040000,0.11234826
201401040100,0.15430213
201401040200,0.22843668
201401040300,0.29785043
201401040400,0.34118633
201401040500,0.35605079
201401040600,0.32008561
201401040700,0.29652932
201401040800,0.24524899
201401040900,0.14559647
201401041000,0.2548538
201401041100,0.27908704
201401041200,0.23290726
201401041300,0.20101461
201401041400,0.15026274
201401041500,0.10007113
201401041600,0.05326637
201401041700,0.01012295
201401041800,0.00170804
201401041900,0.0135127
201401042000,0.05650037
201401042100,0.08919027
201401042200,0.11772648
201401042300,0.15217726
201401050000,0.19663751
201401050100,0.24525478
201401050200,0.29997544
201401050300,0.35500408
201401050400,0.40048535
201401050500,0.44425113
201401050600,0.46916354
201401050700,0.46630701
201401050800,0.38293547
201401050900,0.22146482
201401051000,0.36298657
201401051100,0.40684034
201401051200,0.33589874
201401051300,0.27201322
201401051400,0.21833471
201401051500,0.20263989
201401051600,0.21718783
201401051700,0.1575642
201401051800,0.08585778
201401051900,0.05416487
201401052000,0.05880501
201401052100,0.07199671
201401052200,0.07007847
201401052300,0.05976147
201401060000,0.07011312
201401060100,0.10162093
201401060200,0.09401924
201401060300,0.0704399
201401060400,0.04620798
201401060500,0.03535114
201401060600,0.04130381
201401060700,0.05130838
201401060800,0.07900195
201401060900,0.11206457
201401061000,0.1233493
201401061100,0.12088127
201401061200,0.11273585
201401061300,0.121146
201401061400,0.14156193
201401061500,0.14788273
201401061600,0.13500416
201401061700,0.1261748
201401061800,0.10408465
201401061900,0.0847515
201401062000,0.0822371
201401062100,0.08408508
201401062200,0.08615198
201401062300,0.07840189
201401070000,0.0685914
201401070100,0.06105385
201401070200,0.05769696
201401070300,0.0541355
201401070400,0.05644842
201401070500,0.04668861
201401070600,0.04446087
201401070700,0.04609855
201401070800,0.04165979
201401070900,0.05415839
201401071000,0.07582641
201401071100,0.07103445
201401071200,0.05505508
201401071300,0.04143255
201401071400,0.03744594
201401071500,0.0380554
201401071600,0.03053195
201401071700,0.08409113
201401071800,0.08405614
201401071900,0.08857915
201401072000,0.0837657
201401072100,0.07265783
201401072200,0.06107406
201401072300,0.05533493
201401080000,0.07751987
201401080100,0.11423481
201401080200,0.12589196
201401080300,0.13653986
201401080400,0.14459056
201401080500,0.14603672
201401080600,0.14777404
201401080700,0.15017181
201401080800,0.11448819
201401080900,0.055965
201401081000,0.07171249
201401081100,0.05146539
201401081200,0.02112865
201401081300,0.00998488
201401081400,0.00409641
201401081500,0.01189663
201401081600,0.03275749
201401081700,0.08555648
201401081800,0.0695126
201401081900,0.02291637
201401082000,0.0123893
201401082100,0.01210933
201401082200,0.01055614
201401082300,0.00936319
201401090000,0.01045376
201401090100,0.01445812
201401090200,0.02517609
201401090300,0.05366989
201401090400,0.09280261
201401090500,0.12259151
201401090600,0.1388839
201401090700,0.1428673
201401090800,0.10314035
201401090900,0.02364389
201401091000,0.01509567
201401091100,0.00784659
201401091200,0.00012081
201401091300,4e-06
201401091400,7.597e-05
201401091500,0.0157919
201401091600,0.07238402
201401091700,0.13414656
201401091800,0.12555986
201401091900,0.11453545
201401092000,0.13191473
201401092100,0.15458266
201401092200,0.19283048
201401092300,0.26948532
201401100000,0.34624812
201401100100,0.39102694
201401100200,0.44706831
201401100300,0.47898292
201401100400,0.47980709
201401100500,0.46355187
201401100600,0.45388366
201401100700,0.43500127
201401100800,0.32770315
201401100900,0.25002553
201401101000,0.47909726
201401101100,0.4883386
201401101200,0.43190181
201401101300,0.36426018
201401101400,0.29133757
201401101500,0.20972464
201401101600,0.13068424
201401101700,0.07271919
201401101800,0.02163121
201401101900,0.00422099
201401102000,0.03383737
201401102100,0.10301462
201401102200,0.16831958
201401102300,0.23331835
201401110000,0.30243209
201401110100,0.36693829
201401110200,0.42479514
201401110300,0.43938647
201401110400,0.41413191
201401110500,0.35500116
201401110600,0.29490366
201401110700,0.26097038
201401110800,0.20264638
201401110900,0.15410237
201401111000,0.20258533
201401111100,0.16141136
201401111200,0.10074757
201401111300,0.05954753
201401111400,0.04247407
201401111500,0.03571401
201401111600,0.04944841
201401111700,0.10156749
201401111800,0.09870022
201401111900,0.07046233
201401112000,0.08537534
201401112100,0.11125602
201401112200,0.11771506
201401112300,0.10307032
201401120000,0.08619546
201401120100,0.08468162
201401120200,0.08953926
201401120300,0.09895934
201401120400,0.11774055
201401120500,0.14963098
201401120600,0.13438415
201401120700,0.12221543
201401120800,0.07949039
201401120900,0.03743741
201401121000,0.0796224
201401121100,0.1079013
201401121200,0.11949962
201401121300,0.1296497
201401121400,0.19085442
201401121500,0.18785513
201401121600,0.09351077
201401121700,0.07347151
201401121800,0.14889669
201401121900,0.29999935
201401122000,0.55877847
201401122100,0.68518761
201401122200,0.76536608
201401122300,0.76701916
201401130000,0.7953949
201401130100,0.82267812
201401130200,0.82352601
201401130300,0.79434198
201401130400,0.76536207
201401130500,0.74788616
201401130600,0.72692953
201401130700,0.66104895
201401130800,0.45665422
201401130900,0.46629276
201401131000,0.55804391
201401131100,0.54063928
201401131200,0.52069859
201401131300,0.50661922
201401131400,0.5217786
201401131500,0.54703407
201401131600,0.48344256
201401131700,0.32840471
201401131800,0.1572556
201401131900,0.04381978
201401132000,0.00817552
201401132100,0.00264016
201401132200,0.00197282
201401132300,0.00258931
201401140000,0.00557659
201401140100,0.01092582
201401140200,0.02114136
201401140300,0.03838257
201401140400,0.07025751
201401140500,0.12753679
201401140600,0.20344321
201401140700,0.28125526
201401140800,0.31121486
201401140900,0.168748
201401141000,0.12131952
201401141100,0.07827762
201401141200,0.09053543
201401141300,0.11832651
201401141400,0.14398121
201401141500,0.16126592
201401141600,0.13774058
201401141700,0.07708158
201401141800,0.03472238
201401141900,0.02185693
201401142000,0.0394388
201401142100,0.06813762
201401142200,0.07868176
201401142300,0.11736379
201401150000,0.12319
201401150100,0.19449205
201401150200,0.27270763
201401150300,0.2092151
201401150400,0.09250674
201401150500,0.03812732
201401150600,0.02514569
201401150700,0.02534592
201401150800,0.02821663
201401150900,0.0573319
201401151000,0.03715039
201401151100,0.00929161
201401151200,5.44e-06
201401151300,2.96e-06
201401151400,1.483e-05
201401151500,0.00049
201401151600,0.00835423
201401151700,0.06774335
201401151800,0.07508344
201401151900,0.05342229
201401152000,0.06025578
201401152100,0.07517964
201401152200,0.10101345
201401152300,0.13767129
201401160000,0.18230866
201401160100,0.23235862
201401160200,0.28487118
201401160300,0.343527
201401160400,0.37871501
201401160500,0.38730326
201401160600,0.39651953
201401160700,0.40050629
201401160800,0.32231678
201401160900,0.13882536
201401161000,0.16824706
201401161100,0.11395537
201401161200,0.07647057
