month,day,hour,capacity_factor
1,1,0.0,0.95381354
1,1,1.0,0.95565406
1,1,2.0,0.95284947
1,1,3.0,0.94253288
1,1,4.0,0.92009202
1,1,5.0,0.89605208
1,1,6.0,0.87381553
1,1,7.0,0.84033201
1,1,8.0,0.87528555
1,1,9.0,0.88289713
1,1,10.0,0.88024006
1,1,11.0,0.87522758
1,1,12.0,0.87234942
1,1,13.0,0.8676892
1,1,14.0,0.86202058
1,1,15.0,0.85435017
1,1,16.0,0.83841185
1,1,17.0,0.78633234
1,1,18.0,0.75080829
1,1,19.0,0.71251105
1,1,20.0,0.6927314
1,1,21.0,0.67580604
1,1,22.0,0.65824508
1,1,23.0,0.64163203
1,2,0.0,0.62322966
1,2,1.0,0.59863009
1,2,2.0,0.57712562
1,2,3.0,0.55478812
1,2,4.0,0.51852654
1,2,5.0,0.52718105
1,2,6.0,0.54110033
1,2,7.0,0.52262455
1,2,8.0,0.70516728
1,2,9.0,0.78945503
1,2,10.0,0.85071314
1,2,11.0,0.89421583
1,2,12.0,0.92065204
1,2,13.0,0.9371951
1,2,14.0,0.95079347
1,2,15.0,0.96062282
1,2,16.0,0.96495318
1,2,17.0,0.96446245
1,2,18.0,0.97159308
1,2,19.0,0.98003183
1,2,20.0,0.98583622
1,2,21.0,0.98649915
1,2,22.0,0.98412738
1,2,23.0,0.97200131
1,3,0.0,0.9512547
1,3,1.0,0.94062204
1,3,2.0,0.94176056
1,3,3.0,0.9423372
1,3,4.0,0.94293861
1,3,5.0,0.95217148
1,3,6.0,0.93477394
1,3,7.0,0.94185759
1,3,8.0,0.93333552
1,3,9.0,0.90710942
1,3,10.0,0.88907945
1,3,11.0,0.90058726
1,3,12.0,0.91992185
1,3,13.0,0.93662625
1,3,14.0,0.94930207
1,3,15.0,0.95891288
1,3,16.0,0.97010773
1,3,17.0,0.98029479
1,3,18.0,0.9843961
1,3,19.0,0.98582069
1,3,20.0,0.98648852
1,3,21.0,0.98625195
1,3,22.0,0.98430265
1,3,23.0,0.98054325
1,4,0.0,0.97279645
1,4,1.0,0.96312117
1,4,2.0,0.95956247
1,4,3.0,0.95610544
1,4,4.0,0.9486009
1,4,5.0,0.93358511
1,4,6.0,0.91569176
1,4,7.0,0.89231582
1,4,8.0,0.91092416
1,4,9.0,0.91869909
1,4,10.0,0.90636065
1,4,11.0,0.88408774
1,4,12.0,0.84519917
1,4,13.0,0.80605898
1,4,14.0,0.78524023
1,4,15.0,0.78444679
1,4,16.0,0.79369905
1,4,17.0,0.76158131
1,4,18.0,0.74106271
1,4,19.0,0.74488759
1,4,20.0,0.7178698
1,4,21.0,0.7127951
1,4,22.0,0.7221377
1,4,23.0,0.71788475
1,5,0.0,0.66369651
1,5,1.0,0.61022779
1,5,2.0,0.56311306
1,5,3.0,0.53757409
1,5,4.0,0.51852302
1,5,5.0,0.49917191
1,5,6.0,0.47278385
1,5,7.0,0.37445051
1,5,8.0,0.34774027
1,5,9.0,0.30497213
1,5,10.0,0.21168462
1,5,11.0,0.1389543
1,5,12.0,0.09387001
1,5,13.0,0.06793484
1,5,14.0,0.05166763
1,5,15.0,0.04091109
1,5,16.0,0.0299408
1,5,17.0,0.0239918
1,5,18.0,0.03272566
1,5,19.0,0.05775463
1,5,20.0,0.10493835
1,5,21.0,0.17797493
1,5,22.0,0.25411566
1,5,23.0,0.33122286
1,6,0.0,0.40729793
1,6,1.0,0.49385121
1,6,2.0,0.57781309
1,6,3.0,0.67658162
1,6,4.0,0.81169025
1,6,5.0,0.91656245
1,6,6.0,0.96123373
1,6,7.0,0.98100459
1,6,8.0,0.98510594
1,6,9.0,0.97842431
1,6,10.0,0.97224845
1,6,11.0,0.9690795
1,6,12.0,0.96239001
1,6,13.0,0.94938904
1,6,14.0,0.92955109
1,6,15.0,0.90902313
1,6,16.0,0.9090374
1,6,17.0,0.92823615
1,6,18.0,0.92254658
1,6,19.0,0.90941989
1,6,20.0,0.85316114
1,6,21.0,0.871834
1,6,22.0,0.87786413
1,6,23.0,0.90317097
1,7,0.0,0.93081655
1,7,1.0,0.94494137
1,7,2.0,0.95119062
1,7,3.0,0.95433576
1,7,4.0,0.95682074
1,7,5.0,0.96030994
1,7,6.0,0.96541528
1,7,7.0,0.96933963
1,7,8.0,0.96876384
1,7,9.0,0.96808421
1,7,10.0,0.968035
1,7,11.0,0.96497791
1,7,12.0,0.9661952
1,7,13.0,0.97046769
1,7,14.0,0.97598527
1,7,15.0,0.98179128
1,7,16.0,0.98632969
1,7,17.0,0.9833767
1,7,18.0,0.98062706
1,7,19.0,0.97977215
1,7,20.0,0.97924154
1,7,21.0,0.97872404
1,7,22.0,0.97916955
1,7,23.0,0.97066417
1,8,0.0,0.96812078
1,8,1.0,0.96709755
1,8,2.0,0.96580412
1,8,3.0,0.96391447
1,8,4.0,0.95966885
1,8,5.0,0.95550384
1,8,6.0,0.94973669
1,8,7.0,0.94496088
1,8,8.0,0.96240033
1,8,9.0,0.97637138
1,8,10.0,0.9803592
1,8,11.0,0.98076932
1,8,12.0,0.9805403
1,8,13.0,0.98010348
1,8,14.0,0.97924995
1,8,15.0,0.97789039
1,8,16.0,0.9746734
1,8,17.0,0.95827096
1,8,18.0,0.9406702
1,8,19.0,0.92869299
1,8,20.0,0.91612696
1,8,21.0,0.90401601
1,8,22.0,0.90223802
1,8,23.0,0.89435072
1,9,0.0,0.88940539
1,9,1.0,0.87921428
1,9,2.0,0.87418957
1,9,3.0,0.88200668
1,9,4.0,0.88623035
1,9,5.0,0.89237753
1,9,6.0,0.89502833
1,9,7.0,0.88881429
1,9,8.0,0.92837756
1,9,9.0,0.94672538
1,9,10.0,0.94374006
1,9,11.0,0.93315699
1,9,12.0,0.91948287
1,9,13.0,0.90745754
1,9,14.0,0.89949373
1,9,15.0,0.90038955
1,9,16.0,0.90504362
1,9,17.0,0.87289306
1,9,18.0,0.84858485
1,9,19.0,0.83094911
1,9,20.0,0.81643791
1,9,21.0,0.79637127
1,9,22.0,0.75539841
1,9,23.0,0.69021595
1,10,0.0,0.6557239
1,10,1.0,0.61917684
1,10,2.0,0.59152761
1,10,3.0,0.57110524
1,10,4.0,0.57375591
1,10,5.0,0.57376023
1,10,6.0,0.56194337
1,10,7.0,0.48505196
1,10,8.0,0.6060338
1,10,9.0,0.58386786
1,10,10.0,0.48146593
1,10,11.0,0.38387025
1,10,12.0,0.30418772
1,10,13.0,0.24070926
1,10,14.0,0.19977733
1,10,15.0,0.16501118
1,10,16.0,0.13850498
1,10,17.0,0.11870154
1,10,18.0,0.11262399
1,10,19.0,0.09559385
1,10,20.0,0.07787007
1,10,21.0,0.0679442
1,10,22.0,0.06535128
1,10,23.0,0.06986976
1,11,0.0,0.07771742
1,11,1.0,0.08490753
1,11,2.0,0.0862845
1,11,3.0,0.08663686
1,11,4.0,0.09265036
1,11,5.0,0.10171585
1,11,6.0,0.11222653
1,11,7.0,0.0975024
1,11,8.0,0.09874351
1,11,9.0,0.11778225
1,11,10.0,0.13676264
1,11,11.0,0.18394975
1,11,12.0,0.27201372
1,11,13.0,0.39576015
1,11,14.0,0.54239444
1,11,15.0,0.68472938
1,11,16.0,0.76536488
1,11,17.0,0.77189254
1,11,18.0,0.7925131
1,11,19.0,0.81196509
1,11,20.0,0.81171578
1,11,21.0,0.82638666
1,11,22.0,0.84030405
1,11,23.0,0.85450628
1,12,0.0,0.8584398
1,12,1.0,0.85131685
1,12,2.0,0.8453631
1,12,3.0,0.82387761
1,12,4.0,0.79826717
1,12,5.0,0.77384636
1,12,6.0,0.75696345
1,12,7.0,0.72618746
1,12,8.0,0.82727052
1,12,9.0,0.82119988
1,12,10.0,0.78467575
1,12,11.0,0.72995544
1,12,12.0,0.66578809
1,12,13.0,0.61972782
1,12,14.0,0.61021398
1,12,15.0,0.62224782
1,12,16.0,0.64850098
1,12,17.0,0.62790917
1,12,18.0,0.61023248
1,12,19.0,0.61547235
1,12,20.0,0.54433633
1,12,21.0,0.51579162
1,12,22.0,0.48421501
1,12,23.0,0.46179069
1,13,0.0,0.45637629
1,13,1.0,0.45845697
