month,day,hour,capacity_factor
1,1,0.0,0.93785368
1,1,1.0,0.94103128
1,1,2.0,0.93786997
1,1,3.0,0.92661737
1,1,4.0,0.90044085
1,1,5.0,0.87325254
1,1,6.0,0.85122345
1,1,7.0,0.81296221
1,1,8.0,0.85446512
1,1,9.0,0.86893727
1,1,10.0,0.8683052
1,1,11.0,0.8631565
1,1,12.0,0.86030079
1,1,13.0,0.85330324
1,1,14.0,0.84512096
1,1,15.0,0.83264079
1,1,16.0,0.80927089
1,1,17.0,0.73432811
1,1,18.0,0.69330262
1,1,19.0,0.65300362
1,1,20.0,0.63045616
1,1,21.0,0.61476801
1,1,22.0,0.59969147
1,1,23.0,0.58221033
1,2,0.0,0.56579455
1,2,1.0,0.54580674
1,2,2.0,0.52459158
1,2,3.0,0.50183643
1,2,4.0,0.4662988
1,2,5.0,0.47719424
1,2,6.0,0.49109998
1,2,7.0,0.45953192
1,2,8.0,0.65756859
1,2,9.0,0.75916317
1,2,10.0,0.83262062
1,2,11.0,0.88239512
1,2,12.0,0.91220374
1,2,13.0,0.930824
1,2,14.0,0.94569702
1,2,15.0,0.95420926
1,2,16.0,0.95439249
1,2,17.0,0.95038771
1,2,18.0,0.96100903
1,2,19.0,0.97347016
1,2,20.0,0.98149639
1,2,21.0,0.98508106
1,2,22.0,0.98636937
1,2,23.0,0.97912776
1,3,0.0,0.96424691
1,3,1.0,0.95996604
1,3,2.0,0.96323484
1,3,3.0,0.9652983
1,3,4.0,0.96835978
1,3,5.0,0.97618233
1,3,6.0,0.968279
1,3,7.0,0.97308507
1,3,8.0,0.96945767
1,3,9.0,0.95262753
1,3,10.0,0.93746831
1,3,11.0,0.94363762
1,3,12.0,0.955046
1,3,13.0,0.96450508
1,3,14.0,0.97185245
1,3,15.0,0.97752981
1,3,16.0,0.98356973
1,3,17.0,0.98636361
1,3,18.0,0.98646679
1,3,19.0,0.98595348
1,3,20.0,0.98450758
1,3,21.0,0.98126575
1,3,22.0,0.97793686
1,3,23.0,0.97300431
1,4,0.0,0.96018653
1,4,1.0,0.9451441
1,4,2.0,0.93935862
1,4,3.0,0.93306872
1,4,4.0,0.92667717
1,4,5.0,0.89835671
1,4,6.0,0.86807761
1,4,7.0,0.83354142
1,4,8.0,0.8683274
1,4,9.0,0.88625388
1,4,10.0,0.87211623
1,4,11.0,0.84299925
1,4,12.0,0.79374198
1,4,13.0,0.74985633
1,4,14.0,0.72704305
1,4,15.0,0.72621641
1,4,16.0,0.73419242
1,4,17.0,0.68217478
1,4,18.0,0.66341367
1,4,19.0,0.67405593
1,4,20.0,0.64773526
1,4,21.0,0.64692938
1,4,22.0,0.66102706
1,4,23.0,0.65449781
1,5,0.0,0.59433461
1,5,1.0,0.53757418
1,5,2.0,0.49383953
1,5,3.0,0.47144632
1,5,4.0,0.4562985
1,5,5.0,0.43866677
1,5,6.0,0.41646395
1,5,7.0,0.32004803
1,5,8.0,0.28476798
1,5,9.0,0.25099341
1,5,10.0,0.17658603
1,5,11.0,0.11762898
1,5,12.0,0.08013651
1,5,13.0,0.05930493
1,5,14.0,0.04770057
1,5,15.0,0.0413111
1,5,16.0,0.03510184
1,5,17.0,0.03518316
1,5,18.0,0.05357579
1,5,19.0,0.08458613
1,5,20.0,0.13273159
1,5,21.0,0.19428782
1,5,22.0,0.26139374
1,5,23.0,0.33419826
1,6,0.0,0.41275252
1,6,1.0,0.49884474
1,6,2.0,0.58472547
1,6,3.0,0.67674312
1,6,4.0,0.80745193
1,6,5.0,0.90329158
1,6,6.0,0.94672138
1,6,7.0,0.97671506
1,6,8.0,0.98645099
1,6,9.0,0.98359368
1,6,10.0,0.98036007
1,6,11.0,0.97877172
1,6,12.0,0.97428625
1,6,13.0,0.96393829
1,6,14.0,0.94831878
1,6,15.0,0.93526857
1,6,16.0,0.93970474
1,6,17.0,0.9537003
1,6,18.0,0.94895204
1,6,19.0,0.94318651
1,6,20.0,0.90297639
1,6,21.0,0.91825249
1,6,22.0,0.92242229
1,6,23.0,0.94021339
1,7,0.0,0.95903129
1,7,1.0,0.96819572
1,7,2.0,0.97184767
1,7,3.0,0.97367115
1,7,4.0,0.97531038
1,7,5.0,0.97757394
1,7,6.0,0.98052015
1,7,7.0,0.98272017
1,7,8.0,0.98299191
1,7,9.0,0.98265528
1,7,10.0,0.98272389
1,7,11.0,0.98155565
1,7,12.0,0.98214084
1,7,13.0,0.98379426
1,7,14.0,0.98555342
1,7,15.0,0.98652794
1,7,16.0,0.98339996
1,7,17.0,0.97509165
1,7,18.0,0.97172305
1,7,19.0,0.97038865
1,7,20.0,0.96862052
1,7,21.0,0.96575301
1,7,22.0,0.96935721
1,7,23.0,0.95240528
1,8,0.0,0.94874739
1,8,1.0,0.9452285
1,8,2.0,0.94301222
1,8,3.0,0.94066656
1,8,4.0,0.93528127
1,8,5.0,0.9297535
1,8,6.0,0.91853095
1,8,7.0,0.9110358
1,8,8.0,0.94125615
1,8,9.0,0.96628115
1,8,10.0,0.97368142
1,8,11.0,0.97481262
1,8,12.0,0.9743709
1,8,13.0,0.97333559
1,8,14.0,0.97180388
1,8,15.0,0.96903576
1,8,16.0,0.96193595
1,8,17.0,0.93142375
1,8,18.0,0.90820626
1,8,19.0,0.89181753
1,8,20.0,0.8784509
1,8,21.0,0.86153297
1,8,22.0,0.85637538
1,8,23.0,0.845725
1,9,0.0,0.83943079
1,9,1.0,0.82413766
1,9,2.0,0.81698847
1,9,3.0,0.82793694
1,9,4.0,0.83311728
1,9,5.0,0.84143412
1,9,6.0,0.84548101
1,9,7.0,0.8347684
1,9,8.0,0.89175413
1,9,9.0,0.92453396
1,9,10.0,0.92452114
1,9,11.0,0.91196286
1,9,12.0,0.8957208
1,9,13.0,0.8806539
1,9,14.0,0.87073047
1,9,15.0,0.87059392
1,9,16.0,0.87118281
1,9,17.0,0.82026402
1,9,18.0,0.79403706
1,9,19.0,0.77655526
1,9,20.0,0.75884553
1,9,21.0,0.7387722
1,9,22.0,0.69647661
1,9,23.0,0.62350798
1,10,0.0,0.58953399
1,10,1.0,0.5566544
1,10,2.0,0.53088747
1,10,3.0,0.51032528
1,10,4.0,0.51761463
1,10,5.0,0.51635695
1,10,6.0,0.50286072
1,10,7.0,0.41753118
1,10,8.0,0.53899084
1,10,9.0,0.52582327
1,10,10.0,0.43130333
1,10,11.0,0.3401832
1,10,12.0,0.26677918
1,10,13.0,0.21151323
1,10,14.0,0.17887846
1,10,15.0,0.1541449
1,10,16.0,0.13408375
1,10,17.0,0.12430476
1,10,18.0,0.13259419
1,10,19.0,0.12021104
1,10,20.0,0.10008954
1,10,21.0,0.07832216
1,10,22.0,0.06447563
