timepoint,capacity_factor
201401010000,0.11519172
201401010100,0.10258389
201401010200,0.08823696
201401010300,0.07347846
201401010400,0.06436219
201401010500,0.06352145
201401010600,0.06769847
201401010700,0.0724304
201401010800,0.07372652
201401010900,0.05785279
201401011000,0.02542054
201401011100,0.03050231
201401011200,0.0566219
201401011300,0.08555492
201401011400,0.11485833
201401011500,0.15691964
201401011600,0.20978358
201401011700,0.25885042
201401011800,0.34732571
201401011900,0.40999602
201401012000,0.40333705
201401012100,0.35920862
201401012200,0.30685758
201401012300,0.2779667
201401020000,0.27075453
201401020100,0.27622702
201401020200,0.29132779
201401020300,0.32839961
201401020400,0.36162926
201401020500,0.36461057
201401020600,0.34760646
201401020700,0.32775719
201401020800,0.310019
201401020900,0.19529038
201401021000,0.08157628
201401021100,0.0866528
201401021200,0.02718924
201401021300,0.00092198
201401021400,3.308e-05
201401021500,7.499e-05
201401021600,0.00045562
201401021700,0.0225276
201401021800,0.13338195
201401021900,0.27202359
201401022000,0.37999118
201401022100,0.41957652
201401022200,0.37626152
201401022300,0.28371038
201401030000,0.1968171
201401030100,0.13547584
201401030200,0.10123182
201401030300,0.10492902
201401030400,0.13297315
201401030500,0.1616121
201401030600,0.17887963
201401030700,0.1795442
201401030800,0.17053089
201401030900,0.12848947
201401031000,0.03652173
201401031100,0.00164968
201401031200,2.64e-05
201401031300,0.00519739
201401031400,0.02499326
201401031500,0.04604887
201401031600,0.1037133
201401031700,0.21988946
201401031800,0.38054207
201401031900,0.44426114
201401032000,0.39507181
201401032100,0.2720244
201401032200,0.16293509
201401032300,0.10570869
201401040000,0.08985316
201401040100,0.08828545
201401040200,0.08018067
201401040300,0.07659785
201401040400,0.0949764
201401040500,0.12032693
201401040600,0.10371138
201401040700,0.07929405
201401040800,0.07782349
201401040900,0.05755802
201401041000,0.04570096
201401041100,0.05529459
201401041200,0.06353244
201401041300,0.08571094
201401041400,0.11193792
201401041500,0.1342997
201401041600,0.18433641
201401041700,0.21082848
201401041800,0.22519621
201401041900,0.23068451
201401042000,0.20238505
201401042100,0.1609631
201401042200,0.12698681
201401042300,0.11444683
201401050000,0.1228407
201401050100,0.13772682
201401050200,0.14484016
201401050300,0.18483913
201401050400,0.24716297
201401050500,0.28767017
201401050600,0.30242806
201401050700,0.28223569
201401050800,0.24528768
201401050900,0.16677255
201401051000,0.10077456
201401051100,0.17156089
201401051200,0.24897031
201401051300,0.26980706
201401051400,0.27945504
201401051500,0.30067436
201401051600,0.35500956
201401051700,0.42804091
201401051800,0.47006511
201401051900,0.47514412
201401052000,0.43544113
201401052100,0.39201682
201401052200,0.32783818
201401052300,0.27441911
201401060000,0.24942219
201401060100,0.25567285
201401060200,0.29436035
201401060300,0.34061614
201401060400,0.4787094
201401060500,0.5733848
201401060600,0.59927833
201401060700,0.55285294
201401060800,0.50505992
201401060900,0.37892975
201401061000,0.49278591
201401061100,0.58347301
201401061200,0.50226985
201401061300,0.4281264
201401061400,0.41957794
201401061500,0.45362075
201401061600,0.50226943
201401061700,0.56845768
201401061800,0.65548696
201401061900,0.71314387
201401062000,0.69726471
201401062100,0.66916209
201401062200,0.64407483
201401062300,0.60867664
201401070000,0.56579336
201401070100,0.51519512
201401070200,0.45968267
201401070300,0.41956372
201401070400,0.39928834
201401070500,0.38562925
201401070600,0.34404394
201401070700,0.26868811
201401070800,0.18036765
201401070900,0.08302277
201401071000,0.02076626
201401071100,0.01521556
201401071200,0.02516852
201401071300,0.04729467
201401071400,0.05780731
201401071500,0.14290917
201401071600,0.24785304
201401071700,0.31124097
201401071800,0.37893362
201401071900,0.41956241
201401072000,0.43258004
201401072100,0.42505217
201401072200,0.45485617
201401072300,0.4250346
201401080000,0.32261568
201401080100,0.2627192
201401080200,0.16119488
201401080300,0.13432336
201401080400,0.15427939
201401080500,0.1453444
201401080600,0.15207929
201401080700,0.15517198
201401080800,0.10566762
201401080900,0.01996565
201401081000,0.01808219
201401081100,0.04502977
201401081200,0.03210618
201401081300,0.03385222
201401081400,0.05913038
201401081500,0.08999784
201401081600,0.14657449
201401081700,0.13978942
201401081800,0.15260063
201401081900,0.20434164
201401082000,0.15485838
201401082100,0.14324644
201401082200,0.1788985
201401082300,0.17250108
201401090000,0.17108278
201401090100,0.20872423
201401090200,0.27853235
201401090300,0.2696369
201401090400,0.17093502
201401090500,0.10061409
201401090600,0.09699399
201401090700,0.11018095
201401090800,0.10602536
201401090900,0.10626585
201401091000,0.1207919
201401091100,0.15458469
201401091200,0.16924461
201401091300,0.14422004
201401091400,0.08481154
201401091500,0.07380027
201401091600,0.10983593
201401091700,0.16077344
201401091800,0.25192753
201401091900,0.29395542
201401092000,0.26719344
201401092100,0.24528369
201401092200,0.21193854
201401092300,0.17731379
201401100000,0.17996531
201401100100,0.21978894
201401100200,0.22739591
201401100300,0.19291406
201401100400,0.1755691
201401100500,0.18360799
201401100600,0.16823989
201401100700,0.15343159
201401100800,0.15168143
201401100900,0.11773949
201401101000,0.088232
201401101100,0.05099482
201401101200,0.00821437
201401101300,0.00048853
201401101400,0.00031657
201401101500,0.00400428
201401101600,0.02394842
201401101700,0.06517132
201401101800,0.13596875
201401101900,0.19082908
201401102000,0.1983399
201401102100,0.18214766
201401102200,0.16208265
201401102300,0.14399694
201401110000,0.12413169
201401110100,0.11423212
201401110200,0.11946205
201401110300,0.14446395
201401110400,0.16986152
201401110500,0.18093435
201401110600,0.17925545
201401110700,0.16721603
201401110800,0.14351404
201401110900,0.08316947
201401111000,0.01337117
201401111100,0.0045517
201401111200,0.0004005
201401111300,1.8e-07
201401111400,1.446e-05
201401111500,0.00711096
201401111600,0.04309651
201401111700,0.11991515
201401111800,0.27848381
201401111900,0.39104281
201401112000,0.37108306
201401112100,0.29302503
201401112200,0.19392828
201401112300,0.15453646
201401120000,0.1776294
201401120100,0.21172088
201401120200,0.23072223
201401120300,0.23655169
201401120400,0.23017483
201401120500,0.20336021
201401120600,0.15657095
201401120700,0.11797541
201401120800,0.09833645
201401120900,0.06034163
201401121000,0.03943552
201401121100,0.02530126
201401121200,0.01555813
201401121300,0.02234639
201401121400,0.03912436
201401121500,0.07047151
201401121600,0.11326702
201401121700,0.1614521
201401121800,0.23473876
201401121900,0.2851179
201401122000,0.27692001
201401122100,0.22050701
201401122200,0.13725632
201401122300,0.08326735
201401130000,0.07339236
201401130100,0.10340662
201401130200,0.18146166
201401130300,0.31550398
201401130400,0.43978597
201401130500,0.49202844
201401130600,0.5048449
201401130700,0.50071765
201401130800,0.4977048
201401130900,0.37887823
201401131000,0.29943817
201401131100,0.44428397
201401131200,0.41956753
201401131300,0.34628013
201401131400,0.33415119
201401131500,0.3789258
201401131600,0.48833506
201401131700,0.63543442
201401131800,0.76533315
201401131900,0.81129189
201401132000,0.78047225
201401132100,0.72966217
201401132200,0.68997799
201401132300,0.67171961
201401140000,0.67170819
201401140100,0.6793676
201401140200,0.6853969
201401140300,0.71176389
201401140400,0.73673939
201401140500,0.7513066
201401140600,0.79107628
201401140700,0.75256418
201401140800,0.71006722
201401140900,0.54703399
201401141000,0.54703408
201401141100,0.68887273
201401141200,0.68418128
201401141300,0.65248086
201401141400,0.63759315
201401141500,0.68163769
201401141600,0.74940197
201401141700,0.77897894
201401141800,0.7540826
201401141900,0.74044784
201401142000,0.70173794
201401142100,0.64742024
201401142200,0.61022793
201401142300,0.61847473
201401150000,0.64609727
201401150100,0.65080886
201401150200,0.62981437
201401150300,0.61785935
201401150400,0.64407836
201401150500,0.69572447
201401150600,0.72867343
201401150700,0.74389796
201401150800,0.74023049
201401150900,0.64490685
201401151000,0.64306631
201401151100,0.71115536
201401151200,0.58689796
201401151300,0.40999485
201401151400,0.31412765
201401151500,0.30497084
201401151600,0.35175826
201401151700,0.43322433
201401151800,0.58954557
201401151900,0.72000996
201401152000,0.73998356
201401152100,0.67474658
201401152200,0.59534821
201401152300,0.53425837
201401160000,0.49318672
201401160100,0.46628697
201401160200,0.45391063
201401160300,0.49672451
201401160400,0.55910668
201401160500,0.58953698
201401160600,0.58560614
201401160700,0.58035463
201401160800,0.57463826
201401160900,0.43086144
201401161000,0.25097488
201401161100,0.31123005
201401161200,0.28433209
201401161300,0.18501095
201401161400,0.14865814
201401161500,0.18514278
201401161600,0.27342986
201401161700,0.40094628
201401161800,0.55608065
201401161900,0.61276786
201401162000,0.59065061
201401162100,0.55745856
201401162200,0.51852668
201401162300,0.45389014
201401170000,0.3762618
201401170100,0.32262364
201401170200,0.32299818
201401170300,0.37893262
201401170400,0.42229303
201401170500,0.43431915
201401170600,0.42840495
201401170700,0.41128937
201401170800,0.39103733
201401170900,0.25775493
201401171000,0.12983028
201401171100,0.21977825
201401171200,0.21756757
201401171300,0.13767029
201401171400,0.1094783
201401171500,0.13106555
201401171600,0.18377185
201401171700,0.26717757
201401171800,0.41572828
201401171900,0.53006702
201401172000,0.54685265
201401172100,0.45282203
201401172200,0.32881623
201401172300,0.23330182
201401180000,0.16459529
201401180100,0.10621642
201401180200,0.05924396
201401180300,0.0380848
201401180400,0.03208937
201401180500,0.02514821
201401180600,0.02426949
201401180700,0.02340303
201401180800,0.01892026
201401180900,0.01037786
201401181000,0.00186845
201401181100,0.00217634
201401181200,0.00225677
201401181300,0.00063868
201401181400,0.00018092
201401181500,0.00108839
201401181600,0.01050957
201401181700,0.04977069
201401181800,0.15422391
201401181900,0.23384613
201401182000,0.2358447
201401182100,0.1740064
201401182200,0.10771432
201401182300,0.06621529
201401190000,0.03614921
201401190100,0.016279
201401190200,0.0069968
201401190300,0.00554374
201401190400,0.00929076
201401190500,0.01713105
201401190600,0.02391807
201401190700,0.03068731
201401190800,0.03348606
201401190900,0.02526922
201401191000,0.01254723
201401191100,0.00146543
201401191200,0.00014552
201401191300,0.00031793
201401191400,0.00097195
201401191500,0.0014624
201401191600,0.00035751
201401191700,0.0008437
201401191800,0.00248356
201401191900,0.00547999
201401192000,0.00847819
201401192100,0.01034055
201401192200,0.01245625
201401192300,0.01477823
201401200000,0.01550617
201401200100,0.0109571
201401200200,0.00920191
201401200300,0.0108148
201401200400,0.01096738
201401200500,0.00770248
201401200600,0.00262085
201401200700,0.00080473
201401200800,0.00047749
201401200900,0.00042621
201401201000,6.897e-05
201401201100,5.545e-05
201401201200,2.416e-05
201401201300,7.32e-06
201401201400,3.754e-05
201401201500,0.00076774
201401201600,0.00500742
201401201700,0.02486874
201401201800,0.08730185
201401201900,0.14722547
201401202000,0.18508221
201401202100,0.19230718
201401202200,0.18087229
201401202300,0.17123133
201401210000,0.16745852
201401210100,0.1745385
201401210200,0.18685313
201401210300,0.18497479
201401210400,0.21157495
201401210500,0.25496242
201401210600,0.2452829
201401210700,0.15679647
201401210800,0.07629407
201401210900,0.03563484
201401211000,0.01403888
201401211100,0.03805951
201401211200,0.0692585
201401211300,0.10536073
201401211400,0.18011124
201401211500,0.26524231
201401211600,0.33672782
201401211700,0.38832166
201401211800,0.45898364
201401211900,0.46778273
201401212000,0.40480745
201401212100,0.36131932
201401212200,0.33157711
201401212300,0.19628598
201401220000,0.10560777
201401220100,0.06394603
201401220200,0.05455347
201401220300,0.06853015
201401220400,0.10296
201401220500,0.10103778
201401220600,0.10346833
201401220700,0.12259324
201401220800,0.10591027
201401220900,0.06401268
201401221000,0.03202631
201401221100,0.04167572
201401221200,0.04889688
201401221300,0.07445908
201401221400,0.1569491
201401221500,0.28850367
201401221600,0.38562328
201401221700,0.42228718
201401221800,0.37892146
201401221900,0.30858642
201401222000,0.25184605
201401222100,0.21978032
201401222200,0.21408242
201401222300,0.20514455
201401230000,0.13502808
201401230100,0.11234451
201401230200,0.11393089
201401230300,0.10323001
201401230400,0.11173951
201401230500,0.13159264
201401230600,0.13201002
201401230700,0.11806562
201401230800,0.08082718
201401230900,0.02960134
201401231000,0.01345675
201401231100,0.01082248
201401231200,0.00917702
201401231300,0.01398572
201401231400,0.04295701
201401231500,0.07324821
201401231600,0.08505775
201401231700,0.06826577
201401231800,0.05639384
201401231900,0.06061679
201401232000,0.05857398
201401232100,0.04502885
201401232200,0.02570456
201401232300,0.00693982
201401240000,2.592e-05
201401240100,0.0
201401240200,5.119e-05
201401240300,0.00078738
201401240400,0.00396098
201401240500,0.00890807
201401240600,0.01696771
201401240700,0.01804027
201401240800,0.00304964
201401240900,0.00031018
201401241000,4.81e-06
201401241100,8.218e-05
201401241200,0.00430981
201401241300,0.00700022
201401241400,0.00517588
201401241500,0.00451397
201401241600,0.00330275
201401241700,0.00106173
201401241800,9.339e-05
201401241900,0.00084923
201401242000,0.02057626
201401242100,0.08294474
201401242200,0.18612078
201401242300,0.26481433
201401250000,0.25112236
201401250100,0.1836318
201401250200,0.12553098
201401250300,0.0928071
201401250400,0.07433312
201401250500,0.06721918
201401250600,0.06723933
201401250700,0.07366652
201401250800,0.08755587
201401250900,0.06290149
201401251000,0.01255022
201401251100,6.398e-05
201401251200,0.00012612
201401251300,0.00754312
201401251400,0.04144165
201401251500,0.1009051
201401251600,0.17410662
201401251700,0.24075844
201401251800,0.29378965
201401251900,0.32772638
201401252000,0.29132491
201401252100,0.2492323
201401252200,0.22056065
201401252300,0.19881402
201401260000,0.18210636
201401260100,0.16743317
201401260200,0.16223885
201401260300,0.1709996
201401260400,0.18464486
201401260500,0.20118025
201401260600,0.19986926
201401260700,0.18555831
201401260800,0.19171982
201401260900,0.16743127
201401261000,0.19169077
201401261100,0.20136456
201401261200,0.23669279
201401261300,0.26471606
201401261400,0.28229566
201401261500,0.31415218
201401261600,0.35941972
201401261700,0.39815039
201401261800,0.40691722
201401261900,0.37357997
201401262000,0.32797955
201401262100,0.30707811
201401262200,0.29377656
201401262300,0.28889024
201401270000,0.27581948
201401270100,0.23803963
201401270200,0.25266526
201401270300,0.3112018
201401270400,0.36868975
201401270500,0.36692015
201401270600,0.30243368
201401270700,0.21007868
201401270800,0.11769972
201401270900,0.05724168
201401271000,0.05998584
201401271100,0.10186911
201401271200,0.19169918
201401271300,0.27584049
201401271400,0.33157822
201401271500,0.38438521
201401271600,0.4699047
201401271700,0.51852872
201401271800,0.48617442
201401271900,0.39779775
201401272000,0.29996381
201401272100,0.21980999
201401272200,0.14916427
201401272300,0.12063392
201401280000,0.17779912
201401280100,0.28212379
201401280200,0.33302724
201401280300,0.34321627
201401280400,0.33677013
201401280500,0.26661165
201401280600,0.27802345
201401280700,0.34684715
201401280800,0.29995371
201401280900,0.19738698
201401281000,0.13604553
201401281100,0.08221207
201401281200,0.03484534
201401281300,0.02965272
201401281400,0.06190642
201401281500,0.11509883
201401281600,0.17587626
201401281700,0.2098458
201401281800,0.30800935
201401281900,0.35502074
201401282000,0.28307755
201401282100,0.26964474
201401282200,0.28294749
201401282300,0.27204495
201401290000,0.23658664
201401290100,0.2072238
201401290200,0.18673423
201401290300,0.16934287
201401290400,0.14233267
201401290500,0.1123591
201401290600,0.0822816
201401290700,0.05788953
201401290800,0.04265502
201401290900,0.0270048
201401291000,0.02835059
201401291100,0.03112799
201401291200,0.02460802
201401291300,0.0218271
201401291400,0.02200523
201401291500,0.02993879
201401291600,0.05646205
201401291700,0.09528369
201401291800,0.19172621
201401291900,0.2938036
201401292000,0.29150239
201401292100,0.25194145
201401292200,0.22306888
201401292300,0.2058655
201401300000,0.17886196
201401300100,0.13868705
201401300200,0.10563396
201401300300,0.10771925
201401300400,0.13166912
201401300500,0.13625053
201401300600,0.10760562
201401300700,0.0573197
201401300800,0.01513646
201401300900,0.00106119
201401301000,0.00105476
201401301100,0.01265308
201401301200,0.05137484
201401301300,0.10124734
201401301400,0.13112913
201401301500,0.11128397
201401301600,0.07974421
201401301700,0.08284778
201401301800,0.16227886
201401301900,0.28543243
201401302000,0.2763636
201401302100,0.2399441
201401302200,0.22346928
201401302300,0.19169133
201401310000,0.1417182
201401310100,0.11769523
201401310200,0.12763527
201401310300,0.14312751
201401310400,0.15010234
201401310500,0.16228298
201401310600,0.16743405
201401310700,0.16807069
201401310800,0.22023133
201401310900,0.26771145
201401311000,0.27639673
201401311100,0.22720821
201401311200,0.19002767
201401311300,0.19384342
201401311400,0.21818651
201401311500,0.21081557
201401311600,0.19169852
201401311700,0.22186116
201401311800,0.22023427
201401311900,0.15876529
201401312000,0.12062915
201401312100,0.13567925
201401312200,0.20466575
201401312300,0.28279451
201402010000,0.35499446
201402010100,0.44942953
201402010200,0.53434092
201402010300,0.56560087
201402010400,0.60489969
201402010500,0.6368315
201402010600,0.65006848
201402010700,0.64405903
201402010800,0.62273313
201402010900,0.62027529
201402011000,0.58954512
201402011100,0.50192135
201402011200,0.45390478
201402011300,0.44908678
201402011400,0.4250526
201402011500,0.40774819
201402011600,0.47732089
201402011700,0.54125239
201402011800,0.57504411
201402011900,0.59864423
201402012000,0.60592373
201402012100,0.61456416
201402012200,0.60538495
201402012300,0.55593923
201402020000,0.48422374
201402020100,0.42230301
201402020200,0.32005676
201402020300,0.21406356
201402020400,0.15325805
201402020500,0.10126321
201402020600,0.07853461
201402020700,0.06976599
201402020800,0.06947433
201402020900,0.05650148
201402021000,0.08800246
201402021100,0.05302049
201402021200,0.01426266
201402021300,0.00226606
201402021400,0.00040931
201402021500,0.00210957
201402021600,0.02112578
201402021700,0.05523655
201402021800,0.13123905
201402021900,0.20760244
201402022000,0.18118198
201402022100,0.18163791
201402022200,0.13157281
201402022300,0.08140323
201402030000,0.1817213
201402030100,0.34714478
201402030200,0.37917639
201402030300,0.32773728
201402030400,0.24310901
201402030500,0.18573063
201402030600,0.18537955
201402030700,0.17683403
201402030800,0.21099909
201402030900,0.30245457
201402031000,0.45608038
201402031100,0.562946
201402031200,0.6356792
201402031300,0.682871
201402031400,0.73920518
201402031500,0.78816287
201402031600,0.81261834
201402031700,0.81122948
201402031800,0.77008438
201402031900,0.64349451
201402032000,0.52159804
201402032100,0.43007005
201402032200,0.37687795
201402032300,0.34575725
201402040000,0.33417809
201402040100,0.3225345
201402040200,0.29590056
201402040300,0.31489916
201402040400,0.31598797
201402040500,0.28388333
201402040600,0.25122256
201402040700,0.21366123
201402040800,0.18991681
201402040900,0.19024211
201402041000,0.16463649
201402041100,0.10812664
201402041200,0.08899094
201402041300,0.08859274
201402041400,0.09140927
201402041500,0.11029708
201402041600,0.15930748
201402041700,0.23549537
201402041800,0.34633524
201402041900,0.44150094
201402042000,0.47299862
201402042100,0.47109015
201402042200,0.45332776
201402042300,0.4015942
201402050000,0.33416945
201402050100,0.31072698
201402050200,0.3315603
201402050300,0.37482688
201402050400,0.41866359
201402050500,0.4470212
201402050600,0.40248525
201402050700,0.34313441
201402050800,0.34064175
201402050900,0.30819144
201402051000,0.25398659
201402051100,0.22453363
201402051200,0.26245913
201402051300,0.36704936
201402051400,0.50699052
201402051500,0.60668872
201402051600,0.59473126
201402051700,0.52261946
201402051800,0.48144997
201402051900,0.4673243
201402052000,0.45665893
201402052100,0.37220162
201402052200,0.37101702
201402052300,0.33823964
201402060000,0.30244183
201402060100,0.28406228
201402060200,0.19113297
201402060300,0.09309267
201402060400,0.03437084
201402060500,0.03224827
201402060600,0.10190189
201402060700,0.13296745
201402060800,0.09050894
201402060900,0.04499464
201402061000,0.00305683
201402061100,0.00105747
201402061200,0.00738819
201402061300,0.03601689
201402061400,0.0964582
201402061500,0.15814614
201402061600,0.16146128
201402061700,0.13903119
201402061800,0.25095221
201402061900,0.41000359
201402062000,0.49797258
201402062100,0.56579179
201402062200,0.56113251
201402062300,0.5498512
201402070000,0.55841512
201402070100,0.54096998
201402070200,0.49797684
201402070300,0.52832011
201402070400,0.55643944
201402070500,0.57041485
201402070600,0.55532984
201402070700,0.50071203
201402070800,0.42743434
201402070900,0.34352985
201402071000,0.2608418
201402071100,0.15398886
201402071200,0.14586451
201402071300,0.11767081
201402071400,0.12344061
201402071500,0.18210601
201402071600,0.24779275
201402071700,0.25637576
201402071800,0.27797157
201402071900,0.32757571
201402072000,0.3226233
201402072100,0.26374312
201402072200,0.22519564
201402072300,0.25431101
201402080000,0.30874853
201402080100,0.31836745
201402080200,0.31619186
201402080300,0.37570606
201402080400,0.37078541
201402080500,0.29415138
201402080600,0.27864765
201402080700,0.30625309
201402080800,0.31381888
201402080900,0.24350005
201402081000,0.20083323
201402081100,0.16030263
201402081200,0.15487458
201402081300,0.17887789
201402081400,0.20921564
201402081500,0.21673719
