timepoint,capacity_factor
201401010000,0.94186082
201401010100,0.94388073
201401010200,0.94129469
201401010300,0.92997955
201401010400,0.9058243
201401010500,0.87961434
201401010600,0.85732612
201401010700,0.8215602
201401010800,0.86457731
201401010900,0.87911501
201401011000,0.87805445
201401011100,0.87254313
201401011200,0.86868969
201401011300,0.86251904
201401011400,0.85583948
201401011500,0.8452059
201401011600,0.82360287
201401011700,0.75478693
201401011800,0.71788252
201401011900,0.67684202
201401012000,0.65715889
201401012100,0.6416035
201401012200,0.62516638
201401012300,0.60427675
201401020000,0.58639353
201401020100,0.56579442
201401020200,0.544336
201401020300,0.52261799
201401020400,0.48421248
201401020500,0.49385241
201401020600,0.50646217
201401020700,0.47595495
201401020800,0.67577319
201401020900,0.77190412
201401021000,0.84028734
201401021100,0.88725551
201401021200,0.91545458
201401021300,0.93308307
201401021400,0.94693312
201401021500,0.95592935
201401021600,0.957459
201401021700,0.95366965
201401021800,0.96400392
201401021900,0.97534307
201401022000,0.98275642
201401022100,0.98560521
201401022200,0.98632363
201401022300,0.97961317
201401030000,0.96547224
201401030100,0.95980246
201401030200,0.96169034
201401030300,0.96332114
201401030400,0.96611068
201401030500,0.97312481
201401030600,0.96303635
201401030700,0.96768255
201401030800,0.96250489
201401030900,0.94223511
201401031000,0.92415151
201401031100,0.93055515
201401031200,0.943813
201401031300,0.9552265
201401031400,0.96483595
201401031500,0.9724258
201401031600,0.980686
201401031700,0.98554061
201401031800,0.98645027
201401031900,0.9864664
201401032000,0.98570693
201401032100,0.98352596
201401032200,0.97996333
201401032300,0.97605846
201401040000,0.9640811
201401040100,0.95008463
201401040200,0.94517239
201401040300,0.94005757
201401040400,0.93226782
201401040500,0.90962984
201401040600,0.8851297
201401040700,0.85563608
201401040800,0.8851428
201401040900,0.90028223
201401041000,0.88726452
201401041100,0.86000193
201401041200,0.81258985
201401041300,0.7681984
201401041400,0.74481629
201401041500,0.74404332
201401041600,0.75423774
201401041700,0.70637778
201401041800,0.68780879
201401041900,0.69699748
201401042000,0.67131255
201401042100,0.66817999
201401042200,0.67884405
201401042300,0.67403598
201401050000,0.6145553
201401050100,0.55644195
201401050200,0.51099567
201401050300,0.48833828
201401050400,0.46971729
201401050500,0.45340897
201401050600,0.43066108
201401050700,0.32773978
201401050800,0.29999166
201401050900,0.26136854
201401051000,0.17743196
201401051100,0.1137551
201401051200,0.07643638
201401051300,0.05584208
201401051400,0.04445614
201401051500,0.03671033
201401051600,0.02992917
201401051700,0.02968091
201401051800,0.0477988
201401051900,0.08175962
201401052000,0.132965
201401052100,0.19982223
201401052200,0.26733907
201401052300,0.34062372
201401060000,0.41584262
201401060100,0.49865942
201401060200,0.57884475
201401060300,0.6709449
201401060400,0.80264831
201401060500,0.90421801
201401060600,0.94936137
201401060700,0.97722029
201401060800,0.98638583
201401060900,0.98272014
201401061000,0.97849101
201401061100,0.97646911
201401061200,0.97113863
201401061300,0.96010726
201401061400,0.94392299
201401061500,0.92966674
201401061600,0.9339405
201401061700,0.94925261
201401061800,0.94444959
201401061900,0.93673963
201401062000,0.88886727
201401062100,0.90625216
201401062200,0.91203547
201401062300,0.93190639
201401070000,0.95282119
201401070100,0.96315635
201401070200,0.96749018
201401070300,0.96932102
201401070400,0.97108451
201401070500,0.97377736
201401070600,0.97719222
201401070700,0.98001163
201401070800,0.98025854
201401070900,0.97987045
201401071000,0.97984128
201401071100,0.97783049
201401071200,0.9784278
201401071300,0.98068025
201401071400,0.98355389
201401071500,0.98612419
201401071600,0.98516462
201401071700,0.97752011
201401071800,0.97472012
201401071900,0.97346465
201401072000,0.97238532
201401072100,0.97063526
201401072200,0.97259074
201401072300,0.95860457
201401080000,0.95552867
201401080100,0.95355183
201401080200,0.95114371
201401080300,0.94932954
201401080400,0.94428889
201401080500,0.9395064
201401080600,0.93002349
201401080700,0.92284811
201401080800,0.94893227
201401080900,0.97039106
201401081000,0.97666137
201401081100,0.97734613
201401081200,0.9769753
201401081300,0.97607394
201401081400,0.97466043
201401081500,0.97218794
201401081600,0.96641453
201401081700,0.93979489
201401081800,0.9184802
201401081900,0.90423691
201401082000,0.89060624
201401082100,0.87488171
201401082200,0.8707723
201401082300,0.86025194
201401090000,0.85435805
201401090100,0.83980148
201401090200,0.83325066
201401090300,0.84379251
201401090400,0.84856891
201401090500,0.8570817
201401090600,0.86155181
201401090700,0.85236187
201401090800,0.90603214
201401090900,0.93379336
201401091000,0.93205929
201401091100,0.91970649
201401091200,0.90413348
201401091300,0.88889489
201401091400,0.879159
201401091500,0.87914567
201401091600,0.88094901
201401091700,0.83389908
201401091800,0.80819458
201401091900,0.79089959
201401092000,0.77650653
201401092100,0.75695951
201401092200,0.71474103
201401092300,0.63998382
201401100000,0.60174144
201401100100,0.56845555
201401100200,0.53843218
201401100300,0.51852733
201401100400,0.52534812
201401100500,0.52535038
201401100600,0.51510341
201401100700,0.43062148
201401100800,0.56186828
201401100900,0.54703436
201401101000,0.444262
201401101100,0.3462514
201401101200,0.2687842
201401101300,0.2080814
201401101400,0.17189559
201401101500,0.14462031
201401101600,0.12507912
201401101700,0.11760444
201401101800,0.12629112
201401101900,0.1174332
201401102000,0.09926046
201401102100,0.08000887
201401102200,0.06795028
201401102300,0.06370786
201401110000,0.06499958
201401110100,0.06887999
201401110200,0.06959893
201401110300,0.07059598
201401110400,0.07669794
201401110500,0.08702011
201401110600,0.09690925
201401110700,0.08272278
201401110800,0.08840693
201401110900,0.11324551
201401111000,0.13618754
201401111100,0.19090064
201401111200,0.28619542
201401111300,0.41640565
201401111400,0.56206734
201401111500,0.69697793
201401111600,0.76536777
201401111700,0.76152097
201401111800,0.78473342
201401111900,0.79565237
201401112000,0.77705537
201401112100,0.79338232
201401112200,0.80932067
201401112300,0.82348835
201401120000,0.82716322
201401120100,0.81644969
201401120200,0.80856115
201401120300,0.78495737
201401120400,0.7563046
201401120500,0.72793477
201401120600,0.71331597
201401120700,0.68084349
201401120800,0.80246379
201401120900,0.80376254
201401121000,0.7653267
201401121100,0.71082638
201401121200,0.64815356
201401121300,0.60515938
201401121400,0.59784568
