timepoint,capacity_factor
201401010000,0.81676008
201401010100,0.82721203
201401010200,0.82248861
201401010300,0.79706343
201401010400,0.74224516
201401010500,0.69022731
201401010600,0.65418365
201401010700,0.57375436
201401010800,0.60638843
201401010900,0.61434766
201401011000,0.5934049
201401011100,0.5895298
201401011200,0.59471935
201401011300,0.59323274
201401011400,0.58561238
201401011500,0.56532775
201401011600,0.52746939
201401011700,0.42505533
201401011800,0.35751621
201401011900,0.31381634
201401012000,0.29136186
201401012100,0.29379383
201401012200,0.29590801
201401012300,0.29111032
201401020000,0.2812483
201401020100,0.26618818
201401020200,0.24867852
201401020300,0.23293152
201401020400,0.21980024
201401020500,0.23038078
201401020600,0.25092206
201401020700,0.24296287
201401020800,0.38836979
201401020900,0.52370675
201401021000,0.64408271
201401021100,0.73881738
201401021200,0.80018988
201401021300,0.8413316
201401021400,0.87547267
201401021500,0.89777781
201401021600,0.90355334
201401021700,0.8923146
201401021800,0.90196296
201401021900,0.9357674
201401022000,0.96026234
201401022100,0.97109459
201401022200,0.98036098
201401022300,0.98632163
201401030000,0.98584476
201401030100,0.98572891
201401030200,0.98615128
201401030300,0.98641982
201401030400,0.98652917
201401030500,0.98605288
201401030600,0.98652931
201401030700,0.9860876
201401030800,0.98641665
201401030900,0.98632461
201401031000,0.98619001
201401031100,0.98652691
201401031200,0.98583667
201401031300,0.98441938
201401031400,0.98264539
201401031500,0.98076945
201401031600,0.97698089
201401031700,0.96657385
201401031800,0.95828009
201401031900,0.95685615
201401032000,0.95241565
201401032100,0.94183978
201401032200,0.92884014
201401032300,0.91377868
201401040000,0.88751785
201401040100,0.86190844
201401040200,0.85566628
201401040300,0.83353899
201401040400,0.82482907
201401040500,0.76628215
201401040600,0.71029461
201401040700,0.63743247
201401040800,0.67389458
201401040900,0.69903035
201401041000,0.67270623
201401041100,0.62771481
201401041200,0.56997899
201401041300,0.53214389
201401041400,0.51525088
201401041500,0.51173312
201401041600,0.5103173
201401041700,0.43178544
201401041800,0.37891832
201401041900,0.39780818
201401042000,0.39506931
201401042100,0.41831321
201401042200,0.43762606
201401042300,0.431889
201401050000,0.38183733
201401050100,0.3334891
201401050200,0.29615797
201401050300,0.27202482
201401050400,0.24883094
201401050500,0.22839284
201401050600,0.21227409
201401050700,0.16199991
201401050800,0.11210906
201401050900,0.0927775
201401051000,0.0654494
201401051100,0.04067835
201401051200,0.02707705
201401051300,0.02371951
201401051400,0.02642462
201401051500,0.03402324
201401051600,0.04379377
201401051700,0.04493113
201401051800,0.02992844
201401051900,0.0200085
201401052000,0.03236929
201401052100,0.06969696
201401052200,0.11929226
201401052300,0.17401832
201401060000,0.23482302
201401060100,0.31728028
201401060200,0.41112314
201401060300,0.52262198
201401060400,0.67870771
201401060500,0.82092352
201401060600,0.90103367
201401060700,0.95070796
201401060800,0.9754185
201401060900,0.97979793
201401061000,0.98192836
201401061100,0.98397068
201401061200,0.98576049
201401061300,0.98651207
201401061400,0.98525735
201401061500,0.98394278
201401061600,0.98534153
201401061700,0.98652483
201401061800,0.98641298
201401061900,0.98565279
201401062000,0.98262537
201401062100,0.98371628
201401062200,0.98378672
201401062300,0.98586128
201401070000,0.98645462
201401070100,0.98550411
201401070200,0.98426397
201401070300,0.98318534
201401070400,0.98187329
201401070500,0.9806772
201401070600,0.97913157
201401070700,0.97755016
201401070800,0.97925609
201401070900,0.98030202
201401071000,0.98090084
201401071100,0.98128199
201401071200,0.98086065
201401071300,0.97926692
201401071400,0.9771519
201401071500,0.97293991
201401071600,0.96214642
201401071700,0.93770906
201401071800,0.92388499
201401071900,0.92260287
201401072000,0.91656467
201401072100,0.90721927
201401072200,0.92604732
201401072300,0.89079404
201401080000,0.8841566
201401080100,0.86022758
201401080200,0.85214335
201401080300,0.84511781
201401080400,0.8309292
201401080500,0.81845748
201401080600,0.79082806
201401080700,0.78639873
201401080800,0.8469714
201401080900,0.8947414
201401081000,0.91049431
201401081100,0.91653147
201401081200,0.91568211
201401081300,0.91200649
201401081400,0.90819297
201401081500,0.90155503
201401081600,0.88337138
201401081700,0.80606333
201401081800,0.74419624
201401081900,0.7178803
201401082000,0.68639714
201401082100,0.65480773
201401082200,0.6487305
201401082300,0.63295113
201401090000,0.62253774
201401090100,0.6074201
201401090200,0.596797
201401090300,0.61531447
201401090400,0.63407117
201401090500,0.6459028
201401090600,0.65158949
201401090700,0.62908164
201401090800,0.71024955
201401090900,0.78465659
201401091000,0.78666079
201401091100,0.77281239
201401091200,0.75055445
201401091300,0.73010002
201401091400,0.71778658
201401091500,0.72303527
201401091600,0.72796855
201401091700,0.64418936
201401091800,0.59280239
201401091900,0.57111092
201401092000,0.5375749
201401092100,0.50555687
201401092200,0.46318865
201401092300,0.41307182
201401100000,0.38566098
201401100100,0.36162787
201401100200,0.34325983
201401100300,0.3251917
201401100400,0.3259388
201401100500,0.32263429
201401100600,0.31152409
201401100700,0.25093841
201401100800,0.28944683
201401100900,0.28049067
201401101000,0.21800332
201401101100,0.16923521
201401101200,0.13929824
201401101300,0.121341
201401101400,0.11528826
201401101500,0.10661465
201401101600,0.10032317
201401101700,0.0947427
201401101800,0.07388751
201401101900,0.03770399
201401102000,0.01441483
201401102100,0.00804066
201401102200,0.00783465
201401102300,0.00959353
201401110000,0.01214293
201401110100,0.01424612
201401110200,0.0163787
201401110300,0.01864675
201401110400,0.0225776
201401110500,0.0270933
201401110600,0.03142837
201401110700,0.02736487
201401110800,0.02300201
201401110900,0.04328062
201401111000,0.07708157
201401111100,0.13893757
201401111200,0.23150075
201401111300,0.34064803
201401111400,0.45942036
201401111500,0.58561426
201401111600,0.65919237
201401111700,0.63362196
201401111800,0.63546083
201401111900,0.65037792
201401112000,0.64594309
201401112100,0.66118743
201401112200,0.69436918
201401112300,0.69476306
201401120000,0.6901911
201401120100,0.6797622
201401120200,0.66580651
201401120300,0.63065261
201401120400,0.58041414
201401120500,0.55524176
201401120600,0.53977454
201401120700,0.48422316
201401120800,0.6245774
201401120900,0.60729827
201401121000,0.54939662
201401121100,0.47976503
201401121200,0.41560426
201401121300,0.37951143
201401121400,0.37505526
201401121500,0.3883298
201401121600,0.40483498
201401121700,0.35767541
201401121800,0.30860642
201401121900,0.29135185
201401122000,0.24074589
201401122100,0.2355748
201401122200,0.22941539
201401122300,0.2242656
201401130000,0.22741145
201401130100,0.23494852
201401130200,0.23902052
201401130300,0.23289275
201401130400,0.23470293
201401130500,0.24076187
201401130600,0.22726862
201401130700,0.16819566
201401130800,0.21177884
201401130900,0.2169211
201401131000,0.18736208
201401131100,0.17642411
201401131200,0.17887917
201401131300,0.19452765
201401131400,0.2252319
201401131500,0.28133104
201401131600,0.33414937
201401131700,0.32079595
201401131800,0.29502376
201401131900,0.31927468
201401132000,0.36004639
201401132100,0.41513649
201401132200,0.46891257
201401132300,0.50763113
201401140000,0.59152576
201401140100,0.75084886
201401140200,0.791621
201401140300,0.84028557
201401140400,0.88131145
201401140500,0.89883613
201401140600,0.90073347
201401140700,0.89770895
201401140800,0.94826686
201401140900,0.96412796
201401141000,0.96375918
201401141100,0.96080822
201401141200,0.95554805
201401141300,0.94719036
201401141400,0.9365886
201401141500,0.93122499
201401141600,0.9231336
201401141700,0.90014998
201401141800,0.87695394
201401141900,0.84969541
201401142000,0.82734347
201401142100,0.80817926
201401142200,0.79698354
201401142300,0.80549891
201401150000,0.80124546
201401150100,0.78881225
201401150200,0.78821308
201401150300,0.78817724
201401150400,0.80089103
201401150500,0.82326696
201401150600,0.84380472
201401150700,0.8500333
201401150800,0.93024767
201401150900,0.9712728
201401151000,0.98269754
201401151100,0.98645702
201401151200,0.98200562
201401151300,0.97901064
201401151400,0.97653731
201401151500,0.97681101
201401151600,0.98269501
201401151700,0.98595122
201401151800,0.977393
201401151900,0.974992
201401152000,0.97497369
201401152100,0.96800063
201401152200,0.95959913
201401152300,0.950049
201401160000,0.94595554
201401160100,0.93809694
201401160200,0.92028779
201401160300,0.90910801
201401160400,0.90420125
201401160500,0.89450832
201401160600,0.88660457
201401160700,0.8840792
201401160800,0.92316776
201401160900,0.95010225
