timepoint,capacity_factor
201401010000,0.00731174
201401010100,0.00465134
201401010200,0.000886
201401010300,0.00018815
201401010400,0.00277834
201401010500,0.01210408
201401010600,0.0222296
201401010700,0.0319051
201401010800,0.04849447
201401010900,0.06859323
201401011000,0.05172976
201401011100,0.06403158
201401011200,0.06805857
201401011300,0.06393738
201401011400,0.0610656
201401011500,0.07807298
201401011600,0.09086825
201401011700,0.06105866
201401011800,0.04014597
201401011900,0.03546547
201401012000,0.04654729
201401012100,0.07643633
201401012200,0.11230666
201401012300,0.12655198
201401020000,0.11321612
201401020100,0.08913847
201401020200,0.07031539
201401020300,0.05635203
201401020400,0.05406031
201401020500,0.06211437
201401020600,0.07293064
201401020700,0.07665596
201401020800,0.06793736
201401020900,0.06185192
201401021000,0.03644063
201401021100,0.01528946
201401021200,0.00634604
201401021300,0.00494487
201401021400,0.01170226
201401021500,0.02473257
201401021600,0.02795451
201401021700,0.02835315
201401021800,0.02514593
201401021900,0.01507656
201401022000,0.01055465
201401022100,0.00760359
201401022200,0.00607031
201401022300,0.00493798
201401030000,0.00297512
201401030100,0.00115882
201401030200,0.00061874
201401030300,0.00060316
201401030400,0.00053421
201401030500,0.0003824
201401030600,0.00068606
201401030700,0.00399427
201401030800,0.00910326
201401030900,0.00494701
201401031000,0.00138626
201401031100,0.00011021
201401031200,0.001082
201401031300,0.00360268
201401031400,0.00459285
201401031500,0.00348628
201401031600,0.00121523
201401031700,0.0003854
201401031800,0.00046928
201401031900,0.00247653
201401032000,0.01132866
201401032100,0.05471661
201401032200,0.1000748
201401032300,0.13765471
201401040000,0.19243531
201401040100,0.27700229
201401040200,0.34654246
201401040300,0.35389087
201401040400,0.35765936
201401040500,0.38627166
201401040600,0.45447295
201401040700,0.50145598
201401040800,0.45389104
201401040900,0.39101456
201401041000,0.28626648
201401041100,0.17482768
201401041200,0.11443131
201401041300,0.13298572
201401041400,0.1177
201401041500,0.07816449
201401041600,0.05454593
201401041700,0.04213505
201401041800,0.03016464
201401041900,0.01625316
201401042000,0.02115975
201401042100,0.03312543
201401042200,0.03920671
201401042300,0.02978709
201401050000,0.00976632
201401050100,0.00926172
201401050200,0.09904299
201401050300,0.16364146
201401050400,0.19189413
201401050500,0.24757004
201401050600,0.303084
201401050700,0.32772409
201401050800,0.31122039
201401050900,0.27967761
201401051000,0.2804976
201401051100,0.41954543
