month,day,hour,capacity_factor
1,1,0.0,0.10193335
1,1,1.0,0.0960483
1,1,2.0,0.08407884
1,1,3.0,0.06675997
1,1,4.0,0.04617225
1,1,5.0,0.02797774
1,1,6.0,0.01397681
1,1,7.0,0.00403313
1,1,8.0,0.00030026
1,1,9.0,0.00149657
1,1,10.0,0.0155892
1,1,11.0,0.01495528
1,1,12.0,0.01053072
1,1,13.0,0.00540192
1,1,14.0,0.00274629
1,1,15.0,0.00202952
1,1,16.0,0.00122828
1,1,17.0,0.00089383
1,1,18.0,0.00051281
1,1,19.0,0.0001084
1,1,20.0,8.93e-06
1,1,21.0,0.0
1,1,22.0,0.0
1,1,23.0,0.0
1,2,0.0,9e-07
1,2,1.0,7.34e-06
1,2,2.0,2.467e-05
1,2,3.0,1.842e-05
1,2,4.0,2.522e-05
1,2,5.0,5.859e-05
1,2,6.0,0.00018547
1,2,7.0,0.00083673
1,2,8.0,0.00654682
1,2,9.0,0.02753506
1,2,10.0,0.04819681
1,2,11.0,0.07249064
1,2,12.0,0.0916346
1,2,13.0,0.11231094
1,2,14.0,0.13651334
1,2,15.0,0.1823559
1,2,16.0,0.27174475
1,2,17.0,0.32263455
1,2,18.0,0.32262346
1,2,19.0,0.49666414
1,2,20.0,0.60705165
1,2,21.0,0.62893004
1,2,22.0,0.68374648
1,2,23.0,0.73458904
1,3,0.0,0.71112443
1,3,1.0,0.67478259
1,3,2.0,0.64132544
1,3,3.0,0.63294709
1,3,4.0,0.63544027
1,3,5.0,0.64270392
1,3,6.0,0.64972933
1,3,7.0,0.66815727
1,3,8.0,0.7277715
1,3,9.0,0.69602247
1,3,10.0,0.65795304
1,3,11.0,0.58548662
1,3,12.0,0.51636086
1,3,13.0,0.45665514
1,3,14.0,0.39797958
1,3,15.0,0.3707224
1,3,16.0,0.36318982
1,3,17.0,0.34396366
1,3,18.0,0.27602369
1,3,19.0,0.3135867
1,3,20.0,0.31348154
1,3,21.0,0.27200698
1,3,22.0,0.20324482
1,3,23.0,0.16214801
1,4,0.0,0.12774558
1,4,1.0,0.11098112
1,4,2.0,0.10437303
1,4,3.0,0.08302257
1,4,4.0,0.06718652
1,4,5.0,0.05403576
1,4,6.0,0.03808172
1,4,7.0,0.02021518
1,4,8.0,0.00612956
1,4,9.0,0.00056288
1,4,10.0,0.00036431
1,4,11.0,0.00067937
1,4,12.0,0.00024026
1,4,13.0,1.425e-05
1,4,14.0,6.426e-05
1,4,15.0,0.00164569
1,4,16.0,0.00433798
1,4,17.0,0.00963182
1,4,18.0,0.00975286
1,4,19.0,0.00488257
1,4,20.0,0.00392599
1,4,21.0,0.00571187
1,4,22.0,0.00846298
1,4,23.0,0.00908224
1,5,0.0,0.00526341
1,5,1.0,0.00252209
1,5,2.0,0.0012304
1,5,3.0,0.00046132
1,5,4.0,0.00011319
1,5,5.0,3.522e-05
1,5,6.0,5.186e-05
1,5,7.0,0.00012734
1,5,8.0,0.00027362
1,5,9.0,0.00141103
1,5,10.0,0.00157622
1,5,11.0,0.00143181
1,5,12.0,0.00111665
1,5,13.0,0.00122012
1,5,14.0,0.00147902
