timepoint,capacity_factor
201401010000,0.10193335
201401010100,0.0960483
201401010200,0.08407884
201401010300,0.06675997
201401010400,0.04617225
201401010500,0.02797774
201401010600,0.01397681
201401010700,0.00403313
201401010800,0.00030026
201401010900,0.00149657
201401011000,0.0155892
201401011100,0.01495528
201401011200,0.01053072
201401011300,0.00540192
201401011400,0.00274629
201401011500,0.00202952
201401011600,0.00122828
201401011700,0.00089383
201401011800,0.00051281
201401011900,0.0001084
201401012000,8.93e-06
201401012100,0.0
201401012200,0.0
201401012300,0.0
201401020000,9e-07
201401020100,7.34e-06
201401020200,2.467e-05
201401020300,1.842e-05
201401020400,2.522e-05
201401020500,5.859e-05
201401020600,0.00018547
201401020700,0.00083673
201401020800,0.00654682
201401020900,0.02753506
201401021000,0.04819681
201401021100,0.07249064
201401021200,0.0916346
201401021300,0.11231094
201401021400,0.13651334
201401021500,0.1823559
201401021600,0.27174475
201401021700,0.32263455
201401021800,0.32262346
201401021900,0.49666414
201401022000,0.60705165
201401022100,0.62893004
201401022200,0.68374648
201401022300,0.73458904
201401030000,0.71112443
201401030100,0.67478259
201401030200,0.64132544
201401030300,0.63294709
201401030400,0.63544027
201401030500,0.64270392
201401030600,0.64972933
201401030700,0.66815727
201401030800,0.7277715
201401030900,0.69602247
201401031000,0.65795304
201401031100,0.58548662
201401031200,0.51636086
201401031300,0.45665514
201401031400,0.39797958
201401031500,0.3707224
201401031600,0.36318982
201401031700,0.34396366
201401031800,0.27602369
201401031900,0.3135867
201401032000,0.31348154
201401032100,0.27200698
201401032200,0.20324482
201401032300,0.16214801
201401040000,0.12774558
201401040100,0.11098112
201401040200,0.10437303
201401040300,0.08302257
201401040400,0.06718652
201401040500,0.05403576
201401040600,0.03808172
201401040700,0.02021518
201401040800,0.00612956
201401040900,0.00056288
201401041000,0.00036431
201401041100,0.00067937
201401041200,0.00024026
201401041300,1.425e-05
201401041400,6.426e-05
201401041500,0.00164569
201401041600,0.00433798
201401041700,0.00963182
201401041800,0.00975286
201401041900,0.00488257
201401042000,0.00392599
201401042100,0.00571187
201401042200,0.00846298
201401042300,0.00908224
201401050000,0.00526341
201401050100,0.00252209
201401050200,0.0012304
201401050300,0.00046132
201401050400,0.00011319
201401050500,3.522e-05
201401050600,5.186e-05
201401050700,0.00012734
201401050800,0.00027362
201401050900,0.00141103
201401051000,0.00157622
201401051100,0.00143181
201401051200,0.00111665
201401051300,0.00122012
201401051400,0.00147902
201401051500,0.00312915
201401051600,0.00381825
201401051700,0.00455043
201401051800,0.00182463
201401051900,0.00017053
201401052000,3.97e-06
201401052100,7.23e-06
201401052200,0.0004018
201401052300,0.00474458
201401060000,0.02187925
201401060100,0.06671376
201401060200,0.13703101
201401060300,0.1972803
201401060400,0.2888878
201401060500,0.29081263
201401060600,0.28890444
201401060700,0.29378475
201401060800,0.45663944
201401060900,0.50759462
201401061000,0.50311321
201401061100,0.52653669
201401061200,0.53757561
201401061300,0.53608774
201401061400,0.55441442
201401061500,0.58640629
201401061600,0.62679419
201401061700,0.63293693
201401061800,0.61257263
201401061900,0.70086113
201401062000,0.70289713
201401062100,0.73882578
201401062200,0.73678617
201401062300,0.72002906
201401070000,0.69222056
201401070100,0.63545585
201401070200,0.56845303
201401070300,0.56844832
201401070400,0.50639904
201401070500,0.4822985
201401070600,0.47452955
201401070700,0.50258397
201401070800,0.58561297
201401070900,0.56578947
201401071000,0.54433599
201401071100,0.50204661
201401071200,0.42231764
201401071300,0.34323685
201401071400,0.29996443
201401071500,0.28977153
201401071600,0.30571048
201401071700,0.3226125
201401071800,0.29061847
201401071900,0.32773871
201401072000,0.36425587
201401072100,0.35528214
201401072200,0.29132355
201401072300,0.2590484
201401080000,0.23294384
201401080100,0.19052562
201401080200,0.17075693
201401080300,0.15987994
201401080400,0.14538348
201401080500,0.1312859
201401080600,0.11369524
201401080700,0.09434415
201401080800,0.07905711
201401080900,0.08385773
201401081000,0.07703115
201401081100,0.03826539
201401081200,0.00923697
201401081300,3.545e-05
201401081400,2.184e-05
201401081500,2.353e-05
201401081600,0.00024363
201401081700,0.01108216
201401081800,0.01921636
201401081900,0.0126546
201401082000,0.01207126
201401082100,0.02113922
201401082200,0.03148421
201401082300,0.03476274
201401090000,0.03034554
201401090100,0.02817044
201401090200,0.02738143
201401090300,0.03113714
201401090400,0.03857218
201401090500,0.04461082
201401090600,0.0491562
201401090700,0.05173819
201401090800,0.03216057
201401090900,0.05298542
201401091000,0.03550064
201401091100,0.01681704
201401091200,0.00827228
201401091300,0.00117221
201401091400,0.00030843
201401091500,0.00460961
201401091600,0.01525459
201401091700,0.03142911
201401091800,0.03955299
201401091900,0.03757472
201401092000,0.03726055
201401092100,0.03336171
201401092200,0.02418494
201401092300,0.01472403
201401100000,0.00942324
201401100100,0.00665612
201401100200,0.00623176
201401100300,0.00666079
201401100400,0.00590318
201401100500,0.00448657
201401100600,0.0026938
201401100700,0.00122705
201401100800,9.983e-05
201401100900,0.00122945
201401101000,0.00359272
201401101100,0.00458682
201401101200,0.00478193
201401101300,0.00458923
201401101400,0.006831
201401101500,0.01143693
201401101600,0.01699131
201401101700,0.01238875
201401101800,0.0039995
201401101900,0.0009218
201401102000,0.00015587
201401102100,0.0001353
201401102200,0.00032449
201401102300,0.00052934
201401110000,0.00056461
201401110100,0.0007045
201401110200,0.00126338
201401110300,0.00240257
201401110400,0.00359878
201401110500,0.00462535
201401110600,0.00561088
201401110700,0.00670446
201401110800,0.005675
201401110900,0.04169765
201401111000,0.0619747
201401111100,0.07696199
201401111200,0.09282428
201401111300,0.10722394
201401111400,0.12472355
201401111500,0.16321771
201401111600,0.21112738
201401111700,0.20341589
201401111800,0.17129835
201401111900,0.18741094
201401112000,0.207745
201401112100,0.22741451
201401112200,0.21981891
201401112300,0.22610041
201401120000,0.24099394
201401120100,0.20804598
201401120200,0.17284043
201401120300,0.17273774
201401120400,0.15459733
201401120500,0.13843845
201401120600,0.11698563
201401120700,0.09279745
201401120800,0.1031319
201401120900,0.08923087
201401121000,0.05405895
201401121100,0.03368533
201401121200,0.02393336
201401121300,0.01909812
201401121400,0.01718252
201401121500,0.01802808
201401121600,0.01991809
201401121700,0.01870364
201401121800,0.01397515
201401121900,0.00677711
201401122000,0.00238237
201401122100,0.00077554
201401122200,0.00026462
201401122300,0.00016676
201401130000,0.0002785
201401130100,0.00041938
201401130200,0.00046931
201401130300,0.00042492
201401130400,0.00052245
201401130500,0.00094664
201401130600,0.00121271
201401130700,0.00085569
201401130800,4.614e-05
201401130900,3.596e-05
201401131000,0.00036766
201401131100,0.00109347
201401131200,0.00154744
201401131300,0.00157385
201401131400,0.0019021
201401131500,0.00459407
201401131600,0.01506286
201401131700,0.02465014
201401131800,0.04336705
201401131900,0.07510502
201401132000,0.12716048
201401132100,0.16743866
201401132200,0.1963197
201401132300,0.20492318
201401140000,0.2198625
201401140100,0.31301487
201401140200,0.4082575
201401140300,0.46091962
201401140400,0.45785346
201401140500,0.43189151
201401140600,0.41272711
201401140700,0.36342566
201401140800,0.54298184
201401140900,0.54389735
201401141000,0.42945616
201401141100,0.28889569
201401141200,0.17719937
201401141300,0.10666811
201401141400,0.06649078
201401141500,0.06107149
201401141600,0.09277827
