month,day,hour,capacity_factor
1,1,0.0,0.10164869
1,1,1.0,0.10609667
1,1,2.0,0.10798975
1,1,3.0,0.11023419
1,1,4.0,0.11005053
1,1,5.0,0.10918682
1,1,6.0,0.11764588
1,1,7.0,0.05317148
1,1,8.0,0.00831841
1,1,9.0,0.059698
1,1,10.0,0.07253886
1,1,11.0,0.04700624
1,1,12.0,0.024594
1,1,13.0,0.01385274
1,1,14.0,0.00864156
1,1,15.0,0.00314102
1,1,16.0,0.00063465
1,1,17.0,0.00067602
1,1,18.0,0.01283389
1,1,19.0,0.04287698
1,1,20.0,0.05633397
1,1,21.0,0.05699919
1,1,22.0,0.06465024
1,1,23.0,0.07971207
1,2,0.0,0.08408696
1,2,1.0,0.08609925
1,2,2.0,0.08745985
1,2,3.0,0.0879332
1,2,4.0,0.09069268
1,2,5.0,0.08338627
1,2,6.0,0.06868541
1,2,7.0,0.02605991
1,2,8.0,0.00043159
1,2,9.0,0.00161761
1,2,10.0,0.00149862
1,2,11.0,0.00155665
1,2,12.0,0.00180824
1,2,13.0,0.00326827
1,2,14.0,0.0064941
1,2,15.0,0.01487711
1,2,16.0,0.03567382
1,2,17.0,0.11232491
1,2,18.0,0.13673188
1,2,19.0,0.08567501
1,2,20.0,0.07509914
1,2,21.0,0.11029349
1,2,22.0,0.13011781
1,2,23.0,0.14567893
1,3,0.0,0.23768225
1,3,1.0,0.25350635
1,3,2.0,0.29441254
1,3,3.0,0.32775388
1,3,4.0,0.43575008
1,3,5.0,0.41272011
1,3,6.0,0.43540925
1,3,7.0,0.43190741
1,3,8.0,0.39779913
1,3,9.0,0.44104976
1,3,10.0,0.53659415
1,3,11.0,0.52534425
1,3,12.0,0.47083467
1,3,13.0,0.44851312
1,3,14.0,0.39752119
1,3,15.0,0.328464
1,3,16.0,0.28107814
1,3,17.0,0.26128382
1,3,18.0,0.23737133
1,3,19.0,0.23834379
1,3,20.0,0.16739701
1,3,21.0,0.14130018
1,3,22.0,0.18793322
1,3,23.0,0.19346633
1,4,0.0,0.16205761
1,4,1.0,0.1314818
1,4,2.0,0.09281465
1,4,3.0,0.06697691
1,4,4.0,0.09027403
1,4,5.0,0.12380469
1,4,6.0,0.14081006
1,4,7.0,0.0821761
1,4,8.0,0.02620154
1,4,9.0,0.12577011
1,4,10.0,0.22282811
1,4,11.0,0.23471663
1,4,12.0,0.25095489
1,4,13.0,0.29391926
1,4,14.0,0.32643041
1,4,15.0,0.25626094
1,4,16.0,0.15121591
1,4,17.0,0.11769662
1,4,18.0,0.08691605
1,4,19.0,0.08625277
1,4,20.0,0.08551234
1,4,21.0,0.07963213
1,4,22.0,0.07131373
1,4,23.0,0.07315354
1,5,0.0,0.07994134
1,5,1.0,0.07922275
1,5,2.0,0.06944021
1,5,3.0,0.05827842
1,5,4.0,0.05051827
1,5,5.0,0.05042638
1,5,6.0,0.03771845
1,5,7.0,0.020665
1,5,8.0,0.0075526
1,5,9.0,0.03844114
1,5,10.0,0.04445448
1,5,11.0,0.02907195
1,5,12.0,0.01064505
1,5,13.0,0.00221285
1,5,14.0,0.00150476
1,5,15.0,0.00431945
1,5,16.0,0.02473089
1,5,17.0,0.08834171
1,5,18.0,0.15790474
1,5,19.0,0.16360061
1,5,20.0,0.13885736
1,5,21.0,0.13939556
1,5,22.0,0.13267291
1,5,23.0,0.15756609
1,6,0.0,0.15959013
1,6,1.0,0.12381824
1,6,2.0,0.12875817
1,6,3.0,0.13595449
1,6,4.0,0.14654375
1,6,5.0,0.18674431
1,6,6.0,0.22497581
1,6,7.0,0.10582504
1,6,8.0,0.08386181
1,6,9.0,0.26137203
1,6,10.0,0.3950937
1,6,11.0,0.4584542
1,6,12.0,0.54628175
1,6,13.0,0.64408364
1,6,14.0,0.71534854
1,6,15.0,0.75485186
1,6,16.0,0.76563289
1,6,17.0,0.78821949
1,6,18.0,0.77754032
1,6,19.0,0.77655551
1,6,20.0,0.77404976
1,6,21.0,0.78640789
1,6,22.0,0.80224291
1,6,23.0,0.83112801
1,7,0.0,0.82941981
1,7,1.0,0.7956074
1,7,2.0,0.77177658
1,7,3.0,0.74586512
1,7,4.0,0.72514801
1,7,5.0,0.65380099
1,7,6.0,0.60221393
1,7,7.0,0.57111313
1,7,8.0,0.55532385
1,7,9.0,0.58953507
1,7,10.0,0.61304692
1,7,11.0,0.55546549
1,7,12.0,0.51498369
1,7,13.0,0.48833988
1,7,14.0,0.466291
1,7,15.0,0.34180479
1,7,16.0,0.28526991
1,7,17.0,0.2830859
1,7,18.0,0.23859249
1,7,19.0,0.2191431
1,7,20.0,0.17779419
1,7,21.0,0.21233662
1,7,22.0,0.20831984
1,7,23.0,0.20465725
1,8,0.0,0.20295036
1,8,1.0,0.19508552
1,8,2.0,0.18825582
1,8,3.0,0.16998945
1,8,4.0,0.15922502
1,8,5.0,0.15506067
1,8,6.0,0.1609901
1,8,7.0,0.1260208
1,8,8.0,0.04475411
1,8,9.0,0.18009368
1,8,10.0,0.25348826
1,8,11.0,0.24523639
1,8,12.0,0.22523064
1,8,13.0,0.21234257
1,8,14.0,0.20216775
1,8,15.0,0.14402128
1,8,16.0,0.1087904
1,8,17.0,0.10624263
1,8,18.0,0.10189798
1,8,19.0,0.10296887
1,8,20.0,0.09959133
1,8,21.0,0.09885317
1,8,22.0,0.10129316
1,8,23.0,0.09878973
1,9,0.0,0.1026544
1,9,1.0,0.11343207
1,9,2.0,0.11235554
1,9,3.0,0.11295008
1,9,4.0,0.12335907
1,9,5.0,0.13782201
1,9,6.0,0.1512845
1,9,7.0,0.10294181
1,9,8.0,0.02198119
1,9,9.0,0.07767965
1,9,10.0,0.14414145
1,9,11.0,0.11969939
1,9,12.0,0.07293549
1,9,13.0,0.04533951
1,9,14.0,0.04132251
1,9,15.0,0.04181462
1,9,16.0,0.04372573
1,9,17.0,0.11223846
1,9,18.0,0.17037444
1,9,19.0,0.1866903
1,9,20.0,0.19472825
1,9,21.0,0.19422923
1,9,22.0,0.17980705
1,9,23.0,0.15154429
1,10,0.0,0.1440297
1,10,1.0,0.13911111
1,10,2.0,0.13782059
1,10,3.0,0.13275907
1,10,4.0,0.11815208
1,10,5.0,0.11338978
1,10,6.0,0.11843848
1,10,7.0,0.05924384
1,10,8.0,0.01619213
1,10,9.0,0.07847408
1,10,10.0,0.14290663
1,10,11.0,0.15961179
1,10,12.0,0.16184099
1,10,13.0,0.16465744
1,10,14.0,0.16232565
1,10,15.0,0.12109873
1,10,16.0,0.07035937
1,10,17.0,0.09152216
1,10,18.0,0.14107313
1,10,19.0,0.15217606
1,10,20.0,0.12319491
1,10,21.0,0.10296719
1,10,22.0,0.09437497
1,10,23.0,0.09975949
1,11,0.0,0.10432424
1,11,1.0,0.09020883
1,11,2.0,0.07245787
1,11,3.0,0.0744836
1,11,4.0,0.08486487
1,11,5.0,0.09867494
1,11,6.0,0.09949789
1,11,7.0,0.03316457
1,11,8.0,0.02261445
1,11,9.0,0.08073669
1,11,10.0,0.08982745
1,11,11.0,0.05903858
1,11,12.0,0.02499606
1,11,13.0,0.00399159
