month,day,hour,capacity_factor
1,1,0.0,0.10249045
1,1,1.0,0.10171276
1,1,2.0,0.10207394
1,1,3.0,0.1021558
1,1,4.0,0.10122099
1,1,5.0,0.0999195
1,1,6.0,0.10339283
1,1,7.0,0.05066783
1,1,8.0,0.01392426
1,1,9.0,0.06312687
1,1,10.0,0.06981018
1,1,11.0,0.04436401
1,1,12.0,0.02115861
1,1,13.0,0.0104683
1,1,14.0,0.00545475
1,1,15.0,0.00158762
1,1,16.0,0.00017633
1,1,17.0,0.00019472
1,1,18.0,0.00827828
1,1,19.0,0.03069528
1,1,20.0,0.03764248
1,1,21.0,0.03467739
1,1,22.0,0.03676635
1,1,23.0,0.04917507
1,2,0.0,0.06045278
1,2,1.0,0.06746688
1,2,2.0,0.07054512
1,2,3.0,0.07614008
1,2,4.0,0.08046045
1,2,5.0,0.0750614
1,2,6.0,0.06411758
1,2,7.0,0.02494361
1,2,8.0,0.00115596
1,2,9.0,0.00286689
1,2,10.0,0.00263766
1,2,11.0,0.00306633
1,2,12.0,0.00373788
1,2,13.0,0.00617207
1,2,14.0,0.00955659
1,2,15.0,0.01885071
1,2,16.0,0.04171966
1,2,17.0,0.10293564
1,2,18.0,0.12227619
1,2,19.0,0.08696079
1,2,20.0,0.08291173
1,2,21.0,0.11827816
1,2,22.0,0.14405576
1,2,23.0,0.17575431
1,3,0.0,0.31202296
1,3,1.0,0.35239548
1,3,2.0,0.4036789
1,3,3.0,0.4524645
1,3,4.0,0.53215054
1,3,5.0,0.51579204
1,3,6.0,0.52652644
1,3,7.0,0.5103163
1,3,8.0,0.47869667
1,3,9.0,0.5219522
1,3,10.0,0.59864437
1,3,11.0,0.58153856
1,3,12.0,0.53757432
1,3,13.0,0.51833289
1,3,14.0,0.47594939
1,3,15.0,0.41699603
1,3,16.0,0.36163362
1,3,17.0,0.32718072
1,3,18.0,0.29447672
1,3,19.0,0.28420177
1,3,20.0,0.21981814
1,3,21.0,0.20041314
1,3,22.0,0.21879461
1,3,23.0,0.21395488
1,4,0.0,0.18251309
1,4,1.0,0.15527645
1,4,2.0,0.11772489
1,4,3.0,0.08249282
1,4,4.0,0.10124782
1,4,5.0,0.13108961
1,4,6.0,0.1452983
1,4,7.0,0.09551438
1,4,8.0,0.04718923
1,4,9.0,0.1396899
1,4,10.0,0.21484174
1,4,11.0,0.21978878
1,4,12.0,0.23730131
1,4,13.0,0.28928883
1,4,14.0,0.33157247
1,4,15.0,0.29136469
1,4,16.0,0.20085847
1,4,17.0,0.15666767
1,4,18.0,0.11761393
1,4,19.0,0.11959956
1,4,20.0,0.11486557
1,4,21.0,0.10266392
1,4,22.0,0.08914026
1,4,23.0,0.0909127
1,5,0.0,0.09051075
1,5,1.0,0.08042412
1,5,2.0,0.06782487
1,5,3.0,0.06320756
1,5,4.0,0.06029223
1,5,5.0,0.05499138
1,5,6.0,0.04118048
1,5,7.0,0.02873293
1,5,8.0,0.01596399
1,5,9.0,0.04624851
1,5,10.0,0.04389732
1,5,11.0,0.02669837
1,5,12.0,0.00854271
1,5,13.0,0.00180645
1,5,14.0,0.00151411
1,5,15.0,0.00574578
1,5,16.0,0.03189269
1,5,17.0,0.0995403
1,5,18.0,0.16257758
1,5,19.0,0.16766389
1,5,20.0,0.15179266
1,5,21.0,0.1550493
1,5,22.0,0.15412432
1,5,23.0,0.17178615
1,6,0.0,0.17092355
1,6,1.0,0.14769997
1,6,2.0,0.15972952
1,6,3.0,0.16094422
1,6,4.0,0.16621904
1,6,5.0,0.20857177
1,6,6.0,0.24528533
1,6,7.0,0.13672934
1,6,8.0,0.13063922
1,6,9.0,0.30013786
1,6,10.0,0.42111741
1,6,11.0,0.50101962
1,6,12.0,0.60761399
1,6,13.0,0.72214397
1,6,14.0,0.79660783
1,6,15.0,0.83233463
1,6,16.0,0.83390929
1,6,17.0,0.84518772
1,6,18.0,0.83717582
1,6,19.0,0.83743996
1,6,20.0,0.83696569
1,6,21.0,0.84398238
1,6,22.0,0.85348428
1,6,23.0,0.87587838
1,7,0.0,0.87337607
1,7,1.0,0.85014161
1,7,2.0,0.83251262
1,7,3.0,0.80927296
1,7,4.0,0.79402306
1,7,5.0,0.74117624
1,7,6.0,0.69496047
1,7,7.0,0.67070964
1,7,8.0,0.65245799
1,7,9.0,0.66399301
1,7,10.0,0.66856937
1,7,11.0,0.61277162
1,7,12.0,0.58175771
1,7,13.0,0.55912947
1,7,14.0,0.52911308
