timepoint,capacity_factor
201401010000,0.94184317
201401010100,0.94364583
201401010200,0.94086145
201401010300,0.92974481
201401010400,0.90603842
201401010500,0.8802697
201401010600,0.85793424
201401010700,0.82327051
201401010800,0.8668984
201401010900,0.88132362
201401011000,0.88088878
201401011100,0.87521176
201401011200,0.87118285
201401011300,0.86501948
201401011400,0.85776188
201401011500,0.84828162
201401011600,0.82855546
201401011700,0.76148502
201401011800,0.72452273
201401011900,0.68482455
201401012000,0.66819094
201401012100,0.6520665
201401012200,0.63543251
201401012300,0.61278665
201401020000,0.59329928
201401020100,0.57110466
201401020200,0.55146292
201401020300,0.52764018
201401020400,0.49034099
201401020500,0.49987826
201401020600,0.51207384
201401020700,0.48144992
201401020800,0.68053306
201401020900,0.77421575
201401021000,0.84058204
201401021100,0.88697238
201401021200,0.91495638
201401021300,0.93208958
201401021400,0.9467407
201401021500,0.95597301
201401021600,0.95768842
201401021700,0.95391936
201401021800,0.96463812
201401021900,0.97580498
201401022000,0.98287033
201401022100,0.98560521
201401022200,0.98640228
201401022300,0.98072449
201401030000,0.9678765
201401030100,0.96178199
201401030200,0.96257088
201401030300,0.96379707
201401030400,0.9663458
201401030500,0.97254436
201401030600,0.96207885
201401030700,0.96620519
201401030800,0.96019167
201401030900,0.93878122
201401031000,0.91982601
201401031100,0.92601436
201401031200,0.93951087
201401031300,0.9513233
201401031400,0.96190922
201401031500,0.9703747
201401031600,0.9796127
201401031700,0.98520984
201401031800,0.98635308
201401031900,0.9865191
201401032000,0.98594163
201401032100,0.98407835
201401032200,0.98045083
201401032300,0.97662014
201401040000,0.96511195
201401040100,0.9512499
201401040200,0.94671864
201401040300,0.94197549
201401040400,0.93402539
201401040500,0.91320563
201401040600,0.89067458
201401040700,0.86260751
201401040800,0.89048004
201401040900,0.90563136
201401041000,0.89232336
201401041100,0.86564527
201401041200,0.81882653
201401041300,0.77252474
201401041400,0.74890172
201401041500,0.74919302
201401041600,0.76103031
201401041700,0.71382598
201401041800,0.69700678
201401041900,0.70412119
201401042000,0.67923264
201401042100,0.67550925
201401042200,0.68586778
201401042300,0.68219161
201401050000,0.62146269
201401050100,0.56375337
201401050200,0.51852535
201401050300,0.49363665
201401050400,0.47393722
201401050500,0.4557126
201401050600,0.43189188
201401050700,0.32772752
201401050800,0.30243537
201401050900,0.25902971
201401051000,0.16999169
201401051100,0.10611544
201401051200,0.0697928
201401051300,0.05025137
201401051400,0.03902621
201401051500,0.03182755
201401051600,0.02516432
201401051700,0.02515982
201401051800,0.04373715
201401051900,0.07739958
201401052000,0.13011388
201401052100,0.19662209
201401052200,0.26521253
201401052300,0.33736386
201401060000,0.41358029
201401060100,0.49559236
201401060200,0.57376214
201401060300,0.66485567
201401060400,0.79853164
201401060500,0.9018927
201401060600,0.94872059
201401060700,0.97668748
201401060800,0.98644851
201401060900,0.98272017
201401061000,0.97813234
201401061100,0.97594398
201401061200,0.97028392
201401061300,0.95932594
201401061400,0.94355832
201401061500,0.92948715
201401061600,0.93386089
201401061700,0.94910819
201401061800,0.94424809
201401061900,0.93589004
201401062000,0.88586168
201401062100,0.90378724
201401062200,0.91089862
201401062300,0.93111268
201401070000,0.95195576
201401070100,0.96231385
201401070200,0.96677988
201401070300,0.96840008
201401070400,0.97010906
201401070500,0.97290292
201401070600,0.97647554
201401070700,0.97922047
201401070800,0.97949072
201401070900,0.97906048
201401071000,0.97887818
201401071100,0.97647149
201401071200,0.97691312
201401071300,0.97925874
201401071400,0.98254986
201401071500,0.98577711
201401071600,0.98554086
201401071700,0.97817971
201401071800,0.97579438
201401071900,0.97456545
201401072000,0.97343753
201401072100,0.97240021
201401072200,0.97353055
201401072300,0.96115284
201401080000,0.95820199
201401080100,0.95635956
201401080200,0.95433587
201401080300,0.9528553
201401080400,0.9479389
201401080500,0.94361897
201401080600,0.9349806
201401080700,0.92732558
201401080800,0.95190221
201401080900,0.97173819
201401081000,0.97747759
201401081100,0.97797072
201401081200,0.97752651
201401081300,0.976717
201401081400,0.97534321
201401081500,0.97292922
201401081600,0.96732023
201401081700,0.94199853
201401081800,0.92136314
201401081900,0.90823451
201401082000,0.89444737
201401082100,0.87832276
201401082200,0.87367822
201401082300,0.86286998
201401090000,0.85710649
201401090100,0.8424025
201401090200,0.83748425
201401090300,0.84706255
201401090400,0.85238507
201401090500,0.86129428
201401090600,0.86548322
201401090700,0.85738859
201401090800,0.90975294
201401090900,0.93621657
201401091000,0.93422432
201401091100,0.92113049
201401091200,0.90514682
201401091300,0.88982616
201401091400,0.88028695
201401091500,0.88024618
201401091600,0.88273365
201401091700,0.83750634
201401091800,0.81175707
201401091900,0.79476893
201401092000,0.78128184
201401092100,0.76333789
201401092200,0.72182957
201401092300,0.644062
201401100000,0.60372868
201401100100,0.56887319
201401100200,0.53783972
201401100300,0.5185245
201401100400,0.52534761
201401100500,0.52577699
201401100600,0.51579752
201401100700,0.43189844
201401100800,0.56845317
201401100900,0.55001516
201401101000,0.44426762
201401101100,0.34322792
201401101200,0.26140969
201401101300,0.19993379
201401101400,0.1613671
201401101500,0.13355201
201401101600,0.11450279
201401101700,0.10836691
201401101800,0.11950886
201401101900,0.11200597
201401102000,0.09467116
201401102100,0.07728055
201401102200,0.06623857
201401102300,0.0617913
201401110000,0.06303009
201401110100,0.06757546
201401110200,0.068762
201401110300,0.07095732
201401110400,0.07850952
201401110500,0.09042701
201401110600,0.10190877
201401110700,0.08641204
201401110800,0.09027162
201401110900,0.1131836
201401111000,0.13325642
201401111100,0.18384923
201401111200,0.27800254
201401111300,0.40730705
201401111400,0.55567905
201401111500,0.69250641
201401111600,0.76316087
201401111700,0.76080094
201401111800,0.78512038
201401111900,0.79719033
201401112000,0.77961787
201401112100,0.7957159
201401112200,0.80925717
201401112300,0.82528251
201401120000,0.82721993
201401120100,0.8159483
201401120200,0.80923866
201401120300,0.78473593
201401120400,0.7567189
201401120500,0.72709043
201401120600,0.71052884
201401120700,0.67623667
201401120800,0.80019713
201401120900,0.8021588
201401121000,0.76344973
201401121100,0.70839963
201401121200,0.6448759
201401121300,0.60122051
201401121400,0.59226404
201401121500,0.60440995
201401121600,0.62767058
201401121700,0.59443951
201401121800,0.57775342
201401121900,0.58561987
201401122000,0.50703311
201401122100,0.47537603
201401122200,0.44427033
201401122300,0.4283335
201401130000,0.41970325
201401130100,0.42231932
201401130200,0.42501963
201401130300,0.41374018
201401130400,0.41000583
201401130500,0.40729913
201401130600,0.40178567
201401130700,0.33159335
201401130800,0.48700772
201401130900,0.46138163
201401131000,0.38287606
201401131100,0.32872631
201401131200,0.30243419
201401131300,0.30000001
201401131400,0.32515864
201401131500,0.38835307
201401131600,0.44971456
201401131700,0.45940142
201401131800,0.4599997
201401131900,0.47715148
201401132000,0.48422147
201401132100,0.55697214
201401132200,0.57397365
201401132300,0.60439939
201401140000,0.68097103
201401140100,0.84444841
201401140200,0.88407315
201401140300,0.92366263
201401140400,0.94953952
201401140500,0.96064471
201401140600,0.96335487
201401140700,0.96215889
201401140800,0.97878149
201401140900,0.98394168
201401141000,0.98411129
201401141100,0.98316468
201401141200,0.98178101
201401141300,0.97993476
201401141400,0.9775038
201401141500,0.97669445
201401141600,0.97388001
201401141700,0.96545796
201401141800,0.95978924
201401141900,0.9530658
201401142000,0.94344577
201401142100,0.93212495
201401142200,0.91942026
201401142300,0.91993508
201401150000,0.92202211
201401150100,0.91668381
201401150200,0.9149525
201401150300,0.91307398
201401150400,0.91743505
201401150500,0.92585716
201401150600,0.93155522
201401150700,0.93931368
201401150800,0.97625207
201401150900,0.98652735
201401151000,0.98200971
201401151100,0.9675758
201401151200,0.94052426
201401151300,0.91854492
201401151400,0.90987339
201401151500,0.91000604
201401151600,0.93667362
201401151700,0.97686633
201401151800,0.98604887
201401151900,0.98652359
201401152000,0.98641814
201401152100,0.98449998
201401152200,0.9798933
201401152300,0.97650712
201401160000,0.97513484
201401160100,0.9719752
201401160200,0.96543639
201401160300,0.96230415
201401160400,0.96316757
201401160500,0.96115091
201401160600,0.95948342
201401160700,0.95704324
201401160800,0.97535716
201401160900,0.98480568
201401161000,0.98525571
201401161100,0.98394168
201401161200,0.9818573
201401161300,0.97925744
201401161400,0.97585404
201401161500,0.97067703
201401161600,0.96155203
201401161700,0.92787722
201401161800,0.88616077
201401161900,0.86027814
201401162000,0.78045132
201401162100,0.78860892
201401162200,0.75982945
201401162300,0.71998414
201401170000,0.72548478
201401170100,0.72071727
201401170200,0.70608204
201401170300,0.70116918
201401170400,0.70035184
201401170500,0.69497791
201401170600,0.6938006
201401170700,0.67973092
201401170800,0.84573595
201401170900,0.92085936
201401171000,0.9378375
201401171100,0.94955401
201401171200,0.95863063
201401171300,0.96577337
201401171400,0.97191578
