timepoint,capacity_factor
201401010000,0.91247514
201401010100,0.91489154
201401010200,0.91119362
201401010300,0.8976829
201401010400,0.86885737
201401010500,0.84070752
201401010600,0.81664552
201401010700,0.77810243
201401010800,0.8236341
201401010900,0.84846088
201401011000,0.84907684
201401011100,0.84225653
201401011200,0.83746353
201401011300,0.83085954
201401011400,0.82211764
201401011500,0.81132355
201401011600,0.78644717
201401011700,0.69727489
201401011800,0.66340977
201401011900,0.62414309
201401012000,0.61022638
201401012100,0.59594755
201401012200,0.57722854
201401012300,0.54215211
201401020000,0.52517404
201401020100,0.50338063
201401020200,0.48834531
201401020300,0.46629494
201401020400,0.43333655
201401020500,0.44151059
201401020600,0.45250009
201401020700,0.41598377
201401020800,0.60624604
201401020900,0.7178251
201401021000,0.79471564
201401021100,0.84905085
201401021200,0.88517397
201401021300,0.90907895
201401021400,0.92960459
201401021500,0.94180154
201401021600,0.94185625
201401021700,0.93308912
201401021800,0.95130348
201401021900,0.96545606
201401022000,0.97637785
201401022100,0.98006316
201401022200,0.98400397
201401022300,0.98649672
201401030000,0.98295074
201401030100,0.98003862
201401030200,0.97856523
201401030300,0.97875714
201401030400,0.98020618
201401030500,0.98347445
201401030600,0.98076855
201401030700,0.98213053
201401030800,0.97803129
201401030900,0.96507341
201401031000,0.95315573
201401031100,0.95620949
201401031200,0.96297072
201401031300,0.96883632
201401031400,0.97581027
201401031500,0.98114526
201401031600,0.98603559
201401031700,0.98569607
201401031800,0.98438681
201401031900,0.98289829
201401032000,0.98058855
201401032100,0.97750785
201401032200,0.97197979
201401032300,0.96543418
201401040000,0.94913395
201401040100,0.93079474
201401040200,0.92374144
201401040300,0.91753487
201401040400,0.91105734
201401040500,0.88515586
201401040600,0.85454831
201401040700,0.81710585
201401040800,0.85449223
201401040900,0.87920114
201401041000,0.86583218
201401041100,0.83093719
201401041200,0.77396354
201401041300,0.72002085
201401041400,0.69023157
201401041500,0.69471855
201401041600,0.71057664
201401041700,0.65340209
201401041800,0.64418491
201401041900,0.66023143
201401042000,0.64406848
201401042100,0.64212848
201401042200,0.65224687
201401042300,0.65061075
201401050000,0.59408557
201401050100,0.53936752
201401050200,0.4886031
201401050300,0.45389789
201401050400,0.42505345
201401050500,0.39673493
201401050600,0.36887147
201401050700,0.2663365
201401050800,0.22744178
201401050900,0.17652989
201401051000,0.09746486
201401051100,0.04731103
201401051200,0.02402311
201401051300,0.01510662
201401051400,0.01143806
201401051500,0.00955109
201401051600,0.00816937
201401051700,0.01114674
201401051800,0.03002921
201401051900,0.06077756
201401052000,0.1008883
201401052100,0.14816904
201401052200,0.20135304
201401052300,0.26967018
201401060000,0.35768035
201401060100,0.4539051
201401060200,0.53535443
201401060300,0.63011137
201401060400,0.76212072
201401060500,0.86424921
201401060600,0.91901432
201401060700,0.96196357
201401060800,0.98448404
201401060900,0.9864436
201401061000,0.98472204
201401061100,0.98328486
201401061200,0.97973232
201401061300,0.97328915
201401061400,0.96464025
201401061500,0.95853772
201401061600,0.96389207
201401061700,0.97163616
201401061800,0.96766313
201401061900,0.96368309
201401062000,0.93702167
201401062100,0.9482171
201401062200,0.95686261
201401062300,0.96810188
201401070000,0.97691312
201401070100,0.9812261
201401070200,0.98306886
201401070300,0.98331437
201401070400,0.98394022
201401070500,0.98491449
201401070600,0.98589158
201401070700,0.98635308
201401070800,0.98631553
201401070900,0.98612671
201401071000,0.98587139
201401071100,0.98475191
201401071200,0.98479828
201401071300,0.98537586
201401071400,0.986217
201401071500,0.98610015
201401071600,0.98036677
201401071700,0.97062154
201401071800,0.96852377
201401071900,0.96669974
201401072000,0.96536325
201401072100,0.9632763
201401072200,0.96527292
201401072300,0.95189976
201401080000,0.94860857
201401080100,0.94532012
201401080200,0.94246436
201401080300,0.94123603
201401080400,0.93656312
201401080500,0.93302174
201401080600,0.91905263
201401080700,0.90826186
201401080800,0.93778585
201401080900,0.96191707
201401081000,0.96901941
201401081100,0.96933386
201401081200,0.96805078
201401081300,0.96660557
201401081400,0.96417836
201401081500,0.96004365
201401081600,0.9503224
201401081700,0.91296977
201401081800,0.89210652
201401081900,0.87616987
201401082000,0.86152498
201401082100,0.83620957
201401082200,0.82062486
201401082300,0.80322379
201401090000,0.79549684
201401090100,0.77958617
201401090200,0.77654807
201401090300,0.78826781
201401090400,0.79707462
201401090500,0.80770171
201401090600,0.81222515
201401090700,0.80368348
201401090800,0.87005053
201401090900,0.90824669
201401091000,0.90450877
201401091100,0.88677365
201401091200,0.86502665
201401091300,0.8451787
201401091400,0.83278906
201401091500,0.83441449
201401091600,0.83743659
201401091700,0.77653578
201401091800,0.7526717
201401091900,0.7405716
201401092000,0.72725416
201401092100,0.70832676
201401092200,0.66826973
201401092300,0.58709515
201401100000,0.54047995
201401100100,0.50824669
201401100200,0.47200119
201401100300,0.45675903
201401100400,0.46420632
201401100500,0.46497745
201401100600,0.45665516
201401100700,0.37338406
201401100800,0.48555938
201401100900,0.46768173
201401101000,0.35897061
201401101100,0.25512303
201401101200,0.1788348
201401101300,0.12330015
201401101400,0.09223677
201401101500,0.07050283
201401101600,0.05947527
201401101700,0.06605762
201401101800,0.08411786
201401101900,0.07916548
201401102000,0.06384553
201401102100,0.04593309
201401102200,0.03332425
201401102300,0.02646626
201401110000,0.02515723
201401110100,0.02774463
201401110200,0.03222446
201401110300,0.03905379
201401110400,0.05067197
201401110500,0.06619319
201401110600,0.08030628
201401110700,0.06841198
201401110800,0.06900015
201401110900,0.08636475
201401111000,0.1012539
201401111100,0.14247433
201401111200,0.2230646
201401111300,0.33791663
201401111400,0.47622847
201401111500,0.61653948
201401111600,0.69470546
201401111700,0.70037137
201401111800,0.73447997
201401111900,0.75128919
201401112000,0.73675885
201401112100,0.75223321
201401112200,0.76693229
201401112300,0.7809425
201401120000,0.77690643
201401120100,0.76157106
201401120200,0.7541641
201401120300,0.72742208
201401120400,0.69758019
201401120500,0.66113446
201401120600,0.64405825
201401120700,0.5986311
201401120800,0.72984178
201401120900,0.74379907
201401121000,0.70187568
201401121100,0.64495582
201401121200,0.58299516
201401121300,0.5375746
201401121400,0.52534663
201401121500,0.53565467
201401121600,0.55644004
201401121700,0.52262487
201401121800,0.51984535
201401121900,0.52593016
201401122000,0.45941085
201401122100,0.42662907
201401122200,0.39779262
201401122300,0.38224901
201401130000,0.36997915
201401130100,0.36759728
201401130200,0.3679664
201401130300,0.36427367
201401130400,0.36249699
201401130500,0.36103728
201401130600,0.35804368
201401130700,0.28905956
201401130800,0.41081271
201401130900,0.37894633
201401131000,0.30184316
201401131100,0.24982935
201401131200,0.22529358
201401131300,0.22523488
201401131400,0.24763294
201401131500,0.30775848
201401131600,0.36590917
201401131700,0.38834259
201401131800,0.41001586
201401131900,0.42939196
201401132000,0.4385347
201401132100,0.52937122
201401132200,0.55100432
201401132300,0.58090527
201401140000,0.64953735
201401140100,0.80424761
201401140200,0.84732692
201401140300,0.89454774
201401140400,0.92656396
201401140500,0.94195984
201401140600,0.94672752
201401140700,0.94351761
201401140800,0.97081146
201401140900,0.97850035
201401141000,0.97862336
201401141100,0.97780497
201401141200,0.97664835
201401141300,0.97438127
201401141400,0.97085385
201401141500,0.97016772
201401141600,0.9652116
201401141700,0.95041944
201401141800,0.94799542
201401141900,0.94176901
201401142000,0.92823882
201401142100,0.91278157
201401142200,0.89470433
201401142300,0.89337197
201401150000,0.89667748
201401150100,0.89067728
201401150200,0.88749697
201401150300,0.8882493
201401150400,0.89390501
201401150500,0.90350845
201401150600,0.91238914
201401150700,0.92241256
201401150800,0.96684334
201401150900,0.98440998
201401151000,0.98610804
201401151100,0.97952192
201401151200,0.96374261
201401151300,0.94953381
201401151400,0.94154199
201401151500,0.94299074
201401151600,0.9619621
201401151700,0.98415969
201401151800,0.98619946
201401151900,0.98472366
201401152000,0.98376332
201401152100,0.98043023
201401152200,0.97535897
201401152300,0.97032214
201401160000,0.96801222
201401160100,0.96394602
201401160200,0.95700957
201401160300,0.95354542
201401160400,0.95609172
201401160500,0.95427765
201401160600,0.95235738
201401160700,0.94975479
