timepoint,capacity_factor
201401010000,0.04850533
201401010100,0.03496561
201401010200,0.03455342
201401010300,0.02703915
201401010400,0.01870836
201401010500,0.02063792
201401010600,0.01498794
201401010700,0.00762238
201401010800,0.00956584
201401010900,0.0608478
201401011000,0.0834819
201401011100,0.08674623
201401011200,0.08568361
201401011300,0.07381395
201401011400,0.05777904
201401011500,0.04382698
201401011600,0.03328403
201401011700,0.03906379
201401011800,0.04740028
201401011900,0.03107137
201401012000,0.01961463
201401012100,0.00978286
201401012200,0.00575617
201401012300,0.00500416
201401020000,0.00601972
201401020100,0.00885492
201401020200,0.01464716
201401020300,0.01609354
201401020400,0.0132999
201401020500,0.01139273
201401020600,0.01146331
201401020700,0.01471778
201401020800,0.00912348
201401020900,0.01237271
201401021000,0.02173968
201401021100,0.03519176
201401021200,0.05406275
201401021300,0.07746653
201401021400,0.11095422
201401021500,0.17672762
201401021600,0.28323977
201401021700,0.3423465
201401021800,0.35168956
201401021900,0.32674446
201401022000,0.3936513
201401022100,0.39103779
201401022200,0.36087904
201401022300,0.29996897
201401030000,0.28439605
201401030100,0.23615683
201401030200,0.20074136
201401030300,0.1876687
201401030400,0.15437152
201401030500,0.14557576
201401030600,0.13397502
201401030700,0.11904155
201401030800,0.17213324
201401030900,0.32176954
201401031000,0.40728441
201401031100,0.41002336
201401031200,0.40260008
201401031300,0.38921809
201401031400,0.39112387
201401031500,0.41273481
201401031600,0.43640958
201401031700,0.42230693
201401031800,0.33703441
201401031900,0.24071579
201401032000,0.16327151
201401032100,0.09005668
201401032200,0.05779303
201401032300,0.02619161
201401040000,0.01007281
201401040100,0.00633878
201401040200,0.00776588
201401040300,0.00559617
201401040400,0.00236587
201401040500,0.00133861
201401040600,0.00114116
201401040700,0.00164164
201401040800,0.00096585
201401040900,0.01451863
201401041000,0.02837944
201401041100,0.0172332
201401041200,0.00777431
201401041300,0.00217597
201401041400,0.00015281
201401041500,3.1e-07
201401041600,8.975e-05
201401041700,0.05864899
201401041800,0.09040683
201401041900,0.03367616
201401042000,0.00795026
201401042100,0.00067248
201401042200,0.00056466
201401042300,0.00192449
201401050000,0.00478988
201401050100,0.01197381
201401050200,0.02068015
201401050300,0.0269309
201401050400,0.03783052
201401050500,0.0476473
201401050600,0.05111377
201401050700,0.04971499
201401050800,0.02416409
201401050900,0.02670551
201401051000,0.02994675
201401051100,0.02233872
201401051200,0.01772398
201401051300,0.01419296
201401051400,0.01236789
201401051500,0.00808266
201401051600,0.00159692
201401051700,0.00037392
201401051800,0.00144311
201401051900,0.00252502
201401052000,0.00825787
201401052100,0.0227126
201401052200,0.05835827
201401052300,0.10719505
201401060000,0.1177792
201401060100,0.14100802
201401060200,0.11033904
201401060300,0.04802171
201401060400,0.02960675
201401060500,0.02410057
201401060600,0.0227586
201401060700,0.02882186
201401060800,0.08378075
201401060900,0.28892774
201401061000,0.45860842
201401061100,0.50198629
201401061200,0.48835309
201401061300,0.44700945
201401061400,0.41002202
201401061500,0.39712962
201401061600,0.40051195
201401061700,0.37564043
201401061800,0.28889618
201401061900,0.28070989
201401062000,0.30867765
201401062100,0.31123006
201401062200,0.26962493
201401062300,0.22305287
201401070000,0.18831212
201401070100,0.14628865
201401070200,0.12236297
201401070300,0.13116289
201401070400,0.11526022
201401070500,0.14951582
201401070600,0.17330185
201401070700,0.19451897
201401070800,0.22808474
201401070900,0.28888502
201401071000,0.34062081
201401071100,0.31729057
201401071200,0.27171461
201401071300,0.21636221
201401071400,0.18559413
201401071500,0.20225231
201401071600,0.25094263
201401071700,0.26403296
201401071800,0.22305196
201401071900,0.16117278
201401072000,0.1191032
201401072100,0.09253095
201401072200,0.06794654
201401072300,0.04756403
201401080000,0.03691835
201401080100,0.02913265
201401080200,0.02661632
201401080300,0.02082416
201401080400,0.01626708
201401080500,0.01557462
201401080600,0.01699124
201401080700,0.0198391
201401080800,0.0153424
201401080900,0.00231453
201401081000,0.00025527
201401081100,0.00031049
201401081200,0.00018923
201401081300,0.00020646
201401081400,0.00517513
201401081500,0.02515833
201401081600,0.05713913
201401081700,0.12630301
201401081800,0.13454274
201401081900,0.06106671
201401082000,0.0210878
201401082100,0.00961397
201401082200,0.00541355
201401082300,0.00262634
201401090000,0.0020991
201401090100,0.00331109
201401090200,0.00494779
201401090300,0.0061654
201401090400,0.00632493
201401090500,0.00584214
201401090600,0.00506583
201401090700,0.00342215
201401090800,0.00043103
201401090900,0.00270537
201401091000,0.00226672
201401091100,0.00312784
201401091200,0.00933207
201401091300,0.02093663
201401091400,0.03210199
201401091500,0.03911616
201401091600,0.05763131
201401091700,0.1252834
201401091800,0.14835098
201401091900,0.08407456
201401092000,0.04497861
201401092100,0.02633196
201401092200,0.01176333
201401092300,0.00303721
201401100000,0.00141124
201401100100,0.00158794
201401100200,0.0038811
201401100300,0.0072288
201401100400,0.00722103
201401100500,0.00542125
201401100600,0.00338749
201401100700,0.00197857
201401100800,0.00143452
201401100900,0.02651145
201401101000,0.04307702
201401101100,0.04821848
201401101200,0.05422536
201401101300,0.05793821
201401101400,0.05827355
201401101500,0.04191597
201401101600,0.0265749
201401101700,0.0379905
201401101800,0.0460832
201401101900,0.01652352
201401102000,0.00493705
201401102100,0.0055282
201401102200,0.01069581
201401102300,0.03176903
201401110000,0.07932237
201401110100,0.13452226
201401110200,0.17783311
201401110300,0.19257942
201401110400,0.17754499
201401110500,0.1444534
201401110600,0.1063546
201401110700,0.07189035
201401110800,0.02612914
201401110900,0.07034601
201401111000,0.12518137
201401111100,0.18542538
201401111200,0.24313553
201401111300,0.2991725
201401111400,0.34391505
201401111500,0.39478178
201401111600,0.42154755
201401111700,0.34735615
201401111800,0.21283501
201401111900,0.16114851
201401112000,0.21002449
201401112100,0.25749582
201401112200,0.24760464
201401112300,0.22306707
201401120000,0.19826534
201401120100,0.14776256
201401120200,0.11527288
201401120300,0.09229988
201401120400,0.08505072
201401120500,0.08892185
201401120600,0.0888708
201401120700,0.09314826
201401120800,0.09030833
201401120900,0.13522395
201401121000,0.18621253
201401121100,0.19389019
201401121200,0.16741369
201401121300,0.14398952
201401121400,0.12449163
201401121500,0.12270105
201401121600,0.13742196
201401121700,0.15455424
201401121800,0.13299789
201401121900,0.07510237
201401122000,0.04724354
201401122100,0.02378005
201401122200,0.0041652
201401122300,0.00083993
201401130000,0.00231568
201401130100,0.00743143
201401130200,0.02249145
201401130300,0.03678366
201401130400,0.04471696
201401130500,0.04724141
201401130600,0.04465335
201401130700,0.03666669
201401130800,0.00633905
201401130900,0.00065103
201401131000,4.852e-05
201401131100,5.198e-05
201401131200,5.878e-05
201401131300,0.0
201401131400,1.6e-07
201401131500,0.01079412
201401131600,0.06696151
201401131700,0.17538334
201401131800,0.24612861
201401131900,0.20802142
201401132000,0.18269734
201401132100,0.17888036
201401132200,0.22774109
201401132300,0.23610024
201401140000,0.24523477
201401140100,0.21359618
201401140200,0.18517696
201401140300,0.17667453
201401140400,0.11919214
201401140500,0.08000734
201401140600,0.07005702
201401140700,0.06656172
201401140800,0.10030213
201401140900,0.2361926
201401141000,0.2445394
201401141100,0.20450378
201401141200,0.16768158
201401141300,0.13589065
201401141400,0.11386466
201401141500,0.1123486
201401141600,0.14243304
201401141700,0.1973392
201401141800,0.16765176
201401141900,0.08989551
201401142000,0.05674629
201401142100,0.04439323
201401142200,0.04028948
201401142300,0.04503885
201401150000,0.05425005
201401150100,0.07873106
201401150200,0.13268849
201401150300,0.20024021
201401150400,0.26376735
201401150500,0.31121695
201401150600,0.3409274
201401150700,0.3224097
201401150800,0.3856159
201401150900,0.63390615
201401151000,0.71312886
201401151100,0.70390327
201401151200,0.63651875
201401151300,0.5777176
201401151400,0.54433635
201401151500,0.51033601
201401151600,0.4820409
201401151700,0.41042059
201401151800,0.27441002
201401151900,0.16206762
201401152000,0.14771114
201401152100,0.13298357
201401152200,0.15507029
201401152300,0.15437895
201401160000,0.13700617
201401160100,0.12175567
201401160200,0.10149343
201401160300,0.08685751
201401160400,0.07103447
201401160500,0.037374
201401160600,0.03258488
201401160700,0.03024564
201401160800,0.02690509
201401160900,0.03452641
201401161000,0.00079067
201401161100,0.0006005
201401161200,2.647e-05
201401161300,3.515e-05
201401161400,0.00011409
201401161500,2.24e-06
201401161600,0.00083358
201401161700,0.06379335
201401161800,0.12232704
201401161900,0.06427354
201401162000,0.01670346
201401162100,0.00080237
201401162200,0.00030519
201401162300,0.0019979
201401170000,0.00671843
201401170100,0.01721865
201401170200,0.02709544
201401170300,0.0292574
201401170400,0.02134018
201401170500,0.01592135
201401170600,0.01259112
201401170700,0.01317098
201401170800,0.01133501
201401170900,0.01226429
201401171000,0.01297052
201401171100,0.00676786
201401171200,0.00198829
201401171300,7.15e-06
201401171400,0.00092493
201401171500,0.06796227
201401171600,0.23548784
201401171700,0.33674693
201401171800,0.3201349
201401171900,0.31059137
201401172000,0.29580926
201401172100,0.26387066
201401172200,0.21205842
201401172300,0.16999655
201401180000,0.11774272
201401180100,0.09580434
201401180200,0.09707752
201401180300,0.08823162
201401180400,0.0701386
201401180500,0.06601559
201401180600,0.05548819
201401180700,0.05044586
201401180800,0.0647848
201401180900,0.05733031
201401181000,0.03555625
201401181100,0.00846196
201401181200,0.00167683
201401181300,0.00114243
201401181400,0.0021326
201401181500,0.00781963
201401181600,0.04931821
201401181700,0.11235893
201401181800,0.12068841
201401181900,0.05848829
201401182000,0.0275268
201401182100,0.01125504
201401182200,0.00292186
201401182300,0.00133754
201401190000,0.00423706
201401190100,0.0192884
201401190200,0.04456023
201401190300,0.0626744
201401190400,0.06770135
201401190500,0.06245836
201401190600,0.0717412
201401190700,0.07641321
201401190800,0.04697561
201401190900,0.07640734
201401191000,0.0723439
201401191100,0.06972548
201401191200,0.07062184
201401191300,0.05976372
201401191400,0.06320249
201401191500,0.13353884
201401191600,0.26539335
201401191700,0.36764851
201401191800,0.32439109
201401191900,0.25906023
201401192000,0.21363162
201401192100,0.17110055
201401192200,0.12499566
201401192300,0.08407442
201401200000,0.03569252
201401200100,0.01026486
201401200200,0.00426477
201401200300,0.00288231
201401200400,0.00458837
201401200500,0.00958555
201401200600,0.01656877
201401200700,0.01749192
201401200800,0.00222306
201401200900,0.00154415
201401201000,0.0042358
201401201100,0.01104531
201401201200,0.0159894
201401201300,0.01638737
201401201400,0.01105194
201401201500,0.00476685
201401201600,0.00119016
201401201700,0.0614865
201401201800,0.07082301
201401201900,0.01460513
201401202000,0.00251074
201401202100,0.00498764
201401202200,0.01538448
201401202300,0.03537302
201401210000,0.06544095
201401210100,0.09902901
201401210200,0.13300107
201401210300,0.15440461
201401210400,0.16147211
201401210500,0.16743168
201401210600,0.17654273
201401210700,0.19168912
201401210800,0.16123887
201401210900,0.42844908
201401211000,0.6212678
201401211100,0.73602687
201401211200,0.7691691
201401211300,0.74787735
201401211400,0.69914842
201401211500,0.62624546
201401211600,0.51273653
201401211700,0.36424894
201401211800,0.24523708
201401211900,0.21270604
201401212000,0.2053678
201401212100,0.20087325
201401212200,0.16017822
201401212300,0.14608273
201401220000,0.14756722
201401220100,0.13747903
201401220200,0.13853401
201401220300,0.11392851
201401220400,0.09917854
201401220500,0.09256924
201401220600,0.08541683
201401220700,0.07279709
201401220800,0.06260513
201401220900,0.12572897
201401221000,0.15707475
201401221100,0.13451165
201401221200,0.06397638
201401221300,0.00113401
201401221400,0.0005075
201401221500,0.00035957
201401221600,0.04030284
201401221700,0.13023946
201401221800,0.13050476
201401221900,0.05030495
201401222000,0.01704488
201401222100,0.00548198
201401222200,0.00710218
201401222300,0.01907596
201401230000,0.04555562
201401230100,0.12369649
201401230200,0.21028591
201401230300,0.25268302
201401230400,0.2486667
201401230500,0.20627641
201401230600,0.15115855
201401230700,0.1005335
201401230800,0.04524734
201401230900,0.05294525
201401231000,0.03575439
201401231100,0.01427929
201401231200,0.00246958
201401231300,0.0001115
201401231400,6.35e-06
201401231500,3.87e-06
201401231600,0.01123734
201401231700,0.07625549
201401231800,0.09672952
201401231900,0.05811211
201401232000,0.04715664
201401232100,0.07135133
201401232200,0.1264115
201401232300,0.17446431
201401240000,0.20199862
201401240100,0.2429798
201401240200,0.27146222
201401240300,0.18661202
201401240400,0.18472584
201401240500,0.22521937
201401240600,0.28892546
201401240700,0.41433177
201401240800,0.60042553
201401240900,0.6440723
201401241000,0.57274838
201401241100,0.46873009
201401241200,0.41275795
201401241300,0.40041259
201401241400,0.41586997
201401241500,0.47869329
201401241600,0.5402999
201401241700,0.53486354
201401241800,0.4227633
201401241900,0.29030205
201401242000,0.22520699
201401242100,0.17990296
201401242200,0.14403356
201401242300,0.12015765
201401250000,0.09545409
201401250100,0.06734249
201401250200,0.04736385
201401250300,0.03428763
201401250400,0.03771686
201401250500,0.04988023
201401250600,0.05563584
201401250700,0.05499811
201401250800,0.03643499
201401250900,0.04987609
201401251000,0.05913986
201401251100,0.05779091
201401251200,0.05651636
201401251300,0.04408717
201401251400,0.01740299
201401251500,0.03817211
201401251600,0.1109352
201401251700,0.19343441
201401251800,0.15260721
201401251900,0.06010162
201401252000,0.02324758
201401252100,0.01416154
201401252200,0.01654357
201401252300,0.01903467
201401260000,0.01956297
201401260100,0.02414303
201401260200,0.02725833
201401260300,0.02746597
201401260400,0.03173215
201401260500,0.03801313
201401260600,0.04504526
201401260700,0.04765671
201401260800,0.02385122
201401260900,0.03017992
201401261000,0.03504834
201401261100,0.03268303
201401261200,0.0270085
201401261300,0.02246513
201401261400,0.01988882
201401261500,0.01528847
201401261600,0.0094971
201401261700,0.00399089
201401261800,0.00747947
201401261900,0.00638604
201401262000,0.01428283
201401262100,0.03500194
201401262200,0.07945317
201401262300,0.13519354
201401270000,0.17673602
201401270100,0.21182331
201401270200,0.24073459
201401270300,0.24522954
201401270400,0.2305105
201401270500,0.20767645
201401270600,0.17823793
201401270700,0.13724287
201401270800,0.04274694
201401270900,0.00456797
201401271000,0.00051029
201401271100,0.00011519
201401271200,2.373e-05
201401271300,0.00270654
201401271400,0.01870751
201401271500,0.0380127
201401271600,0.06667432
201401271700,0.12679326
201401271800,0.14263345
201401271900,0.06380202
