timepoint,capacity_factor
201401010000,0.95252272
201401010100,0.95421492
201401010200,0.9518535
201401010300,0.94184935
201401010400,0.91991425
201401010500,0.89589059
201401010600,0.87527278
201401010700,0.84202299
201401010800,0.88406712
201401010900,0.89479641
201401011000,0.89398571
201401011100,0.8888699
201401011200,0.88553675
201401011300,0.88030747
201401011400,0.87351216
201401011500,0.8645716
201401011600,0.84706813
201401011700,0.79037648
201401011800,0.75411207
201401011900,0.71435148
201401012000,0.69667915
201401012100,0.67938629
201401012200,0.66343653
201401012300,0.64406012
201401020000,0.62531995
201401020100,0.60227572
201401020200,0.58035167
201401020300,0.5573134
201401020400,0.51707245
201401020500,0.52641862
201401020600,0.53901947
201401020700,0.51212046
201401020800,0.71269733
201401020900,0.7985001
201401021000,0.8603018
201401021100,0.90163053
201401021200,0.92665026
201401021300,0.94153548
201401021400,0.9535367
201401021500,0.96152783
201401021600,0.96394628
201401021700,0.96211854
201401021800,0.97007036
201401021900,0.97910316
201401022000,0.98536661
201401022100,0.98651559
201401022200,0.98491447
201401022300,0.97418179
201401030000,0.95540312
201401030100,0.94723676
201401030200,0.95028745
201401030300,0.95233808
201401030400,0.95520329
201401030500,0.96302578
201401030600,0.94604003
201401030700,0.95224098
201401030800,0.94552914
201401030900,0.91895276
201401031000,0.89542362
201401031100,0.90361121
201401031200,0.92200193
201401031300,0.93828271
201401031400,0.95130714
201401031500,0.96157703
201401031600,0.97279631
201401031700,0.98150191
201401031800,0.98460839
201401031900,0.98592191
201401032000,0.98651725
201401032100,0.98611737
201401032200,0.98379527
201401032300,0.98015662
201401040000,0.97088123
201401040100,0.95923316
201401040200,0.95552048
201401040300,0.95190419
201401040400,0.94321028
201401040500,0.92594866
201401040600,0.90649641
201401040700,0.88197119
201401040800,0.90599983
201401040900,0.91733549
201401041000,0.90515386
201401041100,0.88130476
201401041200,0.84030478
201401041300,0.79851097
201401041400,0.77670377
201401041500,0.77605367
201401041600,0.78626187
201401041700,0.74591247
201401041800,0.72435386
201401041900,0.7286598
201401042000,0.70036094
201401042100,0.69471607
201401042200,0.70427627
201401042300,0.70035698
201401050000,0.63908303
201401050100,0.58117738
201401050200,0.53757465
201401050300,0.51579312
201401050400,0.50072172
201401050500,0.48661972
201401050600,0.46416217
201401050700,0.36046114
201401050800,0.34322473
201401050900,0.30495832
201401051000,0.21314456
201401051100,0.14366966
201401051200,0.09995724
201401051300,0.0734743
201401051400,0.05795736
201401051500,0.04730371
201401051600,0.03659406
201401051700,0.03374605
201401051800,0.05035279
201401051900,0.08595768
201401052000,0.14436049
201401052100,0.22239317
201401052200,0.29708966
201401052300,0.36921046
201401060000,0.43862454
201401060100,0.51514644
201401060200,0.58986895
201401060300,0.68073058
201401060400,0.81367158
201401060500,0.91718289
201401060600,0.95933452
201401060700,0.98075899
201401060800,0.98525071
201401060900,0.97864892
201401061000,0.97253125
201401061100,0.97008617
201401061200,0.96341124
201401061300,0.94976465
201401061400,0.92949665
201401061500,0.90974656
201401061600,0.91234279
201401061700,0.93254986
201401061800,0.92772034
201401061900,0.91608237
201401062000,0.85134713
201401062100,0.87314072
201401062200,0.87779255
201401062300,0.90316523
201401070000,0.93208556
201401070100,0.94659433
201401070200,0.95272412
201401070300,0.95556536
201401070400,0.95799701
201401070500,0.9617285
201401070600,0.96693999
201401070700,0.97115103
201401070800,0.9717491
201401070900,0.97133092
201401071000,0.97153428
201401071100,0.96860468
201401071200,0.96954353
201401071300,0.97334004
201401071400,0.97845526
201401071500,0.983539
201401071600,0.98651324
201401071700,0.98081382
201401071800,0.97852526
201401071900,0.97755229
201401072000,0.97688519
201401072100,0.97608263
201401072200,0.9769818
201401072300,0.96552603
201401080000,0.96258949
201401080100,0.96156859
201401080200,0.95980134
201401080300,0.95815157
201401080400,0.95356243
201401080500,0.94868402
201401080600,0.94210684
201401080700,0.93618037
201401080800,0.9582763
201401080900,0.97577388
201401081000,0.98037414
201401081100,0.98082567
201401081200,0.9805684
201401081300,0.98006767
201401081400,0.97909274
201401081500,0.97739844
201401081600,0.9734807
201401081700,0.95353654
201401081800,0.93435861
201401081900,0.92190413
201401082000,0.90912061
201401082100,0.89681215
201401082200,0.89571417
201401082300,0.88748852
201401090000,0.8820583
201401090100,0.86929352
201401090200,0.86350451
201401090300,0.87233471
201401090400,0.87604834
201401090500,0.88384199
201401090600,0.88723579
201401090700,0.88026195
201401090800,0.92646822
201401090900,0.94747054
201401091000,0.94568203
201401091100,0.93498617
201401091200,0.92073741
201401091300,0.90821894
201401091400,0.89918538
201401091500,0.899029
201401091600,0.90142708
201401091700,0.86266416
201401091800,0.83681276
201401091900,0.81991953
201401092000,0.8068551
201401092100,0.78817355
201401092200,0.74635688
201401092300,0.67196511
201401100000,0.63543293
201401100100,0.59929891
201401100200,0.57110546
201401100300,0.54951807
201401100400,0.55638676
201401100500,0.55643971
201401100600,0.546666
201401100700,0.46316608
201401100800,0.60703141
201401100900,0.58965238
201401101000,0.48833704
201401101100,0.38848347
201401101200,0.30804823
201401101300,0.24297842
201401101400,0.20223401
201401101500,0.17112087
201401101600,0.1475363
201401101700,0.13301403
201401101800,0.1387173
201401101900,0.12929765
201401102000,0.11233859
201401102100,0.09619854
201401102200,0.08674284
201401102300,0.08534574
201401110000,0.08830964
201401110100,0.09259923
201401110200,0.09060693
201401110300,0.08902333
201401110400,0.09352517
