month,day,hour,capacity_factor
1,1,0.0,0.00105446
1,1,1.0,0.00105642
1,1,2.0,0.00079322
1,1,3.0,0.00030001
1,1,4.0,0.00015408
1,1,5.0,7.284e-05
1,1,6.0,1.143e-05
1,1,7.0,2.13e-06
1,1,8.0,1.64e-05
1,1,9.0,4.85e-06
1,1,10.0,0.00040981
1,1,11.0,0.0030789
1,1,12.0,0.00458748
1,1,13.0,0.00595723
1,1,14.0,0.00414931
1,1,15.0,0.00515465
1,1,16.0,0.01750026
1,1,17.0,0.07639417
1,1,18.0,0.12783123
1,1,19.0,0.11480488
1,1,20.0,0.08309496
1,1,21.0,0.03994848
1,1,22.0,0.00537004
1,1,23.0,4.537e-05
1,2,0.0,0.00042592
1,2,1.0,0.00855327
1,2,2.0,0.05522346
1,2,3.0,0.19314624
1,2,4.0,0.47594815
1,2,5.0,0.69699316
1,2,6.0,0.79391727
1,2,7.0,0.83939437
1,2,8.0,0.88515343
1,2,9.0,0.9254808
1,2,10.0,0.88408448
1,2,11.0,0.81280301
1,2,12.0,0.72829072
1,2,13.0,0.63765734
1,2,14.0,0.54884537
1,2,15.0,0.48991278
1,2,16.0,0.40823781
1,2,17.0,0.29137374
1,2,18.0,0.26372321
1,2,19.0,0.20007089
1,2,20.0,0.11768852
1,2,21.0,0.04292093
1,2,22.0,0.01089613
1,2,23.0,0.00434585
1,3,0.0,0.00350098
1,3,1.0,0.00320606
1,3,2.0,0.00395179
1,3,3.0,0.01121503
1,3,4.0,0.02800425
1,3,5.0,0.03291285
1,3,6.0,0.01980089
1,3,7.0,0.00612912
1,3,8.0,0.00034402
1,3,9.0,0.00105999
1,3,10.0,0.01905615
1,3,11.0,0.04050801
1,3,12.0,0.06108073
1,3,13.0,0.07987261
1,3,14.0,0.10334719
1,3,15.0,0.13323104
1,3,16.0,0.17863873
1,3,17.0,0.24673706
1,3,18.0,0.3600906
1,3,19.0,0.38834286
1,3,20.0,0.38018206
1,3,21.0,0.39838932
1,3,22.0,0.41001321
1,3,23.0,0.38022993
1,4,0.0,0.33158956
1,4,1.0,0.29133343
1,4,2.0,0.26368014
1,4,3.0,0.24626988
1,4,4.0,0.18183316
1,4,5.0,0.08400217
