timepoint,capacity_factor
201401010000,0.28213833
201401010100,0.28260379
201401010200,0.26707474
201401010300,0.25169631
201401010400,0.24300341
201401010500,0.22303305
201401010600,0.22319728
201401010700,0.19204478
201401010800,0.12778905
201401010900,0.15350167
201401011000,0.16740464
201401011100,0.13998393
201401011200,0.11291036
201401011300,0.09050237
201401011400,0.07529237
201401011500,0.05514682
201401011600,0.04721927
201401011700,0.07983084
201401011800,0.11770277
201401011900,0.13201378
201401012000,0.12855675
201401012100,0.12292428
201401012200,0.11495392
201401012300,0.10407718
201401020000,0.09221856
201401020100,0.07339801
201401020200,0.05489042
201401020300,0.02866704
201401020400,0.0095607
201401020500,0.00314042
201401020600,0.00113624
201401020700,0.00039701
201401020800,0.00047513
201401020900,0.00063625
201401021000,0.00010382
201401021100,1.914e-05
201401021200,2.79e-06
201401021300,0.0
201401021400,0.0
201401021500,0.0
201401021600,1.1e-07
201401021700,0.00027998
201401021800,0.01177516
201401021900,0.03886501
201401022000,0.07533994
201401022100,0.11221419
201401022200,0.13276703
201401022300,0.15706504
201401030000,0.12162345
201401030100,0.12685693
201401030200,0.14214049
201401030300,0.1609037
201401030400,0.19375597
201401030500,0.2424499
201401030600,0.29995068
201401030700,0.3315687
201401030800,0.34985143
201401030900,0.39776632
201401031000,0.45390868
201401031100,0.47170715
201401031200,0.46431956
201401031300,0.44701763
201401031400,0.41002851
201401031500,0.41952296
201401031600,0.45585518
201401031700,0.46007586
201401031800,0.4326701
201401031900,0.42459999
201401032000,0.47499853
201401032100,0.42725956
201401032200,0.34531666
201401032300,0.33776282
201401040000,0.31527342
201401040100,0.32210648
201401040200,0.32261744
201401040300,0.30030506
201401040400,0.27796483
201401040500,0.26140191
201401040600,0.25095389
201401040700,0.24527326
201401040800,0.21608898
201401040900,0.27987076
201401041000,0.32975714
201401041100,0.32714316
201401041200,0.26420322
201401041300,0.20377315
201401041400,0.17222396
201401041500,0.14524288
201401041600,0.13936693
201401041700,0.12029338
201401041800,0.05872387
201401041900,0.03905998
201401042000,0.06224527
201401042100,0.1051322
201401042200,0.14001747
201401042300,0.18090407
201401050000,0.19172521
201401050100,0.1788627
201401050200,0.18128821
201401050300,0.1988842
