month,day,hour,capacity_factor
1,1,0.0,0.00098924
1,1,1.0,0.00232376
1,1,2.0,0.00486341
1,1,3.0,0.00459562
1,1,4.0,0.00310069
1,1,5.0,0.002308
1,1,6.0,0.00221787
1,1,7.0,0.00329717
1,1,8.0,0.00555098
1,1,9.0,0.00483467
1,1,10.0,0.00313445
1,1,11.0,0.00223642
1,1,12.0,0.00086327
1,1,13.0,0.00051034
1,1,14.0,0.0004297
1,1,15.0,0.00051307
1,1,16.0,0.00096392
1,1,17.0,0.00574032
1,1,18.0,0.01479316
1,1,19.0,0.01220604
1,1,20.0,0.00401784
1,1,21.0,0.00100682
1,1,22.0,0.0007456
1,1,23.0,0.00206643
1,2,0.0,0.00675316
1,2,1.0,0.01697122
1,2,2.0,0.05556468
1,2,3.0,0.19944981
1,2,4.0,0.50046488
1,2,5.0,0.63047419
1,2,6.0,0.68496756
1,2,7.0,0.76623419
1,2,8.0,0.84624522
1,2,9.0,0.92055383
1,2,10.0,0.88411493
1,2,11.0,0.82589449
1,2,12.0,0.76155851
1,2,13.0,0.7003502
1,2,14.0,0.65157362
1,2,15.0,0.61671869
1,2,16.0,0.50262873
1,2,17.0,0.33100265
1,2,18.0,0.32662827
1,2,19.0,0.34644865
1,2,20.0,0.36814514
1,2,21.0,0.36898429
1,2,22.0,0.34142783
1,2,23.0,0.29881584
1,3,0.0,0.25943456
1,3,1.0,0.2361593
1,3,2.0,0.23162327
1,3,3.0,0.2500493
1,3,4.0,0.27799363
1,3,5.0,0.28175047
1,3,6.0,0.25347975
1,3,7.0,0.19370119
1,3,8.0,0.06457615
1,3,9.0,0.01582733
1,3,10.0,0.00615265
1,3,11.0,0.00468068
1,3,12.0,0.00913847
1,3,13.0,0.01861046
1,3,14.0,0.03103091
1,3,15.0,0.04625496
1,3,16.0,0.06381238
1,3,17.0,0.09639357
1,3,18.0,0.19460313
1,3,19.0,0.32943826
1,3,20.0,0.41414316
1,3,21.0,0.42900039
1,3,22.0,0.39166997
1,3,23.0,0.35631584
1,4,0.0,0.33506991
1,4,1.0,0.34869983
1,4,2.0,0.38706548
1,4,3.0,0.44151296
1,4,4.0,0.4666198
1,4,5.0,0.45941677
