project_name,load_zone,gen_tech,lat,lon
cerro_prieto_fotovoltaica,48-mexicali,solar,32.391568,-115.2700354
guerrero_negro_eolica,53-mulege,wind,27.968356,-114.05002
sta_rosalia,53-mulege,solar,27.317,-112.283
la_mata__pie,40-ixtepec,wind,16.6997243,-95.3437477
la_venta_i-ii,40-ixtepec,wind,16.440143,-95.0529046
la_venta_iii_pie,40-ixtepec,wind,16.440143,-95.0529046
oaxaca_i_pie,40-ixtepec,wind,17.0812951,-96.7707509
oaxaca_ii_pie,40-ixtepec,wind,17.0812951,-96.7707509
oaxaca_iii_pie,40-ixtepec,wind,17.0812951,-96.7707509
oaxaca_iv_pie,40-ixtepec,wind,17.0812951,-96.7707509
yuumiliik,43-cancun,wind,20.97608,-86.862118
autoabastecimiento_renovable,24-aguascalientes,solar,21.8857199,-102.36134
bii_nee_stipa_energia_eolica,40-ixtepec,wind,16.5565803,-95.1302199
compania_eolica_de_tamaulipas,21-guemez,wind,26.0782513,-98.3214059
coppel,01-hermosillo,solar,28.840764,-111.47633
desarrollos_eolicos_mexicanos_de_oaxaca_1,40-ixtepec,wind,16.4774215,-94.84164
desarrolloseolicosmexicanos2_piedralarga,40-ixtepec,wind,16.4774215,-94.84164
dominica_energia_limpia,25-san_luis_potosi,wind,23.1286247,-101.1247126
electrica_del_valle_de_mexico,40-ixtepec,wind,16.6997243,-95.3437477
energia_sonora_ppe,01-hermosillo,wind,31.3229438,-113.5536713
eoliatec_del_istmo,40-ixtepec,wind,16.440143,-95.0529046
eoliatec_del_pacifico,40-ixtepec,wind,16.440143,-95.0529046
eolica_de_arriaga,39-grijalva,wind,16.2342622,-93.917628
eolica_el_retiro,40-ixtepec,wind,16.440143,-95.0529046
eolica_los_altos,24-aguascalientes,wind,21.8663952,-101.5977324
eolica_santa_catarina,16-monterrey,wind,25.6845821,-100.4856661
eolica_zopiloapan,40-ixtepec,wind,16.440143,-95.0529046
eurus,40-ixtepec,wind,16.440143,-95.0529046
fuerza_eolica_del_istmo,40-ixtepec,wind,16.586444,-94.999577
fuerza_y_energia_bii_hioxo,40-ixtepec,wind,16.440143,-95.0529046
gcoradora_solar_apaseo,30-queretaro,solar,20.5470329,-100.7351178
instituto_de_investigaciones_electricas,40-ixtepec,wind,16.545581,-94.963352
iusasol_base,31-central,solar,19.7091482,-99.7972783
municipio_de_mexicali,46-tijuana,wind,32.497764,-116.089826
parques_ecologicos_de_mexico,40-ixtepec,wind,16.528297,-94.932617
pe_ingenio,40-ixtepec,wind,16.5836427,-94.775505
pier_ii_quecholac_felipe_angeles,32-poza_rica,wind,18.8583308,-97.3831961
plamex,46-tijuana,solar,32.543973,-116.918328
servicios_comerciales_de_energia,51-la_paz,solar,24.035314,-110.335093
stipa_nayaa,40-ixtepec,wind,16.495996,-94.999975
tai_durango_uno,10-durango,solar,24.162505,-104.577656
ventika_ii,14-reynosa,wind,25.7932023,-99.1957794
ventika,14-reynosa,wind,25.7932023,-99.1957794
ce_aut_74,40-ixtepec,wind,20.0243642,-97.6455914
ce_aut_45,15-matamoros,wind,25.8690294,-97.5027376
ce_aut_34,15-matamoros,wind,25.8690294,-97.5027376
ce_aut_46,15-matamoros,wind,25.8690294,-97.5027376
ce_aut_75,15-matamoros,wind,25.8690294,-97.5027376
ce_aut_47,15-matamoros,wind,25.8690294,-97.5027376
ce_aut_04,21-guemez,wind,23.9184477,-99.007484
ce_aut_48,15-matamoros,wind,25.8690294,-97.5027376
ce_aut_07,21-guemez,wind,23.9184477,-99.007484
ce_aut_49,21-guemez,wind,23.9184477,-99.007484
ce_aut_36,40-ixtepec,wind,20.0243642,-97.6455914
ce_aut_37,40-ixtepec,wind,20.0243642,-97.6455914
ce_aut_39,15-matamoros,wind,25.8690294,-97.5027376
ce_aut_61,40-ixtepec,wind,20.0243642,-97.6455914
ce_aut_25,24-aguascalientes,wind,21.8852562,-102.2915677
ce_aut_72,24-aguascalientes,wind,21.8852562,-102.2915677
ce_aut_58,40-ixtepec,wind,20.0243642,-97.6455914
ce_aut_13,17-saltillo,wind,25.43208,-100.9836611
ce_aut_71,39-grijalva,wind,16.7516009,-93.1029939
ce_aut_17,24-aguascalientes,wind,21.8852562,-102.2915677
ce_aut_53,15-matamoros,wind,25.8690294,-97.5027376
ce_aut_54,21-guemez,wind,23.9184477,-99.007484
ce_aut_55,21-guemez,wind,23.9184477,-99.007484
ce_aut_40,21-guemez,wind,23.9184477,-99.007484
ce_aut_41,21-guemez,wind,23.9184477,-99.007484
ce_aut_56,21-guemez,wind,23.9184477,-99.007484
ce_aut_33,17-saltillo,wind,25.43208,-100.9836611
ce_aut_73,17-saltillo,wind,25.43208,-100.9836611
ce_aut_44,40-ixtepec,wind,20.0243642,-97.6455914
energia_renovable_de_la_peninsula,42-merida,wind,20.9800083,-89.7730063
pe_el_cortijo,14-reynosa,wind,26.0525676,-98.366244
ce_cfe_02,40-ixtepec,wind,20.0243642,-97.6455914
ce_cfe_03,40-ixtepec,wind,20.0243642,-97.6455914
ce_gen_02,32-poza_rica,wind,20.5270592,-97.4629119
ce_gen_01,24-aguascalientes,wind,21.8852562,-102.2915677
ce_otr_07,40-ixtepec,wind,20.0243642,-97.6455914
ce_otr_01,25-san_luis_potosi,wind,22.1564699,-100.9855409
ce_otr_08,25-san_luis_potosi,wind,22.1564699,-100.9855409
ce_otr_09,40-ixtepec,wind,20.0243642,-97.6455914
ce_otr_10,51-la_paz,wind,24.1426408,-110.3127531
ce_otr_02,18-valles,wind,22.0025712,-99.0018424
ce_otr_05,18-valles,wind,22.0025712,-99.0018424
ce_otr_06,24-aguascalientes,wind,21.8852562,-102.2915677
parque_eolico_chabacal,42-merida,wind,20.9800083,-89.7730063
parque_eolico_tizimin,42-merida,wind,20.9800083,-89.7730063
ce_pie_01,36-temascal,wind,17.0686305,-96.7219034
ce_pie_02,36-temascal,wind,17.0686305,-96.7219034
ce_pie_03,36-temascal,wind,17.0686305,-96.7219034
ce_pp_01,42-merida,wind,20.9673702,-89.5925857
ce_pp_03,25-san_luis_potosi,wind,20.9800083,-89.7730063
parque_eolico_chabacal_ii,42-merida,wind,20.9673702,-89.5925857
cs_aut_01,31-central,solar,19.3437444,-99.1561883
cs_aut_10,08-moctezuma,solar,29.8055991,-109.6790903
cs_aut_19,08-moctezuma,solar,29.8055991,-109.6790903
cs_cfe_02,53-mulege,solar,26.8922164,-111.9835831
cs_gen_01,11-laguna,solar,24.0277202,-104.6531759
cs_otr_01,44-chetumal,solar,18.500249,-88.2961077
cs_otr_11,16-monterrey,solar,25.6866142,-100.3161126
cs_otr_12,01-hermosillo,solar,29.0729673,-110.9559192
cs_otr_02,10-durango,solar,24.0277202,-104.6531759
cs_otr_03,17-saltillo,solar,25.43208,-100.9836611
cs_otr_06,17-saltillo,solar,25.43208,-100.9836611
cs_otr_17,17-saltillo,solar,25.43208,-100.9836611
