generation_technology	investment_period	g_overnight_cost	g_fixed_o_m		
carboelectric	2020	1899339	35885.33333		
carboelectric	2025	1899339	35885.33333		
carboelectric	2030	1899339	35885.33333		
combined_cycle	2020	910280	16793.2		
combined_cycle	2025	910280	16793.2		
combined_cycle	2030	910280	16793.2		
internal_combustion_fuel_oil	2020	3152593	44948		
internal_combustion_fuel_oil	2025	3152593	44948		
internal_combustion_fuel_oil	2030	3152593	44948		
internal_combustion_diesel	2020	3152593	44948		
internal_combustion_diesel	2025	3152593	44948		
internal_combustion_diesel	2030	3152593	44948		
internal_combustion_natural_gas 	2020	3152593	44948		
internal_combustion_natural_gas 	2025	3152593	44948		
internal_combustion_natural_gas 	2030	3152593	44948		
wind	2020	2016000	24963		
wind	2025	2016000	24963		
wind	2030	2016000	24963		
geothermal	2020	2284000	99478.5		
geothermal	2025	2284000	99478.5		
geothermal	2030	2284000	99478.5		
hydroelectric 	2020	1691241	24555.33333		
hydroelectric 	2025	1691241	24555.33333		
hydroelectric 	2030	1691241	24555.33333		
nuclear	2020	6405301	98045		
nuclear	2025	6405301	98045		
nuclear	2030	6405301	98045		
solar 	2020	2353000	19000		
solar 	2025	2353000	19000		
solar 	2030	2353000	19000		
thermal_natural_gas	2020	1728420	35971.33333		
thermal_natural_gas	2025	1728420	35971.33333		
thermal_natural_gas	2030	1728420	35971.33333		
thermal_fuel_oil	2020	1728420	35971.33333		
thermal_fuel_oil	2025	1728420	35971.33333		
thermal_fuel_oil	2030	1728420	35971.33333		
thermosolar 	2020	1488300	53000	ok	
thermosolar 	2025	1488300	53000		
thermosolar 	2030	1488300	53000		
gas_turbine_natural_gas	2020	622320	327.1070092		
gas_turbine_natural_gas	2025	622320	327.1070092		
gas_turbine_natural_gas	2030	622320	327.1070092		
gas_turbine_diesel	2020	1085000	20058		
gas_turbine_diesel	2025	1085000	20058		
gas_turbine_diesel	2030	1085000	20058		
bio_fuel_oil	2020	2341500	44300	ok	
	2025	2341500	44300		
	2030	2341500	44300		
bio_natural_gas	2020	3262800	28000	ok	
	2025	3262800	28000		
	2030	3262800	28000		
bio_diesel	2020	2341500	44300	ok	
	2025	2341500	44300		
	2030	2341500	44300		
cogen_fuel_oil	2020	2341500	44300	ok	
	2025	2341500	44300		
	2030	2341500	44300		
cogen_natural_gas	2020	1008701	17361	ok	
	2025	1008701	17361		
	2030	1008701	17361		
cogen_diesel	2020	1656887	25938	ok	
	2025	1656887	25938		
	2030	1656887	25938		
fluidized_bed	2020	1899339	33900	ok	wavg
	2025	1899339	33900		
	2030	1899339	33900		
import_natural_gas	2020	1110500	21400	ok	
	2025	1110500	21400		
	2030	1110500	21400		
regen_brakes	2020		24600		
	2025		24600		
	2030		24600		
