D a t e , P r o d u c t i o n
2006-01-31,435001.486
2006-02-28,299979.202
2006-03-31,660799.241
2006-04-30,521847.961
2006-05-31,664238.62
2006-06-30,663024.185
2006-07-31,592365.142
2006-08-31,632933.35
2006-09-30,763984.078
2006-10-31,502036.099
2006-11-30,501850.843
2006-12-31,365873.767
2007-01-31,267235.765
2007-02-28,197814.814
2007-03-31,443556.449
2007-04-30,356425.407
2007-05-31,209194.67
2007-06-30,196061.284
2007-07-31,243180.183
2007-08-31,216404.714
2007-09-30,490033.222
2007-10-31,515471.288
2007-11-30,116897.598
2007-12-31,72598.623
2008-01-31,84888.181
2008-02-29,102876.177
2008-03-31,274479.526
2008-04-30,934996.566
2008-05-31,1021432.579
2008-06-30,841938.209
2008-07-31,705314.075
2008-08-31,772070.269
2008-09-30,1050453.548
2008-10-31,778328.976
2008-11-30,611463.497
2008-12-31,416133.141
2009-01-31,398682.134
2009-02-28,450348.336
2009-03-31,508301.492
2009-04-30,529684.658
2009-05-31,299134.749
2009-06-30,408818.294
2009-07-31,482636.574
2009-08-31,497890.922
2009-09-30,420857.634
2009-10-31,385576.256
2009-11-30,153441.668
2009-12-31,147093.062
2010-01-31,121669.854
2010-02-28,83397.314
2010-03-31,202713.339
2010-04-30,184906.93
2010-05-31,199501.04
2010-06-30,440793.865
2010-07-31,804629.664
2010-08-31,936474.978
2010-09-30,1634548.611
2010-10-31,1324867.243
2010-11-30,754317.769
2010-12-31,514261.726
2011-01-31,581912.092
2011-02-28,553337.854
2011-03-31,591827.079
2011-04-30,535499.797
2011-05-31,554370.62
2011-06-30,529760.793
2011-07-31,598673.366
2011-08-31,741708.565
2011-09-30,1010764.681
2011-10-31,973459.419
2011-11-30,755225.273
2011-12-31,657936.76
2012-01-31,655953.79
2012-02-29,614490.283
2012-03-31,582809.041
2012-04-30,614133.203
2012-05-31,792234.414
2012-06-30,678834.805
2012-07-31,515828.323
2012-08-31,847127.452
2012-09-30,438452.283
2012-10-31,417128.996
2012-11-30,251611.989
2012-12-31,357648.52
2013-01-31,130652.013
2013-02-28,155183.06
2013-03-31,222747.767
2013-04-30,417367.036
2013-05-31,326142.918
2013-06-30,466486.918
2013-07-31,586283.476
2013-08-31,536006.886
2013-09-30,746770.385
2013-10-31,644955.243
2013-11-30,528559.241
2013-12-31,392547.107
2014-01-31,451406.372
2014-02-28,650718.617
2014-03-31,736573.127
2014-04-30,694364.142
2014-05-31,632703.74
2014-06-30,772923.428
2014-07-31,807422.945
2014-08-31,638038.771
2014-09-30,582903.036
2014-10-31,461389.454
2014-11-30,402943.076
2014-12-31,344135.108
2015-01-31,336810.194
2015-02-28,280712.26
2015-03-31,430588.368
2015-04-30,673017.527
2015-05-31,796229.47
2015-06-30,459860.977
2015-07-31,156611.986
2015-08-31,179365.773
2015-09-30,379327.8
2015-10-31,251892.942
2015-11-30,158717.504
2015-12-31,174195.559
