D a t e , P r o d u c t i o n,
2006-01-31,230.01,565.63
2006-02-28,150.53,
2006-03-31,465.62,
2006-04-30,380.43,
2006-05-31,749.73,
2006-06-30,804.75,
2006-07-31,804.15,
2006-08-31,2394.74,
2006-09-30,3109.14,
2006-10-31,511.45,
2006-11-30,990.43,
2007-01-31,167.26,
2007-02-28,526.93,
2007-03-31,155.39,
2007-04-30,414.09,
2007-05-31,352.36,
2007-06-30,648.94,
2007-07-31,524.59,
2007-08-31,3162.58,
2007-09-30,7930.42,
2007-10-31,2958.28,
2007-11-30,3272.23,
2008-01-31,738.062,
2008-02-29,1068.23,
2008-03-31,74.21,
2008-04-30,42.68,
2009-01-31,412.68,
2009-02-28,869.67,
2009-03-31,604.33,
2009-04-30,172.48,
2009-05-31,1572.161,
2009-06-30,52.15,
2010-01-31,344.24,
2010-02-28,184.7,
2010-03-31,77.25,
2010-04-30,1565.16,
2010-05-31,2284.21,
2010-06-30,5998.11,
2010-07-31,1319.81,
2011-01-31,47.22,
2011-02-28,422.38,
2012-01-31,281.13,
2012-02-29,35.85,
2013-01-31,390.741,
2013-02-28,434.341,
2014-01-31,420.811,
2014-02-28,138.958,
2014-03-31,112.981,
2014-04-30,12473.293,
2014-05-31,7481.854,
2014-06-30,1388.829,
2015-01-31,9488.038,
2015-02-28,10890.512,
2015-03-31,3098.786,
2015-04-30,9124.514,
2015-05-31,10028.063,
2015-06-30,3668.81,
2015-07-31,110.353,
