D a t e , P r o d u c t i o n
2006-01-31,2006
2006-02-28,1967.58
2006-03-31,4889.54
2006-04-30,4462.31
2006-05-31,7949.68
2006-06-30,6316.96
2006-07-31,3247.07
2006-08-31,497.46
2006-09-30,0
2006-10-31,0
2006-11-30,0
2006-12-31,0
2007-01-31,1328.66
2007-02-28,357.3
2007-03-31,167.07
2007-04-30,1058.75
2007-05-31,684.74
2007-06-30,3737.33
2007-07-31,9762.66
2007-08-31,20276.23
2007-09-30,7222.86
2007-10-31,6861.661
2007-11-30,0
2007-12-31,0
2008-01-31,708.37
2008-02-29,2442.64
2008-03-31,5460.82
2008-04-30,3139.82
2008-05-31,0
2008-06-30,0
2008-07-31,0
2008-08-31,0
2008-09-30,0
2008-10-31,0
2008-11-30,0
2008-12-31,0
2009-01-31,1817.83
2009-02-28,84.1
2009-03-31,1056.92
2009-04-30,584.27
2009-05-31,387.43
2009-06-30,2457.251
2009-07-31,4861.398
2009-08-31,39.834
2009-09-30,11404.916
2009-10-31,759.486
2009-11-30,0
2009-12-31,0
2010-01-31,6326.476
2010-02-28,325.401
2010-03-31,289.2
2010-04-30,2789.726
2010-05-31,13169.155
2010-06-30,19211.702
2010-07-31,26735.963
2010-08-31,11034.614
2010-09-30,2313.243
2010-10-31,2140.764
2010-11-30,0
2010-12-31,0
2011-01-31,488.254
2011-02-28,1039.89
2011-03-31,1326.712
2011-04-30,1607.434
2011-05-31,1053.167
2011-06-30,4006.363
2011-07-31,2492.836
2011-08-31,6840.988
2011-09-30,3341.969
2011-10-31,1587.567
2011-11-30,196.475
2011-12-31,0
2012-01-31,1606.874
2012-02-29,849.005
2012-03-31,2586.439
2012-04-30,1146.696
2012-05-31,1949.521
2012-06-30,3925.495
2012-07-31,6381.1
2012-08-31,4710.529
2012-09-30,3220.084
2012-10-31,3712.888
2012-11-30,437.236
2012-12-31,0
2013-01-31,634.756
2013-02-28,870.911
2013-03-31,856.498
2013-04-30,3191.609
2013-05-31,1303.864
2013-06-30,14133.321
2013-07-31,5738.971
2013-08-31,1428.679
2013-09-30,286.205
2013-10-31,0
2013-11-30,0
2013-12-31,0
2014-01-31,306.479
2014-02-28,3478.649
2014-03-31,2718.419
2014-04-30,4246.264
2014-05-31,2044.639
2014-06-30,4012.731
2014-07-31,27028.46
2014-08-31,4349.583
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,625.833
2015-02-28,11800.082
2015-03-31,6802.621
2015-04-30,4521.074
2015-05-31,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-31,0
2015-11-30,0
2015-12-31,0
