D a t e , P r o d u c t i o n
2006-01-31,8574
2006-02-28,6167
2006-03-31,5167
2006-04-30,3768
2006-05-31,5265
2006-06-30,13543
2006-07-31,15479
2006-08-31,18362
2006-09-30,15608
2006-10-31,15213
2006-11-30,19716
2006-12-31,19309
2007-01-31,12897
2007-02-28,8374
2007-03-31,7156
2007-04-30,5527
2007-05-31,5710
2007-06-30,12633
2007-07-31,13593
2007-08-31,18704
2007-09-30,18305
2007-10-31,20412
2007-11-30,19140
2007-12-31,13536.999
2008-01-31,9645
2008-02-29,7155
2008-03-31,5884
2008-04-30,4355
2008-05-31,2800
2008-06-30,6308
2008-07-31,17679
2008-08-31,20029
2008-09-30,13412
2008-10-31,19184
2008-11-30,22210
2008-12-31,16224
2009-01-31,11310
2009-02-28,7739
2009-03-31,6111
2009-04-30,4576
2009-05-31,7051
2009-06-30,10187
2009-07-31,15025
2009-08-31,17240
2009-09-30,17071.999
2009-10-31,18829
2009-11-30,17402
2009-12-31,12358
2010-01-31,9673
2010-02-28,11571
2010-03-31,8206
2010-04-30,5496
2010-05-31,3080
2010-06-30,9218
2010-07-31,17931
2010-08-31,14905
2010-09-30,12903
2010-10-31,22222
2010-11-30,19288
2010-12-31,13511
2011-01-31,9767
2011-02-28,6808
2011-03-31,5553
2011-04-30,4704
2011-05-31,802
2011-06-30,6002
2011-07-31,18199
2011-08-31,18287
2011-09-30,17884
2011-10-31,20570
2011-11-30,19821
2011-12-31,14625
2012-01-31,10073
2012-02-29,7556
2012-03-31,1303
2012-04-30,4377
2012-05-31,5599
2012-06-30,10590
2012-07-31,17645
2012-08-31,18793
2012-09-30,16046
2012-10-31,20718
2012-11-30,14959
2012-12-31,10704
2013-01-31,7278
2013-02-28,4550
2013-03-31,4908
2013-04-30,1627
2013-05-31,1934
2013-06-30,12732
2013-07-31,18432
2013-08-31,17344
2013-09-30,7840
2013-10-31,0
2013-11-30,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-31,0
2014-06-30,0
2014-07-31,0
2014-08-31,0
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,0
2015-02-28,0
2015-03-31,0
2015-04-30,0
2015-05-31,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-31,0
2015-11-30,0
2015-12-31,0
