D a t e , P r o d u c t i o n
2006-01-31,987.536
2006-02-28,847.469
2006-03-31,1158.961
2006-04-30,1096.045
2006-05-31,471.967
2006-06-30,3848.504
2006-07-31,3172.759
2006-08-31,12282.579
2006-09-30,5640.105
2006-10-31,6708.774
2006-11-30,1659.797
2006-12-31,923.027
2007-01-31,1384.342
2007-02-28,1395.79
2007-03-31,1324.413
2007-04-30,1338.55
2007-05-31,661.51
2007-06-30,2829.211
2007-07-31,9038.941
2007-08-31,17487.152
2007-09-30,15002.484
2007-10-31,3140.105
2007-11-30,1789.81
2007-12-31,1820.172
2008-01-31,875.045
2008-02-29,1882.69
2008-03-31,1112.072
2008-04-30,1188.527
2008-05-31,738.262
2008-06-30,8231.392
2008-07-31,16064.682
2008-08-31,12880.177
2008-09-30,12580.83
2008-10-31,6983.134
2008-11-30,1965.217
2008-12-31,1578.166
2009-01-31,1946.302
2009-02-28,0
2009-03-31,0
2009-04-30,0
2009-05-31,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-31,0
2009-11-30,0
2009-12-31,0
2010-01-31,0
2010-02-28,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-31,0
2010-08-31,0
2010-09-30,0
2010-10-31,0
2010-11-30,0
2010-12-31,0
2011-01-31,1356.17
2011-02-28,2590.49
2011-03-31,2993.867
2011-04-30,2975.65
2011-05-31,1399.972
2011-06-30,3329.549
2011-07-31,13010.29
2011-08-31,10407.853
2011-09-30,4591.345
2011-10-31,3042.646
2011-11-30,1386.035
2011-12-31,1207.74
2012-01-31,1316.947
2012-02-29,4518.375
2012-03-31,2389.1
2012-04-30,1721.219
2012-05-31,1416.597
2012-06-30,4994.921
2012-07-31,14127.34
2012-08-31,7727.867
2012-09-30,6210.925
2012-10-31,1979.154
2012-11-30,1449.15
2012-12-31,1409.428
2013-01-31,2908.055
2013-02-28,1977.262
2013-03-31,2028.332
2013-04-30,1340.242
2013-05-31,1022.876
2013-06-30,4815.632
2013-07-31,8358.416
2013-08-31,6189.62
2013-09-30,17489.939
2013-10-31,5645.879
2013-11-30,3441.244
2013-12-31,3111.336
2014-01-31,3373.153
2014-02-28,1886.472
2014-03-31,1823.755
2014-04-30,1922.808
2014-05-31,1580.953
2014-06-30,5487.893
2014-07-31,7260.281
2014-08-31,6301.018
2014-09-30,10027.572
2014-10-31,9898.356
2014-11-30,3651.992
2014-12-31,2260.283
2015-01-31,2283.079
2015-02-28,2405.625
2015-03-31,4936.186
2015-04-30,2560.825
2015-05-31,1175.585
2015-06-30,10602.075
2015-07-31,18985.778
2015-08-31,10052.261
2015-09-30,10454.741
2015-10-31,6073.247
2015-11-30,3727.549
2015-12-31,3840.34
