D a t e , P r o d u c t i o n
2006-01-31,60.039
2006-02-28,44.14
2006-03-31,108.539
2006-04-30,70.88
2006-05-31,587.833
2006-06-30,567.704
2006-07-31,1897.632
2006-08-31,915.153
2006-09-30,1082.626
2006-10-31,345.857
2006-11-30,198.572
2006-12-31,0
2007-01-31,261.816
2007-02-28,249.88
2007-03-31,172.47
2007-04-30,110.809
2007-05-31,445.596
2007-06-30,1397.921
2007-07-31,2850.306
2007-08-31,2415.601
2007-09-30,495.699
2007-10-31,302.712
2007-11-30,300.999
2007-12-31,0
2008-01-31,141.909
2008-02-29,286.216
2008-03-31,11.1
2008-04-30,90.6
2008-05-31,152.511
2008-06-30,1356.956
2008-07-31,3153.505
2008-08-31,2380.3
2008-09-30,3951.219
2008-10-31,1104.716
2008-11-30,294.489
2008-12-31,252.15
2009-01-31,329.471
2009-02-28,275.933
2009-03-31,254.729
2009-04-30,199.399
2009-05-31,419.932
2009-06-30,802.781
2009-07-31,855.533
2009-08-31,850.894
2009-09-30,447.408
2009-10-31,136.443
2009-11-30,176.064
2009-12-31,0
2010-01-31,294.27
2010-02-28,1054.971
2010-03-31,248.258
2010-04-30,3577.608
2010-05-31,3172.559
2010-06-30,2366.393
2010-07-31,467.228
2010-08-31,141.66
2010-09-30,187.642
2010-10-31,0
2010-11-30,0
2010-12-31,0
2011-01-31,363.168
2011-02-28,374.427
2011-03-31,49.277
2011-04-30,431.589
2011-05-31,244.395
2011-06-30,561.153
2011-07-31,2016.186
2011-08-31,1848.554
2011-09-30,697.955
2011-10-31,484.609
2011-11-30,238.711
2011-12-31,130.809
2012-01-31,179.359
2012-02-29,687.831
2012-03-31,172.182
2012-04-30,209.981
2012-05-31,209.493
2012-06-30,722.205
2012-07-31,2292.607
2012-08-31,1234.719
2012-09-30,978.019
2012-10-31,311.034
2012-11-30,161.191
2012-12-31,155.029
2013-01-31,461.812
2013-02-28,266.087
2013-03-31,153.446
2013-04-30,167.662
2013-05-31,72.711
2013-06-30,682.794
2013-07-31,1348.902
2013-08-31,926.691
2013-09-30,1444.281
2013-10-31,451.29
2013-11-30,463.923
2013-12-31,0
2014-01-31,525.067
2014-02-28,219.767
2014-03-31,273.305
2014-04-30,310.387
2014-05-31,270.009
2014-06-30,806.096
2014-07-31,993.628
2014-08-31,998.656
2014-09-30,1518.267
2014-10-31,1556.504
2014-11-30,539.093
2014-12-31,370.515
2015-01-31,348.007
2015-02-28,389.609
2015-03-31,750.926
2015-04-30,371.72
2015-05-31,1427.149
2015-06-30,2904.7
2015-07-31,1533.837
2015-08-31,1630.549
2015-09-30,938.747
2015-10-31,556.295
2015-11-30,513.021
2015-12-31,0
