D a t e , P r o d u c t i o n
2006-01-31,27846.014
2006-02-28,35077.502
2006-03-31,40144.757
2006-04-30,26112.194
2006-05-31,6903.91
2006-06-30,4956.558
2006-07-31,1243.91
2006-08-31,51.697
2006-09-30,3383.851
2006-10-31,8169.011
2006-11-30,43076.109
2006-12-31,21292.22
2007-01-31,33339.088
2007-02-28,50958.991
2007-03-31,57574.804
2007-04-30,55033.956
2007-05-31,21971.627
2007-06-30,6455.216
2007-07-31,6950.449
2007-08-31,3045.62
2007-09-30,345.203
2007-10-31,24583.192
2007-11-30,57672.701
2007-12-31,18656.253
2008-01-31,34537.647
2008-02-29,45019.885
2008-03-31,47156.761
2008-04-30,45017.488
2008-05-31,27780.206
2008-06-30,9999.007
2008-07-31,4606.055
2008-08-31,0.517
2008-09-30,57065.853
2008-10-31,47776.611
2008-11-30,71439.013
2008-12-31,28783.515
2009-01-31,43024.017
2009-02-28,38213.624
2009-03-31,46927.652
2009-04-30,36063.878
2009-05-31,16041.931
2009-06-30,8845.262
2009-07-31,10045.15
2009-08-31,8561.682
2009-09-30,12043.238
2009-10-31,34367.935
2009-11-30,64589.276
2009-12-31,33943.44
2010-01-31,50578.031
2010-02-28,42929.232
2010-03-31,64943.515
2010-04-30,50196.464
2010-05-31,16177.189
2010-06-30,5319.316
2010-07-31,3914.913
2010-08-31,4044.995
2010-09-30,146.488
2010-10-31,18113.322
2010-11-30,68166.115
2010-12-31,28362.03
2011-01-31,47203.785
2011-02-28,50088.563
2011-03-31,52543.542
2011-04-30,54323.32
2011-05-31,47168.96
2011-06-30,26048.218
2011-07-31,2387.485
2011-08-31,193.932
2011-09-30,11809.152
2011-10-31,25372.464
2011-11-30,11677.786
2011-12-31,0
2012-01-31,12550.133
2012-02-29,21301.739
2012-03-31,3892.33
2012-04-30,5.047
2012-05-31,109.491
2012-06-30,6886.295
2012-07-31,20678.227
2012-08-31,10982.15
2012-09-30,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,17225.916
2013-02-28,16742.968
2013-03-31,3725.558
2013-04-30,195.738
2013-05-31,8515.869
2013-06-30,2735.196
2013-07-31,9909.604
2013-08-31,0
2013-09-30,0
2013-10-31,0
2013-11-30,0
2013-12-31,0
2014-01-31,25422.53
2014-02-28,20437.425
2014-03-31,22619.575
2014-04-30,8178.71
2014-05-31,3006.754
2014-06-30,2134.879
2014-07-31,379.547
2014-08-31,4562.075
2014-09-30,35936.681
2014-10-31,14566.171
2014-11-30,0
2014-12-31,0
2015-01-31,32733.125
2015-02-28,39923.088
2015-03-31,51444.748
2015-04-30,34514.903
2015-05-31,8033.321
2015-06-30,3507.487
2015-07-31,2244.414
2015-08-31,866.406
2015-09-30,638.972
2015-10-31,137.273
2015-11-30,27554.206
2015-12-31,12415.85
