D a t e , P r o d u c t i o n
2006-01-31,10539.076
2006-02-28,10057.95
2006-03-31,8550.88
2006-04-30,5805.016
2006-05-31,5378.978
2006-06-30,6693.619
2006-07-31,13204.912
2006-08-31,17221.443
2006-09-30,17047.333
2006-10-31,16761.525
2006-11-30,16965.055
2006-12-31,17374.821
2007-01-31,16017.995
2007-02-28,15800.373
2007-03-31,10253.628
2007-04-30,5607.041
2007-05-31,3018.102
2007-06-30,5159.655
2007-07-31,6624.909
2007-08-31,8792.297
2007-09-30,12268.523
2007-10-31,14178.151
2007-11-30,16354.515
2007-12-31,0
2008-01-31,16167.482
2008-02-29,16142.332
2008-03-31,11093.578
2008-04-30,3334.006
2008-05-31,849.121
2008-06-30,6782.931
2008-07-31,8727.17
2008-08-31,7333.896
2008-09-30,11292.911
2008-10-31,17534.17
2008-11-30,17638.758
2008-12-31,13930.651
2009-01-31,9775.186
2009-02-28,8661.559
2009-03-31,8822.554
2009-04-30,1253.203
2009-05-31,2117.535
2009-06-30,1959.761
2009-07-31,3871.407
2009-08-31,3367.279
2009-09-30,10375.435
2009-10-31,17712.545
2009-11-30,17089.777
2009-12-31,18175.018
2010-01-31,15977.818
2010-02-28,9131.452
2010-03-31,6009.439
2010-04-30,4989.947
2010-05-31,2438.656
2010-06-30,2207.169
2010-07-31,5346.658
2010-08-31,17557.268
2010-09-30,17529.596
2010-10-31,18379.232
2010-11-30,17723.662
2010-12-31,12309.852
2011-01-31,10276.314
2011-02-28,9541.764
2011-03-31,6548.694
2011-04-30,4168.027
2011-05-31,2204.723
2011-06-30,2064.756
2011-07-31,2853.5
2011-08-31,13390.95
2011-09-30,15511.512
2011-10-31,17919.011
2011-11-30,15615.513
2011-12-31,17275.037
2012-01-31,17326.178
2012-02-29,13527.096
2012-03-31,6213.398
2012-04-30,4459.048
2012-05-31,6097.941
2012-06-30,7694.831
2012-07-31,5504.011
2012-08-31,10016.494
2012-09-30,10303.499
2012-10-31,18254.263
2012-11-30,10702.457
2012-12-31,6410.225
2013-01-31,11753.546
2013-02-28,8159.925
2013-03-31,6653.348
2013-04-30,3722.5
2013-05-31,3982.96
2013-06-30,6584.422
2013-07-31,5385.892
2013-08-31,3882.341
2013-09-30,15253.635
2013-10-31,15115.878
2013-11-30,16617.243
2013-12-31,18661.54
2014-01-31,15191.563
2014-02-28,11341.639
2014-03-31,8068.973
2014-04-30,4964.73
2014-05-31,4797.018
2014-06-30,8137.731
2014-07-31,11522.545
2014-08-31,8397.059
2014-09-30,11669.441
2014-10-31,13348.603
2014-11-30,15161.309
2014-12-31,6994.351
2015-01-31,13145.52
2015-02-28,9430.619
2015-03-31,6846.817
2015-04-30,3882.932
2015-05-31,1760.243
2015-06-30,1262.733
2015-07-31,3819.667
2015-08-31,2809.656
2015-09-30,5027.761
2015-10-31,8975.242
2015-11-30,17717.167
2015-12-31,17564.543
