D a t e , P r o d u c t i o n
2006-01-31,5169.33
2006-02-28,4361.5
2006-03-31,4490
2006-04-30,3561.3
2006-05-31,3811.7
2006-06-30,4949
2006-07-31,6439.7
2006-08-31,5518.3
2006-09-30,7030.7
2006-10-31,6926.7
2006-11-30,6330.2
2006-12-31,6742.3
2007-01-31,5105.67
2007-02-28,4492.004
2007-03-31,4189.86
2007-04-30,3780.8
2007-05-31,3748.27
2007-06-30,4068.25
2007-07-31,5193.2
2007-08-31,5991.706
2007-09-30,6835.277
2007-10-31,6551.809
2007-11-30,2237.8
2007-12-31,4571.09
2008-01-31,5839.71
2008-02-29,4362.1
2008-03-31,4279.9
2008-04-30,4252
2008-05-31,3697.79
2008-06-30,5307.351
2008-07-31,4791.31
2008-08-31,3958.538
2008-09-30,5516.179
2008-10-31,5820.19
2008-11-30,4256.2
2008-12-31,4943.395
2009-01-31,4375.66
2009-02-28,4353.73
2009-03-31,4573.35
2009-04-30,3749.12
2009-05-31,3765.38
2009-06-30,3913.16
2009-07-31,4933.55
2009-08-31,4434.12
2009-09-30,5944.404
2009-10-31,6477.209
2009-11-30,6259.109
2009-12-31,5973.519
2010-01-31,5258.193
2010-02-28,4170.193
2010-03-31,3914.679
2010-04-30,3622.483
2010-05-31,3563.561
2010-06-30,2619.68
2010-07-31,6365.87
2010-08-31,7261.09
2010-09-30,5198.54
2010-10-31,5108.478
2010-11-30,5505.911
2010-12-31,5729.388
2011-01-31,5437.436
2011-02-28,4493.314
2011-03-31,4524.3
2011-04-30,3882.909
2011-05-31,3540.506
2011-06-30,3730.465
2011-07-31,6863.06
2011-08-31,6555.865
2011-09-30,6914.014
2011-10-31,6686.009
2011-11-30,5808.062
2011-12-31,5708.77
2012-01-31,5836.372
2012-02-29,5327.78
2012-03-31,5122.274
2012-04-30,3790.353
2012-05-31,3729
2012-06-30,5231.09
2012-07-31,6431.676
2012-08-31,6004.958
2012-09-30,6114.844
2012-10-31,5928.428
2012-11-30,5103.981
2012-12-31,4778.401
2013-01-31,4435.103
2013-02-28,3436.115
2013-03-31,3857.996
2013-04-30,3653.491
2013-05-31,4334.134
2013-06-30,4108.172
2013-07-31,6552.114
2013-08-31,4412.464
2013-09-30,3083.683
2013-10-31,6629.104
2013-11-30,5687.423
2013-12-31,5943.345
2014-01-31,6652.904
2014-02-28,5615.602
2014-03-31,1253.445
2014-04-30,340.29
2014-05-31,0
2014-06-30,0
2014-07-31,0
2014-08-31,0
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,0
2015-02-28,0
2015-03-31,0
2015-04-30,0
2015-05-31,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-31,0
2015-11-30,0
2015-12-31,0
