name_switch,name_prodesen,load_zone,load_area,Time-stamp,timestamp,capacity_factor
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-01-31,20090131,9.4730902778
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-02-29,20090229,8.5081597222
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-03-31,20090331,9.1695283565
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-04-30,20090430,8.1990740741
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-05-31,20090531,9.5197916667
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-06-30,20090630,11.7505208333
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-07-31,20090731,13.9068865741
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-08-31,20090831,1.5678819444
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-09-30,20090930,13.395755787
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-10-31,20091031,10.3217592593
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-11-30,20091130,8.5571180556
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2009-12-31,20091231,9.3693287037
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-01-31,20150131,9.2680954861
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-02-29,20150229,9.0747731481
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-03-31,20150331,10.356625
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-04-30,20150430,8.5581666667
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-05-31,20150531,9.5154184028
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-06-30,20150630,13.7699641204
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-07-31,20150731,16.3868778935
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-08-31,20150831,14.4172841435
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-09-30,20150930,14.9230300926
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-10-31,20151031,12.0524884259
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-11-30,20151130,9.2098969907
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2015-12-31,20151231,10.2225115741
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2014-01-31,20140131,9.6292771991
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2014-02-29,20140229,7.9629583333
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2014-03-31,20140331,9.240208912
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2014-04-30,20140430,7.7874612269
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2014-05-31,20140531,9.5187459491
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2014-06-30,20140630,13.2308738426
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2014-07-31,20140731,14.3000491898
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2014-08-31,20140831,13.4013524306
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2014-09-30,20140930,13.9295167824
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2014-10-31,20141031,11.8532297454
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2014-11-30,20141130,9.3741770833
