name_switch,name_prodesen,load_zone,load_area,date,timestamp,capacity_factor
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-01-31,20080131,8.8778
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-02-29,20080229,8.866918
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-03-31,20080331,8.414707
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-04-30,20080430,8.278588
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-05-31,20080531,8.65849
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-06-30,20080630,16.105878
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-07-31,20080731,16.828405
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-08-31,20080831,15.853327
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-09-30,20080930,16.386574
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-10-31,20081031,11.420251
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-11-30,20081130,8.748206
agua_prieta,agua_prieta,03-occidental,23-guadalajara,2008-12-31,20081231,9.415323
angostura,angostura,02-oriental,39-grijalva,2011-01-31,20110131,47.227682
angostura,angostura,02-oriental,39-grijalva,2011-02-29,20110229,47.727296
angostura,angostura,02-oriental,39-grijalva,2011-03-31,20110331,47.65427
angostura,angostura,02-oriental,39-grijalva,2011-04-30,20110430,42.837929
angostura,angostura,02-oriental,39-grijalva,2011-05-31,20110531,42.740306
angostura,angostura,02-oriental,39-grijalva,2011-06-30,20110630,37.302545
angostura,angostura,02-oriental,39-grijalva,2011-07-31,20110731,30.833383
angostura,angostura,02-oriental,39-grijalva,2011-08-31,20110831,35.622175
angostura,angostura,02-oriental,39-grijalva,2011-09-30,20110930,48.439323
angostura,angostura,02-oriental,39-grijalva,2011-10-31,20111031,48.522638
angostura,angostura,02-oriental,39-grijalva,2011-11-30,20111130,62.171781
angostura,angostura,02-oriental,39-grijalva,2011-12-31,20111231,50.207705
bacurato,bacurato,04-noroeste,04-los_mochis,2008-01-31,20080131,41.425042
bacurato,bacurato,04-noroeste,04-los_mochis,2008-02-29,20080229,57.594578
bacurato,bacurato,04-noroeste,04-los_mochis,2008-03-31,20080331,85.516401
